"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.645666665E-3,-5.093158722E0,7.359445953E0,5.616320801E0
1.820533333E-2,-5.809419250E0,8.038284302E0,5.994135132E0
3.805533333E-2,-6.003715210E0,8.138276367E0,6.354585571E0
5.790633333E-2,-6.177354126E0,7.639812927E0,6.576274567E0
7.775733333E-2,-6.455326080E0,6.966962128E0,6.547234955E0
9.760733333E-2,-5.971831512E0,6.489604797E0,6.298152924E0
1.174583333E-1,-5.237308960E0,5.977669373E0,5.781277771E0
1.373093333E-1,-4.791535950E0,5.811664581E0,5.204078064E0
1.571593333E-1,-4.321363678E0,5.839656372E0,4.640500031E0
1.770103333E-1,-3.470083923E0,6.226601715E0,4.374353485E0
1.968613333E-1,-2.559677124E0,7.133565674E0,4.601281586E0
2.167123333E-1,-1.990859985E0,7.591164093E0,5.218148804E0
2.365623333E-1,-2.684667206E0,7.675887909E0,5.931415558E0
2.564133333E-1,-4.667444000E0,7.456893311E0,6.599476318E0
2.762643333E-1,-6.906637573E0,7.300767975E0,6.866071930E0
2.961143333E-1,-7.141798553E0,7.253166962E0,6.476432190E0
3.159653333E-1,-6.819069672E0,7.330256653E0,5.389841766E0
3.358163333E-1,-5.497168579E0,7.219786377E0,4.347708893E0
3.556663333E-1,-3.769311676E0,6.763086090E0,3.479364624E0
3.755173333E-1,-3.332370300E0,6.110443268E0,2.634820862E0
3.953683333E-1,-2.312541046E0,5.765859833E0,2.534379730E0
4.152183333E-1,-1.638492737E0,5.757926331E0,3.030298462E0
4.350693333E-1,-3.126398621E0,5.923631744E0,3.767515411E0
4.549203333E-1,-4.807402954E0,6.182293854E0,4.176764374E0
4.747713333E-1,-6.852899323E0,6.385870514E0,3.965553589E0
4.946213333E-1,-6.809938660E0,6.818770294E0,3.940256195E0
5.144723333E-1,-5.716312866E0,7.466323700E0,3.936513977E0
5.343233333E-1,-5.692063293E0,8.080197144E0,3.301085358E0
5.541733333E-1,-6.836134186E0,8.183482361E0,2.819387054E0
5.740243333E-1,-7.311695251E0,8.634644165E0,3.036735077E0
5.938753333E-1,-7.302564240E0,8.722810822E0,3.693718872E0
6.137253333E-1,-8.913214874E0,8.707243195E0,3.815565491E0
6.335763333E-1,-9.672136688E0,7.483238525E0,3.535647583E0
6.534276667E-1,-9.170380096E0,6.701264648E0,3.305126953E0
6.732786667E-1,-6.608757019E0,6.943161621E0,3.280727692E0
6.931286667E-1,-4.231700134E0,6.841223602E0,3.431913300E0
7.129796667E-1,-3.861220551E0,5.667813721E0,3.359014893E0
7.328306667E-1,-5.038821716E0,4.527485046E0,3.042123871E0
7.526806667E-1,-6.884034576E0,4.067641296E0,2.520159302E0
7.725316667E-1,-7.888296204E0,3.301983490E0,2.037712555E0
7.923826667E-1,-7.309749298E0,3.022215271E0,1.723964996E0
8.122326667E-1,-5.938750305E0,2.826123047E0,1.479074249E0
8.320836667E-1,-5.391787720E0,2.550995178E0,1.161584473E0
8.519346667E-1,-4.830455017E0,2.943628693E0,9.072633362E-1
8.717856667E-1,-4.581971741E0,3.139421539E0,5.596861267E-1
8.916356667E-1,-6.304589539E0,2.063009949E0,2.433938599E-1
9.114866667E-1,-9.640103302E0,1.510209503E0,3.858975220E-1
9.313376667E-1,-1.260678406E1,2.030677185E0,1.077758789E0
9.511876667E-1,-1.470676712E1,1.969454498E0,1.925745392E0
9.710386667E-1,-1.616368744E1,1.022733215E1,4.632865906E0
9.908896667E-1,-1.364966537E1,2.938015366E1,1.110570557E1
1.010739667E0,-9.836345215E0,4.416655518E1,1.485480927E1
1.030590667E0,-2.974165192E0,4.706048721E1,1.429407532E1
1.050441667E0,4.423451385E0,4.459661087E1,9.256151733E0
1.070292667E0,1.117710709E1,4.371494431E1,1.395997009E0
1.090142667E0,1.586535782E1,4.729609726E1,-9.899214478E0
1.109993667E0,2.645329010E1,3.920721817E1,-1.841635300E1
1.129844667E0,3.058799194E1,1.345372284E1,-2.173779602E1
1.149694667E0,2.302197556E1,-3.485127640E1,-1.487322098E1
1.169545667E0,-1.975846207E1,-7.920209839E1,7.680677948E0
1.189396667E0,-8.899593201E0,-7.814694260E1,3.809143845E1
1.209246667E0,-1.215816696E1,-4.971057632E1,2.451092926E1
1.229097667E0,8.232879639E0,-3.929104385E1,-3.182382202E-1
1.248948667E0,7.272626495E0,-2.863620071E1,-2.493514709E0
1.268799667E0,6.476731567E0,-2.081646194E1,1.984123993E0
1.288649667E0,1.189187073E1,-1.159279266E1,7.105873260E0
