"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.820533333E-2,-5.370442197E-2,-1.008339152E-1,-3.456073999E-1
3.805533333E-2,-6.596683711E-2,-3.143840134E-1,-2.507568896E-1
5.790633333E-2,-3.681016713E-2,-3.944359720E-1,-1.231340095E-1
7.775733333E-2,5.631603301E-3,-3.909022212E-1,3.766754642E-2
9.760733333E-2,1.669124234E-3,-2.532223761E-1,1.421802640E-1
1.174583333E-1,2.589118481E-2,-6.883432716E-2,2.295430750E-1
1.373093333E-1,1.621679403E-2,-2.155050822E-2,2.473669797E-1
1.571593333E-1,-2.908463962E-2,-1.580425650E-1,1.656345725E-1
1.770103333E-1,-8.292538673E-2,-3.623955250E-1,-4.621314630E-2
1.968613333E-1,-1.672968417E-1,-6.144106984E-1,-2.865012586E-1
2.167123333E-1,-1.615371108E-1,-6.115406156E-1,-4.791011810E-1
2.365623333E-1,-1.558939070E-1,-2.252069116E-1,-5.370839834E-1
2.564133333E-1,-1.038478315E-1,4.914836884E-1,-3.449936509E-1
2.762643333E-1,-2.896213531E-2,1.414582014E0,6.827347726E-2
2.961143333E-1,-1.845216379E-2,2.626928806E0,5.137469172E-1
3.159653333E-1,-3.148978204E-2,3.195059776E0,8.233293295E-1
3.358163333E-1,2.021397091E-2,3.004871607E0,8.122343421E-1
3.556663333E-1,9.726644307E-2,2.384065390E0,5.240268707E-1
3.755173333E-1,1.597923338E-1,1.183631897E0,1.454097331E-1
3.953683333E-1,8.672409505E-2,4.253205061E-1,-2.569717765E-1
4.152183333E-1,6.830517203E-3,9.477340579E-1,-4.272476435E-1
4.350693333E-1,1.554777008E-2,1.895802259E0,-1.934287846E-1
4.549203333E-1,1.489102393E-1,2.294630051E0,-3.522380814E-2
4.747713333E-1,3.541187048E-1,1.356657147E0,1.691564359E-2
4.946213333E-1,6.288586259E-1,-1.945457309E-1,-1.783413291E-1
5.144723333E-1,7.923789620E-1,-1.416965604E0,-5.100328922E-1
5.343233333E-1,8.056108952E-1,-1.749015093E0,-6.872985959E-1
5.541733333E-1,6.329567432E-1,-1.400624514E0,-4.745776355E-1
5.740243333E-1,4.003772140E-1,-6.583383679E-1,-1.244258285E-1
5.938753333E-1,3.658389449E-1,3.838998266E-3,-1.131985150E-2
6.137253333E-1,4.390643835E-1,8.162411302E-2,-4.550108314E-2
6.335763333E-1,6.805564165E-1,-3.230529428E-1,-1.977053285E-1
6.534276667E-1,6.536430717E-1,-8.782404661E-1,-2.668696046E-1
6.732786667E-1,4.479084313E-1,-9.388353825E-1,-4.874601364E-1
6.931286667E-1,1.241299510E-1,-1.018482745E-1,-6.457992196E-1
7.129796667E-1,-1.692994237E-1,1.131307840E0,-4.884342551E-1
7.328306667E-1,-3.035940826E-1,2.100065231E0,-3.004850745E-1
7.526806667E-1,-3.369414210E-1,2.102717400E0,-2.207652479E-1
7.725316667E-1,-2.439689487E-1,1.246582031E0,-2.473245859E-1
7.923826667E-1,-1.815027148E-1,2.380304486E-1,-2.766636312E-1
8.122326667E-1,-9.494917840E-2,-2.426889390E-1,-2.362713218E-1
8.320836667E-1,-6.226656213E-2,-7.014254481E-2,-1.241399795E-1
8.519346667E-1,-1.473046839E-1,4.930306971E-1,-1.079344675E-1
8.717856667E-1,-1.875513494E-1,1.012739778E0,-2.889828682E-1
8.916356667E-1,-1.058959961E-1,1.150458217E0,-3.617456853E-1
9.114866667E-1,-4.811688513E-2,9.572056532E-1,-2.065324187E-1
9.313376667E-1,-1.167727262E-1,7.291034460E-1,-1.496080905E-1
9.511876667E-1,-2.058970332E-1,5.684437156E-1,-2.148276716E-1
9.710386667E-1,-1.290144771E-1,3.422543406E-1,-1.370865703E-1
9.908896667E-1,1.061886474E-1,-2.503839731E-1,-1.973262727E-1
1.010739667E0,-7.934395075E-1,-2.345263004E0,3.874910176E-1
1.030590667E0,-2.880723953E0,-5.409034252E0,1.805774212E0
1.050441667E0,-4.218567371E0,-7.809655666E0,3.197806358E0
1.070292667E0,-3.479352951E0,-9.046578407E0,3.255881071E0
1.090142667E0,-2.685600996E0,-1.010085392E1,9.464282990E-1
1.109993667E0,-3.546490908E0,-1.034348106E1,-4.039482594E0
1.129844667E0,-5.228685856E0,-9.705026627E0,-8.450781822E0
1.149694667E0,-7.406250477E0,-1.102610111E1,-1.109346962E1
1.169545667E0,-8.910210609E0,-1.257159138E1,-7.684768200E0
1.189396667E0,-4.952963889E-1,-4.302802086E0,-2.308156490E0
1.209246667E0,4.747507572E0,5.565105915E0,4.347187042E0
1.229097667E0,4.336260796E0,9.662820816E0,6.120051861E0
1.248948667E0,2.962398767E0,5.084027290E0,4.686716557E0
1.268799667E0,2.388480425E0,7.336977720E-1,3.312789917E0
1.288649667E0,1.890514851E0,1.183358669E0,1.951171279E0
1.308500667E0,1.302239180E0,4.891861916E0,7.813687921E-1
1.328351667E0,1.674173117E0,9.172403336E0,5.560541749E-1
1.348201667E0,2.924349785E0,1.156355000E1,1.286463022E0
1.368052667E0,3.988600969E0,1.117842579E1,2.218139648E0
1.387903667E0,4.693798065E0,8.199967384E0,2.922486067E0
1.407754667E0,4.329298019E0,3.414878607E0,3.399949551E0
1.427604667E0,2.932197094E0,2.195549756E-1,3.117819786E0
1.447455667E0,1.052219868E0,-2.133664489E-2,1.248598337E0
1.467306667E0,-6.870464087E-1,9.213883281E-1,-1.817422152E0
1.487156667E0,-9.464732409E-1,1.227771163E0,-3.590544224E0
1.507007667E0,-5.494894385E-1,1.905593157E0,-3.964156866E0
1.526858667E0,-4.190784097E-1,2.044079542E0,-2.251763105E0
1.546708667E0,-2.848793566E-1,7.261193395E-1,-1.993626207E-1
1.566559667E0,1.197465360E-1,-2.930151224E-1,8.164613247E-1
1.586410667E0,6.688188910E-1,-5.756358430E-2,1.031607509E0
1.606261667E0,9.331005812E-1,1.265285492E0,6.393108964E-1
1.626111667E0,8.719579577E-1,2.470640182E0,1.621771157E-1
1.645962542E0,5.422831178E-1,2.679125309E0,-2.487029880E-1
1.665813542E0,7.003835440E-1,2.344575167E0,-5.735909343E-1
1.685663542E0,6.952455044E-1,2.425321341E0,-1.000234246E0
1.705514542E0,3.560519218E-1,2.360283613E0,-7.329726815E-1
1.725365542E0,1.347981989E-1,1.950271487E0,-8.233948797E-2
1.745215542E0,-5.860618353E-1,1.299809456E0,3.379325867E-1
1.765066542E0,-1.183730721E0,-5.234785378E-2,5.987194777E-1
1.784917542E0,-2.270999432E0,-3.223723888E0,6.960678697E-1
1.804767542E0,-3.553977966E0,-7.556583405E0,9.864546061E-1
1.824618542E0,-4.012116432E0,-1.108818150E1,1.393128395E0
1.844469542E0,-3.096882820E0,-1.253540707E1,1.334999323E0
1.864320542E0,-3.449384451E0,-1.148353291E1,-6.735575199E-1
1.884170542E0,-5.347279549E0,-9.530622482E0,-5.188107967E0
1.904021542E0,-7.471464157E0,-9.587965965E0,-9.809885979E0
1.923872542E0,-8.533010483E0,-1.453723431E1,-1.227644825E1
1.943722542E0,-1.071811771E1,-1.708747101E1,-7.194398880E0
1.963573542E0,3.365177870E0,2.357818335E-1,-1.375532269E0
1.983424542E0,6.318768978E0,1.337515831E1,7.510331631E0
2.003274542E0,3.529141426E0,1.246255684E1,7.822713852E0
2.023125542E0,3.119754791E0,2.847093821E0,5.687590122E0
2.042976542E0,2.740863800E0,-1.476565361E0,3.007130861E0
2.062827542E0,1.962570786E0,1.438247800E0,1.426352739E0
2.082677542E0,1.807340741E0,8.437588692E0,1.360221624E0
2.102528542E0,2.251538992E0,1.531373692E1,2.583310843E0
2.122379542E0,2.553496838E0,1.893524742E1,3.799613714E0
2.142229542E0,2.591979265E0,1.643295670E1,5.556863785E0
2.162080542E0,3.471281767E0,8.724607468E0,6.157137871E0
2.181931542E0,3.823104620E0,-6.082912087E-1,4.390184402E0
2.201781542E0,3.413432837E0,-7.544926167E0,1.868029356E0
2.221632542E0,1.956473351E0,-8.186277390E0,-1.116939545E0
2.241483542E0,-8.522735536E-2,-3.424971342E0,-2.949384451E0
2.261334542E0,-4.411228597E-1,2.483849287E0,-2.189607143E0
2.281184542E0,-1.032169819E0,6.199317455E0,-1.168817639E0
2.301035542E0,-1.211929083E0,4.059042454E0,1.875028908E-1
2.320886542E0,-9.215813875E-1,1.931204200E-1,4.823184311E-1
2.340736542E0,-5.403813720E-1,-2.112440348E0,5.502894521E-1
2.360587542E0,-1.404885203E-1,-2.026239157E0,2.220913619E-1
2.380438542E0,1.768359542E-1,-8.295466900E-1,-6.353581697E-2
2.400289542E0,7.112314701E-1,3.377009034E-1,-1.613818109E-1
2.420139542E0,9.712601900E-1,1.617006779E0,-5.385146737E-1
2.439990542E0,7.803167701E-1,2.992606163E0,-7.746118307E-1
2.459841542E0,5.675595403E-1,3.475943089E0,-1.682244390E-1
2.479691542E0,3.928364813E-1,2.825549603E0,6.647798419E-1
2.499542542E0,-3.968051672E-1,2.387761325E-1,1.554627657E0
2.519393542E0,-1.879759789E0,-4.018536568E0,1.705971718E0
2.539243542E0,-3.407340765E0,-8.771200180E0,1.246887445E0
2.559094542E0,-3.980182171E0,-1.155131531E1,8.545953035E-1
2.578945542E0,-4.060575485E0,-1.146199226E1,7.011682391E-1
2.598795542E0,-4.999575615E0,-9.955410004E0,-1.257601857E0
2.618646542E0,-7.009353638E0,-8.838651657E0,-6.065062523E0
2.638497542E0,-7.761251450E0,-9.918937683E0,-1.043979263E1
2.658348042E0,-8.716821671E0,-1.731618309E1,-1.082149887E1
2.678198042E0,-8.713601112E0,-1.824025917E1,-5.297435760E0
2.698049042E0,3.373415470E0,-8.962059617E-1,-3.367179036E-1
2.717900042E0,5.786951542E0,1.390356922E1,6.496613979E0
2.737750042E0,2.913490057E0,1.470149326E1,7.138510704E0
2.757601042E0,1.863364935E0,7.334553719E0,5.637301445E0
2.777452042E0,1.702708602E0,2.131150961E0,2.873076200E0
2.797302042E0,1.276116729E0,5.502842665E-1,5.644884109E-1
2.817153042E0,1.139034867E0,2.908966064E0,-3.119546175E-1
2.837004042E0,1.797064424E0,9.292547226E0,2.586573958E-1
2.856855042E0,2.706910133E0,1.635353088E1,1.500495791E0
2.876705042E0,3.254854679E0,1.966433334E1,4.136262894E0
2.896556042E0,2.569350719E0,1.653790092E1,6.849693298E0
2.916407042E0,1.900380254E0,7.582332611E0,6.276649952E0
2.936257042E0,1.681428790E0,-4.623467922E0,3.589757442E0
2.956108042E0,1.768428802E0,-1.038981342E1,4.166279137E-1
2.975959042E0,1.184232116E0,-7.564914227E0,-2.002971411E0
2.995809042E0,3.339736462E-1,-7.076195478E-1,-2.166126013E0
3.015660042E0,-3.012963384E-2,4.832333565E0,-1.615727186E0
3.035511042E0,1.698351204E-1,4.820446014E0,-5.454298854E-1
3.055362042E0,5.100321770E-1,1.383192658E0,-2.437870353E-1
3.075212042E0,7.844649553E-1,-1.389693975E0,-4.518261924E-2
3.095063042E0,7.688074708E-1,-1.953946948E0,-9.237084538E-2
3.114914042E0,6.893234849E-1,-7.053849697E-1,1.440023072E-2
3.134764042E0,2.610374391E-1,1.427227259E0,2.826127708E-1
3.154615042E0,3.011849336E-2,2.871906281E0,5.327907205E-1
3.174466042E0,-5.363464355E-1,2.683664083E0,6.337700486E-1
3.194316042E0,-1.292108178E0,4.845722616E-1,9.461444020E-1
3.214167042E0,-2.112900019E0,-3.557648897E0,8.675917983E-1
3.234018042E0,-2.802445412E0,-8.440600395E0,9.690074921E-1
3.253869042E0,-3.272531748E0,-1.211677265E1,1.554529071E0
3.273719042E0,-3.347393274E0,-1.218849850E1,1.477434754E0
3.293570042E0,-4.145858288E0,-9.583456993E0,3.015462458E-1
3.313421042E0,-6.467776299E0,-8.021610260E0,-3.289314032E0
3.333271042E0,-8.353179932E0,-8.880715370E0,-8.490791321E0
