"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.094250001E-3,7.998467102E0,5.463039551E0,5.688171387E-2
1.775475000E-2,7.954757996E0,5.590873718E0,6.721023560E-2
3.760375000E-2,7.962242432E0,5.583688660E0,2.305206299E-2
5.745175000E-2,7.944279785E0,5.593717804E0,1.556762695E-2
7.730075000E-2,7.994126129E0,5.533093872E0,4.790039062E-3
9.714975000E-2,8.024962006E0,5.535339203E0,1.062789917E-2
1.169987500E-1,7.968529358E0,5.617667999E0,5.927673340E-2
1.368477500E-1,7.972421265E0,5.626948700E0,1.020877075E-1
1.566957500E-1,8.064629517E0,5.575455780E0,1.365161133E-1
1.765447500E-1,8.088729401E0,5.544170837E0,1.853146362E-1
1.963937500E-1,8.083490295E0,5.524860992E0,1.730401611E-1
2.162427500E-1,8.070317688E0,5.507646790E0,1.803749084E-1
2.360917500E-1,8.025710449E0,5.470973053E0,2.165995789E-1
2.559397500E-1,7.960296478E0,5.526507568E0,2.383044434E-1
2.757887500E-1,7.954308929E0,5.572162628E0,3.740721130E-1
2.956377500E-1,7.978408813E0,5.500162354E0,5.592370605E-1
3.154867500E-1,7.981851654E0,5.468877411E0,6.914122009E-1
3.353347500E-1,7.855664063E0,5.437143402E0,7.026388550E-1
3.551837500E-1,7.769143982E0,5.401667175E0,6.608757019E-1
3.750327500E-1,7.743846588E0,5.311255188E0,6.930587769E-1
3.948817500E-1,7.698191528E0,5.216651917E0,7.337741089E-1
4.147307500E-1,7.660170593E0,4.976700897E0,7.243437195E-1
4.345787500E-1,7.749534760E0,4.603975983E0,6.682104492E-1
4.544277500E-1,8.019872589E0,4.028722229E0,4.950205994E-1
4.742767500E-1,8.199948120E0,3.767665100E0,4.318519592E-1
4.941257500E-1,8.536598053E0,3.375031586E0,5.680686951E-1
5.139747500E-1,9.463171234E0,2.802023163E0,9.262738037E-1
5.338227500E-1,1.045695465E1,2.987188110E0,1.560953979E0
5.536717500E-1,1.063164139E1,2.848726044E0,2.354902954E0
5.735207500E-1,8.551866302E0,3.791166229E0,2.844385071E0
5.933697500E-1,5.822292480E0,5.193749542E0,3.156785431E0
6.132177500E-1,3.109932861E0,8.029003601E0,4.219725037E0
6.330667500E-1,-1.374292145E0,1.290316772E1,6.283782806E0
6.529157500E-1,-7.049440613E0,1.825019852E1,8.198151855E0
6.727647500E-1,-6.377487946E0,2.090462860E1,1.008273285E1
6.926127500E-1,-4.300556946E0,2.579196533E1,1.226908630E1
7.124617500E-1,6.698570251E-1,3.347174515E1,1.541584259E1
