"Time (s)","X (hPa)"
-5.811712500E-1,1.012981262E3
4.248897500E-1,1.012968826E3
1.430995750E0,1.012956390E3
2.437106750E0,1.012956390E3
3.443240750E0,1.012964706E3
3.794038750E0,1.012964706E3
4.867314750E0,1.012955246E3
5.940597750E0,1.012955246E3
7.013857750E0,1.012958603E3
8.087112750E0,1.012960052E3
9.160377750E0,1.012960052E3
1.023359775E1,1.012981110E3
1.130682275E1,1.012995911E3
1.238006475E1,1.012995911E3
1.345331475E1,1.012990265E3
1.452652775E1,1.012988968E3
1.559974175E1,1.012982407E3
1.667299475E1,1.012977829E3
1.774622275E1,1.012982407E3
1.881945575E1,1.012984924E3
1.989272775E1,1.012984924E3
2.096599775E1,1.012976151E3
2.203923875E1,1.012976151E3
2.311248675E1,1.012981415E3
2.418577175E1,1.012982483E3
2.525906375E1,1.012984543E3
2.633230475E1,1.012982483E3
2.740560275E1,1.012979050E3
2.847894675E1,1.012977142E3
2.955227475E1,1.012977142E3
3.062560075E1,1.012978439E3
3.169889275E1,1.012980499E3
3.277221375E1,1.012980499E3
3.384555475E1,1.012980499E3
3.491895375E1,1.012977524E3
3.599230075E1,1.012976685E3
3.706567575E1,1.012975845E3
3.813902575E1,1.012975845E3
3.921237075E1,1.012973099E3
4.028576075E1,1.012971725E3
4.135912775E1,1.012970657E3
4.243252475E1,1.012969971E3
4.350593175E1,1.012968674E3
4.457936575E1,1.012969971E3
4.565277175E1,1.012970200E3
4.672619675E1,1.012970200E3
4.779960375E1,1.012968903E3
4.887296075E1,1.012968292E3
4.994636975E1,1.012968292E3
5.101970775E1,1.012969818E3
5.209305575E1,1.012970581E3
5.316637675E1,1.012970581E3
5.423968175E1,1.012982178E3
5.531302775E1,1.012982178E3
5.638637275E1,1.012983856E3
5.745974475E1,1.012995453E3
5.853313175E1,1.012995453E3
5.960652875E1,1.012988129E3
6.067994075E1,1.012986832E3
6.175333075E1,1.012985840E3
6.282668075E1,1.012968674E3
6.390006975E1,1.012968674E3
6.497342075E1,1.012969589E3
6.604675375E1,1.012970886E3
6.712010075E1,1.012970886E3
6.819345475E1,1.012967682E3
6.926688375E1,1.012965775E3
7.034023475E1,1.012964249E3
7.141358275E1,1.012964096E3
7.248690275E1,1.012964096E3
7.356020475E1,1.012968750E3
7.463350675E1,1.012969742E3
7.570682475E1,1.012972794E3
7.678013475E1,1.012974396E3
7.785351375E1,1.012974396E3
7.892690275E1,1.012974396E3
8.000026875E1,1.012970276E3
8.107367275E1,1.012970276E3
8.214703375E1,1.012968140E3
8.322041975E1,1.012968140E3
8.429379175E1,1.012970200E3
8.536718175E1,1.012970200E3
8.644054775E1,1.012969971E3
8.751391275E1,1.012969208E3
8.858728775E1,1.012967453E3
8.966068275E1,1.012964935E3
9.073404475E1,1.012964554E3
9.180744775E1,1.012964554E3
9.288084075E1,1.012967300E3
9.395419375E1,1.012974396E3
9.502756475E1,1.012978439E3
9.610089775E1,1.012979050E3
9.717423675E1,1.012979050E3
9.824765975E1,1.012977829E3
9.932108775E1,1.012971954E3
1.003944487E2,1.012970200E3
1.014677927E2,1.012968521E3
1.025411317E2,1.012966995E3
1.036144867E2,1.012966995E3
1.046878597E2,1.012967834E3
1.057612777E2,1.012969971E3
1.068346917E2,1.012970810E3
1.079080887E2,1.012974167E3
1.089814887E2,1.012974167E3
1.100549407E2,1.012971725E3
1.111283907E2,1.012971725E3
1.122018197E2,1.012969131E3
1.132752437E2,1.012968903E3
1.143486307E2,1.012965393E3
1.154220307E2,1.012965393E3
1.164954217E2,1.012964935E3
1.175688397E2,1.012967072E3
1.186422297E2,1.012967072E3
1.197156947E2,1.012972336E3
1.207891437E2,1.012974243E3
1.218625687E2,1.012974777E3
1.229360357E2,1.012974777E3
1.240094757E2,1.012970581E3
1.250828567E2,1.012969208E3
1.261562807E2,1.012965164E3
1.272296737E2,1.012962189E3
1.283031057E2,1.012958832E3
1.293764877E2,1.012958832E3
1.304499477E2,1.012960739E3
1.315234077E2,1.012962875E3
1.325968817E2,1.012965546E3
1.336704307E2,1.012968979E3
1.347439207E2,1.012968979E3
1.358174267E2,1.012964096E3
1.368909597E2,1.012959747E3
1.379644697E2,1.012956772E3
1.390379687E2,1.012954178E3
1.401114887E2,1.012954178E3
1.411849897E2,1.012958221E3
1.422584997E2,1.012960968E3
1.433319917E2,1.012963943E3
1.444054677E2,1.012966156E3
1.454789887E2,1.012966232E3
1.465524617E2,1.012966232E3
1.476259167E2,1.012966156E3
