"Time (s)","X (hPa)"
-5.566988333E-1,1.010515900E3
4.495761667E-1,1.010523529E3
1.455863167E0,1.010531235E3
2.462109167E0,1.010531235E3
3.468365167E0,1.010533981E3
3.818841167E0,1.010547104E3
4.892209167E0,1.010550995E3
5.965574167E0,1.010553284E3
7.039004167E0,1.010561066E3
8.112423167E0,1.010564880E3
9.185812167E0,1.010564880E3
1.025923617E1,1.010550461E3
1.133265517E1,1.010546494E3
1.240603917E1,1.010529709E3
1.347939917E1,1.010512619E3
1.455277917E1,1.010507965E3
1.562615717E1,1.010507126E3
1.669953017E1,1.010507126E3
1.777290217E1,1.010516052E3
1.884627617E1,1.010529251E3
1.991965617E1,1.010530319E3
2.099302217E1,1.010535812E3
2.206638217E1,1.010540466E3
2.313974217E1,1.010540466E3
2.421310517E1,1.010540161E3
2.528647117E1,1.010535583E3
2.635983017E1,1.010535583E3
2.743316617E1,1.010534897E3
2.850654217E1,1.010534515E3
2.957992017E1,1.010531006E3
3.065327517E1,1.010528641E3
3.172663517E1,1.010526581E3
3.279996717E1,1.010515594E3
3.387333917E1,1.010515366E3
3.494671717E1,1.010515594E3
3.602009417E1,1.010527420E3
3.709346117E1,1.010529251E3
3.816680517E1,1.010530472E3
3.924012017E1,1.010530472E3
4.031351217E1,1.010531158E3
4.138691417E1,1.010527954E3
4.246026717E1,1.010531158E3
4.353368717E1,1.010531158E3
4.460708617E1,1.010537262E3
4.568044417E1,1.010542068E3
4.675383617E1,1.010546722E3
4.782718717E1,1.010549927E3
4.890055117E1,1.010560150E3
4.997392317E1,1.010560150E3
5.104729617E1,1.010559158E3
5.212067317E1,1.010559006E3
5.319406217E1,1.010548782E3
5.426745217E1,1.010540848E3
5.534086517E1,1.010529327E3
5.641426617E1,1.010516357E3
5.748763317E1,1.010503159E3
5.856108217E1,1.010498581E3
5.963447417E1,1.010502090E3
6.070787717E1,1.010502090E3
6.178122017E1,1.010504150E3
6.285457517E1,1.010506134E3
6.392795317E1,1.010506134E3
6.500134917E1,1.010504608E3
6.607473217E1,1.010503006E3
6.714808717E1,1.010501099E3
6.822149417E1,1.010501099E3
6.929489217E1,1.010507126E3
7.036831217E1,1.010510788E3
7.144171617E1,1.010510788E3
7.251512617E1,1.010510788E3
7.358854317E1,1.010509644E3
7.466198917E1,1.010509644E3
7.573544917E1,1.010509644E3
7.680885617E1,1.010518265E3
7.788226017E1,1.010518265E3
7.895569217E1,1.010513229E3
8.002911817E1,1.010513229E3
8.110252517E1,1.010518799E3
8.217599717E1,1.010519104E3
8.324948017E1,1.010521698E3
8.432294917E1,1.010520401E3
8.539638217E1,1.010520401E3
8.646983317E1,1.010520401E3
8.754322717E1,1.010522690E3
8.861666317E1,1.010525513E3
8.969011917E1,1.010527725E3
9.076355317E1,1.010527725E3
9.183698817E1,1.010529099E3
9.291043417E1,1.010529251E3
9.398390217E1,1.010529251E3
9.505733617E1,1.010517960E3
9.613078017E1,1.010516434E3
9.720416417E1,1.010510330E3
9.827764217E1,1.010503998E3
9.935110617E1,1.010503998E3
1.004245562E2,1.010509491E3
1.014980172E2,1.010520630E3
1.025714712E2,1.010530167E3
1.036449412E2,1.010538483E3
1.047183952E2,1.010546265E3
1.057918612E2,1.010546265E3
1.068653192E2,1.010545197E3
1.079387732E2,1.010543137E3
1.090121592E2,1.010539093E3
1.100855512E2,1.010538559E3
1.111589182E2,1.010530472E3
1.122323452E2,1.010527802E3
1.133057512E2,1.010521851E3
1.143792092E2,1.010520477E3
1.154526832E2,1.010520477E3
1.165261362E2,1.010521317E3
1.175995992E2,1.010522537E3
1.186730792E2,1.010522537E3
1.197465632E2,1.010522537E3
1.208200892E2,1.010517197E3
1.218936082E2,1.010518494E3
1.229671282E2,1.010518494E3
1.240406262E2,1.010522079E3
1.251141372E2,1.010525284E3
1.261875932E2,1.010528870E3
1.272610782E2,1.010537872E3
1.283345442E2,1.010546722E3
1.294080372E2,1.010557938E3
1.304814942E2,1.010561295E3
1.315549872E2,1.010563812E3
1.326284522E2,1.010563812E3
1.337020052E2,1.010562286E3
1.347755682E2,1.010558319E3
1.358491142E2,1.010543976E3
1.369226162E2,1.010533676E3
1.379961432E2,1.010526733E3
1.390696772E2,1.010526047E3
1.401432002E2,1.010525513E3
1.412167212E2,1.010525055E3
1.422902082E2,1.010525055E3
1.433637282E2,1.010513458E3
1.444372092E2,1.010513458E3
1.455106902E2,1.010514297E3
1.465841752E2,1.010516205E3
1.476576782E2,1.010516891E3
