"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.946041667E-3,5.402739644E-1,-6.175835729E-1,1.189028978E0
2.679504167E-2,9.357901216E-1,-4.440019131E-1,1.935325861E0
4.664404167E-2,1.140173793E0,-6.154846549E-1,2.722789288E0
6.649304167E-2,1.079288244E0,-9.602818489E-1,3.234720469E0
8.634304167E-2,9.965378046E-1,-1.338043809E0,2.824802160E0
1.061920417E-1,8.179284334E-1,-1.605473280E0,1.922622085E0
1.260410417E-1,4.678303599E-1,-1.059790015E0,1.025063515E0
1.458910417E-1,1.325346082E-1,1.253031343E-1,2.103625685E-1
1.657400417E-1,-1.207114458E-1,9.715038538E-1,-2.962593436E-1
1.855890417E-1,-3.621718884E-1,1.021058798E0,-5.071222782E-1
2.054380417E-1,-5.484572053E-1,5.156332850E-1,-4.944676459E-1
2.252870417E-1,-6.528506875E-1,-1.545090675E-1,-3.625745177E-1
2.451370417E-1,-7.599913478E-1,-6.013719440E-1,-1.437618285E-1
2.649860417E-1,-6.795508265E-1,-3.818441629E-1,1.652492210E-2
2.848350417E-1,-3.524144292E-1,2.470076382E-1,-3.481860086E-2
3.046840417E-1,-1.069789827E-1,8.244893551E-1,8.693361282E-2
3.245340417E-1,4.742816836E-2,1.142387033E0,5.164648890E-1
3.443830417E-1,2.280064076E-1,1.314257979E0,9.671148658E-1
3.642320417E-1,3.219022453E-1,8.918980360E-1,1.447989464E0
3.840810417E-1,2.992420197E-1,-9.539684653E-2,1.575797796E0
4.039310417E-1,2.727558613E-1,-1.086411953E0,1.485874295E0
4.237800417E-1,3.980346620E-1,-1.739866138E0,1.730795860E0
4.436290417E-1,6.344364882E-1,-1.727117538E0,2.208388805E0
4.634780417E-1,9.513710141E-1,-1.264697909E0,2.526977777E0
4.833280417E-1,1.406352401E0,-8.501058817E-1,2.481658220E0
5.031770417E-1,1.695488930E0,-1.050355315E0,2.598845959E0
5.230260417E-1,1.737017512E0,-1.737251043E0,2.931262732E0
5.428750417E-1,1.913686275E0,-2.739496231E0,3.384107590E0
5.627250417E-1,2.384315014E0,-3.604635477E0,3.403394699E0
5.825740417E-1,2.612589598E0,-4.606874943E0,3.343645334E0
6.024230417E-1,2.734441280E0,-5.825936317E0,3.401757717E0
6.222720417E-1,3.315552950E0,-6.662034035E0,3.158740520E0
6.421220417E-1,4.058585644E0,-6.704630852E0,2.332342625E0
6.619710417E-1,3.953619957E0,-6.632467270E0,1.420405865E0
6.818200417E-1,2.463996410E0,-6.315530300E0,5.607594252E-1
7.016690417E-1,-1.019118309E0,-5.177229881E0,9.559306502E-1
7.215180417E-1,-5.226125717E0,-3.910128832E0,3.438365221E0
7.413680417E-1,-9.148657799E0,-1.713977575E0,5.642579079E0
7.612174167E-1,-1.302694988E1,2.479408979E-1,5.828719616E0
7.810664167E-1,-1.594780827E1,-1.992224604E-1,4.086232662E0
8.009154167E-1,-1.656630325E1,-1.085711598E0,3.258578777E0
8.207644167E-1,-1.494186497E1,4.992448092E-1,5.606147051E-1
8.406144167E-1,-1.248426723E1,3.690709174E-1,-8.587426543E-1
8.604634167E-1,-8.593546867E0,-4.258751869E-1,2.714145184E-1
8.803124167E-1,-3.398758173E0,1.415565312E-1,2.489145100E-1
9.001614167E-1,3.730076179E-2,-5.338150263E-1,3.606427908E-1
9.200104167E-1,2.780363083E0,-1.030930281E0,6.560370326E-2
9.398604167E-1,5.001541138E0,1.325632446E-3,-4.279334843E-2
9.597094167E-1,6.755046844E0,1.933366179E0,3.974252343E-1
9.795584167E-1,7.886191368E0,2.702035189E0,7.599735260E-1
9.994074167E-1,7.694517612E0,2.579382420E0,1.128146648E0
1.019256417E0,6.845379353E0,2.982949734E0,7.670485377E-1
1.039106417E0,6.175781250E0,3.455184460E0,3.106194437E-1
1.058955417E0,4.763237000E0,5.037280560E0,-2.163864225E-1
1.078804417E0,2.781417131E0,7.421640873E0,-2.574445009E-1
1.098653417E0,1.104491353E0,1.016670513E1,-3.053992689E-1
1.118503417E0,1.253744721E0,1.193758488E1,-7.711501718E-1
1.138352417E0,2.506810904E0,1.182198429E1,-1.193747759E0
1.158201417E0,3.829371452E0,9.943360329E0,-1.113252163E0
1.178050417E0,4.617637157E0,6.890664101E0,-2.140091509E-1
1.197900417E0,4.122844696E0,2.809634447E0,1.011691809E0
1.217749417E0,2.506764412E0,-7.906006575E-1,2.064325809E0
1.237598417E0,1.721167564E0,-2.510100365E0,2.695804119E0
1.257447417E0,1.937090635E0,-2.331959009E0,2.557320118E0
1.277297417E0,1.985863566E0,-1.174513698E0,2.604344130E0
1.297146417E0,1.685989618E0,5.280711055E-1,2.977199316E0
1.316995417E0,1.543303728E0,2.349500179E0,2.943289995E0
1.336844417E0,1.520853043E0,3.302522659E0,2.613428593E0
1.356694417E0,1.239589095E0,2.255986929E0,2.574831009E0
1.376543417E0,7.640655041E-1,-1.266330201E-2,2.372411251E0
1.396392417E0,5.474928617E-1,-2.088273287E0,2.009351015E0
1.416241417E0,4.555261731E-1,-3.042922020E0,1.971209645E0
1.436091417E0,3.878278434E-1,-2.632444859E0,2.269200087E0
1.455940417E0,5.206753016E-1,-1.556433201E0,2.659409761E0
1.475789417E0,7.351520658E-1,-7.699705958E-1,3.087422609E0
1.495638417E0,6.333905458E-1,-1.013791203E0,3.430827141E0
1.515488417E0,-3.417010978E-2,-2.648306847E0,3.222140312E0
1.535337417E0,-7.621750236E-1,-4.747135162E0,2.370300770E0
1.555186417E0,-1.870256901E0,-7.102993488E0,1.236896157E0
1.575035417E0,-4.946937561E0,-8.399676323E0,-6.404402666E-4
1.594885417E0,-9.116141319E0,-7.879506111E0,5.509087443E-2
1.614734417E0,-1.268797302E1,-6.231644630E0,1.403266311E0
1.634583417E0,-1.555125141E1,-4.085453510E0,1.986237288E0
1.654432417E0,-1.653553009E1,-3.667440653E0,2.047273397E0
1.674281417E0,-1.515093994E1,-2.871750116E0,2.384252787E0
1.694131417E0,-1.187966728E1,-1.426028252E0,-1.057112336E0
1.713980417E0,-9.415040016E0,-2.995451689E0,-1.074357152E0
1.733829417E0,-6.372145176E0,-2.508504629E0,6.841305494E-1
1.753678542E0,-3.266196251E0,1.257531196E-1,1.647175550E0
1.773528542E0,-2.318664640E-1,2.268863916E0,2.304902792E0
1.793377542E0,2.680105209E0,2.547458887E0,1.803276896E0
1.813226542E0,4.525122643E0,1.137543797E0,1.208768964E0
1.833075542E0,5.589152336E0,1.186779067E-1,8.555975556E-1
1.852925542E0,6.257589817E0,4.503136575E-1,5.868555307E-1
1.872774542E0,6.705597878E0,1.368456960E0,5.405411124E-1
1.892623542E0,6.426633358E0,2.018114090E0,6.207156777E-1
1.912472542E0,5.524299145E0,2.388101101E0,6.802832484E-1
1.932321542E0,4.717329502E0,2.874768496E0,5.914593935E-1
1.952171542E0,4.080575943E0,3.268395662E0,5.205845833E-1
1.972020542E0,3.481727600E0,3.650505066E0,6.549038291E-1
1.991869542E0,3.287662983E0,4.759328842E0,7.647199631E-1
2.011718542E0,3.432139635E0,6.230569363E0,8.293859363E-1
