"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.040000004E-4,-7.202871552E0,6.287525024E0,2.111958160E0
1.894500000E-2,-6.744824066E0,6.858437805E0,2.455493774E0
3.879500000E-2,-6.322252808E0,7.561525726E0,2.709665222E0
5.864500000E-2,-5.829477539E0,8.158783722E0,2.814147949E0
7.849400000E-2,-5.724845123E0,8.802894287E0,2.792293396E0
9.834400000E-2,-6.293063507E0,8.919352112E0,2.763403473E0
1.181940000E-1,-6.686295776E0,8.761879578E0,2.751727753E0
1.380440000E-1,-6.926845551E0,8.638835449E0,2.622097321E0
1.578930000E-1,-6.857389984E0,8.588390350E0,2.546504517E0
1.777430000E-1,-6.562652893E0,8.638835449E0,2.516267395E0
1.975930000E-1,-6.546785889E0,8.379873962E0,2.554737396E0
2.174430000E-1,-6.551126862E0,8.144114227E0,2.562670898E0
2.372920000E-1,-6.181994476E0,7.776179352E0,2.445913696E0
2.571420000E-1,-5.575156403E0,7.476053467E0,2.621348877E0
2.769920000E-1,-5.088518372E0,7.253466339E0,2.793790283E0
2.968410000E-1,-4.882247314E0,6.865772552E0,2.726130981E0
3.166910000E-1,-4.450545044E0,6.609804840E0,2.689008179E0
3.365410000E-1,-4.383783875E0,6.599775696E0,2.773282928E0
3.563910000E-1,-5.074597321E0,6.304140472E0,2.625091095E0
3.762400000E-1,-5.950276337E0,6.089337158E0,2.540367279E0
3.960900000E-1,-6.157295837E0,5.915997620E0,2.679278412E0
4.159400000E-1,-6.446644135E0,5.831872559E0,3.130290527E0
4.357900000E-1,-7.573351135E0,5.944588165E0,3.688030701E0
4.556390000E-1,-7.882907410E0,6.042933655E0,3.783232727E0
4.754890000E-1,-7.523654480E0,6.213728485E0,3.860771484E0
4.953390000E-1,-7.728578339E0,6.237678680E0,4.071982269E0
5.151892500E-1,-8.502469025E0,6.263275452E0,4.296964417E0
5.350382500E-1,-8.810079346E0,5.902375946E0,3.976181488E0
5.548882500E-1,-8.349038086E0,5.944288788E0,3.879183197E0
5.747382500E-1,-8.249046021E0,5.687722321E0,3.798201599E0
5.945872500E-1,-8.101452942E0,5.723348236E0,3.775598602E0
6.144372500E-1,-7.925568695E0,5.552403717E0,3.499123535E0
6.342872500E-1,-8.282875671E0,5.343288574E0,3.393443298E0
6.541372500E-1,-8.017627258E0,5.528303833E0,3.290307770E0
6.739862500E-1,-7.461234283E0,5.384003906E0,3.340004425E0
6.938362500E-1,-7.463629303E0,5.233267365E0,3.363355865E0
7.136862500E-1,-7.179969177E0,5.275030518E0,3.387755127E0
7.335362500E-1,-6.645580444E0,5.350174255E0,3.453618164E0
7.533852500E-1,-6.183191986E0,5.178780670E0,3.342698822E0
7.732352500E-1,-5.814808044E0,5.186564484E0,3.374133453E0
7.930852500E-1,-5.188360748E0,5.392835541E0,3.426973572E0
8.129352500E-1,-5.431455231E0,5.450465698E0,3.482059021E0
8.327842500E-1,-6.029311981E0,5.595214691E0,3.198099518E0
8.526342500E-1,-6.342610474E0,5.940995636E0,3.047812042E0
8.724842500E-1,-5.962401123E0,6.728058929E0,2.951711884E0
8.923332500E-1,-5.785469055E0,7.207811279E0,3.196303253E0
9.121832500E-1,-5.435496826E0,7.878566437E0,3.118764496E0
9.320332500E-1,-5.130131836E0,8.681796112E0,3.166365509E0
9.518832500E-1,-5.555996246E0,8.932824097E0,3.058589630E0
