"Time (s)","X (hPa)"
-5.552728750E-1,1.012949295E3
4.510801250E-1,1.012949142E3
1.457469125E0,1.012949066E3
2.463835125E0,1.012949066E3
3.470179125E0,1.012951355E3
3.820539125E0,1.012952042E3
4.893938125E0,1.012952576E3
5.967355125E0,1.012952576E3
7.040756125E0,1.012953415E3
8.114142125E0,1.012954788E3
9.187535125E0,1.012954788E3
1.026097112E1,1.012954178E3
1.133435513E1,1.012952347E3
1.240781812E1,1.012952271E3
1.348121212E1,1.012950058E3
1.455460012E1,1.012948990E3
1.562794712E1,1.012948990E3
1.670132112E1,1.012948990E3
1.777468612E1,1.012948761E3
1.884807712E1,1.012948532E3
1.992147112E1,1.012948303E3
2.099486912E1,1.012947922E3
2.206829012E1,1.012947922E3
2.314168712E1,1.012947540E3
2.421508112E1,1.012946167E3
2.528845112E1,1.012946167E3
2.636181012E1,1.012945633E3
2.743520012E1,1.012944717E3
2.850861912E1,1.012944412E3
2.958204612E1,1.012943954E3
3.065541612E1,1.012943954E3
3.172882412E1,1.012944260E3
3.280222012E1,1.012944489E3
3.387560512E1,1.012945328E3
3.494902012E1,1.012945328E3
3.602254912E1,1.012943726E3
3.709603112E1,1.012943115E3
3.816947012E1,1.012942276E3
3.924289512E1,1.012941971E3
4.031628612E1,1.012941971E3
4.138964912E1,1.012943115E3
4.246305712E1,1.012945404E3
4.353644612E1,1.012945786E3
4.460987912E1,1.012946243E3
4.568332412E1,1.012946396E3
4.675677112E1,1.012946396E3
4.783019812E1,1.012944107E3
4.890364212E1,1.012943268E3
4.997714712E1,1.012943268E3
5.105061812E1,1.012944260E3
5.212402812E1,1.012944794E3
5.319748912E1,1.012944794E3
5.427089712E1,1.012944946E3
5.534432412E1,1.012944946E3
5.641774312E1,1.012945099E3
5.749118013E1,1.012946167E3
5.856454112E1,1.012946777E3
5.963790012E1,1.012949600E3
6.071134012E1,1.012950363E3
6.178475412E1,1.012949600E3
6.285819112E1,1.012947845E3
6.393159212E1,1.012946167E3
6.500504012E1,1.012945557E3
6.607846112E1,1.012944717E3
6.715186812E1,1.012944107E3
6.822521712E1,1.012944107E3
6.929858512E1,1.012944107E3
7.037198412E1,1.012944107E3
7.144533112E1,1.012943649E3
7.251877113E1,1.012943649E3
7.359220312E1,1.012943649E3
7.466561712E1,1.012942810E3
7.573900512E1,1.012942810E3
7.681239812E1,1.012944489E3
7.788583712E1,1.012945633E3
7.895928512E1,1.012945633E3
8.003272712E1,1.012945633E3
8.110621812E1,1.012945328E3
8.217970012E1,1.012945175E3
8.325319012E1,1.012943878E3
8.432667112E1,1.012943878E3
8.540014412E1,1.012946854E3
8.647353212E1,1.012946854E3
8.754697412E1,1.012946243E3
8.862035112E1,1.012945786E3
8.969374112E1,1.012943649E3
9.076718212E1,1.012942886E3
9.184064512E1,1.012942886E3
9.291410112E1,1.012942886E3
9.398752812E1,1.012943420E3
9.506090912E1,1.012942886E3
9.613428112E1,1.012942200E3
9.720768112E1,1.012941818E3
9.828104812E1,1.012941818E3
9.935437612E1,1.012941818E3
1.004277301E2,1.012941818E3
1.015010691E2,1.012941589E3
1.025744721E2,1.012940369E3
1.036478151E2,1.012939682E3
1.047211951E2,1.012938385E3
1.057945911E2,1.012938385E3
1.068679291E2,1.012938461E3
1.079412791E2,1.012938461E3
1.090146721E2,1.012938614E3
1.100880551E2,1.012938614E3
1.111614471E2,1.012939224E3
1.122348511E2,1.012940903E3
1.133082601E2,1.012941742E3
1.143816721E2,1.012941818E3
1.154550921E2,1.012942429E3
1.165284711E2,1.012941818E3
