"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-9.040000004E-4,3.054151833E-1,-2.735333741E-1,-1.075980589E-1
1.894500000E-2,2.426562756E-1,-3.461994827E-1,-1.125073731E-1
3.879500000E-2,1.733264476E-1,-2.069853246E-1,-1.124616638E-1
5.864500000E-2,8.387027681E-2,4.508113861E-2,-9.151963145E-2
7.849400000E-2,1.987555437E-2,1.451253593E-1,-1.099109575E-1
9.834400000E-2,7.420582231E-3,5.842156708E-3,-1.194595546E-1
1.181940000E-1,1.786048524E-2,-1.671291739E-1,-1.219297722E-1
1.380440000E-1,2.783639543E-2,-2.645577192E-1,-6.863301992E-2
1.578930000E-1,2.334827557E-2,-2.447662055E-1,3.405846190E-3
1.777430000E-1,-2.459725179E-2,-1.346279830E-1,6.751096994E-2
1.975930000E-1,-8.246999979E-2,-1.851144433E-2,1.133487970E-1
2.174430000E-1,-1.305630356E-1,-5.293123797E-2,1.519243121E-1
2.372920000E-1,-1.396810561E-1,-1.864481717E-1,1.781142801E-1
2.571420000E-1,-1.309115887E-1,-2.571211755E-1,1.784052253E-1
2.769920000E-1,-1.207992807E-1,-2.602052987E-1,1.301855743E-1
2.968410000E-1,-9.919190407E-2,-2.252039313E-1,1.278215498E-1
3.166910000E-1,-7.399380952E-2,-7.556136698E-2,1.210429668E-1
3.365410000E-1,-6.301369518E-2,2.110287175E-2,7.245935500E-2
3.563910000E-1,-1.548170298E-2,-1.217172667E-1,2.082289383E-2
3.762400000E-1,4.163116217E-2,-3.404577076E-1,1.695451327E-2
3.960900000E-1,8.825458586E-2,-4.526867568E-1,6.570581347E-2
4.159400000E-1,1.262836158E-1,-4.307418466E-1,1.487012208E-1
4.357900000E-1,1.324951798E-1,-3.083996773E-1,2.271267921E-1
4.556390000E-1,1.610150188E-1,-2.163581848E-1,3.580383658E-1
4.754890000E-1,1.940720379E-1,-1.135031730E-1,4.292947054E-1
4.953390000E-1,2.473862767E-1,-9.865131229E-2,4.518046975E-1
5.151892500E-1,2.860555053E-1,-2.306008786E-1,4.078233540E-1
5.350382500E-1,3.571845591E-1,-4.946601987E-1,3.925064504E-1
5.548882500E-1,3.918215632E-1,-7.280005217E-1,3.360119760E-1
5.747382500E-1,3.811412156E-1,-7.891925573E-1,2.352619916E-1
5.945872500E-1,3.036768436E-1,-6.303403974E-1,1.823403537E-1
6.144372500E-1,2.304186970E-1,-3.344428837E-1,1.543234885E-1
6.342872500E-1,1.431277394E-1,-8.935776353E-2,1.721062213E-1
6.541372500E-1,8.061936498E-2,-3.853070736E-2,1.580309421E-1
6.739862500E-1,7.273835689E-2,-9.872810543E-2,1.002768725E-1
6.938362500E-1,5.957195163E-2,-1.919863373E-1,6.080859154E-2
7.136862500E-1,5.616378784E-2,-1.877804250E-1,2.365642413E-2
7.335362500E-1,6.428242475E-2,-1.796409339E-1,-3.664283082E-2
7.533852500E-1,9.827696532E-2,-1.583234370E-1,-7.984270155E-2
7.732352500E-1,1.100515574E-1,-8.989802748E-2,-1.103730723E-1
7.930852500E-1,1.027338654E-1,2.752658352E-2,-1.943462789E-1
8.129352500E-1,1.184989139E-1,1.173446923E-1,-2.631558478E-1
8.327842500E-1,1.951401383E-1,-8.863975294E-3,-2.289701551E-1
8.526342500E-1,2.770536840E-1,-2.260430157E-1,-2.270319164E-1
8.724842500E-1,3.047956526E-1,-3.323779106E-1,-2.446768582E-1
8.923332500E-1,2.687779069E-1,-2.004842013E-1,-1.887828410E-1
9.121832500E-1,1.927066743E-1,6.320553273E-2,-1.261308044E-1
9.320332500E-1,1.352453977E-1,2.045358121E-1,-9.199570119E-2
9.518832500E-1,9.137615561E-2,1.500481665E-1,-6.549657881E-2
9.717322500E-1,6.509549171E-2,-4.776573926E-2,-8.482021093E-2
9.915822500E-1,2.506181225E-2,-2.830671072E-1,-7.635316253E-2
1.011432250E0,-2.445811033E-2,-4.347999096E-1,4.254431929E-3
1.031282250E0,-9.205016494E-2,-4.663521945E-1,4.709823802E-2
1.051131250E0,-1.682741940E-1,-3.470669389E-1,1.357637495E-1
1.070981250E0,-2.555034757E-1,-1.294337362E-1,2.307692319E-1
1.090831250E0,-3.098412752E-1,3.946893290E-2,3.381949663E-1
1.110681250E0,-3.127914965E-1,1.998183876E-2,3.686804175E-1
1.130530250E0,-3.339016438E-1,-1.088574529E-1,2.843134403E-1
1.150380250E0,-2.908699214E-1,-2.346907407E-1,2.664902508E-1
1.170230250E0,-2.781169713E-1,-3.465284705E-1,1.802768558E-1
1.190079250E0,-2.796720266E-1,-3.119918704E-1,6.951016933E-2
