X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
3.172,2.219,1.307,0.743,1.582,1.555,6.082,11.275,14.494,jab
4.981,13.393,9.886,3.123,1.779,1.696,2.984,4.833,1.43,jab
4.586,8.017,9.102,1.364,2.273,2.53,6.707,15.264,12.738,jab
2.204,7.133,1.818,1.241,1.032,1.283,1.271,0.338,0.343,jab
5.647,11.289,7.285,1.689,2.633,2.837,4.595,14.627,10.114,jab
1.815,3.966,1.886,1.203,0.887,0.968,0.921,0.394,0.299,jab
5.73,14.783,9.553,2.49,1.832,3.204,5.164,13.008,10.145,jab
1.954,2.378,1.183,1.266,0.926,0.442,1.541,0.531,0.793,jab
8.872,15.967,11.317,3.189,1.623,3.904,5.451,13.058,10.205,jab
2.264,2.062,1.047,1.117,1.335,0.622,1.303,0.651,0.554,jab
9.413,13.483,8.577,2.213,2.353,3.388,3.387,13.914,10.403,jab
1.281,1.114,0.549,1.001,0.994,0.604,1.771,0.883,0.751,jab
9.893,13.595,11.431,2.854,1.94,4.379,4.55,13.793,10.93,jab
1.306,0.927,0.6,0.596,1.408,0.296,1.958,1.568,1.085,jab
8.513,13.35,11.725,3.17,1.95,3.765,3.596,14.959,10.357,jab
1.592,1.009,0.713,0.613,1.292,0.293,1.876,1.014,0.384,jab
5.699,16.332,12.704,3.997,1.169,3.382,7.918,14.239,12.61,jab
1.434,1.072,0.549,0.512,1.193,0.189,2.001,0.642,0.981,jab
6.06,15.36,12.817,3.504,1.741,3.221,6.228,12.622,11.17,jab
1.32,1.196,0.884,0.787,1.495,0.257,1.865,1.534,1.329,jab
6.906,15.854,12.43,3.023,1.979,3.064,4.082,15.328,10.789,jab
1.509,1.515,0.626,1.206,1.197,0.244,1.733,1.618,0.778,jab
7.17,15.977,14.497,3.867,1.964,2.865,4.419,14.188,10.593,jab
1.492,1.298,1.081,0.896,1.341,0.401,2.02,1.79,0.788,jab
8.66,16.123,11.672,3.819,2.065,3.671,5.375,13.96,10.438,jab
1.419,1.178,1.231,0.817,1.546,0.369,1.86,0.988,0.877,jab
7.038,14.742,12.999,3.339,1.726,3.21,5.507,13.513,10.176,jab
1.859,1.182,1.212,1.247,1.37,0.388,1.637,0.974,0.757,jab
6.579,15.342,13.225,2.373,1.994,2.743,6.18,13.323,11.386,jab
1.591,1.48,1.348,1.345,1.566,0.481,2.119,1.93,0.838,jab
6.121,15.727,13.694,2.695,2.39,3.1,5.306,12.682,10.429,jab
1.29,1.314,2.377,1.271,2.182,0.436,2.05,1.922,1.2,jab
7.549,16.471,14.72,3.679,2.594,3.3,3.995,12.306,10.711,jab
1.999,1.642,2.545,1.281,2.292,0.454,1.933,2.043,1.166,jab
4.119,14.17,14.251,3.052,2.186,2.751,5.271,14.029,10.87,jab
2.322,3.173,2.823,1.488,2.319,0.906,1.732,0.923,0.903,jab
4.077,14.217,13.127,3.063,1.681,2.645,5.483,13.053,11.308,jab
2.56,2.391,1.685,1.364,1.852,0.433,2.148,1.518,1.089,jab
4.794,14.572,12.865,2.924,1.828,2.594,5.955,12.068,10.142,jab
2.441,2.607,1.529,1.278,1.836,0.725,1.899,1.707,1.164,jab
4.003,16.629,13.099,3.475,1.256,2.72,4.684,13.084,10.555,jab
2.377,2.298,1.655,1.263,2.063,0.809,1.543,0.879,1.147,jab
7.118,13.231,11.454,2.702,1.73,3.357,5.293,11.165,10.914,jab
2.363,3.007,2.053,1.261,1.916,0.536,2.339,2.185,1.129,jab
5.468,15.467,12.523,2.623,1.772,3.296,4.778,9.663,11.126,jab
2.197,2.233,1.556,1.413,1.926,0.761,2.337,5.285,1.751,jab
4.373,10.682,12.406,2.998,1.833,2.262,5.307,8.36,10.344,jab
2.014,5.032,2.232,1.562,1.932,0.973,2.591,4.876,1.576,jab
3.589,10.742,12.83,2.965,1.667,2.181,5.673,10.641,9.883,jab
2.582,4.065,1.546,1.167,2.229,1.259,1.651,3.679,1.215,jab
4.74,12.764,10.912,2.63,1.561,2.531,4.055,8.162,9.363,jab
2.321,3.721,2.112,1.279,2.245,1.038,2.163,5.893,1.686,jab
4.81,10.2,12.016,2.571,1.662,2.55,4.917,9.743,9.786,jab
2.46,6.491,2.504,1.775,1.968,1.154,1.777,4.086,1.036,jab
4.733,8.216,10.366,2.51,1.099,2.709,4.854,9.809,9.331,jab
2.223,8.886,3.019,2.078,1.938,1.334,2.046,4.442,1.796,jab
5.28,10.295,11.48,3.038,1.357,3.029,3.675,6.788,9.055,jab
2.356,6.059,2.605,1.509,1.888,1.09,2.296,7.143,2.39,jab
3.021,9.755,11.393,3.157,1.332,1.843,4.189,8.188,9.086,jab
2.211,6.072,2.233,1.601,1.913,1.126,2.376,5.662,1.764,jab
4.47,11.455,10.994,2.802,1.22,2.797,4.698,9.208,9.001,jab
2.175,3.842,1.901,1.235,1.994,1.041,2.046,3.893,1.403,jab
4.46,13.16,11.786,2.986,1.553,2.975,5.398,6.358,8.159,jab
2.072,3.259,1.672,1.412,1.774,0.61,3.795,7.605,3.882,jab
5.382,11.795,9.525,2.45,1.749,3.622,3.604,4.933,5.842,jab
2.386,2.224,1.982,0.907,2.028,0.88,4.576,8.042,4.714,jab
6.408,14.445,13.594,3.415,1.933,2.944,5.091,4.376,3.302,jab
2.03,3.268,2.154,1.428,1.866,0.684,4.074,8.886,7.313,jab
