X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
2.27,3.432,3.232,1.537,2.115,1.297,leadhook
6.547,8.958,9.007,2.55,1.726,1.985,leadhook
6.132,9.027,10.514,2.64,2.156,2.097,leadhook
1.962,3.861,1.783,0.643,1.329,1.035,leadhook
6.708,11.364,11.608,2.823,3.158,2.561,leadhook
1.287,0.87,0.572,0.248,0.592,0.624,leadhook
4.171,11.563,11.253,2.919,3.36,2.132,leadhook
1.091,0.979,0.508,0.362,0.491,0.633,leadhook
4.022,10.896,11.849,2.868,3.733,2.109,leadhook
1.342,0.888,0.829,0.375,0.829,0.702,leadhook
6.46,10.996,13.44,2.739,3.829,2.612,leadhook
0.96,0.944,0.81,0.245,0.709,0.66,leadhook
6.952,11.501,11.149,3.068,2.762,2.331,leadhook
0.85,0.727,0.746,0.257,0.71,0.745,leadhook
4.305,11.586,13.644,3.154,3.47,2.064,leadhook
1.405,1.151,0.59,0.378,0.915,0.611,leadhook
5.885,11.32,12.699,3.27,2.543,1.433,leadhook
1.135,1.29,0.951,0.583,0.815,1.125,leadhook
5.022,11.67,12.916,3.143,2.812,1.714,leadhook
1.072,1.357,0.789,0.59,0.81,0.896,leadhook
4.983,11.459,14.341,3.851,2.268,1.928,leadhook
1.257,1.303,0.623,0.58,1.077,0.973,leadhook
5.463,12.199,13.807,3.526,2.444,2.207,leadhook
1.38,1.454,1.094,0.514,1.178,0.84,leadhook
5.387,12.168,13.665,3.319,2.511,2.165,leadhook
1.315,1.207,0.844,0.383,1.074,0.77,leadhook
5.425,11.331,11.937,3.159,2.359,1.709,leadhook
1.135,1.692,0.829,0.3,1.301,1.167,leadhook
6.659,12.087,12.124,3.676,1.548,2.169,leadhook
1.115,1.205,0.674,0.282,0.993,0.75,leadhook
4.326,11.465,11.327,3.282,2.362,2.366,leadhook
1.099,1.014,0.642,0.3,0.562,0.548,leadhook
3.717,12.074,12.725,3.737,2.011,1.75,leadhook
1.069,1.485,0.94,0.528,0.781,0.857,leadhook
5.855,11.967,11.456,2.954,2.457,2.338,leadhook
1.269,1.26,0.72,0.412,1.291,0.81,leadhook
6.801,10.218,11.235,2.46,3.096,2.114,leadhook
1.261,1.658,1.039,0.588,0.852,0.997,leadhook
6.999,9.419,11.088,2.656,2.126,2.245,leadhook
1.514,2.709,1.201,0.676,1.386,1.117,leadhook
4.199,11.078,11.294,3.311,1.706,2.165,leadhook
1.452,1.846,1.041,0.539,1.059,0.7,leadhook
4.878,10.495,11.743,3.021,2.152,1.859,leadhook
1.647,1.375,0.841,0.301,1.357,1.005,leadhook
5.346,8.884,10.31,3.088,2.021,2.05,leadhook
1.971,2.709,1.185,0.592,1.384,0.897,leadhook
4.268,7.175,10.546,2.257,2.528,1.867,leadhook
2.305,3.537,2.291,0.627,1.387,1.307,leadhook
5.74,10.754,12.098,3.23,2.054,2.076,leadhook
1.973,2.237,0.838,0.355,1.204,0.864,leadhook
3.474,8.448,10.595,2.848,1.96,1.786,leadhook
2.37,4.492,1.663,0.781,1.49,0.789,leadhook
4.395,7.709,10.791,2.413,2.471,2.278,leadhook
2.606,4.136,1.779,0.819,1.094,0.962,leadhook
6.888,5.712,8.52,1.72,2.258,1.991,leadhook
3.243,4.968,2.399,1.25,1.175,1.287,leadhook
2.306,6.263,8.425,1.842,2.276,1.717,leadhook
3.786,5.446,3.563,1.261,1.865,1.416,leadhook
4.268,5.981,8.814,1.58,2.024,1.753,leadhook
4.432,6.831,4.811,1.771,1.723,1.442,leadhook
3.584,5.576,8.884,1.524,2.408,1.948,leadhook
