X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
0.139,0.075,0.046,0.211,0.608,0.317,0.304,0.118,0.475,cross
1.832,1.597,1.259,1.898,3.315,3.705,1.349,0.679,0.82,cross
1.295,1.105,0.508,1.904,4.219,1.93,1.132,0.453,1.189,cross
0.099,0.092,0.081,0.25,0.646,0.294,0.147,0.125,0.396,cross
2.594,1.338,1.457,1.023,1.567,0.917,0.244,0.373,0.589,cross
0.326,0.418,0.193,3.661,6.006,4.566,1.775,0.787,1.497,cross
0.091,0.075,0.05,0.229,0.589,0.169,0.117,0.093,0.228,cross
2.569,1.54,1.611,0.898,1.88,1.279,0.504,0.275,0.61,cross
0.573,0.453,0.307,3.081,4.875,3.887,1.896,0.686,1.553,cross
0.093,0.18,0.122,0.465,0.78,0.255,0.182,0.094,0.455,cross
2.418,1.265,1.622,0.134,0.186,0.136,0.099,0.062,0.108,cross
0.635,0.548,0.093,3.879,7.003,5.138,1.998,1.229,1.229,cross
0.16,0.201,0.072,0.666,1.15,0.912,0.679,0.386,0.882,cross
2.659,1.884,1.477,0.062,0.2,0.065,0.048,0.048,0.072,cross
0.927,0.831,0.142,2.31,6.924,4.205,1.428,0.825,0.715,cross
0.098,0.139,0.034,0.975,2.08,2.276,0.703,0.728,1.023,cross
2.446,1.159,1.829,0.099,0.214,0.117,0.041,0.068,0.263,cross
0.929,0.419,0.196,0.094,0.492,0.141,0.23,0.084,0.139,cross
0.032,0.034,0.05,4.137,6.943,5.518,1.979,1.77,1.709,cross
1.012,0.149,0.393,0.519,0.931,0.275,0.135,0.128,0.5,cross
2.328,1.634,1.125,0.087,0.113,0.08,0.093,0.032,0.178,cross
0.059,0.079,0.042,4.432,6.9,4.372,1.748,1.038,1.628,cross
0.145,0.092,0.12,0.847,0.837,0.448,0.441,0.139,1.179,cross
2.659,1.292,1.466,0.08,0.156,0.088,0.03,0.031,0.076,cross
0.48,0.527,0.16,2.269,2.292,2.556,1.174,0.568,0.939,cross
0.093,0.15,0.052,2.27,6.114,2.829,0.918,0.825,1.23,cross
2.347,1.217,1.504,0.162,0.289,0.113,0.054,0.056,0.157,cross
1.102,1.034,0.247,0.134,0.185,0.169,0.202,0.09,0.099,cross
0.044,0.038,0.022,4.579,7.4,5.67,1.879,1.571,1.929,cross
0.031,0.046,0.025,0.606,1.042,0.305,0.213,0.097,0.626,cross
2.582,1.147,1.384,0.413,1.059,0.278,0.212,0.134,0.316,cross
0.749,0.922,0.089,3.816,6.733,6.324,2.152,1.326,1.979,cross
0.042,0.046,0.041,0.387,0.843,0.182,0.103,0.084,0.355,cross
2.351,1.181,1.559,0.091,0.147,0.086,0.108,0.039,0.032,cross
0.669,0.837,0.088,3.819,7.564,5.824,2.135,1.012,1.485,cross
0.049,0.041,0.032,0.932,1.557,0.719,0.664,0.174,0.916,cross
0.808,0.261,0.312,0.151,0.195,0.075,0.093,0.028,0.141,cross
2.043,1.955,1.493,2.934,6.912,5.14,1.623,1.061,1.286,cross
0.097,0.094,0.052,1.582,1.809,1.303,1.005,0.326,1.233,cross
0.267,0.103,0.171,0.226,0.387,0.076,0.092,0.033,0.287,cross
2.834,1.495,1.571,1.45,2.137,1.946,0.626,0.336,0.492,cross
0.203,0.298,0.159,3.823,6.166,4.876,1.75,1.407,1.699,cross
0.118,0.054,0.059,0.261,0.53,0.238,0.078,0.106,0.223,cross
2.705,1.351,2.208,0.24,0.702,0.188,0.183,0.101,0.12,cross
0.395,0.384,0.105,4.041,6.682,5.76,2.487,1.578,1.924,cross
0.035,0.036,0.044,0.496,0.917,0.352,0.255,0.165,0.448,cross
2.561,1.606,2.219,0.072,0.106,0.079,0.083,0.04,0.047,cross
1.068,0.604,0.354,3.606,7.429,6.085,2.034,1.878,1.475,cross
0.041,0.054,0.035,0.777,1.128,0.638,0.45,0.244,0.782,cross
1.514,0.403,1.141,0.11,0.088,0.081,0.038,0.033,0.053,cross
2.054,1.608,1.582,3.706,7.307,5.056,1.573,1.356,1.246,cross
0.156,0.122,0.048,0.932,1.695,1.223,0.713,0.528,0.751,cross
0.308,0.119,0.089,0.18,0.178,0.084,0.068,0.039,0.059,cross
3.294,1.405,2.39,1.839,2.52,3.314,1.195,0.824,0.86,cross
0.506,0.248,0.049,1.888,5.634,2.747,1.354,0.995,1.359,cross
0.294,0.304,0.188,0.125,0.257,0.172,0.086,0.07,0.216,cross
1.863,1.116,1.643,1.122,2.012,1.332,0.429,0.379,0.611,cross
1.353,0.651,0.446,3.693,6.259,5.409,2.346,1.604,1.66,cross
0.084,0.084,0.071,0.37,0.701,0.343,0.129,0.228,0.413,cross
1.849,0.654,1.139,0.203,0.58,0.208,0.181,0.058,0.085,cross
1.618,0.889,1.101,4.293,7.908,7.536,2.165,1.643,1.831,cross
0.107,0.084,0.267,0.601,1.023,0.434,0.25,0.203,0.583,cross
