X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.279,0.777,0.234,0.717,0.389,0.275,0.178,0.215,0.364,left_nopunch
1.162,2.062,1.249,1.187,0.269,0.402,5.478,5.514,4.244,left_nopunch
0.561,0.5,1.099,0.604,0.224,0.279,0.928,0.885,1.217,left_nopunch
0.776,1.23,0.935,1.149,0.334,0.396,5.703,5.364,5.25,left_nopunch
0.795,0.656,1.136,0.717,0.26,0.241,0.317,0.324,0.583,left_nopunch
0.97,0.8,0.984,0.724,0.25,0.279,6.878,6.488,4.773,left_nopunch
0.822,0.754,0.777,0.972,0.198,0.302,0.275,0.175,0.207,left_nopunch
1.038,0.634,1.164,0.651,0.324,0.287,5.674,5.898,4.003,left_nopunch
0.762,0.64,0.805,0.495,0.208,0.207,0.275,0.313,0.491,left_nopunch
0.769,0.575,0.906,0.836,0.281,0.404,0.114,0.071,0.222,left_nopunch
1.091,0.886,1.244,0.584,0.258,0.187,5.492,5.45,3.32,left_nopunch
0.832,0.559,1.061,0.905,0.309,0.494,0.984,0.819,1.358,left_nopunch
0.916,0.958,1.121,0.51,0.241,0.184,0.164,0.183,0.342,left_nopunch
1.47,1.144,1.093,1.155,0.382,0.424,7.003,6.155,4.276,left_nopunch
0.952,0.953,1.069,1.159,0.434,0.432,0.148,0.097,0.131,left_nopunch
0.813,0.636,0.962,0.541,0.244,0.32,3.805,4.626,3.587,left_nopunch
1.676,1.058,1.357,1.557,0.364,0.587,2.515,2.1,1.467,left_nopunch
0.702,1.275,0.592,0.98,0.32,0.283,0.082,0.06,0.117,left_nopunch
0.856,0.498,0.741,0.734,0.261,0.267,5.095,4.946,3.954,left_nopunch
0.676,0.29,0.835,0.46,0.256,0.18,2.545,2.002,1.194,left_nopunch
0.868,0.365,0.748,0.85,0.205,0.348,0.076,0.051,0.119,left_nopunch
0.749,0.869,0.506,0.815,0.238,0.406,5.962,5.689,3.592,left_nopunch
0.693,0.336,0.845,0.697,0.282,0.193,1.639,1.455,1.166,left_nopunch
0.832,0.339,0.83,0.884,0.219,0.305,0.075,0.061,0.068,left_nopunch
0.515,0.598,0.387,0.375,0.132,0.095,6.272,6.406,4.223,left_nopunch
0.656,0.666,0.79,0.818,0.235,0.254,0.513,0.694,0.894,left_nopunch
0.71,0.53,0.692,1.039,0.27,0.399,0.06,0.059,0.103,left_nopunch
0.527,0.437,0.63,0.599,0.233,0.272,2.498,1.541,1.437,left_nopunch
0.56,0.425,0.49,0.794,0.203,0.268,5.457,6.039,3.725,left_nopunch
0.591,0.814,0.382,1.036,0.243,0.36,0.065,0.064,0.099,left_nopunch
0.6,0.51,0.572,0.527,0.172,0.266,5.779,6.667,4.175,left_nopunch
0.427,0.686,0.429,0.834,0.226,0.39,1.506,1.387,1.057,left_nopunch
0.718,0.633,0.801,0.704,0.212,0.265,0.107,0.108,0.129,left_nopunch
0.874,0.462,0.815,0.708,0.322,0.313,7.549,7.344,4.309,left_nopunch
0.443,0.622,0.758,0.48,0.136,0.262,0.128,0.135,0.356,left_nopunch
0.649,0.23,0.8,0.396,0.265,0.18,0.111,0.036,0.083,left_nopunch
0.395,0.479,0.619,0.643,0.22,0.269,8.276,7.478,5.644,left_nopunch
0.483,0.302,0.679,0.707,0.159,0.325,0.129,0.115,0.209,left_nopunch
0.641,0.232,0.632,0.381,0.238,0.165,6.348,7.243,4.726,left_nopunch
0.242,0.473,0.798,0.387,0.132,0.139,0.426,0.647,0.847,left_nopunch
0.525,0.318,0.786,0.421,0.188,0.239,1.66,1.241,1.392,left_nopunch
0.61,0.75,0.689,0.413,0.177,0.19,7.6,6.756,3.493,left_nopunch
0.425,0.577,0.813,0.609,0.187,0.302,0.674,0.988,1.03,left_nopunch
0.653,0.507,0.851,0.795,0.247,0.36,7.603,6.832,4.026,left_nopunch
0.797,0.705,0.712,0.576,0.218,0.303,0.092,0.076,0.11,left_nopunch
0.551,0.547,0.925,0.731,0.122,0.284,7.091,7.633,6.087,left_nopunch
0.623,0.634,0.66,0.657,0.184,0.258,0.198,0.535,0.567,left_nopunch
0.723,0.481,0.739,0.997,0.357,0.411,0.18,0.148,0.386,left_nopunch
0.878,0.423,0.774,0.695,0.337,0.331,6.888,6.896,3.743,left_nopunch
0.306,0.735,0.552,0.583,0.19,0.275,0.16,0.201,0.315,left_nopunch
0.788,0.557,0.79,0.68,0.254,0.323,7.42,6.983,4.851,left_nopunch
0.922,0.787,0.897,0.518,0.261,0.262,0.678,0.8,0.653,left_nopunch
0.541,0.742,0.514,0.759,0.272,0.336,0.079,0.044,0.058,left_nopunch
0.655,0.483,0.787,1.176,0.311,0.554,0.173,0.216,0.416,left_nopunch
0.547,0.428,0.792,1.045,0.338,0.529,7.906,7.075,4.774,left_nopunch
0.522,0.55,0.607,0.494,0.185,0.159,0.108,0.049,0.06,left_nopunch
0.97,0.391,0.723,0.664,0.321,0.334,6.09,5.62,3.801,left_nopunch
0.495,0.306,0.776,0.911,0.294,0.337,0.694,1.117,0.823,left_nopunch
0.643,0.649,0.626,0.782,0.3,0.292,0.076,0.05,0.082,left_nopunch
0.421,0.373,0.776,0.546,0.203,0.228,7.516,5.97,3.89,left_nopunch
0.764,0.711,0.813,0.359,0.2,0.145,1.225,0.841,1.12,left_nopunch
0.918,0.405,0.924,0.712,0.304,0.282,0.055,0.058,0.058,left_nopunch
0.78,0.894,1.106,0.685,0.31,0.256,7.122,7.4,5.36,left_nopunch
0.471,0.508,0.73,0.503,0.253,0.307,0.41,0.949,0.973,left_nopunch
0.645,0.471,0.825,0.329,0.223,0.093,0.085,0.06,0.106,left_nopunch
0.726,0.409,0.822,0.569,0.224,0.203,8.031,7.753,6.314,left_nopunch
0.762,0.316,0.532,0.137,0.173,0.183,0.099,0.095,0.113,left_nopunch
0.638,0.445,0.672,0.543,0.267,0.229,0.781,0.985,1.28,left_nopunch
0.714,0.645,0.643,0.491,0.229,0.158,8.404,7.218,4.825,left_nopunch
0.6,0.297,0.729,0.827,0.372,0.33,0.151,0.085,0.165,left_nopunch
0.791,0.343,0.464,0.331,0.257,0.169,4.342,5.929,3.392,left_nopunch
0.623,0.458,0.863,0.454,0.173,0.202,2.11,1.878,1.042,left_nopunch
0.785,0.721,0.378,0.634,0.213,0.187,0.089,0.058,0.112,left_nopunch
0.877,0.302,0.689,0.587,0.266,0.327,0.092,0.166,0.265,left_nopunch
0.558,0.434,0.584,0.349,0.229,0.238,8.62,7.175,5.338,left_nopunch
0.571,0.296,0.716,0.383,0.245,0.166,0.116,0.074,0.109,left_nopunch
0.634,0.547,0.445,0.613,0.289,0.323,0.062,0.041,0.082,left_nopunch
0.637,0.45,0.669,0.792,0.41,0.368,6.89,6.996,4.451,left_nopunch
0.92,0.456,0.835,0.469,0.234,0.195,0.187,0.258,0.412,left_nopunch
0.698,0.508,0.622,1.113,0.379,0.366,0.056,0.041,0.08,left_nopunch
0.756,0.605,0.488,0.652,0.231,0.297,8.004,6.532,4.726,left_nopunch
0.707,0.369,0.8,0.839,0.253,0.301,0.167,0.434,0.457,left_nopunch
0.488,0.409,0.636,0.494,0.195,0.166,0.058,0.05,0.064,left_nopunch
0.559,0.536,0.55,0.216,0.176,0.115,8.665,7.318,4.898,left_nopunch
0.51,0.264,0.795,0.722,0.327,0.296,0.152,0.387,0.554,left_nopunch
0.716,0.749,0.616,0.689,0.249,0.372,0.041,0.031,0.067,left_nopunch
0.851,0.449,0.727,0.669,0.362,0.301,7.207,5.637,4.95,left_nopunch
0.518,0.254,0.403,0.476,0.17,0.291,0.328,0.522,0.55,left_nopunch
0.507,0.506,0.405,0.484,0.249,0.22,0.048,0.036,0.057,left_nopunch
0.526,0.336,0.619,0.986,0.336,0.529,5.918,5.314,4.388,left_nopunch
0.782,0.349,0.533,0.396,0.283,0.215,0.944,0.611,0.794,left_nopunch
0.686,0.481,0.782,0.723,0.281,0.32,0.073,0.039,0.105,left_nopunch
0.653,0.5,0.372,0.77,0.247,0.345,8.191,7.249,5.054,left_nopunch
0.434,0.217,0.539,0.247,0.153,0.228,0.502,0.728,0.603,left_nopunch
0.658,0.245,0.521,0.619,0.24,0.261,0.051,0.036,0.06,left_nopunch
0.566,0.397,0.468,0.233,0.163,0.146,7.509,5.836,4.038,left_nopunch
0.476,0.286,0.595,0.659,0.289,0.357,0.356,0.335,0.637,left_nopunch
0.744,0.197,0.487,0.186,0.109,0.134,0.086,0.094,0.115,left_nopunch
0.55,0.264,0.561,0.515,0.185,0.239,8.735,5.759,4.956,left_nopunch
0.478,0.233,0.489,0.424,0.217,0.169,0.14,0.135,0.282,left_nopunch
0.372,0.234,0.442,0.226,0.159,0.221,0.228,0.267,0.795,left_nopunch
0.389,0.175,0.314,0.238,0.103,0.166,8.48,7.405,4.929,left_nopunch
0.285,0.325,0.381,0.365,0.221,0.172,0.066,0.042,0.107,left_nopunch
0.349,0.233,0.247,0.26,0.117,0.132,0.12,0.073,0.21,left_nopunch
