X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
0.15,0.338,0.153,0.486,0.347,0.536,0.175,0.491,0.156,right_nopunch
1.253,4.657,1.719,6.674,5.461,5.256,1.254,4.884,1.71,right_nopunch
0.388,0.958,0.537,0.696,0.568,1.027,0.281,1.009,0.426,right_nopunch
1.059,4.42,1.747,5.139,4.936,3.462,1.222,4.223,1.775,right_nopunch
0.238,0.495,0.352,0.078,0.079,0.123,0.037,0.053,0.026,right_nopunch
1.07,4.585,1.944,1.536,1.007,1.066,0.162,1.642,0.537,right_nopunch
0.121,0.221,0.162,5.145,3.964,2.634,1.097,3.038,1.911,right_nopunch
1.141,5.129,2.229,0.112,0.084,0.092,0.037,0.072,0.031,right_nopunch
0.076,0.189,0.077,5.507,5.375,4.149,0.813,4.14,1.959,right_nopunch
0.021,0.039,0.025,0.41,0.384,0.991,0.345,1.166,0.481,right_nopunch
0.805,3.346,1.575,0.078,0.061,0.066,0.028,0.027,0.013,right_nopunch
0.622,1.937,0.801,5.535,4.9,3.303,0.875,4.218,1.678,right_nopunch
0.125,0.357,0.163,0.521,0.497,1.601,0.569,1.016,0.646,right_nopunch
1.179,4.974,1.99,0.118,0.077,0.067,0.019,0.037,0.025,right_nopunch
0.029,0.056,0.039,0.36,0.13,0.943,0.093,0.972,0.329,right_nopunch
0.775,2.866,1.233,6.668,5.406,4.683,1.163,4.064,2.009,right_nopunch
0.569,2.496,0.989,0.147,0.076,0.119,0.05,0.04,0.034,right_nopunch
0.026,0.03,0.016,0.3,0.252,0.766,0.068,0.65,0.169,right_nopunch
0.51,2.799,1.265,6.563,4.627,4.805,1.218,4.469,2.043,right_nopunch
0.497,2.545,1.076,0.185,0.062,0.158,0.043,0.097,0.072,right_nopunch
0.014,0.023,0.019,0.826,0.56,0.95,0.089,1.533,0.471,right_nopunch
0.675,3.156,1.297,5.254,5.202,4.143,1.059,3.714,2.206,right_nopunch
0.524,2.529,0.917,0.16,0.081,0.096,0.081,0.059,0.084,right_nopunch
0.021,0.039,0.026,0.199,0.088,0.09,0.049,0.334,0.091,right_nopunch
0.85,4.654,2.175,6.427,5.351,5.14,1.167,4.747,2.416,right_nopunch
0.452,0.828,0.472,0.439,0.297,0.478,0.171,0.31,0.124,right_nopunch
0.031,0.021,0.011,0.194,0.077,0.074,0.018,0.047,0.033,right_nopunch
0.37,2.372,0.881,2.383,0.976,1.441,0.398,2.095,0.858,right_nopunch
0.823,3.171,1.41,4.109,4.98,3.921,0.974,2.749,2.031,right_nopunch
0.063,0.027,0.038,0.176,0.072,0.094,0.028,0.034,0.02,right_nopunch
0.717,3.461,1.202,0.323,0.414,0.395,0.096,0.694,0.263,right_nopunch
0.461,2.24,1.018,6.497,6.013,5.136,1.09,4.219,2.134,right_nopunch
0.057,0.087,0.038,0.161,0.071,0.107,0.041,0.05,0.028,right_nopunch
1.04,5.541,2.612,0.148,0.066,0.049,0.036,0.139,0.035,right_nopunch
0.16,0.223,0.101,6.097,6.253,6.345,1.233,4.804,2.906,right_nopunch
0.054,0.108,0.031,0.201,0.174,0.348,0.153,0.106,0.083,right_nopunch
1.153,4.984,3.022,0.096,0.077,0.064,0.045,0.126,0.052,right_nopunch
0.083,0.074,0.04,7.75,5.52,5.233,0.989,4.958,2.764,right_nopunch
1.41,5.817,1.794,0.204,0.174,0.197,0.138,0.069,0.078,right_nopunch
