X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
6.137,6.095,3.791,0.206,0.902,0.285,1012.885818,cross
14.568,28.642,10.195,2.934,5.756,2.912,1012.895355,cross
12.615,22.545,10.761,2.541,7.395,2.865,1012.904816,cross
13.644,21.431,8.318,2.365,6.34,2.121,1012.911606,cross
13.778,29.763,11.123,3.318,8.487,3.265,1012.919388,cross
12.507,21.289,8.989,3.059,8.493,2.69,1012.931976,cross
14.509,18.995,7.914,2.237,6.302,2.57,1012.936478,cross
16.796,30.254,12.386,3.484,9.087,4.053,1012.941132,cross
10.034,20.822,11.372,2.933,6.696,3.147,1012.936478,cross
12.353,21.228,8.123,2.334,6.999,2.854,1012.933731,cross
13.714,30.339,12.116,3.999,8.637,4.2,1012.929535,cross
10.145,22.841,7.658,2.706,6.298,2.517,1012.929306,cross
8.859,18.5,7.717,2.404,3.999,2.771,1012.927933,cross
7.356,6.297,4.176,0.579,1.234,0.919,1012.927933,cross
10.885,20.28,5.054,2.163,4.521,2.375,1012.928696,cross
12.793,21.253,8.292,2.348,6.654,3.055,1012.928696,cross
13.166,22.135,7.816,2.507,5.933,2.661,1012.923431,cross
9.627,15.459,8.93,2.003,4.366,2.487,1012.915268,cross
5.494,5.793,5.116,0.363,0.824,0.842,1012.91481,cross
6.626,6.236,4.313,0.266,0.525,0.475,1012.905197,cross
8.311,19.649,5.893,1.826,5.956,1.731,1012.895737,cross
12.628,23.755,8.606,2.581,6.965,3.126,1012.895737,cross
10.91,24.925,8.541,2.914,6.272,3.925,1012.901764,cross
13.396,18.593,10.26,2.333,5.296,2.827,1012.90741,cross
12.358,17.903,6.686,2.047,5.25,2.881,1012.910995,cross
12.148,17.505,7.489,2.232,5.822,2.901,1012.928467,cross
14.172,19.605,6.567,2.193,6.123,2.988,1012.928467,cross
15.426,27.495,8.57,3.26,6.616,4.111,1012.930603,cross
12.223,20.092,9.482,2.318,6.144,3.06,1012.937622,cross
12.044,19.369,6.702,1.95,5.978,3.039,1012.937622,cross
10.475,18.03,8.389,2.09,5.316,2.874,1012.937546,cross
14.333,22.525,7.727,2.181,6.155,3.3,1012.922211,cross
10.991,22.88,7.479,2.041,7.011,3.857,1012.92099,cross
7.663,4.697,4.681,1.072,1.738,1.371,1012.920303,cross
9.569,14.353,5.713,1.635,4.658,2.373,1012.915421,cross
9.503,13.181,7.68,1.365,4.922,2.359,1012.912064,cross
9.683,16.238,6.248,1.794,4.477,2.871,1012.915421,cross
8.149,19.019,4.78,1.899,5.158,2.575,1012.913589,cross
10.106,16.942,5.567,1.749,4.503,2.365,1012.915726,cross
13.295,17.034,9.334,1.644,4.276,3.131,1012.913742,cross
10.629,13.718,8.676,1.621,4.862,2.464,1012.913742,cross
11.58,17.263,8.916,1.884,4.581,2.761,1012.913589,cross
10.589,15.796,6.069,1.563,4.182,2.42,1012.911835,cross
10.149,18.583,5.897,1.769,4.023,2.424,1012.911835,cross
12.015,19.672,8.868,1.926,4.955,2.891,1012.914047,cross
12.635,15.485,6.006,1.574,4.348,2.64,1012.914047,cross
12.237,14.559,6.469,1.214,3.969,2.496,1012.913742,cross
13.987,14.005,7.044,1.774,3.085,2.549,1012.911072,cross
8.963,13.094,4.468,1.588,2.661,2.06,1012.913742,cross
10.175,4.691,3.201,1.069,0.997,1.112,1012.915115,cross
8.615,5.405,2.769,0.778,1.314,0.941,1012.925339,cross
7.644,6.624,1.957,0.496,0.904,0.524,1012.925339,cross
14.285,13.196,7.202,1.052,3.84,2.448,1012.925339,cross
14.409,17.963,7.368,1.254,4.398,2.151,1012.926865,cross
11.168,20.721,8.38,1.656,4.645,3.188,1012.926865,cross
14.012,16.008,7.565,1.478,4.343,2.274,1012.918396,cross
14.055,15.715,5.449,1.799,3.626,2.314,1012.907028,cross
10.212,15.671,5.54,1.342,3.708,2.066,1012.907028,cross
11.696,12.836,7.074,1.426,3.15,2.095,1012.907028,cross
10.011,12.721,5.205,1.233,2.394,2.44,1012.907028,cross
8.318,5.504,3.216,0.353,0.709,0.551,1012.907028,cross
10.475,12.651,6.845,1.275,3.563,2.015,1012.908173,cross
11.109,14.167,5.768,1.204,3.313,2.647,1012.908707,cross
9.52,11.984,5.679,1.17,2.619,1.802,1012.909851,cross
6.984,5.435,3.075,0.682,1.142,0.966,1012.912521,cross
8.824,13.645,5.299,1.035,3.085,1.937,1012.912521,cross
12.937,14.747,6.745,1.223,4.003,2.254,1012.915878,cross
11.131,14.777,7.163,1.497,3.711,2.714,1012.911224,cross
12.576,15.151,7.098,1.164,3.514,2.309,1012.909851,cross
9.938,13.776,5.614,0.914,3.796,2.303,1012.900772,cross
9.362,13.815,6.592,1.264,2.94,1.724,1012.900162,cross
7.902,5.667,1.846,0.346,1.394,0.707,1012.900162,cross
13.507,13.106,5.389,1.186,3.491,2.019,1012.902222,cross
10.698,14.889,6.695,1.111,3.556,2.226,1012.902222,cross
9.934,16.739,6.99,1.148,3.26,2.728,1012.902222,cross
8.655,16.78,6.364,1.185,3.827,2.399,1012.902908,cross
6.927,14.73,6.422,1.563,4.218,2.228,1012.902908,cross
6.473,11.062,5.84,1.148,2.57,1.775,1012.895889,cross
8.081,4.317,3.297,0.301,0.438,0.327,1012.895889,cross
8.586,5.275,2.45,0.688,0.634,0.747,1012.898483,cross
9.283,12.778,4.832,1.038,4.234,2.338,1012.899933,cross
9.999,14.295,6.781,0.841,3.822,2.432,1012.899933,cross
8.471,15.202,5.441,0.833,4.071,2.282,1012.90329,cross
10.168,17.719,6.176,1.321,4.394,2.009,1012.90451,cross
8.543,15.723,5.988,1.286,4.592,2.254,1012.90741,cross
9.724,16.53,5.611,1.541,4.468,2.43,1012.90741,cross
9.759,17.664,7.242,1.666,3.707,1.981,1012.904892,cross
7.924,16.324,5.808,1.402,3.84,2.298,1012.903671,cross
9.547,17.269,6.449,1.661,3.959,2.341,1012.897797,cross
10.416,17.063,6.922,1.618,4.046,2.471,1012.888947,cross
11.736,17.191,6.397,1.384,3.484,2.499,1012.888947,cross
10.325,15.636,6.042,1.67,3.356,2.036,1012.890396,cross
9.123,15.587,5.768,1.504,3.327,1.918,1012.89444,cross
5.466,11.769,7.551,1.456,2.247,1.284,1012.902145,cross
7.989,3.427,5.754,0.703,0.685,1.089,1012.904358,cross
5.92,4.834,5.119,0.389,0.634,0.434,1012.916336,cross
7.504,5.765,2.706,0.253,0.855,0.656,1012.918625,cross
8.805,4.629,2.144,0.627,1.21,1.03,1012.918625,cross
8.77,5.464,1.38,0.286,0.423,0.268,1012.914429,cross
11.383,13.345,5.835,1.161,4.186,2.298,1012.912674,cross
9.632,13.293,5.682,1.08,3.793,2.157,1012.912674,cross
9.519,15.046,5.062,1.354,3.42,2.154,1012.920761,cross
9.434,17.381,5.571,1.526,3.736,2.408,1012.920761,cross
8.958,14.924,5.93,1.517,3.851,2.44,1012.9245,cross
8.051,11.731,5.689,1.196,2.062,1.588,1012.920685,cross
