X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.88,4.638,2.339,0.181,0.466,0.23,1012.991638,lft_nopunch
8.641,4.371,1.852,0.157,0.4,0.182,1012.994385,lft_nopunch
9.14,4.115,1.934,0.215,0.783,0.22,1012.997131,lft_nopunch
8.8,4.196,2.034,0.177,0.267,0.234,1013.007355,lft_nopunch
7.756,5.582,1.497,0.146,0.199,0.171,1013.012619,lft_nopunch
7.466,6.064,1.566,0.123,0.189,0.197,1013.012619,lft_nopunch
8.21,5.228,1.597,0.138,0.562,0.201,1013.012619,lft_nopunch
8.197,5.258,1.698,0.205,0.291,0.181,1013.012085,lft_nopunch
8.261,5.312,1.687,0.26,0.196,0.149,1013.010254,lft_nopunch
7.963,5.881,1.236,0.118,0.304,0.152,1013.008575,lft_nopunch
8.333,5.198,1.335,0.141,0.197,0.24,1013.007507,lft_nopunch
8.337,5.13,0.992,0.208,0.261,0.151,1013.007507,lft_nopunch
8.034,5.562,1.001,0.142,0.159,0.134,1013.006668,lft_nopunch
8.178,5.475,0.962,0.177,0.149,0.088,1013.006668,lft_nopunch
7.904,5.577,1.275,0.12,0.168,0.095,1013.007278,lft_nopunch
8.077,5.355,1.294,0.08,0.205,0.132,1013.007278,lft_nopunch
8.325,5.178,1.175,0.179,0.195,0.132,1013.006363,lft_nopunch
8.259,5.535,1.281,0.12,0.181,0.124,1013.006134,lft_nopunch
7.633,5.97,1.053,0.141,0.183,0.197,1013.005981,lft_nopunch
7.725,5.89,1.155,0.104,0.196,0.156,1013.004074,lft_nopunch
8.142,5.446,1.396,0.106,0.225,0.117,1013.004074,lft_nopunch
8.18,5.268,0.881,0.237,0.224,0.083,1013.004913,lft_nopunch
8.458,5.009,1.237,0.929,0.532,0.278,1013.004913,lft_nopunch
8.848,4.041,0.931,0.723,1.01,0.44,1013.006134,lft_nopunch
8.91,4.499,1.646,0.548,0.438,0.372,1013.00766,lft_nopunch
8.447,4.704,1.666,0.341,0.349,0.3,1013.007736,lft_nopunch
8.777,4.834,1.717,0.286,0.518,0.412,1013.009338,lft_nopunch
8.504,4.291,1.191,0.31,0.293,0.293,1013.010864,lft_nopunch
9.41,4.073,1.033,0.335,0.281,0.17,1013.011246,lft_nopunch
8.321,5.232,1.284,0.347,0.281,0.462,1013.012619,lft_nopunch
8.266,4.919,1.235,0.366,0.297,0.239,1013.012772,lft_nopunch
8.466,5.212,1.777,0.351,0.272,0.283,1013.013,lft_nopunch
8.663,4.299,1.795,0.484,0.337,0.131,1013.013,lft_nopunch
8.488,4.622,1.622,0.453,0.227,0.21,1013.012924,lft_nopunch
8.192,4.933,1.189,0.276,0.184,0.227,1013.012314,lft_nopunch
9.078,4.334,1.196,0.465,0.359,0.481,1013.011246,lft_nopunch
8.904,4.561,1.664,0.278,0.336,0.377,1013.010864,lft_nopunch
8.38,4.913,2.372,0.324,0.297,0.322,1013.009109,lft_nopunch
8.34,5.105,1.697,0.322,0.284,0.201,1013.009109,lft_nopunch
8.293,4.483,1.57,0.291,0.325,0.267,1013.008728,lft_nopunch
8.54,5.188,1.822,0.159,0.195,0.226,1013.009186,lft_nopunch
8.625,4.772,1.03,0.575,0.352,0.219,1013.009186,lft_nopunch
7.71,5.856,1.981,0.494,0.284,0.242,1013.009186,lft_nopunch
8.708,4.907,1.871,0.348,0.23,0.226,1013.005981,lft_nopunch
8.542,4.872,1.219,0.241,0.271,0.298,1013.001556,lft_nopunch
7.193,6.361,1.995,0.197,0.307,0.32,1012.999496,lft_nopunch
7.249,6.516,1.486,0.242,0.326,0.24,1012.996292,lft_nopunch
7.126,6.378,1.911,0.16,0.411,0.354,1012.994614,lft_nopunch
6.692,7.328,2.118,0.185,0.305,0.419,1012.994614,lft_nopunch
7.622,5.799,1.662,0.196,0.18,0.235,1012.994156,lft_nopunch
7.824,5.829,1.424,0.142,0.207,0.262,1012.994385,lft_nopunch
7.692,5.662,1.816,0.137,0.156,0.295,1012.994385,lft_nopunch
8.129,5.685,1.439,0.206,0.22,0.309,1012.995071,lft_nopunch
7.546,6.127,1.737,0.21,0.218,0.265,1012.997208,lft_nopunch
8.379,5.352,1.149,0.364,0.201,0.15,1012.997208,lft_nopunch
7.017,6.395,2.292,0.442,0.394,0.26,1012.999039,lft_nopunch
8.427,5.449,1.066,0.753,0.552,0.111,1012.999039,lft_nopunch
7.207,6.45,1.762,0.265,0.219,0.19,1012.999039,lft_nopunch
8.049,5.348,1.656,0.223,0.239,0.337,1012.996521,lft_nopunch
8.049,5.514,1.55,0.096,0.246,0.274,1012.993393,lft_nopunch
8.158,5.587,1.317,0.205,0.244,0.322,1012.993011,lft_nopunch
