X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
6.582,3.918,4.033,0.273,0.554,0.705,1010.328751,lh
21.266,17.049,13.361,1.633,2.613,4.071,1010.330353,lh
22.097,15.695,12.248,1.917,2.648,3.801,1010.332108,lh
20.896,14.92,11.545,1.397,2.672,3.747,1010.340729,lh
20.004,14.627,11.48,2.25,3.131,3.948,1010.34935,lh
18.861,15.613,11.092,2.074,2.577,3.542,1010.360641,lh
21.904,15.155,13.415,2.814,3.316,3.741,1010.362244,lh
22.717,14.911,13.118,2.788,4.168,4.045,1010.366135,lh
17.88,14.277,13.383,3.085,3.47,3.217,1010.373688,lh
19.049,14.692,13.118,2.946,3.15,3.305,1010.381317,lh
19.747,14.043,12.776,2.608,3.251,3.335,1010.38208,lh
16.98,11.832,11.409,2.062,2.346,3.17,1010.383759,lh
18.575,12.735,9.459,2.63,3.197,3.269,1010.386581,lh
18.328,13.006,12.006,1.742,2.582,3.331,1010.387115,lh
19.857,13.33,10.905,2.337,3.387,3.265,1010.387115,lh
19.435,12.366,10.342,1.966,2.778,3.572,1010.384827,lh
8.543,3.6,6.525,1.026,1.351,0.79,1010.384064,lh
27.193,20.465,16.772,3.244,3.966,4.509,1010.383377,lh
17.206,15.309,9.921,2.695,3.954,2.975,1010.378494,lh
7.587,4.312,4.014,0.696,0.98,0.841,1010.375214,lh
24.571,14.449,12.881,2.402,2.997,4.001,1010.368805,lh
23.256,14.524,12.163,2.209,3.471,3.997,1010.362549,lh
25.456,15.396,18.385,2.853,3.029,4.729,1010.358505,lh
20.227,17.171,16.176,3.371,4.031,4.257,1010.356216,lh
9.694,8.428,4.831,1.555,1.33,1.359,1010.354767,lh
15.363,10.889,10.507,1.325,1.807,2.653,1010.351791,lh
13.647,6.107,6.385,1.643,2.381,1.968,1010.348206,lh
7.261,5.803,7.029,1.235,1.279,1.696,1010.348206,lh
6.567,2.166,6.22,0.703,0.9,1.184,1010.350571,lh
19.587,13.448,10.011,1.465,2.251,3.238,1010.355225,lh
19.733,13.987,12.719,2.216,3.428,3.43,1010.356674,lh
17.131,13.94,14.398,2.874,3.318,3.176,1010.365524,lh
17.142,13.496,13.621,2.504,3.314,3.257,1010.368881,lh
20.826,14.925,14.048,2.617,3.377,3.689,1010.368881,lh
21.666,15.065,14.533,2.975,3.429,3.821,1010.365219,lh
18.113,15.017,16.5,3.36,3.396,3.584,1010.361252,lh
18.35,15.119,14.041,2.383,3.129,3.504,1010.358963,lh
18.379,15.337,14.229,2.495,2.786,3.499,1010.355835,lh
8.653,4.265,2.742,1.114,0.494,0.83,1010.355148,lh
8.819,4.561,2.149,0.174,0.406,0.296,1010.353317,lh
7.946,4.465,1.686,0.242,0.628,0.655,1010.344467,lh
17.348,12.812,12.9,2.108,2.179,3.463,1010.342789,lh
15.068,12.144,12.347,1.634,2.43,2.88,1010.340576,lh
6.991,5.0,3.215,1.023,0.72,0.597,1010.336227,lh
15.237,12.513,11.355,2.124,2.383,2.641,1010.333023,lh
15.994,14.183,15.439,3.115,2.709,3.299,1010.33226,lh
17.412,14.629,13.381,3.018,3.02,3.306,1010.329437,lh
16.582,13.901,13.008,2.771,2.48,3.38,1010.323181,lh
20.153,17.134,14.922,2.189,2.437,3.908,1010.319443,lh
14.207,13.697,12.16,2.517,2.696,2.903,1010.31517,lh
3.592,3.293,8.203,1.585,1.553,0.845,1010.31517,lh
19.085,15.617,12.6,2.887,3.231,3.46,1010.31517,lh
18.845,12.997,10.754,2.595,4.908,2.784,1010.316849,lh
13.988,13.912,10.983,2.185,3.828,2.649,1010.319443,lh
11.983,14.277,12.882,2.511,4.571,2.253,1010.324478,lh
13.591,14.387,11.789,1.959,3.283,2.639,1010.326385,lh
11.96,14.833,12.259,3.099,2.971,2.536,1010.329514,lh
13.31,11.509,11.644,2.98,3.685,2.44,1010.331802,lh
12.647,8.418,10.348,2.568,3.404,1.841,1010.333252,lh
9.512,10.878,6.79,2.388,2.699,1.867,1010.334473,lh
13.007,10.907,10.223,2.72,3.134,2.458,1010.338364,lh
11.824,11.929,10.473,2.668,3.442,2.458,1010.342102,lh
12.016,12.489,12.132,2.739,3.055,2.281,1010.342331,lh
13.544,12.741,9.592,2.5,3.408,2.412,1010.34462,lh
7.77,5.912,2.107,0.385,0.698,0.541,1010.34462,lh
15.467,7.871,7.86,1.26,1.895,2.402,1010.343857,lh
7.021,8.224,5.45,1.953,1.49,1.55,1010.338135,lh
11.527,11.182,11.257,2.385,2.744,1.976,1010.332031,lh
12.656,10.754,8.518,1.991,2.573,2.529,1010.328598,lh
12.447,10.508,9.424,2.265,2.974,2.52,1010.320282,lh
12.122,10.698,8.958,2.472,2.964,2.19,1010.31662,lh
12.881,8.882,9.675,2.517,2.979,2.152,1010.31662,lh
8.936,8.643,6.832,2.22,2.137,1.265,1010.318527,lh
8.7,9.475,9.251,2.736,2.846,2.109,1010.320816,lh
14.633,11.474,8.944,2.173,3.58,3.056,1010.331573,lh
17.206,13.307,11.841,3.361,3.457,2.858,1010.33226,lh
19.387,16.593,13.22,3.247,3.438,3.223,1010.333023,lh
21.595,17.712,15.969,2.828,2.898,3.767,1010.333023,lh
19.992,13.73,9.061,1.763,3.668,3.582,1010.331573,lh
12.295,6.035,4.235,1.117,1.951,1.19,1010.330048,lh
10.782,7.563,6.849,1.509,2.27,2.199,1010.330048,lh
12.438,8.459,7.361,1.63,2.339,1.833,1010.330811,lh
8.331,5.261,3.063,1.174,1.246,0.674,1010.332031,lh
14.515,10.266,8.779,2.061,2.722,2.477,1010.336609,lh
12.309,12.21,8.411,2.722,2.617,2.215,1010.338974,lh
14.031,5.262,7.23,2.077,3.147,2.177,1010.344696,lh
9.807,9.616,5.108,2.339,2.398,1.98,1010.344849,lh
11.912,12.058,10.779,2.662,2.975,2.457,1010.346985,lh
11.682,11.058,9.935,2.886,2.982,2.663,1010.353088,lh
13.855,12.504,9.895,2.087,2.864,2.566,1010.353088,lh
9.258,4.009,2.685,1.342,1.272,0.517,1010.350113,lh
11.451,7.48,7.098,0.882,2.177,1.725,1010.350113,lh
8.684,4.367,1.424,1.229,1.058,0.697,1010.350113,lh
14.082,10.802,7.231,1.504,2.666,2.392,1010.346985,lh
15.958,9.718,9.985,2.185,3.573,2.493,1010.346298,lh
22.187,14.775,14.016,2.525,4.112,3.155,1010.345078,lh
19.592,15.543,14.786,2.021,3.054,3.588,1010.345078,lh
12.315,5.696,3.671,0.785,1.393,1.19,1010.345078,lh
17.074,13.817,11.04,1.957,4.048,2.977,1010.342484,lh
20.267,17.954,15.234,3.265,4.762,4.081,1010.339737,lh
9.564,4.904,2.719,1.808,1.74,1.167,1010.338516,lh
9.633,2.086,1.594,0.385,0.908,0.398,1010.338058,lh
13.853,9.117,7.141,1.985,3.169,2.485,1010.338058,lh
15.266,9.201,8.856,2.134,3.908,2.763,1010.339355,lh
14.362,10.551,10.296,2.809,3.927,2.926,1010.34111,lh
13.179,11.469,10.664,2.669,3.841,2.746,1010.342484,lh
14.507,12.418,11.552,3.023,3.686,2.783,1010.342789,lh
12.657,11.838,12.689,2.794,3.175,2.414,1010.342789,lh
15.09,12.289,10.995,3.053,4.01,2.66,1010.342102,lh
8.811,3.747,2.267,1.57,1.368,0.509,1010.33638,lh
9.568,4.201,2.454,0.694,0.778,0.422,1010.335846,lh
6.958,5.883,2.307,0.168,0.528,0.489,1010.335007,lh
17.358,11.55,9.758,1.793,2.789,3.178,1010.334549,lh
12.965,12.714,10.974,2.952,3.474,2.637,1010.334091,lh
15.072,9.361,8.953,3.019,3.879,2.56,1010.334549,lh
15.526,10.108,8.379,3.037,3.648,2.774,1010.334778,lh
12.57,9.384,11.889,2.91,3.902,2.184,1010.338287,lh
12.645,8.596,10.543,2.703,2.734,2.27,1010.338287,lh
8.389,9.951,6.282,2.337,2.37,1.939,1010.333939,lh
16.182,5.37,4.959,1.35,1.885,1.685,1010.330963,lh
15.805,13.774,9.83,2.684,4.644,2.62,1010.330276,lh
14.449,11.825,13.958,3.046,6.712,3.063,1010.329895,lh
17.975,5.824,8.879,1.134,2.27,2.474,1010.329514,lh
18.317,14.991,13.94,1.664,5.203,3.137,1010.329208,lh
7.972,6.279,5.512,1.041,2.176,1.228,1010.329208,lh
14.911,12.021,5.474,2.41,5.617,2.253,1010.327225,lh
24.823,13.429,11.799,2.537,4.225,4.042,1010.327225,lh
10.222,1.386,2.026,1.921,1.449,0.831,1010.329666,lh
11.647,8.724,9.151,1.813,2.273,2.352,1010.330353,lh
12.803,3.552,4.544,0.964,2.032,0.884,1010.330734,lh
11.013,9.067,8.822,2.922,3.509,2.445,1010.332413,lh
11.739,9.165,8.38,1.975,3.591,2.135,1010.332413,lh
9.06,2.864,2.436,0.546,0.857,0.571,1010.328217,lh
7.113,5.698,1.157,0.466,0.686,0.32,1010.328217,lh
14.368,9.057,9.578,2.183,3.121,2.795,1010.331421,lh
13.399,9.996,10.33,2.61,3.308,2.285,1010.332794,lh
8.363,3.91,2.564,1.023,0.836,0.487,1010.332794,lh
7.808,5.413,1.389,0.42,0.891,0.562,1010.331802,lh
15.034,9.565,9.156,1.665,2.431,2.911,1010.327225,lh
14.181,11.019,5.849,2.337,2.871,2.541,1010.326538,lh
13.149,6.284,8.98,2.473,3.424,2.247,1010.325012,lh
9.499,6.653,4.22,1.851,1.976,1.638,1010.325012,lh
10.844,10.173,9.463,2.424,2.935,2.272,1010.326538,lh
9.551,2.936,1.83,0.446,0.235,0.306,1010.326538,lh
7.806,5.396,2.403,0.453,0.451,0.599,1010.32402,lh
15.615,10.903,10.263,2.27,2.943,2.961,1010.32196,lh
11.196,4.746,7.999,2.377,3.051,1.422,1010.321732,lh
11.638,8.934,9.602,2.956,2.875,2.469,1010.31662,lh
11.278,9.491,8.318,1.773,2.917,2.359,1010.31517,lh
9.262,3.83,1.825,0.423,0.22,0.178,1010.31395,lh
8.741,4.227,1.457,0.29,0.272,0.38,1010.31395,lh
16.333,9.348,8.457,2.68,3.64,3.203,1010.31456,lh
14.715,10.518,10.895,2.779,3.908,2.72,1010.31456,lh
15.298,9.932,10.352,2.659,4.887,2.525,1010.31456,lh
13.91,7.388,9.452,2.225,3.857,2.149,1010.313492,lh
8.673,3.867,1.778,0.722,0.521,0.384,1010.311813,lh
10.353,4.569,1.63,0.901,0.606,1.139,1010.311813,lh
11.861,10.289,10.33,3.201,3.122,2.702,1010.311966,lh
13.08,10.634,8.9,2.556,3.506,2.013,1010.314713,lh
9.051,4.528,1.178,0.291,0.324,0.196,1010.316696,lh
15.319,9.024,6.246,1.28,2.278,2.848,1010.320587,lh
12.474,8.096,10.823,2.645,4.092,2.395,1010.327835,lh
8.5,4.463,4.21,1.351,1.724,0.829,1010.330276,lh
9.285,2.198,2.625,0.542,0.809,0.421,1010.333099,lh
8.684,4.01,1.64,0.233,0.528,0.614,1010.336838,lh
15.393,9.492,6.951,1.934,3.655,2.384,1010.340881,lh
13.54,9.684,8.876,3.238,3.924,2.99,1010.34111,lh
13.022,9.707,9.72,2.987,4.472,2.266,1010.340881,lh
9.217,3.595,3.848,1.076,1.577,0.581,1010.338898,lh
9.194,2.825,1.495,0.165,0.305,0.157,1010.33638,lh
9.325,3.401,1.378,0.344,0.416,0.144,1010.330582,lh
8.845,4.229,1.592,0.358,0.634,0.727,1010.327759,lh
16.231,10.914,8.471,1.638,2.686,2.676,1010.324631,lh
15.325,9.638,12.001,3.522,4.278,2.929,1010.324631,lh
14.975,8.944,7.986,2.395,2.886,2.908,1010.327225,lh
12.692,5.873,4.757,1.927,3.148,1.529,1010.328064,lh
8.967,7.308,5.548,1.737,2.685,1.823,1010.328903,lh
12.121,9.216,6.901,1.961,3.622,2.734,1010.331955,lh
13.252,8.017,8.835,1.97,3.798,1.738,1010.333862,lh
9.123,3.851,1.704,0.495,0.548,0.333,1010.333939,lh
8.893,4.118,1.378,0.213,0.21,0.147,1010.334549,lh
8.173,5.72,1.879,0.248,0.511,0.61,1010.336227,lh
15.62,10.059,9.31,2.184,2.845,2.568,1010.336838,lh
13.553,8.954,12.896,3.021,4.695,2.722,1010.338287,lh
15.073,11.67,13.786,3.239,5.006,3.06,1010.338287,lh
15.001,9.376,14.527,3.175,5.031,2.807,1010.336838,lh
8.952,3.258,1.771,1.092,1.041,0.621,1010.333328,lh
16.773,10.034,6.888,1.603,2.969,2.619,1010.331345,lh
12.551,9.429,12.143,2.438,5.761,2.799,1010.328903,lh
12.361,8.503,13.276,2.343,4.488,2.256,1010.327225,lh
9.033,3.742,1.966,0.638,1.073,0.419,1010.326385,lh
17.224,10.003,6.456,1.481,2.683,2.885,1010.326385,lh
15.1,11.228,13.768,3.003,4.549,2.741,1010.326385,lh
14.594,11.232,15.457,3.517,5.921,2.852,1010.32547,lh
16.467,10.65,11.701,3.05,5.827,2.999,1010.32196,lh
14.236,10.645,12.293,2.442,3.19,2.489,1010.32196,lh
8.659,3.69,2.256,0.462,0.444,0.143,1010.322342,lh
8.139,5.081,3.081,0.497,0.526,0.707,1010.323792,lh
8.994,3.638,2.712,0.341,0.567,0.781,1010.326309,lh
12.613,5.6,5.23,0.965,0.962,1.363,1010.326309,lh
13.876,10.392,8.523,2.499,3.769,2.799,1010.32341,lh
19.735,13.394,11.764,2.43,4.702,3.334,1010.323181,lh
22.81,15.759,13.75,2.731,4.8,4.217,1010.322342,lh
15.078,15.62,15.286,2.889,4.612,3.15,1010.320816,lh
16.948,14.169,14.42,3.123,4.554,2.95,1010.320816,lh
15.892,13.269,15.133,3.29,4.875,3.402,1010.322723,lh
12.781,16.002,17.812,3.378,5.895,2.52,1010.324631,lh
11.368,9.896,7.75,2.481,3.86,1.906,1010.325928,lh
8.594,3.845,2.976,0.504,0.676,0.905,1010.336227,lh
8.103,5.721,2.218,0.53,1.656,0.516,1010.341034,lh
14.425,3.908,4.732,1.014,1.821,1.307,1010.343857,lh
17.069,11.126,9.266,2.862,4.611,3.005,1010.344238,lh
14.244,12.223,9.903,3.052,3.57,2.858,1010.344238,lh
12.785,10.507,12.274,3.187,3.247,2.948,1010.335541,lh
13.045,11.196,11.512,2.614,4.272,3.157,1010.326996,lh
11.87,11.361,11.173,2.85,3.972,2.623,1010.319748,lh
13.573,9.922,8.116,2.091,3.938,2.382,1010.31311,lh
9.732,2.232,2.965,0.787,1.216,0.729,1010.309067,lh
17.664,10.586,9.323,2.566,5.461,2.879,1010.305099,lh
11.8,8.265,9.52,1.345,3.511,2.016,1010.301895,lh
9.806,1.882,1.907,0.379,0.487,0.505,1010.297012,lh
9.593,2.303,1.166,0.372,0.309,0.268,1010.294647,lh
8.745,3.488,1.791,0.239,0.612,0.53,1010.294647,lh
8.707,4.046,2.474,0.596,0.775,0.737,1010.297775,lh
17.81,10.638,9.779,2.094,4.425,3.536,1010.298767,lh
17.73,12.734,13.877,2.834,5.456,2.818,1010.303574,lh
13.022,11.313,10.177,2.227,3.662,2.402,1010.30426,lh
16.565,9.801,6.65,1.805,3.656,2.494,1010.305634,lh
12.88,12.15,12.578,2.961,4.866,2.723,1010.305634,lh
13.058,10.836,11.568,3.231,4.131,2.371,1010.308914,lh
10.125,1.094,3.06,0.78,1.269,1.36,1010.310593,lh
8.931,2.591,2.878,0.31,0.449,0.305,1010.315781,lh
9.645,3.11,1.552,0.39,0.394,0.35,1010.318298,lh
8.521,4.319,2.032,0.313,0.536,0.52,1010.318756,lh
8.189,4.667,1.669,0.36,0.351,0.276,1010.318298,lh
17.31,11.708,10.255,1.412,2.812,3.113,1010.317917,lh
17.976,9.961,10.657,3.354,5.96,3.44,1010.313492,lh
12.896,11.004,12.283,2.443,3.115,2.458,1010.313492,lh
9.133,4.192,3.624,0.736,1.014,0.724,1010.31723,lh
18.333,12.565,8.584,2.099,3.162,2.945,1010.320587,lh
12.931,11.78,13.526,3.114,5.468,2.827,1010.321045,lh
14.204,8.325,9.561,2.371,4.329,2.895,1010.329285,lh
8.609,3.134,4.403,1.144,1.608,0.913,1010.332642,lh
9.495,2.053,2.235,0.371,0.265,0.472,1010.338974,lh
7.824,3.986,2.279,0.414,0.334,0.52,1010.347137,lh
9.826,2.183,3.161,1.122,0.78,1.397,1010.352859,lh
8.691,6.387,5.86,1.251,1.56,0.921,1010.353317,lh
18.622,12.853,11.602,2.246,4.27,3.575,1010.352859,lh
13.06,12.989,13.184,2.852,5.695,3.101,1010.350571,lh
11.646,13.567,13.643,3.474,4.976,2.912,1010.345001,lh
12.156,11.335,8.352,2.008,4.752,1.749,1010.342712,lh
14.359,11.955,11.166,2.337,4.344,2.221,1010.338974,lh
15.058,12.275,11.372,2.984,6.141,3.144,1010.336075,lh
13.659,11.934,13.77,2.704,5.583,2.918,1010.336075,lh
11.567,12.749,12.67,2.992,5.325,2.492,1010.336075,lh
11.374,10.928,11.583,3.002,4.835,2.279,1010.336075,lh
8.91,2.293,2.942,1.274,1.353,0.948,1010.336075,lh
8.485,2.974,2.199,0.341,0.284,0.526,1010.33638,lh
7.927,5.821,3.756,0.795,0.416,0.449,1010.336456,lh
7.552,5.216,2.667,0.569,0.394,0.452,1010.338058,lh
15.227,10.204,8.305,2.772,4.506,2.997,1010.338593,lh
15.69,10.687,11.216,2.968,5.189,2.993,1010.339737,lh
17.422,12.817,12.154,2.923,5.207,3.283,1010.340881,lh
18.829,11.402,9.861,2.479,4.998,2.58,1010.341415,lh
20.693,14.833,13.581,3.307,4.477,3.658,1010.34462,lh
20.366,13.949,12.539,3.974,3.908,3.377,1010.347366,lh
17.123,13.82,12.67,3.096,4.549,3.117,1010.350266,lh
20.049,12.701,13.027,2.895,5.585,2.954,1010.350342,lh
15.523,8.21,13.819,3.241,5.002,2.957,1010.35141,lh
8.018,6.018,5.962,1.006,2.299,1.424,1010.352402,lh
9.772,1.714,1.62,0.462,0.83,0.827,1010.353241,lh
12.719,3.914,1.523,1.219,1.923,1.154,1010.354538,lh
14.351,8.401,7.865,2.706,5.042,2.87,1010.356064,lh
15.128,8.852,7.5,1.946,3.837,2.873,1010.361023,lh
11.458,4.606,10.993,1.147,3.47,2.103,1010.361023,lh
7.919,1.723,5.485,0.822,1.098,0.841,1010.360413,lh
7.742,6.792,9.183,1.755,3.567,1.213,1010.357742,lh
7.909,3.367,4.763,1.156,1.001,0.273,1010.35553,lh
7.931,4.626,3.2,0.396,0.888,0.551,1010.352783,lh
7.518,3.886,4.826,0.44,0.523,0.347,1010.3357502293909,lh
8.486,4.086,2.357,0.276,0.577,0.46,1010.3357502293909,lh
17.96,6.181,4.409,1.21,1.945,2.209,1010.3357502293909,lh
17.861,10.856,9.36,2.559,5.709,3.018,1010.3357502293909,lh
13.314,8.289,9.967,2.865,4.434,2.202,1010.3357502293909,lh
8.882,8.39,4.737,1.8,2.793,1.531,1010.3357502293909,lh
9.192,2.411,1.927,0.549,0.955,0.597,1010.3357502293909,lh
13.719,7.409,8.152,1.78,3.769,2.123,1010.3357502293909,lh
10.047,2.753,2.982,0.733,0.785,0.75,1010.3357502293909,lh
16.842,8.956,6.644,1.565,3.226,2.557,1010.3357502293909,lh
12.88,8.724,9.674,2.055,5.104,2.259,1010.3357502293909,lh
15.85,11.284,12.7,2.645,5.31,2.94,1010.3357502293909,lh
13.796,13.126,13.57,2.824,4.194,2.705,1010.3357502293909,lh
13.312,11.959,11.851,2.912,4.181,2.752,1010.3357502293909,lh
14.367,10.007,13.846,3.401,4.372,3.076,1010.3357502293909,lh
9.581,2.133,3.611,0.963,1.768,1.218,1010.3357502293909,lh
9.569,0.653,1.553,0.243,0.53,0.458,1010.3357502293909,lh
9.302,0.87,1.593,0.417,0.61,0.929,1010.3357502293909,lh
16.813,9.157,5.622,1.18,2.481,2.997,1010.3357502293909,lh
5.177,1.87,9.011,0.233,0.813,0.688,1010.3357502293909,lh
7.323,0.777,7.151,0.38,0.738,0.628,1010.3357502293909,lh
17.062,9.102,8.009,2.111,4.261,3.177,1010.3357502293909,lh
13.024,10.737,13.299,3.576,5.459,2.838,1010.3357502293909,lh
