,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0,0.94,2.556,4.737,18.41,18.712,9.713,righthook
1,1.309,1.25,2.045,2.015,2.789,2.092,rightuppercut
2,0.731,0.976,1.708,4.684,4.073,3.633,righthook
3,0.7,2.188,1.335,3.443,4.564,4.659,rightuppercut
4,1.202,1.424,0.666,1.988,1.778,1.809,lefthook
5,1.905,2.984,2.954,3.459,6.389,2.536,jab
6,0.262,0.359,0.468,0.489,0.476,0.698,rightnopunch
7,1.174,0.154,0.365,0.209,0.956,1.079,rightuppercut
8,2.019,1.558,1.267,4.17,6.449,6.311,rightuppercut
9,0.366,0.171,0.254,0.431,0.554,0.411,rightnopunch
10,0.088,0.1,0.03,0.092,0.081,0.299,leftnopunch
11,0.485,0.235,0.42,0.816,0.991,0.893,rightnopunch
12,1.18,1.621,3.381,13.501,12.322,8.573,lefthook
13,1.419,1.912,2.469,6.498,4.152,4.134,rightuppercut
14,0.161,0.137,0.063,0.135,0.178,0.208,jab
15,1.846,2.526,3.914,14.188,14.388,11.954,lefthook
16,0.199,0.374,0.243,0.676,0.739,0.421,rightnopunch
17,0.251,0.185,0.273,0.248,0.474,0.475,leftnopunch
18,2.884,5.388,2.341,8.083,10.678,10.399,jab
19,0.121,0.06,0.023,0.109,0.066,0.073,rightuppercut
20,1.368,2.985,2.355,3.128,5.53,2.154,jab
21,2.571,1.662,2.55,4.81,10.2,12.016,lefthook
22,1.797,2.113,3.043,14.82,10.969,12.269,lefthook
23,1.575,2.382,1.912,7.708,7.123,3.998,cross
24,0.725,0.556,0.59,0.721,1.425,1.358,lefthook
25,0.419,0.441,0.157,0.451,0.32,0.114,rightnopunch
26,0.15,0.259,0.303,1.341,1.326,1.495,leftnopunch
27,0.398,0.305,0.595,1.723,3.982,1.359,rightnopunch
28,0.348,0.112,0.231,0.13,1.002,0.283,lefthook
29,1.697,5.853,3.164,9.479,13.512,7.238,jab
30,0.581,0.607,0.445,2.837,2.048,2.197,lefthook
31,3.97,1.938,1.342,4.277,10.187,9.321,righthook
32,2.453,2.876,4.529,18.598,17.921,13.015,righthook
33,0.63,1.035,0.844,3.522,3.73,4.076,cross
34,0.211,0.138,0.14,0.209,0.174,0.502,leftnopunch
35,0.536,1.402,0.953,1.927,4.215,1.594,cross
36,1.74,3.153,2.494,3.838,8.001,2.677,cross
37,0.635,0.654,0.999,3.382,2.906,2.995,rightnopunch
38,1.069,4.377,2.181,5.495,5.827,4.229,cross
39,1.895,1.398,1.085,5.746,2.519,3.747,righthook
40,0.17,0.552,0.476,2.082,2.286,2.6,rightnopunch
41,0.355,1.35,0.994,1.356,2.07,0.905,rightuppercut
42,0.924,1.158,1.574,5.444,3.813,3.505,lefthook
43,0.075,0.07,0.07,0.181,0.253,0.144,righthook
44,0.983,0.56,1.179,1.171,1.69,1.337,leftuppercut
45,0.195,0.115,0.096,0.256,0.588,0.852,leftnopunch
46,1.153,1.948,4.458,19.144,14.653,10.609,righthook
47,2.731,0.928,2.568,6.212,7.978,7.698,righthook
48,4.088,3.82,2.941,9.583,10.292,12.514,leftuppercut
49,3.731,2.867,1.572,8.395,16.345,15.105,rightuppercut
50,0.44,0.289,0.182,0.4,0.677,0.338,rightnopunch
51,1.642,1.612,1.217,6.306,9.261,5.927,lefthook
52,0.321,0.611,0.46,0.281,0.334,0.796,cross
53,2.556,1.588,1.747,2.567,8.583,6.939,lefthook
54,0.066,0.052,0.057,0.124,0.088,0.164,righthook
55,1.263,2.063,0.809,2.377,2.298,1.655,lefthook
56,2.671,1.25,2.135,5.348,8.636,6.872,righthook
57,2.035,4.483,3.261,18.079,16.188,7.505,cross
58,0.079,0.056,0.076,0.11,0.107,0.198,leftnopunch
59,0.274,0.305,0.32,0.598,0.452,1.043,rightnopunch
60,3.196,2.626,2.664,4.215,11.963,14.436,leftuppercut
61,0.507,1.144,0.541,1.101,2.281,1.354,jab
62,2.918,1.423,1.72,5.131,7.089,8.291,rightuppercut
63,0.641,0.694,1.038,3.72,3.492,1.763,cross
64,0.339,0.537,0.591,1.918,0.948,4.488,leftuppercut
65,1.292,0.547,0.626,0.465,2.05,1.356,leftuppercut
66,0.874,1.92,1.125,8.077,8.926,4.945,cross
67,0.365,0.203,0.191,0.58,0.309,0.748,leftnopunch
68,3.161,3.068,2.544,5.657,11.772,12.338,leftuppercut
69,1.6,2.034,2.092,10.751,12.457,5.713,righthook
70,0.044,0.055,0.036,0.073,0.052,0.118,cross
71,0.316,0.492,0.404,1.756,1.594,1.946,leftnopunch
72,0.409,0.548,0.377,1.638,1.471,3.323,leftuppercut
73,0.154,0.116,0.233,0.272,0.496,0.587,leftnopunch
74,0.23,0.204,0.127,0.631,0.457,0.563,leftnopunch
75,1.764,3.894,2.087,7.549,10.748,7.158,jab
76,0.127,1.15,0.274,0.973,0.684,0.945,cross
77,0.322,0.419,0.178,1.084,0.714,0.663,cross
78,0.424,0.218,0.863,0.672,1.227,0.654,leftuppercut
79,0.168,0.143,0.188,0.985,1.047,1.367,leftnopunch
80,0.491,0.632,0.207,1.266,1.057,0.751,jab
81,0.48,0.854,0.629,3.626,3.25,1.935,jab
82,0.277,0.15,0.16,0.386,0.267,0.484,leftnopunch
83,0.374,0.467,0.267,1.759,2.82,1.909,leftuppercut
84,3.837,2.914,2.102,5.44,17.932,18.865,leftuppercut
85,0.326,0.633,1.109,1.209,1.036,0.782,righthook
86,1.13,2.887,2.107,3.433,5.406,3.724,cross
87,0.139,0.076,0.053,0.17,0.315,0.205,rightuppercut
88,0.262,0.324,0.177,0.305,0.514,0.71,leftnopunch
89,0.668,0.319,0.29,0.94,0.657,1.207,leftnopunch
90,0.09,0.055,0.115,0.317,0.149,0.116,rightnopunch
91,0.166,0.541,0.321,1.668,2.149,1.599,leftnopunch
92,4.046,2.918,1.912,4.834,15.102,16.621,leftuppercut
93,1.384,1.565,1.008,2.775,5.246,3.644,jab
94,1.703,1.748,1.231,2.935,8.217,6.45,leftuppercut
95,0.253,0.419,0.182,0.869,0.651,0.426,jab
96,0.671,2.892,0.998,1.488,1.317,1.235,jab
97,0.59,1.004,1.462,6.307,4.92,2.457,jab
