X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.925,14.832,4.943,1.414,2.987,1.559,1012.981262,jab
8.74,15.64,8.607,1.587,5.303,2.169,1012.968826,jab
10.453,15.2,8.417,1.608,4.786,2.158,1012.95639,jab
12.217,19.12,7.228,1.326,4.604,2.515,1012.95639,jab
13.07,20.061,9.513,2.197,7.206,3.114,1012.964706,jab
14.389,19.907,11.888,2.142,6.837,3.39,1012.964706,jab
12.684,15.976,8.66,1.746,6.634,2.703,1012.955246,jab
12.942,18.781,8.803,2.072,6.876,2.558,1012.955246,jab
16.094,22.016,11.895,2.37,7.716,3.663,1012.958603,jab
12.839,17.056,9.497,1.74,6.245,2.912,1012.960052,jab
13.491,21.705,10.283,2.649,7.588,3.014,1012.960052,jab
14.15,22.661,10.831,2.344,6.828,3.609,1012.98111,jab
12.446,18.919,8.179,1.549,6.336,2.143,1012.995911,jab
18.2,20.853,10.773,3.086,9.822,3.949,1012.995911,jab
13.915,16.359,8.604,1.782,5.872,2.344,1012.990265,jab
13.538,20.023,7.142,2.076,7.95,2.759,1012.988968,jab
14.542,19.829,10.152,2.214,8.125,3.068,1012.982407,jab
12.758,15.05,8.027,1.445,6.067,2.332,1012.977829,jab
14.24,18.22,8.698,2.051,8.071,2.649,1012.982407,jab
14.095,19.974,8.799,1.89,6.645,2.809,1012.984924,jab
12.324,17.931,8.814,1.629,6.799,1.886,1012.984924,jab
12.832,17.255,5.247,1.411,4.364,1.973,1012.976151,jab
13.335,23.04,10.743,2.389,8.089,2.972,1012.976151,jab
10.896,16.544,10.097,1.788,6.454,2.417,1012.981415,jab
10.72,14.319,5.919,1.325,5.71,1.98,1012.982483,jab
9.918,11.781,7.703,1.526,4.545,1.935,1012.984543,jab
9.723,14.823,7.944,1.453,5.223,1.934,1012.982483,jab
7.874,18.462,7.528,1.178,5.667,2.161,1012.97905,jab
12.031,21.249,9.309,2.25,7.693,3.439,1012.977142,jab
10.946,15.447,8.132,1.362,5.578,2.826,1012.977142,jab
12.691,16.986,7.49,1.375,5.229,2.397,1012.978439,jab
12.057,22.608,10.496,2.353,8.564,3.401,1012.980499,jab
10.288,15.445,7.327,1.368,4.858,2.16,1012.980499,jab
10.827,14.197,7.182,1.508,5.679,2.554,1012.980499,jab
10.895,16.785,6.684,1.464,5.925,2.361,1012.977524,jab
12.253,20.416,8.957,2.111,6.787,3.361,1012.976685,jab
9.665,15.471,8.671,1.676,4.918,2.444,1012.975845,jab
10.944,17.208,7.817,1.485,6.271,2.233,1012.975845,jab
11.69,20.091,8.275,2.026,6.638,3.28,1012.973099,jab
9.988,4.747,2.723,0.488,1.192,1.001,1012.971725,jab
8.355,4.077,1.71,0.408,0.803,0.544,1012.970657,jab
12.923,21.835,10.765,2.239,6.556,3.629,1012.969971,jab
9.844,12.712,6.743,1.407,5.531,2.389,1012.968674,jab
10.264,14.059,6.66,1.441,3.917,2.22,1012.969971,jab
10.549,22.359,9.184,1.978,7.992,3.133,1012.9702,jab
10.223,15.153,6.338,1.461,5.185,2.038,1012.9702,jab
12.198,18.793,8.423,1.957,6.982,3.376,1012.968903,jab
8.605,14.368,7.458,1.169,4.804,1.976,1012.968292,jab
9.631,17.781,6.661,1.448,5.279,2.465,1012.968292,jab
9.474,10.087,7.955,1.638,2.755,1.929,1012.969818,jab
9.389,3.246,2.726,0.595,0.783,0.859,1012.970581,jab
8.529,7.89,3.473,0.548,2.429,0.804,1012.970581,jab
9.144,19.337,8.272,1.563,4.971,3.091,1012.982178,jab
9.32,13.373,6.811,1.171,4.187,1.769,1012.982178,jab
8.89,5.2,2.98,0.53,0.936,0.829,1012.983856,jab
6.753,6.511,3.21,0.326,0.652,0.801,1012.995453,jab
14.404,28.004,12.772,3.004,8.202,5.243,1012.995453,jab
8.152,10.856,5.278,1.192,2.649,1.758,1012.988129,jab
7.077,5.686,2.313,0.329,0.782,0.64,1012.986832,jab
11.199,19.769,9.819,1.489,5.787,3.158,1012.98584,jab
10.212,12.598,5.728,1.012,3.178,1.925,1012.968674,jab
8.255,5.034,1.952,0.32,0.445,0.419,1012.968674,jab
11.538,12.978,7.986,1.439,4.037,2.143,1012.969589,jab
8.381,5.598,2.277,0.33,0.476,0.455,1012.970886,jab
8.184,4.177,1.608,0.36,0.386,0.292,1012.970886,jab
7.688,5.35,2.199,0.204,0.305,0.267,1012.967682,jab
10.239,14.609,7.187,1.294,4.264,2.243,1012.965775,jab
10.147,18.941,6.505,1.427,5.272,2.385,1012.964249,jab
9.72,11.488,4.903,0.99,2.114,1.673,1012.964096,jab
11.347,12.14,5.406,1.281,3.49,1.541,1012.964096,jab
7.99,9.922,5.349,0.661,2.699,1.263,1012.96875,jab
8.026,10.584,6.703,0.806,2.711,1.527,1012.969742,jab
8.684,13.35,6.68,1.208,3.394,1.505,1012.972794,jab
7.059,14.452,5.879,0.783,3.195,1.793,1012.974396,jab
9.534,15.159,6.838,1.373,4.273,2.167,1012.974396,jab
9.54,16.705,7.06,1.347,4.507,2.167,1012.974396,jab
7.522,15.982,7.217,1.349,5.711,2.458,1012.970276,jab
7.785,10.52,4.754,0.906,2.102,1.213,1012.970276,jab
8.723,3.862,2.331,0.192,0.234,0.158,1012.96814,jab
8.652,4.415,1.723,0.327,0.397,0.344,1012.96814,jab
8.148,4.797,1.532,0.242,0.385,0.359,1012.9702,jab
10.037,14.463,6.92,1.377,4.768,2.316,1012.9702,jab
8.399,12.439,5.989,1.301,3.322,1.775,1012.969971,jab
8.2,5.74,2.483,0.33,0.42,0.345,1012.969208,jab
9.682,13.079,5.558,1.334,3.779,2.206,1012.967453,jab
9.364,14.849,6.065,0.988,4.308,2.075,1012.964935,jab
8.93,12.675,6.323,0.902,3.287,1.748,1012.964554,jab
9.428,11.151,6.418,1.476,3.18,1.646,1012.964554,jab
8.318,4.655,2.868,0.505,0.434,0.57,1012.9673,jab
7.864,4.565,2.04,0.321,0.301,0.406,1012.974396,jab
10.339,12.487,6.069,1.338,3.168,2.107,1012.978439,jab
8.847,23.889,9.886,2.005,6.606,3.423,1012.97905,jab
9.228,5.004,3.246,0.68,1.868,1.116,1012.97905,jab
8.399,6.206,2.833,0.362,0.765,0.395,1012.977829,jab
10.435,21.381,7.94,1.621,6.658,3.701,1012.971954,jab
8.862,17.105,7.35,1.047,4.915,2.157,1012.9702,jab
11.83,20.152,7.165,1.988,6.826,3.275,1012.968521,jab
9.395,17.349,6.489,1.407,5.286,2.468,1012.966995,jab
9.224,16.54,5.538,1.363,4.197,2.165,1012.966995,jab
11.296,19.968,8.492,1.905,6.77,3.609,1012.967834,jab
10.743,16.114,7.055,1.399,5.91,2.922,1012.969971,jab
8.405,4.449,3.422,0.375,1.086,0.351,1012.97081,jab
