X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.353,16.721,15.952,3.279,1.749,1.705,1010.5159,lu
10.712,13.938,19.355,4.434,3.564,1.513,1010.523529,lu
7.918,8.736,11.294,3.486,2.468,1.37,1010.531235,lu
10.6,2.591,4.909,1.334,0.828,1.185,1010.531235,lu
9.345,14.952,16.698,3.781,4.397,2.032,1010.533981,lu
10.912,14.2,17.218,4.272,4.011,1.919,1010.547104,lu
8.724,13.738,14.309,3.186,2.753,1.269,1010.550995,lu
8.455,3.437,2.229,0.321,0.74,0.755,1010.553284,lu
8.239,14.842,17.577,3.422,3.912,1.705,1010.561066,lu
8.527,15.455,18.633,4.081,3.715,1.526,1010.56488,lu
6.92,15.728,22.423,4.321,3.817,1.49,1010.56488,lu
6.35,15.989,25.072,4.59,3.364,1.804,1010.550461,lu
6.74,16.851,22.89,4.288,3.555,1.588,1010.546494,lu
9.426,15.758,15.285,3.564,2.768,0.971,1010.529709,lu
7.744,5.785,2.328,0.448,0.525,0.447,1010.512619,lu
6.395,6.613,13.149,1.963,2.206,1.213,1010.507965,lu
4.837,13.043,10.99,2.545,2.984,1.397,1010.507126,lu
5.369,13.5,17.994,3.532,3.548,1.695,1010.507126,lu
5.9,14.446,20.223,4.241,3.34,1.539,1010.516052,lu
5.848,14.743,20.364,4.497,3.377,1.328,1010.529251,lu
7.282,15.363,19.985,4.399,3.754,1.679,1010.530319,lu
9.102,13.045,20.807,4.85,2.623,1.226,1010.535812,lu
10.618,10.681,15.262,3.48,1.73,0.932,1010.540466,lu
8.875,10.54,16.789,3.616,1.434,0.634,1010.540466,lu
7.144,6.221,19.501,4.63,2.018,0.982,1010.540161,lu
8.059,11.563,19.711,4.695,2.483,1.169,1010.535583,lu
6.831,13.089,20.276,4.574,2.649,1.221,1010.535583,lu
6.865,13.195,19.303,4.524,3.026,1.298,1010.534897,lu
8.373,5.121,13.761,3.648,3.114,1.198,1010.534515,lu
7.052,13.337,21.18,5.37,2.745,1.632,1010.531006,lu
7.257,11.232,17.678,4.613,2.954,1.151,1010.528641,lu
9.612,13.865,19.76,5.004,2.311,0.981,1010.526581,lu
10.098,12.079,10.914,3.281,2.484,1.171,1010.515594,lu
5.631,13.477,18.79,3.976,3.241,1.727,1010.515366,lu
6.369,1.746,8.737,0.7,0.783,0.789,1010.515594,lu
6.82,3.815,5.933,1.182,2.272,0.511,1010.52742,lu
6.938,16.747,21.692,4.335,4.193,2.548,1010.529251,lu
11.706,15.491,23.722,5.598,4.774,1.755,1010.530472,lu
10.773,20.127,24.538,6.023,4.583,2.945,1010.530472,lu
7.281,4.826,8.899,2.316,1.836,0.953,1010.531158,lu
8.979,13.458,23.238,4.851,3.538,2.477,1010.527954,lu
8.898,13.22,21.124,5.082,2.781,2.065,1010.531158,lu
6.824,3.981,8.844,1.778,2.699,2.018,1010.531158,lu
7.714,13.85,18.488,4.601,2.755,1.611,1010.537262,lu
6.402,14.464,20.034,4.646,4.272,1.474,1010.542068,lu
6.892,13.586,24.87,6.36,3.629,1.706,1010.546722,lu
6.556,11.707,16.726,4.624,3.139,1.265,1010.549927,lu
7.424,11.681,18.89,4.793,3.261,1.846,1010.56015,lu
5.394,4.678,10.43,1.799,1.434,0.872,1010.56015,lu
7.547,2.683,5.755,0.953,1.343,0.604,1010.559158,lu
7.843,13.663,22.694,4.891,3.879,2.491,1010.559006,lu
7.573,4.227,4.326,1.277,2.035,0.897,1010.548782,lu
6.585,13.866,21.219,4.515,3.413,1.866,1010.540848,lu
8.225,9.872,12.97,3.341,3.165,2.154,1010.529327,lu
5.459,6.076,8.79,1.988,1.87,1.155,1010.516357,lu
7.773,4.096,4.191,0.754,1.33,0.763,1010.503159,lu
4.614,14.4,21.553,4.54,3.561,2.347,1010.498581,lu
8.332,13.082,18.781,4.999,2.641,2.239,1010.50209,lu
6.689,4.69,6.774,0.63,2.057,1.104,1010.50209,lu
8.116,3.704,3.463,0.294,0.58,0.884,1010.50415,lu
6.482,14.717,20.41,4.738,3.207,2.103,1010.506134,lu
4.91,12.868,21.325,4.889,3.766,1.553,1010.506134,lu
5.978,11.146,18.551,5.193,2.93,1.318,1010.504608,lu
5.16,12.877,19.006,4.65,3.029,1.707,1010.503006,lu
5.316,12.723,16.817,3.588,3.699,1.286,1010.501099,lu
7.056,7.501,6.265,1.696,1.727,0.488,1010.501099,lu
7.797,5.097,1.57,0.123,0.196,0.146,1010.507126,lu
7.853,3.98,2.812,0.334,0.679,0.676,1010.510788,lu
5.86,13.309,21.387,4.425,3.781,2.234,1010.510788,lu
4.188,14.943,21.346,4.008,2.952,1.982,1010.510788,lu
5.962,5.375,8.475,1.617,2.492,1.334,1010.509644,lu
7.239,12.76,14.242,3.717,2.3,1.497,1010.509644,lu
6.225,13.954,18.075,4.257,3.42,1.647,1010.509644,lu
7.237,10.88,13.478,3.636,2.799,2.052,1010.518265,lu
6.044,6.651,8.05,1.986,2.305,0.787,1010.518265,lu
5.904,10.963,19.686,4.85,3.49,1.746,1010.513229,lu
5.855,13.243,16.135,3.564,2.701,0.978,1010.513229,lu
5.295,6.173,5.43,0.435,0.69,0.315,1010.518799,lu
5.623,6.933,14.474,2.201,2.297,2.074,1010.519104,lu
6.516,10.389,8.928,2.509,2.526,1.218,1010.521698,lu
3.879,13.905,17.459,3.722,2.612,1.33,1010.520401,lu
5.783,12.583,17.265,3.696,2.197,2.097,1010.520401,lu
6.743,4.696,4.83,0.739,1.898,0.798,1010.520401,lu
6.979,13.725,23.162,4.708,3.666,1.783,1010.52269,lu
6.238,12.718,15.838,3.733,2.958,1.143,1010.525513,lu
7.474,5.956,2.13,0.752,1.215,0.337,1010.527725,lu
6.284,15.268,16.112,3.739,2.412,1.451,1010.527725,lu
6.213,12.519,17.242,4.185,4.111,1.668,1010.529099,lu
6.134,14.703,21.344,4.175,2.814,1.812,1010.529251,lu
6.518,14.382,22.4,4.571,3.318,1.717,1010.529251,lu
6.733,14.539,21.242,4.96,3.787,1.457,1010.51796,lu
5.184,6.567,12.466,1.971,2.995,1.568,1010.516434,lu
7.121,11.979,18.571,4.249,2.052,1.679,1010.51033,lu
6.642,14.381,21.79,4.469,3.351,1.818,1010.503998,lu
8.808,13.657,18.681,4.313,1.837,1.751,1010.503998,lu
5.99,11.912,18.345,3.498,2.806,1.642,1010.509491,lu
6.289,8.265,9.514,2.078,1.576,0.536,1010.52063,lu
8.182,3.551,3.486,0.375,0.364,0.439,1010.530167,lu
8.093,3.884,3.316,0.183,0.267,0.25,1010.538483,lu
8.218,3.854,3.511,0.148,0.113,0.1,1010.546265,lu
7.457,5.82,5.786,0.877,2.229,1.232,1010.546265,lu
8.118,14.613,18.262,4.012,2.749,2.044,1010.545197,lu
6.047,16.287,21.907,4.368,3.433,1.826,1010.543137,lu
7.451,12.012,17.23,4.508,2.502,1.952,1010.539093,lu
7.778,12.04,17.867,3.753,3.61,1.84,1010.538559,lu
6.295,13.149,20.687,4.682,3.029,1.695,1010.530472,lu
5.837,9.944,18.551,3.44,3.144,1.834,1010.527802,lu
7.168,13.407,14.832,3.757,2.481,1.314,1010.521851,lu
3.32,12.511,19.867,3.816,1.506,1.326,1010.520477,lu
5.888,2.644,7.806,0.589,0.459,0.502,1010.520477,lu
6.807,3.492,5.699,0.193,0.294,0.407,1010.521317,lu
7.19,3.237,6.043,0.646,0.749,0.387,1010.522537,lu
7.279,15.586,22.239,4.111,2.742,2.376,1010.522537,lu
5.541,13.109,19.623,4.479,2.45,2.056,1010.522537,lu
5.334,10.702,18.952,3.354,3.074,2.412,1010.517197,lu
5.148,7.249,13.652,2.736,2.675,2.191,1010.518494,lu
7.72,13.422,19.083,4.233,2.441,2.096,1010.518494,lu
5.375,12.36,20.995,4.208,2.676,2.136,1010.522079,lu
5.688,12.815,19.359,3.91,2.278,2.151,1010.525284,lu
5.744,5.053,7.232,1.426,1.916,1.056,1010.52887,lu
6.373,13.752,17.669,4.063,3.237,2.191,1010.537872,lu
7.525,13.282,19.481,4.447,2.548,1.835,1010.546722,lu
6.599,4.556,9.269,1.993,2.639,1.707,1010.557938,lu
4.854,11.764,13.581,3.434,1.95,0.881,1010.561295,lu
8.296,3.584,3.68,0.784,0.506,0.242,1010.563812,lu
8.487,4.485,2.255,0.447,0.49,0.229,1010.563812,lu
7.98,15.524,19.049,3.828,3.168,1.727,1010.562286,lu
4.69,15.284,18.08,3.686,3.229,1.742,1010.558319,lu
4.989,14.948,19.972,3.709,3.03,2.121,1010.543976,lu
5.997,13.998,19.411,3.871,2.888,2.388,1010.533676,lu
7.955,12.695,17.189,4.424,3.469,1.695,1010.526733,lu
11.053,12.282,19.06,4.695,2.94,1.092,1010.526047,lu
6.967,13.857,21.766,4.619,2.369,1.488,1010.525513,lu
6.313,14.279,20.048,4.61,2.461,1.669,1010.525055,lu
4.534,12.126,16.427,2.569,2.879,2.1,1010.525055,lu
