X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
6.546,6.75,3.111,0.143,0.213,0.157,1012.949295,rght_nopunch
6.079,6.968,3.785,0.188,0.202,0.163,1012.949142,rght_nopunch
6.055,6.775,3.812,0.201,0.209,0.186,1012.949066,rght_nopunch
6.845,5.581,3.999,0.17,0.209,0.193,1012.949066,rght_nopunch
6.765,6.126,4.301,0.163,0.25,0.187,1012.951355,rght_nopunch
6.381,6.082,4.543,0.229,0.209,0.225,1012.952042,rght_nopunch
6.85,5.579,3.563,0.283,0.327,0.28,1012.952576,rght_nopunch
7.345,5.615,3.619,0.144,0.181,0.179,1012.952576,rght_nopunch
7.368,6.129,3.229,0.148,0.152,0.15,1012.953415,rght_nopunch
7.127,5.664,3.395,0.136,0.173,0.221,1012.954788,rght_nopunch
7.577,5.454,3.057,0.121,0.267,0.375,1012.954788,rght_nopunch
6.325,6.862,2.956,0.232,0.263,0.262,1012.954178,rght_nopunch
7.302,6.239,3.311,0.284,0.72,0.615,1012.952347,rght_nopunch
7.577,5.571,3.182,0.323,0.669,0.557,1012.952271,rght_nopunch
6.466,6.157,3.931,0.285,0.436,0.386,1012.950058,rght_nopunch
7.091,6.651,3.687,0.235,0.526,0.572,1012.94899,rght_nopunch
6.411,6.426,4.312,0.446,0.607,0.381,1012.94899,rght_nopunch
6.486,5.723,3.112,0.45,0.506,0.41,1012.94899,rght_nopunch
7.403,7.19,2.692,0.287,0.438,0.406,1012.948761,rght_nopunch
6.901,6.004,3.615,0.547,0.773,0.619,1012.948532,rght_nopunch
7.499,5.092,3.681,0.365,0.616,0.64,1012.948303,rght_nopunch
6.847,6.139,3.836,0.594,0.658,0.322,1012.947922,rght_nopunch
7.373,5.117,4.055,0.524,0.335,0.413,1012.947922,rght_nopunch
7.347,6.129,3.864,0.299,0.579,0.653,1012.94754,rght_nopunch
7.428,5.17,3.861,0.191,0.366,0.262,1012.946167,rght_nopunch
7.039,5.937,3.909,0.388,0.307,0.445,1012.946167,rght_nopunch
6.121,6.054,3.567,0.221,0.254,0.324,1012.945633,rght_nopunch
6.594,5.721,3.637,0.225,0.443,0.331,1012.944717,rght_nopunch
7.156,6.355,3.538,0.627,0.661,0.346,1012.944412,rght_nopunch
6.458,6.244,3.877,0.331,0.471,0.507,1012.943954,rght_nopunch
7.411,6.571,3.403,0.269,0.653,0.586,1012.943954,rght_nopunch
7.774,4.024,3.97,0.362,0.749,0.733,1012.94426,rght_nopunch
7.432,5.734,4.405,0.33,0.66,0.677,1012.944489,rght_nopunch
6.175,5.494,4.417,0.253,0.558,0.363,1012.945328,rght_nopunch
7.728,5.227,4.524,0.415,0.47,0.285,1012.945328,rght_nopunch
