X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
17.775,10.675,13.811,1.959,1.157,3.063,1010.350037,rh
34.794,28.629,19.234,2.533,3.734,6.65,1010.358734,rh
31.712,19.309,16.091,2.326,3.0,5.97,1010.367355,rh
29.03,14.068,15.586,2.041,3.287,5.652,1010.369034,rh
30.774,18.681,14.347,2.112,3.067,5.763,1010.370941,rh
28.827,20.694,13.39,2.398,3.13,5.609,1010.370941,rh
25.039,20.464,13.31,1.797,2.223,5.676,1010.370941,rh
27.4,21.482,13.947,2.209,2.724,5.24,1010.370941,rh
25.031,19.959,14.682,1.828,2.761,4.613,1010.360641,rh
28.02,19.133,15.083,1.974,3.165,5.328,1010.360641,rh
31.393,22.799,16.895,1.768,3.18,5.467,1010.360489,rh
12.414,7.859,4.46,1.773,1.275,2.367,1010.361633,rh
23.909,16.865,14.654,1.859,2.98,4.408,1010.36438,rh
33.982,20.769,13.98,3.124,3.8,5.597,1010.36438,rh
31.264,29.113,24.223,2.796,4.713,6.805,1010.36438,rh
9.862,6.607,7.314,1.246,1.271,1.812,1010.363388,rh
22.379,17.812,14.713,1.881,5.279,4.52,1010.361023,rh
22.295,20.492,11.841,2.05,2.541,4.302,1010.361023,rh
27.045,19.5,12.493,1.798,2.7,4.49,1010.371552,rh
10.969,7.425,4.844,1.497,1.804,2.178,1010.374374,rh
23.662,18.53,11.767,1.396,2.053,4.036,1010.376587,rh
27.482,12.165,13.379,1.955,2.447,4.225,1010.38063,rh
17.738,14.525,5.602,1.641,2.389,4.608,1010.38063,rh
27.778,19.701,15.509,2.328,3.176,4.863,1010.38063,rh
25.291,18.945,13.075,2.162,2.481,5.125,1010.380249,rh
22.789,18.013,11.355,1.298,2.126,4.527,1010.382919,rh
14.242,6.797,4.285,1.806,1.638,3.379,1010.382919,rh
26.583,19.649,14.249,2.275,2.898,5.212,1010.382919,rh
25.786,18.347,11.381,1.43,3.051,5.118,1010.38353,rh
9.515,2.395,1.235,1.954,0.787,0.638,1010.381699,rh
10.704,1.921,0.822,1.004,0.579,1.373,1010.38063,rh
9.32,4.056,3.17,1.436,0.741,1.058,1010.376816,rh
6.538,6.746,3.105,0.215,0.308,0.166,1010.37178,rh
7.805,5.067,3.305,0.43,0.362,0.81,1010.366364,rh
5.546,6.958,4.269,0.338,0.52,0.345,1010.36087,rh
6.293,6.618,3.91,0.216,0.359,0.336,1010.355759,rh
12.118,7.794,6.735,0.576,1.154,2.058,1010.3508,rh
22.53,16.301,8.942,1.666,3.06,4.569,1010.3508,rh
25.862,20.243,13.217,1.825,3.351,4.692,1010.354691,rh
26.617,17.32,12.831,2.001,3.091,5.171,1010.357666,rh
26.272,20.427,16.559,1.411,2.873,5.673,1010.362778,rh
18.341,7.602,4.966,1.949,1.925,3.048,1010.362778,rh
18.603,16.661,11.621,2.341,2.604,4.342,1010.361099,rh
6.599,6.935,4.401,0.269,0.895,0.886,1010.354309,rh
8.332,3.336,4.812,0.279,0.508,0.476,1010.354309,rh
6.035,5.872,3.196,0.56,1.035,0.713,1010.358353,rh
26.034,19.943,14.117,2.088,2.714,6.083,1010.35881,rh
29.686,21.346,13.49,1.693,3.153,5.472,1010.363541,rh
25.914,16.522,10.815,1.643,2.24,5.395,1010.37117,rh
13.944,9.447,8.681,1.954,2.049,3.221,1010.376053,rh
27.351,18.872,13.398,2.078,3.159,4.647,1010.376663,rh
28.015,19.635,13.484,1.71,3.012,5.15,1010.381088,rh
27.228,20.677,12.386,1.642,2.573,5.762,1010.381088,rh
10.986,8.125,4.033,2.214,1.83,2.338,1010.381088,rh
8.688,4.669,1.428,0.592,0.933,0.883,1010.381317,rh
9.414,3.347,1.244,0.371,0.52,0.537,1010.381317,rh
9.662,3.611,1.841,0.468,0.377,0.66,1010.380783,rh
8.8,3.592,3.628,0.57,0.997,1.734,1010.379639,rh
8.42,5.404,2.617,0.433,0.337,0.464,1010.376663,rh
8.097,4.528,2.579,0.49,0.891,1.385,1010.368805,rh
25.674,19.453,15.794,2.158,3.044,4.612,1010.367203,rh
25.686,17.896,14.572,1.976,2.528,5.476,1010.366898,rh
20.638,8.926,9.263,1.887,2.628,3.733,1010.358047,rh
19.884,18.042,13.252,2.066,2.869,4.803,1010.356827,rh
26.776,18.695,13.557,2.267,3.033,5.511,1010.356064,rh
6.898,7.69,2.325,0.636,0.696,1.08,1010.348053,rh
7.623,5.051,2.124,0.451,0.475,0.539,1010.347137,rh
7.523,5.939,3.107,0.251,0.382,0.46,1010.346527,rh
16.888,7.558,8.72,0.992,1.131,2.761,1010.34584,rh
16.687,17.937,8.707,1.968,2.372,4.039,1010.345001,rh
25.237,17.905,15.113,2.025,3.174,5.111,1010.340576,rh
6.59,8.283,5.037,1.21,0.698,2.233,1010.335999,rh
29.322,18.828,15.306,2.055,3.483,5.218,1010.340576,rh
28.731,20.467,14.838,2.077,3.021,6.011,1010.348053,rh
23.913,20.092,12.79,0.994,2.77,5.059,1010.348892,rh
30.42,17.78,13.312,2.012,3.07,5.721,1010.354691,rh
26.457,15.221,15.691,1.734,3.504,5.576,1010.358047,rh
32.66,16.023,13.783,2.141,3.163,5.543,1010.361938,rh
24.756,16.788,11.721,1.886,3.078,5.224,1010.367966,rh
46.4,33.82,25.571,2.805,4.838,8.07,1010.375366,rh
12.083,8.414,6.581,2.127,1.542,2.397,1010.37796,rh
27.468,20.45,14.79,1.318,3.21,5.411,1010.381241,rh
30.763,20.327,13.754,1.609,3.366,5.991,1010.382919,rh
29.52,18.579,14.641,1.921,3.707,5.865,1010.387573,rh
29.964,16.505,14.454,2.069,3.976,5.375,1010.388641,rh
28.733,16.193,15.457,2.21,3.679,5.331,1010.391541,rh
30.127,11.896,11.862,2.183,3.965,4.519,1010.391541,rh
19.949,17.778,10.233,2.023,3.076,4.939,1010.388794,rh
25.682,20.094,12.971,2.208,3.53,5.231,1010.388794,rh
25.854,20.934,11.87,1.526,3.378,5.349,1010.39032,rh
10.354,5.788,3.486,1.596,1.178,1.552,1010.398483,rh
6.898,6.971,3.458,0.414,0.51,1.793,1010.409927,rh
30.863,19.198,14.603,1.995,3.679,5.435,1010.411224,rh
29.069,18.921,13.866,1.99,4.024,6.003,1010.411224,rh
28.206,20.652,13.49,2.177,3.308,5.403,1010.410156,rh
25.496,18.748,13.605,1.565,3.635,5.691,1010.401459,rh
26.093,16.751,15.631,2.945,4.547,5.516,1010.390091,rh
12.149,11.06,5.91,1.967,2.573,2.877,1010.382156,rh
28.06,20.662,16.028,2.263,4.561,5.592,1010.36972,rh
8.776,5.916,2.44,0.578,0.76,0.662,1010.363617,rh
21.754,19.727,12.651,1.667,3.831,4.709,1010.359344,rh
16.048,8.597,5.232,2.469,2.569,3.534,1010.354385,rh
24.826,18.932,12.964,2.28,4.065,4.388,1010.354385,rh
9.437,4.329,3.203,0.614,0.909,1.196,1010.366898,rh
14.317,5.852,3.684,1.15,2.406,2.388,1010.366898,rh
21.095,20.909,12.354,2.038,3.583,5.018,1010.36911,rh
27.354,19.425,12.81,2.266,4.286,5.118,1010.366135,rh
7.794,5.134,2.972,1.094,0.597,1.774,1010.361099,rh
7.911,5.487,2.006,0.662,0.499,0.754,1010.35965,rh
19.954,11.839,10.275,1.0,2.279,3.697,1010.357666,rh
17.931,15.288,8.336,2.066,3.442,4.35,1010.356674,rh
23.352,18.58,14.097,2.141,3.902,4.706,1010.356674,rh
21.427,18.805,13.384,1.492,3.643,4.528,1010.356674,rh
11.319,5.947,2.492,1.875,1.582,1.564,1010.359116,rh
14.681,4.464,4.118,0.895,2.585,1.904,1010.368195,rh
20.178,18.342,9.912,1.613,2.704,4.321,1010.368652,rh
8.483,3.158,2.482,0.421,0.744,1.335,1010.37178,rh
6.629,7.46,3.79,0.46,0.542,0.281,1010.376282,rh
6.394,5.795,4.854,0.283,0.523,0.289,1010.37796,rh
7.827,6.137,2.835,0.741,0.839,0.998,1010.379562,rh
18.812,6.963,8.024,0.995,2.839,3.053,1010.380402,rh
16.414,15.295,9.641,1.761,2.997,4.032,1010.381012,rh
28.574,17.831,12.357,1.942,4.139,5.602,1010.381012,rh
23.23,17.609,12.231,1.496,3.434,4.81,1010.377426,rh
22.889,10.671,10.5,1.875,2.958,4.743,1010.375748,rh
11.415,11.606,5.823,1.64,2.847,3.039,1010.37323,rh
25.278,18.853,15.065,2.627,3.523,4.917,1010.363846,rh
27.281,22.399,12.867,2.0,3.792,5.326,1010.36026,rh
10.836,6.837,5.085,1.341,1.114,1.196,1010.36026,rh
28.67,24.696,15.765,2.15,2.893,6.25,1010.358582,rh
26.201,19.776,20.09,2.487,3.336,5.135,1010.363007,rh
18.562,12.113,6.514,2.014,3.04,3.457,1010.363007,rh
22.356,20.907,13.08,1.486,2.786,3.652,1010.367737,rh
21.722,14.367,10.549,1.489,2.58,4.357,1010.367737,rh
8.874,13.019,3.886,1.611,1.539,2.525,1010.36911,rh
25.205,21.073,16.455,3.008,3.488,4.862,1010.368652,rh
22.776,20.821,9.006,1.539,2.428,5.075,1010.368652,rh
8.38,6.323,3.094,1.536,1.489,2.203,1010.362778,rh
27.206,16.357,11.95,1.631,3.597,5.406,1010.361328,rh
26.835,18.773,14.176,1.616,3.521,4.956,1010.361328,rh
22.979,11.095,10.427,1.84,3.108,4.341,1010.363312,rh
14.875,14.859,9.579,1.843,2.601,3.763,1010.365295,rh
29.731,18.612,10.237,2.044,3.262,5.6,1010.367584,rh
25.067,21.111,21.903,3.376,5.349,5.06,1010.368042,rh
21.021,10.04,10.822,2.375,2.714,3.529,1010.368271,rh
14.625,17.661,7.914,1.573,2.138,3.334,1010.369034,rh
9.054,3.926,2.273,0.526,0.629,0.802,1010.36911,rh
8.347,4.574,1.571,0.353,0.59,0.757,1010.369415,rh
8.609,5.906,1.284,0.349,0.753,0.654,1010.369415,rh
9.193,4.142,2.129,0.395,0.617,0.833,1010.369415,rh
7.376,6.475,4.301,0.83,1.375,2.274,1010.367432,rh
29.404,20.385,11.224,1.676,4.239,5.237,1010.365219,rh
26.859,18.848,11.423,2.241,3.499,5.346,1010.365067,rh
24.93,18.646,11.33,1.548,2.838,5.737,1010.361252,rh
11.75,6.32,2.388,1.961,1.443,1.581,1010.354996,rh
9.079,3.749,1.402,0.51,0.258,0.168,1010.354919,rh
8.954,4.19,0.339,0.366,0.189,0.147,1010.354385,rh
8.864,3.914,0.644,0.303,0.114,0.173,1010.347977,rh
9.221,3.203,0.749,0.161,0.106,0.242,1010.347977,rh
9.849,1.988,0.989,0.265,0.232,0.352,1010.347977,rh
9.625,3.367,2.463,0.634,0.662,1.202,1010.350342,rh
8.674,3.779,1.946,0.456,0.736,1.138,1010.350342,rh
9.471,2.961,1.093,0.412,0.559,0.527,1010.351105,rh
8.77,2.915,1.323,0.361,0.754,0.842,1010.35553,rh
23.939,18.789,11.064,1.283,2.356,4.747,1010.356369,rh
12.024,6.315,2.835,1.612,1.992,2.638,1010.356369,rh
23.048,19.17,10.18,1.391,2.945,5.333,1010.35553,rh
9.606,4.89,3.137,1.319,1.597,1.991,1010.35553,rh
26.448,18.097,10.824,1.77,2.982,5.41,1010.359344,rh
22.502,15.267,11.646,1.629,2.395,5.406,1010.363617,rh
15.185,9.232,5.499,1.609,2.459,3.656,1010.363617,rh
27.701,18.774,12.714,2.263,3.697,5.6,1010.355988,rh
24.396,19.956,14.216,1.875,3.165,5.446,1010.352402,rh
10.456,3.75,1.034,1.479,1.321,1.646,1010.341873,rh
8.703,2.985,3.246,0.606,0.659,0.521,1010.340271,rh
8.721,5.528,0.926,0.262,0.695,0.709,1010.333328,rh
8.923,3.79,3.23,0.741,1.348,2.031,1010.333328,rh
27.108,18.115,8.677,1.682,3.494,5.281,1010.333939,rh
23.43,21.936,10.029,1.496,2.604,5.561,1010.338974,rh
11.622,5.751,1.891,1.736,1.926,1.901,1010.339432,rh
9.98,8.916,4.108,0.828,1.003,2.682,1010.345078,rh
24.374,17.69,8.297,1.667,2.988,4.766,1010.345078,rh
23.486,20.606,11.195,1.533,2.88,5.505,1010.338135,rh
8.589,5.034,2.986,1.58,0.96,1.436,1010.338135,rh
8.096,4.807,4.779,0.402,0.344,0.435,1010.339584,rh
7.776,5.69,2.05,0.324,0.702,0.836,1010.343857,rh
7.637,5.764,2.573,0.45,0.888,0.758,1010.347366,rh
21.111,11.611,7.837,1.362,2.016,3.713,1010.347366,rh
24.386,17.331,10.019,1.825,3.44,5.63,1010.347137,rh
24.069,19.185,10.342,2.368,3.112,5.108,1010.343628,rh
25.614,18.748,13.864,1.752,2.729,4.818,1010.338745,rh
11.073,6.525,2.353,1.667,1.578,1.711,1010.338058,rh
8.481,4.847,1.95,0.196,0.402,0.276,1010.338745,rh
8.594,4.488,0.644,0.264,0.481,0.416,1010.340042,rh
6.956,7.577,1.159,0.203,0.632,0.36,1010.340881,rh
14.362,7.32,3.847,1.06,1.368,2.364,1010.340881,rh
23.204,19.165,12.54,1.842,3.058,5.288,1010.337524,rh
28.056,20.186,11.311,2.101,3.036,5.507,1010.33638,rh
