X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
12.706,9.137,18.767,3.504,2.39,2.412,1010.499878,ru
16.962,18.077,27.66,4.348,5.111,3.476,1010.508728,ru
15.029,19.226,20.347,4.018,4.431,3.395,1010.501099,ru
20.115,23.404,31.282,5.69,3.793,3.39,1010.511017,ru
11.83,21.248,32.042,5.668,4.214,2.923,1010.511017,ru
14.115,19.886,29.108,5.291,4.258,3.583,1010.520401,ru
11.784,21.426,31.375,5.384,4.044,4.147,1010.530701,ru
10.093,18.971,27.434,5.434,4.902,3.534,1010.531998,ru
15.541,20.675,27.37,4.651,4.668,3.937,1010.531998,ru
12.659,17.172,27.678,4.275,4.815,3.729,1010.531998,ru
11.496,8.362,20.775,3.297,4.594,3.278,1010.531616,ru
11.598,20.013,22.361,4.232,4.001,2.956,1010.531616,ru
12.669,20.091,29.16,5.298,3.386,3.038,1010.537949,ru
8.532,18.438,28.608,5.194,3.193,2.477,1010.537949,ru
8.308,5.256,3.231,0.961,1.967,1.729,1010.524445,ru
10.064,4.955,3.68,0.875,1.374,1.147,1010.509872,ru
7.213,4.151,3.065,0.348,1.437,1.312,1010.504608,ru
10.859,22.106,28.401,5.126,4.229,2.472,1010.487213,ru
9.75,20.753,28.542,4.863,4.145,3.333,1010.487213,ru
6.379,22.348,29.083,5.671,4.514,3.044,1010.497665,ru
7.311,18.247,26.693,5.011,4.561,3.263,1010.506363,ru
9.783,21.9,25.838,4.802,5.897,3.69,1010.534973,ru
13.322,22.292,26.611,5.483,6.024,2.629,1010.548553,ru
13.061,15.988,27.762,5.178,5.627,3.775,1010.548553,ru
8.347,15.2,16.665,3.854,2.532,2.172,1010.556183,ru
8.603,5.34,6.023,1.026,5.32,2.962,1010.555801,ru
9.734,22.361,26.229,5.347,6.768,2.83,1010.555801,ru
9.493,21.843,26.465,5.405,4.418,3.159,1010.539627,ru
9.658,20.169,29.305,5.987,4.13,2.797,1010.539627,ru
16.156,17.848,27.744,5.044,3.314,3.341,1010.544357,ru
9.462,17.207,25.547,5.201,3.31,3.177,1010.544357,ru
7.233,7.29,7.17,1.421,2.178,1.852,1010.544357,ru
8.579,3.627,4.583,1.114,2.24,2.214,1010.544052,ru
7.803,21.439,30.446,5.688,4.236,2.814,1010.539322,ru
7.185,20.036,28.72,5.4,4.844,3.313,1010.529633,ru
11.55,20.102,28.02,4.957,3.567,3.326,1010.526276,ru
7.891,7.533,21.492,3.123,4.049,3.647,1010.529633,ru
9.085,15.668,23.107,4.08,4.441,3.313,1010.526276,ru
6.623,20.637,20.616,4.412,2.095,1.37,1010.531616,ru
8.099,14.729,20.964,3.899,4.44,2.612,1010.534134,ru
4.851,14.458,15.827,2.594,1.673,1.174,1010.534134,ru
4.023,5.312,7.558,0.678,2.568,1.014,1010.536423,ru
11.206,21.505,29.376,5.468,5.131,3.215,1010.536423,ru
8.625,18.825,23.518,5.446,3.935,2.396,1010.540619,ru
8.074,22.678,31.964,5.708,5.5,3.819,1010.540619,ru
6.329,5.052,15.407,2.64,3.45,2.23,1010.540619,ru
8.871,15.648,17.373,3.715,4.021,2.594,1010.541534,ru
11.712,17.413,23.268,4.487,3.555,2.802,1010.54184,ru
12.612,18.566,27.247,5.171,3.494,3.306,1010.549011,ru
6.448,20.901,28.093,5.084,3.836,2.642,1010.552368,ru
10.487,21.667,25.945,5.407,3.667,3.533,1010.552902,ru
3.361,19.808,27.87,5.451,3.012,1.916,1010.552368,ru
6.827,20.726,27.77,5.562,3.989,2.41,1010.539627,ru
8.48,16.28,26.979,4.492,4.521,3.081,1010.536194,ru
9.846,16.794,25.748,4.881,3.68,3.233,1010.535355,ru
7.748,4.22,2.309,0.908,1.197,1.62,1010.531616,ru
11.516,16.978,24.496,5.179,3.579,2.472,1010.526123,ru
6.894,15.39,23.09,4.112,3.836,2.93,1010.522919,ru
6.137,6.096,20.997,3.256,3.673,2.825,1010.510788,ru
4.554,14.732,16.959,3.555,3.33,2.107,1010.506973,ru
7.532,18.22,29.276,5.488,3.566,2.568,1010.503006,ru
7.391,18.015,29.373,5.083,3.736,3.339,1010.492477,ru
8.753,17.403,27.338,5.064,3.51,2.833,1010.492477,ru
10.234,15.953,23.859,4.11,3.866,2.964,1010.491333,ru
11.953,12.147,26.175,4.716,4.528,3.407,1010.496368,ru
6.352,12.911,17.749,3.754,3.623,2.055,1010.493011,ru
7.473,17.311,28.143,4.881,2.719,2.174,1010.493011,ru
6.696,16.986,27.994,5.27,2.777,3.134,1010.488663,ru
8.308,4.022,2.875,0.85,1.193,1.388,1010.488663,ru
6.332,16.603,19.387,3.784,3.002,2.566,1010.488663,ru
6.482,9.073,20.569,3.283,3.565,2.657,1010.483856,ru
8.513,19.163,22.091,4.53,2.35,1.892,1010.475388,ru
5.681,16.618,27.404,5.491,2.581,3.121,1010.473328,ru
6.011,5.092,5.993,0.665,1.662,1.11,1010.458908,ru
8.753,3.153,2.733,0.297,0.191,0.116,1010.458908,ru
8.696,2.937,3.494,0.302,0.124,0.148,1010.469513,ru
8.607,4.288,1.322,0.388,0.715,0.284,1010.476608,ru
8.899,4.381,0.748,0.151,0.312,0.124,1010.487747,ru
8.557,4.298,1.354,0.309,0.546,0.213,1010.488052,ru
8.804,5.72,4.051,1.45,2.171,0.964,1010.504684,ru
8.448,23.728,31.911,5.797,4.521,2.983,1010.507126,ru
9.727,15.775,21.149,3.917,3.773,2.475,1010.511627,ru
10.338,7.125,11.221,2.129,4.74,2.489,1010.511627,ru
8.273,18.798,27.168,5.105,3.148,1.995,1010.511627,ru
8.718,17.738,27.393,5.122,2.5,2.979,1010.496368,ru
8.404,15.043,23.329,3.825,4.542,2.902,1010.473328,ru
6.095,7.538,10.551,2.062,2.569,1.972,1010.470581,ru
6.362,3.131,5.181,0.811,1.166,1.29,1010.463333,ru
5.094,13.822,25.229,4.894,2.055,2.338,1010.463333,ru
7.038,4.243,3.737,0.599,1.436,0.393,1010.468903,ru
8.098,5.358,1.691,0.229,0.286,0.151,1010.480652,ru
7.957,5.547,1.502,0.263,0.389,0.653,1010.49057,ru
5.795,7.138,2.717,0.213,0.734,0.32,1010.49057,ru
7.415,3.952,4.284,0.653,1.259,1.321,1010.475388,ru
5.235,17.15,29.767,5.501,3.02,2.549,1010.473328,ru
9.408,16.011,19.063,3.782,3.33,2.959,1010.460434,ru
11.272,6.065,17.3,2.96,4.011,2.987,1010.460434,ru
7.411,17.218,22.174,4.997,2.788,1.644,1010.466766,ru
5.904,13.99,26.624,4.884,4.103,3.283,1010.493622,ru
8.707,4.465,2.721,0.84,2.322,1.789,1010.524597,ru
8.46,4.658,2.509,0.712,0.735,0.948,1010.536423,ru
4.919,16.434,26.296,5.581,2.692,2.724,1010.53978,ru
7.119,14.812,25.151,4.158,4.421,2.991,1010.53978,ru
5.416,8.145,12.719,2.799,3.506,2.408,1010.521317,ru
6.995,15.423,24.457,5.656,3.172,2.245,1010.506058,ru
5.713,10.38,22.173,3.686,3.693,2.184,1010.506058,ru
8.506,10.202,21.385,4.183,4.331,3.012,1010.506516,ru
6.929,6.046,20.521,2.938,4.585,2.423,1010.506516,ru
5.433,16.415,18.948,4.39,3.116,2.067,1010.499115,ru
9.184,19.423,30.798,5.448,4.598,2.465,1010.487823,ru
8.04,16.758,30.791,6.12,4.303,2.797,1010.480042,ru
5.189,15.617,25.948,5.536,2.502,2.511,1010.479355,ru
7.279,8.04,20.901,3.017,4.371,3.2,1010.470047,ru
5.957,16.071,20.152,4.235,2.62,2.452,1010.470047,ru
8.838,17.472,30.066,5.337,3.56,2.551,1010.475159,ru
5.192,14.298,26.534,5.173,2.929,2.448,1010.476379,ru
4.501,1.653,7.437,0.648,1.245,1.058,1010.48317,ru
8.351,1.429,5.457,0.728,0.366,0.128,1010.494461,ru
8.967,1.781,5.093,1.595,0.835,0.706,1010.509949,ru
