"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.523173500E-2,2.406760901E-1,-4.533898085E-2,6.688331962E-1
8.510251600E-2,4.511927664E-1,5.965305120E-2,5.424699187E-1
1.050200680E-1,6.052520871E-1,1.593189090E-1,3.601819277E-1
1.248942350E-1,7.017222643E-1,1.369490176E-1,2.131131887E-1
1.447884020E-1,7.043853402E-1,5.792204756E-3,1.256974936E-1
1.646815270E-1,5.930019021E-1,-1.487331539E-1,8.355421573E-2
1.845552770E-1,3.984637260E-1,-2.414750159E-1,4.573844373E-2
2.044605890E-1,2.326868325E-1,-2.441380918E-1,1.464695437E-3
2.243578290E-1,1.729672104E-1,-2.201703489E-1,-2.356828004E-2
2.442401730E-1,1.665758193E-1,-1.482005417E-1,-5.605788901E-2
2.641184020E-1,1.282274276E-1,-2.030600421E-2,-8.808145672E-2
2.840518910E-1,4.240959138E-2,1.033276021E-1,-1.216362938E-1
3.039143390E-1,-7.123745978E-3,1.401447207E-1,-1.498649716E-1
3.237748080E-1,5.892070010E-2,2.822867595E-2,-1.567889899E-1
3.436857460E-1,2.257628292E-1,-9.813459218E-2,-1.551911384E-1
3.635508500E-1,4.069855809E-1,-1.157109365E-1,-1.216362938E-1
3.835015270E-1,4.816184938E-1,-6.398055702E-2,-3.528584540E-2
4.033548600E-1,4.069855809E-1,5.326165259E-2,3.668396175E-2
4.232611620E-1,2.929390669E-1,2.094514370E-1,4.254274443E-2
4.431621000E-1,2.017950863E-1,2.451367527E-1,2.390116639E-2
4.630654850E-1,9.200949967E-2,1.321554780E-1,3.994623839E-4
4.829985580E-1,-3.754946589E-2,3.129122080E-3,-2.090519853E-2
5.027957460E-1,-1.388131827E-1,-3.894758224E-2,-5.019910634E-2
5.227039750E-1,-2.155765295E-1,-4.054543376E-2,-8.328790963E-2
5.425838180E-1,-2.640446424E-1,-7.523208391E-3,-1.051251814E-1
5.624885060E-1,-2.635120153E-1,5.965305120E-2,-1.024620980E-1
5.823457460E-1,-2.773600519E-1,1.518622786E-1,-1.061904207E-1
6.022493390E-1,-3.189707100E-1,2.206363827E-1,-1.179079786E-1
6.221690790E-1,-3.551886380E-1,2.589847744E-1,-1.397452503E-1
6.420565790E-1,-3.818860352E-1,2.685718834E-1,-2.149107605E-1
6.619412140E-1,-3.829512596E-1,1.966020763E-1,-2.948698103E-1
6.817973080E-1,-4.026580751E-1,1.804238372E-2,-3.588503897E-1
7.016942870E-1,-4.927368462E-1,-2.574535012E-1,-4.424711764E-1
7.215974120E-1,-5.908048749E-1,-6.097793579E-1,-5.395405293E-1
7.414966830E-1,-6.371424794E-1,-1.058042645E0,-6.924680471E-1
7.613791830E-1,-7.298843265E-1,-1.748313665E0,-7.463288903E-1
7.812580890E-1,-8.935307860E-1,-2.673601627E0,-8.065145612E-1
8.011753290E-1,-9.825443029E-1,-3.797688961E0,-1.070359468E0
8.210838710E-1,-9.548482299E-1,-4.907395363E0,-1.438131213E0
8.409416310E-1,-8.477257490E-1,-5.636014938E0,-1.848046184E0
8.608120480E-1,-8.573128581E-1,-5.735680580E0,-2.336788416E0
8.807163710E-1,-9.894683361E-1,-5.321504593E0,-2.997698784E0
9.006091830E-1,-1.031078935E0,-4.808794975E0,-3.648489714E0
9.204916310E-1,-1.022490501E0,-4.491621494E0,-4.336630344E0
9.403820480E-1,-1.332207084E0,-4.485763073E0,-4.948473454E0
9.602689230E-1,-1.990987062E0,-4.392488480E0,-5.591807842E0
9.801535060E-1,-2.857620716E0,-3.866929054E0,-6.569358826E0
1.000065433E0,-3.815997601E0,-2.829725027E0,-7.915147305E0
1.019961058E0,-4.145886898E0,-1.546252370E0,-9.046690941E0
1.039818506E0,-2.931720972E0,-1.621417761E0,-8.779717445E0
1.059721058E0,-6.675682068E-1,-2.336721897E0,-5.734149456E0
1.079617673E0,6.345459819E-1,-9.072456360E-1,-2.191716880E-1
1.099514183E0,5.178363919E-1,2.004036188E0,4.654069424E0
1.119384964E0,3.057218790E-1,4.903001308E0,5.435950756E0
1.139275381E0,2.711018026E-1,5.803789139E0,4.362994671E0
1.159182725E0,3.105154335E-1,4.326843262E0,4.504271030E0
1.179074808E0,4.416056573E-1,2.848832607E0,4.876303673E0
1.198966839E0,5.082492828E-1,2.406427860E0,4.675907135E0
1.218831214E0,6.932004094E-1,2.671870708E0,3.954211473E0
1.238721787E0,1.221422791E0,3.076992273E0,3.004955769E0
1.258624600E0,1.447385430E0,2.971400976E0,2.804558754E0
1.278515589E0,1.258705974E0,2.873332977E0,2.796036959E0
1.298394808E0,9.980567694E-1,3.277389050E0,2.541779041E0
1.318289131E0,8.398030996E-1,4.029443741E0,2.402633190E0
1.338175225E0,6.143065691E-1,4.760193348E0,2.259825230E0
1.358081891E0,3.131785095E-1,5.180161476E0,1.926673651E0
1.377979079E0,1.026618332E-1,5.223370075E0,1.614360690E0
1.397833818E0,1.202381775E-1,4.931828976E0,1.566358566E0
1.417748923E0,3.462007344E-1,4.371117115E0,1.495453954E0
1.437628871E0,5.866104960E-1,3.488970995E0,1.250317216E0
1.457528350E0,7.433329225E-1,2.291848898E0,1.252447724E0
1.477398871E0,8.077794909E-1,1.087270021E0,1.408637524E0
1.497290693E0,6.521888971E-1,1.790257245E-1,1.409702778E0
