"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.991766400E-2,-3.260944486E-1,-1.138467789E-1,4.513924941E-2
8.980021600E-2,-2.765611112E-1,-3.126458824E-1,2.330197208E-2
1.096849030E-1,-2.248307467E-1,-3.958006501E-1,1.371487509E-2
1.296023510E-1,-1.721017063E-1,-3.856809437E-1,6.790860556E-3
1.494703200E-1,-1.272953451E-1,-3.201025128E-1,5.725627299E-3
1.693692780E-1,-9.746882319E-2,-2.540580630E-1,8.388710208E-3
1.892311010E-1,-7.456631213E-2,-1.852839738E-1,2.063889056E-2
2.091474030E-1,-6.544525176E-2,-1.282274276E-1,3.395430371E-2
2.290161530E-1,-4.893414304E-2,-9.999874979E-2,3.501953557E-2
2.489266740E-1,-2.762948163E-2,-6.324820966E-2,3.928046674E-2
2.688099550E-1,-2.869471535E-2,-1.737661287E-2,3.715000302E-2
2.886853720E-1,-4.733629152E-2,1.244991086E-2,2.809552103E-2
3.086043820E-1,-6.864095479E-2,9.786828421E-3,2.756290510E-2
3.284733410E-1,-9.107742459E-2,-6.191667169E-3,2.223674022E-2
3.483614660E-1,-9.800143540E-2,3.801550344E-2,1.424749196E-2
3.682703720E-1,-1.043928340E-1,9.666989744E-2,1.637795754E-2
3.881645390E-1,-1.182408631E-1,8.495233208E-2,2.010627277E-2
4.080620390E-1,-1.272953451E-1,3.854811937E-2,1.957365684E-2
4.279466740E-1,-1.315562725E-1,3.428718820E-2,2.703028731E-2
4.478065700E-1,-1.464695334E-1,5.832150951E-2,4.833494872E-2
4.677053200E-1,-1.726343334E-1,9.666989744E-2,8.941299468E-2
4.875911010E-1,-1.875475943E-1,1.312899739E-1,1.373484880E-1
5.075121430E-1,-2.125805616E-1,1.227681041E-1,1.773612946E-1
5.274046430E-1,-2.397440076E-1,1.233007237E-1,2.189053893E-1
5.472536010E-1,-2.728328109E-1,1.771615744E-1,2.770271599E-1
5.671652160E-1,-3.149095178E-1,2.640446424E-1,3.308880031E-1
5.870777680E-1,-3.602485061E-1,3.541234136E-1,3.772256374E-1
6.069505800E-1,-3.996621072E-1,4.388760030E-1,4.086500108E-1
6.268519350E-1,-4.577838778E-1,4.846810400E-1,4.406735897E-1
6.467159970E-1,-5.057193637E-1,4.841484129E-1,4.678370357E-1
6.666344350E-1,-5.606454611E-1,4.527240396E-1,4.603804052E-1
6.865374550E-1,-6.571156383E-1,4.836157858E-1,4.353474081E-1
7.064471950E-1,-8.079126477E-1,6.206313968E-1,4.353474081E-1
7.262880280E-1,-9.097755551E-1,8.242240548E-1,5.483286977E-1
7.461564140E-1,-9.236236215E-1,1.265563369E0,7.721607685E-1
7.660755800E-1,-9.278845191E-1,2.156697512E0,1.112769008E0
7.859469870E-1,-8.559147120E-1,3.531314135E0,1.600978613E0
8.058514660E-1,-8.266208172E-1,5.109523296E0,2.254432440E0
8.257179240E-1,-1.098987579E0,6.615829468E0,3.065141439E0
8.456263100E-1,-1.636730552E0,8.150297165E0,3.892894030E0
8.655258930E-1,-2.314218760E0,9.691224098E0,4.375245094E0
8.854118820E-1,-2.853626013E0,1.073641682E1,4.574576855E0
9.052683930E-1,-3.652550936E0,1.082330036E1,4.735559940E0
9.251929760E-1,-4.929099560E0,1.006378937E1,4.714787960E0
9.450999550E-1,-6.347390652E0,9.272253990E0,4.737157822E0
9.649667260E-1,-7.914947510E0,8.829849243E0,4.477041245E0
9.848953200E-1,-9.524647713E0,7.402503967E0,4.198283195E0
1.004753445E0,-9.993150711E0,4.288162231E0,4.112465382E0
1.024630893E0,-7.122414112E0,9.692289233E-1,4.473312855E0
1.044534330E0,-1.708700299E0,-1.187335372E0,3.006487131E0
1.064456518E0,1.865555882E0,-1.141463757E0,-2.129467487E0
1.084297664E0,2.571272850E0,-3.652417660E0,-3.445429564E0
1.104192664E0,1.236668944E0,-5.967235565E0,-1.416826487E0
1.124099955E0,8.981911540E-1,-4.812256813E0,-1.192994356E0
1.143959591E0,1.606571078E0,-4.769580841E0,-1.542124510E0
1.163830580E0,2.357027769E0,-6.579678059E0,-2.633122921E0
1.183742091E0,2.679460526E0,-8.176528931E0,-4.363793850E0
1.203627560E0,2.625666142E0,-8.811341286E0,-5.328029156E0
1.223534643E0,2.441247702E0,-8.570465088E0,-5.414912224E0
1.243467403E0,2.248307467E0,-8.121136665E0,-5.041814327E0
1.263312195E0,1.927405953E0,-7.808757305E0,-4.808861256E0
1.283192716E0,1.418956995E0,-7.427137375E0,-4.978366375E0
1.303100893E0,1.044793844E0,-7.138792038E0,-5.111587048E0
1.322951882E0,9.136370420E-1,-7.408495903E0,-4.906396866E0
1.342878705E0,7.473275661E-1,-7.615284443E0,-4.708130360E0
1.362736778E0,3.353486657E-1,-6.785401344E0,-4.612192631E0
1.382636570E0,-7.922670804E-3,-5.081960678E0,-4.401676178E0
1.402560216E0,1.205710620E-1,-3.504816294E0,-3.962999821E0
1.422453185E0,1.386800259E-1,-2.389250994E0,-3.294100046E0
1.442398914E0,-1.150451675E-1,-8.979248405E-1,-2.798367262E0
1.462178601E0,-1.374150664E-1,7.245581746E-1,-2.364018440E0
1.482101153E0,1.477345079E-1,1.572550297E0,-1.792587399E0
1.501980007E0,2.873466015E-1,1.298585653E0,-1.288399339E0
1.521848810E0,1.179079786E-1,4.868114889E-1,-9.067795873E-1
1.541765112E0,-9.107742459E-2,-2.696371078E-2,-5.395405293E-1
1.561629070E0,-2.008630037E-1,-1.388797611E-1,-1.957365721E-1
1.581522560E0,-2.434723228E-1,-3.388772532E-2,7.396712154E-2
1.601424539E0,-6.065170467E-2,5.326830745E-1,1.640458852E-1
1.621324539E0,8.375394344E-2,6.430012584E-1,2.802228630E-1
1.641226518E0,5.073172227E-2,1.542590559E-1,3.015275300E-1
1.661096362E0,4.061200842E-2,-1.266295761E-1,1.880136281E-1
1.680972299E0,1.877473295E-2,-1.879470497E-1,1.384137124E-1
1.700858757E0,-4.254274443E-2,-1.010639817E-1,7.343450189E-2
1.720772091E0,-8.628387749E-2,1.671084389E-2,-5.459319334E-3
1.740646674E0,-1.102516204E-1,2.256962471E-2,-2.995967865E-2
1.760573705E0,-1.177082509E-1,-1.047922969E-1,-4.547213390E-2
1.780470997E0,-1.219691783E-1,-1.730337888E-1,-7.263557613E-2
1.800346257E0,-1.240996495E-1,-8.561810106E-2,-8.062482625E-2
1.820195060E0,-1.225017980E-1,-2.483324520E-2,-6.251586229E-2
1.840105789E0,-1.299584359E-1,-8.987903595E-2,-5.239614844E-2
1.860001257E0,-1.379476786E-1,-1.799578071E-1,-6.304848194E-2
1.879865685E0,-1.496652365E-1,-1.703707129E-1,-8.382052183E-2
1.899768080E0,-1.454043090E-1,-9.254211932E-2,-9.553808719E-2
1.919642924E0,-1.145125479E-1,-5.199668556E-2,-9.180977196E-2
1.939561726E0,-8.362079412E-2,-8.455286920E-2,-6.411371380E-2
1.959427924E0,-6.331478804E-2,-1.356840581E-1,-4.813521728E-2
1.979328914E0,-7.396712154E-2,-1.452711523E-1,-7.742912322E-2
1.999216414E0,-7.290188223E-2,-1.037270650E-1,-9.607070684E-2
2.019120372E0,-7.882724702E-2,-7.390054315E-2,-7.636389136E-2
2.038991570E0,-7.077141851E-2,-9.467258304E-2,-6.784202904E-2
2.058870789E0,-6.278216839E-2,-1.356840581E-1,-4.920044914E-2
2.078758653E0,-7.509893179E-2,-1.218360290E-1,-2.569874749E-2
2.098665685E0,-7.776200771E-2,-7.975932211E-2,-1.611164957E-2
2.118545737E0,-7.509893179E-2,-3.814865649E-2,1.997311832E-3
2.138432195E0,-7.290188223E-2,-1.311568171E-2,3.129122034E-2
2.158320320E0,-5.958647281E-2,1.997311920E-4,4.034570232E-2
2.178195424E0,-6.704310328E-2,-1.418091450E-2,5.532554165E-2
2.198119851E0,-7.882724702E-2,-1.311568171E-2,5.319507420E-2
2.217991726E0,-7.236927003E-2,2.330197254E-3,2.223674022E-2
2.237867820E0,-4.467320815E-2,-6.724283565E-3,-6.657706108E-4
2.257789122E0,-2.017285116E-2,-3.601819277E-2,3.062544856E-3
2.277649799E0,-4.660394625E-4,-5.093145370E-2,1.264964230E-2
2.297557143E0,1.125152409E-2,-6.218297780E-2,1.904104091E-2
2.317469122E0,1.284937374E-2,-6.963960826E-2,3.182383627E-2
2.337371101E0,1.125152409E-2,-3.974650800E-2,4.194355011E-2
2.357226414E0,-4.726971500E-3,1.191729400E-2,4.567186534E-2
2.377128757E0,-8.987903595E-3,3.109148890E-2,4.946675897E-2
2.396989903E0,-6.324821152E-3,3.395430278E-3,4.513924941E-2
2.416891987E0,-9.520520456E-3,-2.536586113E-2,4.034570232E-2
2.436771674E0,-9.520520456E-3,-8.655018173E-4,3.129122034E-2
2.456677716E0,-1.111837011E-2,5.832150951E-2,1.691057347E-2
2.476593757E0,-1.964023337E-2,1.078548431E-1,1.744319126E-2
2.496496153E0,-3.721657768E-2,1.329544038E-1,3.501953557E-2
2.516381101E0,-4.893414304E-2,1.222354919E-1,4.620448127E-2
2.536254643E0,-4.946675897E-2,8.868064731E-2,5.745600536E-2
2.556135007E0,-4.999937490E-2,6.897383928E-2,7.130403817E-2
2.576010841E0,-4.467320815E-2,7.430000603E-2,9.633701295E-2
2.595908028E0,-4.467320815E-2,1.259638071E-1,1.027284116E-1
2.615797507E0,-3.881442919E-2,1.723680198E-1,8.195636421E-2
2.635693080E0,-2.549901605E-2,1.713027805E-1,7.236927003E-2
2.655561987E0,-1.964023337E-2,1.643787771E-1,8.621729910E-2
2.675477872E0,-3.661738476E-3,1.947379112E-1,9.047822654E-2
2.695358601E0,1.930734888E-2,2.208361179E-1,8.941299468E-2
2.715228341E0,3.475322574E-2,2.234992087E-1,9.900009632E-2
2.735139799E0,4.220985994E-2,2.517944574E-1,1.187069044E-1
2.755028757E0,4.487293959E-2,2.800231278E-1,1.394789517E-1
2.774929747E0,5.019910634E-2,2.565880120E-1,1.459369212E-1
2.794819122E0,4.007939249E-2,2.224339694E-1,1.475347728E-1
2.814687299E0,1.657768898E-2,2.352833450E-1,1.480673850E-1
2.834624018E0,1.131810131E-3,2.416747361E-1,1.459369212E-1
2.854498289E0,-1.964023337E-2,2.107164115E-1,1.539261788E-1
2.874397039E0,-6.065170467E-2,1.713027805E-1,1.528609395E-1
2.894246414E0,-1.059906855E-1,1.307573467E-1,1.405441761E-1
2.914126466E0,-1.768952608E-1,7.802832127E-2,1.432738453E-1
2.934052039E0,-2.551898956E-1,1.264964230E-3,1.464695334E-1
2.953944695E0,-3.303554058E-1,-9.840089828E-2,1.416759938E-1
2.973801049E0,-4.310864806E-1,-1.661097705E-1,1.357506365E-1
2.993701466E0,-5.846132040E-1,-1.452711523E-1,1.571218669E-1
3.013591466E0,-8.084452748E-1,-1.045259926E-2,2.887447178E-1
3.033485164E0,-1.017430663E0,6.525883675E-1,5.088484883E-1
3.053414174E0,-1.070159674E0,2.320876360E0,9.976572990E-1
3.073275789E0,-9.902006984E-1,4.709794521E0,1.736396432E0
3.093136362E0,-9.497218132E-1,7.140789509E0,2.800763845E0
3.113041778E0,-1.093661427E0,9.164066315E0,4.267589569E0
3.132938914E0,-1.517357826E0,1.073375416E1,5.503592968E0
3.152834747E0,-2.371208668E0,1.178853416E1,6.058979034E0
3.172700632E0,-3.571526527E0,1.217554665E1,5.920432091E0
3.192619851E0,-4.833694458E0,1.192821312E1,5.361850262E0
3.212507039E0,-6.107047558E0,1.103594685E1,4.865118980E0
3.232418341E0,-7.656961441E0,9.403944016E0,4.319320202E0
3.252266778E0,-9.394556046E0,6.717625618E0,3.143502712E0
3.272154903E0,-1.035027027E1,3.316536427E0,2.810351133E0
3.292052091E0,-8.287512779E0,1.464362502E0,4.075714588E0
3.311942039E0,-2.765677929E0,4.681699276E-1,4.594349861E0
3.331841935E0,1.973277569E0,5.619769692E-1,5.701659918E-1
3.351725060E0,3.340903759E0,-4.683030546E-1,-3.400157213E0
3.371599122E0,1.624680042E0,-3.727583170E0,-1.764891386E0
3.391481153E0,1.034607589E-1,-4.150280952E0,-1.845516264E-1
3.411407612E0,6.138405204E-2,-2.865210533E0,-1.349517107E-1
3.431290112E0,9.221588969E-1,-3.616732359E0,-7.069152594E-1
3.451179487E0,1.904503465E0,-5.506721973E0,-2.433258533E0
3.471081205E0,2.587251186E0,-6.848849297E0,-4.175646782E0
3.490946362E0,2.946501017E0,-7.337058544E0,-4.642019272E0
3.510830841E0,3.086179733E0,-7.167553425E0,-4.502407074E0
3.530724382E0,2.770604610E0,-6.573286533E0,-4.781165123E0
3.550634955E0,2.256296635E0,-6.094131470E0,-5.291744709E0
3.570548810E0,1.830403209E0,-6.192732334E0,-5.485750198E0
3.590416987E0,1.463164091E0,-6.889328003E0,-5.076967239E0
3.610296882E0,1.079413891E0,-7.434594154E0,-4.656932354E0
3.630175216E0,7.499906421E-1,-7.199044704E0,-4.606866360E0
3.650063028E0,5.965304971E-1,-6.397389889E0,-4.562060356E0
3.669967195E0,5.320172906E-1,-5.243476391E0,-4.354739189E0
3.689847820E0,4.712324440E-1,-4.024450302E0,-3.936901569E0
3.709733132E0,3.108483255E-1,-2.907819748E0,-3.437973022E0
3.729620320E0,1.967352182E-1,-1.818419337E0,-2.949230671E0
3.749505372E0,1.946047544E-1,-6.122426987E-1,-2.569741488E0
3.769422039E0,4.472647011E-1,4.564523399E-1,-2.144380569E0
3.789269799E0,6.887397170E-1,1.081144929E0,-1.707302213E0
3.809165632E0,7.686987519E-1,9.665657878E-1,-1.278279662E0
3.829097664E0,5.171040297E-1,3.972653449E-1,-8.539839983E-1
3.848962039E0,1.903438270E-1,-7.496577501E-2,-5.336817503E-1
3.868830945E0,-1.857500151E-2,-3.553217947E-1,-2.202369273E-1
3.888751726E0,-3.987966105E-2,-3.830178380E-1,1.637795754E-2
3.908628237E0,8.162347972E-2,-2.257628292E-1,2.189053893E-1
3.928522716E0,1.914090663E-1,-1.980667710E-1,3.575188220E-1
3.948428966E0,2.223673910E-1,-3.649088740E-1,3.734973371E-1
3.968322299E0,2.047910541E-1,-4.528571963E-1,3.340837061E-1
3.988184070E0,1.940721422E-1,-3.489303887E-1,2.472006381E-1
4.008067716E0,1.658434719E-1,-1.565226763E-1,1.757634431E-1
4.027974435E0,1.157775149E-1,-6.804175675E-2,1.128481254E-1
