"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.109688100E-2,5.016286373E-1,-3.637380600E-1,7.141375542E-1
4.101922500E-2,4.759361744E-1,-2.298865318E-1,9.802222252E-1
6.085995400E-2,4.972250462E-1,-2.055349350E-1,1.150162220E0
8.074500600E-2,6.730992794E-1,-4.508466721E-1,1.351316452E0
1.006500590E-1,8.837196827E-1,-7.873377800E-1,1.376686573E0
1.205474020E-1,1.040598631E0,-9.630975723E-1,1.375078678E0
1.404154230E-1,1.181266308E0,-1.257075787E0,1.304310322E0
1.603273500E-1,1.243043184E0,-1.459614754E0,1.282066345E0
1.802090170E-1,9.871754646E-1,-1.363422871E0,9.538903236E-1
2.001009440E-1,5.113272667E-1,-9.682688713E-1,1.869668961E-1
2.199767770E-1,2.540462017E-1,-6.842999458E-1,-7.426238060E-1
2.398769860E-1,1.201391220E-1,-3.302249908E-1,-1.166912317E0
2.597455270E-1,8.834123611E-2,-3.318500519E-2,-1.330300808E0
2.796859440E-1,-3.660221100E-1,3.850078583E-2,-1.421637058E0
2.995930270E-1,-1.110884786E0,8.909511566E-2,-1.055793285E0
3.194343810E-1,-1.647259474E0,5.349254608E-1,-3.151543140E-1
3.393439650E-1,-2.012266636E0,7.446126938E-1,2.566838264E-1
3.592613090E-1,-1.887704253E0,6.533041000E-1,4.562470913E-1
3.791116730E-1,-1.568081975E0,6.628561020E-1,5.366706848E-1
3.990236520E-1,-1.078225613E0,7.196540833E-1,5.296688080E-1
4.189143290E-1,-3.737604618E-1,5.333538055E-1,4.615812302E-1
4.387799020E-1,2.204468250E-1,3.173131943E-1,4.169564247E-1
4.586754230E-1,1.728515625E-1,3.987684250E-1,6.045675278E-2
4.785646940E-1,-8.529853821E-2,4.336910248E-1,-4.027192593E-1
4.984822460E-1,-1.629135609E-1,2.266683578E-1,-2.954952717E-1
5.183650590E-1,3.277308941E-1,-1.047277451E-1,1.407487392E-1
5.382404230E-1,6.560261250E-1,-3.421239853E-1,3.708148003E-1
5.581488090E-1,1.059192657E0,-3.383188248E-1,5.540730953E-1
5.780192770E-1,1.727772236E0,-8.104138374E-1,8.441658020E-1
5.979134960E-1,2.917715311E0,-1.980980873E0,1.384869099E0
6.177956310E-1,4.304298401E0,-2.905717850E0,1.656073093E0
6.377326630E-1,5.058144569E0,-3.358847141E0,1.238602638E0
6.576270900E-1,5.571064949E0,-3.432892323E0,-8.950662613E-2
6.775160480E-1,5.404359818E0,-3.100793839E0,-1.037439108E0
6.973612040E-1,5.320752144E0,-2.694065094E0,-8.300836086E-1
7.172745900E-1,4.914972305E0,-1.798925400E0,-8.033068180E-1
7.371845380E-1,3.964561224E0,-9.733748436E-1,-1.193475485E0
7.570434440E-1,3.028011799E0,-4.428057671E-1,-3.895542622E-1
7.769353190E-1,2.200496197E0,-1.901454926E-1,-5.612242222E-1
7.968343810E-1,4.311904907E-1,3.300948143E-1,-1.407472849E0
8.167284440E-1,-3.188794613E0,1.325842857E0,-4.365081787E-1
8.365897460E-1,-7.228076935E0,1.903530598E0,1.332015514E0
8.565308920E-1,-1.043263435E1,3.027028084E0,2.589824677E0
8.763811520E-1,-1.318968964E1,5.415106297E0,3.696135521E0
8.962602670E-1,-1.475633240E1,6.409060001E0,5.003753185E0
9.161856840E-1,-1.514767838E1,6.999066830E0,5.939614296E0
9.360736000E-1,-1.381985664E1,8.358825684E0,5.297533512E0
9.559330790E-1,-9.072815895E0,1.058992195E1,3.977886677E0
9.758243290E-1,-2.150790691E0,1.374857712E1,3.270844460E0
9.957668810E-1,3.585624695E0,1.592689800E1,1.189273357E0
1.015637246E0,6.505753517E0,2.020700073E1,-5.641217232E0
