"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.542225700E-2,2.762282491E-1,-8.411346078E-1,7.684324980E-1
6.536548700E-2,1.013968661E-1,-8.512543440E-1,7.161694765E-1
8.525996600E-2,1.185071748E-2,-8.038514853E-1,6.324821115E-1
1.050943410E-1,3.475322574E-2,-6.396724582E-1,5.179029703E-1
1.249976220E-1,1.232341453E-1,-2.846835256E-1,3.633110523E-1
1.448692370E-1,2.207695395E-1,1.822214276E-1,2.066552043E-1
1.648040280E-1,2.469343245E-1,4.993945658E-1,8.561810106E-2
1.847017370E-1,1.691057384E-1,5.563845038E-1,2.170412242E-2
2.045973100E-1,6.657706108E-4,4.572512805E-1,-1.191729400E-2
2.244478820E-1,-2.061225921E-1,3.613137305E-1,-3.268933669E-2
2.443327780E-1,-3.750951886E-1,2.936048508E-1,-1.458037738E-2
2.642269970E-1,-4.928700030E-1,2.573869228E-1,1.311568171E-2
2.841216320E-1,-5.280892849E-1,2.749632597E-1,5.632419512E-2
3.040285070E-1,-4.934026301E-1,4.071853161E-1,9.254211932E-2
3.239139760E-1,-4.257603288E-1,5.947995186E-1,7.656362653E-2
3.437868410E-1,-3.372794092E-1,6.896718144E-1,2.117150649E-2
3.636854870E-1,-3.041906059E-1,6.267564893E-1,-2.150439098E-2
3.835842890E-1,-3.154421151E-1,4.737623930E-1,-2.629793994E-2
4.035149660E-1,-3.036579788E-1,3.586506546E-1,-4.014597088E-2
4.233621010E-1,-2.087856680E-1,3.522592485E-1,-9.666989744E-2
4.432685600E-1,-4.360797629E-2,4.370118380E-1,-1.931400597E-1
4.631448100E-1,1.440061927E-1,5.361450911E-1,-3.669061959E-1
4.830437680E-1,3.561872840E-1,6.038539410E-1,-6.131081581E-1
5.029330910E-1,6.621088982E-1,7.322811484E-1,-9.553142786E-1
5.228511120E-1,1.117296338E0,8.218272924E-1,-1.455241442E0
5.427356950E-1,1.679073572E0,3.117803931E-1,-2.110825777E0
5.626430390E-1,2.287787676E0,-8.517869711E-1,-2.721670389E0
5.825348620E-1,2.840510368E0,-1.915688396E0,-3.334645510E0
6.023917890E-1,3.386775255E0,-2.263686657E0,-3.917727232E0
6.222717370E-1,4.049350262E0,-1.727009058E0,-4.379838943E0
