"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.142189600E-2,-2.309558392E-1,-8.057821989E-1,-2.689713426E-2
6.131314600E-2,-1.840855777E-1,-7.397377491E-1,-7.323476672E-2
8.121913500E-2,-1.926074475E-1,-6.363435984E-1,-1.318891644E-1
1.010613230E-1,-1.675078869E-1,-4.977301359E-1,-1.985328048E-1
1.209710100E-1,-5.665707961E-2,-3.847488463E-1,-2.288919389E-1
1.408466870E-1,1.010639817E-1,-2.659088075E-1,-2.571206093E-1
1.607170520E-1,2.460688353E-1,-3.082518093E-2,-3.525255620E-1
1.806283020E-1,3.755612075E-1,2.996633649E-1,-5.081827044E-1
2.005276250E-1,5.455990434E-1,6.263570189E-1,-6.696987152E-1
2.203951250E-1,7.609758377E-1,8.571797013E-1,-8.194305301E-1
2.403024690E-1,9.592423439E-1,8.827452660E-1,-9.479242563E-1
2.602035100E-1,1.134073734E0,6.700981259E-1,-1.063035965E0
2.800958020E-1,1.272087932E0,2.852161527E-1,-1.095525622E0
2.999539790E-1,1.311568141E0,-9.746882319E-2,-1.007044673E0
3.198711150E-1,1.252913713E0,-2.999962568E-1,-8.466604948E-1
3.397504370E-1,1.134073734E0,-3.111811876E-1,-6.830140948E-1
3.596459060E-1,9.816122055E-1,-2.269612104E-1,-5.507920384E-1
3.795466350E-1,8.115743995E-1,-1.619154215E-1,-4.218322635E-1
3.994406980E-1,5.999925137E-1,-1.726343334E-1,-2.902094126E-1
4.193146040E-1,3.921388984E-1,-2.312221378E-1,-1.729006320E-1
4.392481460E-1,2.242315561E-1,-2.952027023E-1,-8.228924870E-2
4.591014790E-1,8.934641629E-2,-3.298227787E-1,-3.701684624E-2
4.789957500E-1,-1.830869168E-2,-3.202356696E-1,-1.624480449E-2
4.988987190E-1,-8.441971987E-2,-2.616478503E-1,-1.091863867E-2
5.187732500E-1,-9.720251709E-2,-1.677742004E-1,-7.190322969E-3
5.386790310E-1,-6.624417752E-2,-3.029256500E-2,-2.330197254E-3
5.585818440E-1,-1.990654133E-2,1.456040442E-1,1.790923066E-2
5.784681460E-1,1.691057347E-2,3.316203654E-1,2.696371078E-2
5.983553850E-1,5.153064802E-2,4.915384650E-1,5.126433913E-3
6.182748650E-1,1.176416725E-1,6.279548407E-1,-4.394086078E-2
6.381395000E-1,1.751642525E-1,7.313490510E-1,-1.041931063E-1
6.580329900E-1,1.868818253E-1,7.745575905E-1,-1.659766138E-1
6.779188750E-1,1.922079772E-1,7.878729701E-1,-2.193048447E-1
6.978382500E-1,2.002638131E-1,8.336780071E-1,-2.800231278E-1
7.177239270E-1,1.629140824E-1,8.453955650E-1,-3.088510036E-1
7.376160100E-1,6.484606117E-2,7.553167939E-1,-2.517944574E-1
7.574960620E-1,-7.050511241E-2,6.396724582E-1,-1.659766138E-1
7.773921560E-1,-2.261622846E-1,5.570502877E-1,-9.453943372E-2
7.972910100E-1,-3.508611321E-1,4.984624684E-1,-4.181039706E-2
8.172035100E-1,-4.260266423E-1,4.382102489E-1,2.463351469E-3
8.370673120E-1,-4.979964495E-1,3.507945538E-1,5.732285231E-2
8.569511670E-1,-5.827490687E-1,2.202369273E-1,1.372819096E-1
8.768698650E-1,-6.605776548E-1,9.547150880E-2,2.358825356E-1
8.967497600E-1,-7.031869292E-1,7.256899774E-2,3.126458824E-1
9.166105420E-1,-7.106435895E-1,1.514628232E-1,3.633110523E-1
9.365254900E-1,-6.920019984E-1,2.814878225E-1,3.814199865E-1
9.564184060E-1,-6.568493247E-1,4.051880240E-1,3.654415011E-1
9.763016350E-1,-6.045863032E-1,4.851470590E-1,3.227656186E-1
9.962555940E-1,-5.278229713E-1,5.075169802E-1,2.603828907E-1
1.016102000E0,-4.196352363E-1,4.770912528E-1,1.980667710E-1
1.035989917E0,-2.858819067E-1,4.307536185E-1,1.436733007E-1
1.055887260E0,-1.456706226E-1,4.174381793E-1,6.637733430E-2
1.075764031E0,-6.058512721E-3,4.328840673E-1,-8.255556226E-3
1.095663406E0,1.240330711E-1,4.323514402E-1,-6.364767253E-2
1.115560750E0,2.364817262E-1,3.694361150E-1,-1.052583382E-1
1.135423979E0,3.372128308E-1,2.569874525E-1,-1.244325340E-1
1.155323875E0,4.166392684E-1,1.285603046E-1,-1.270956099E-1
1.175264500E0,4.741618633E-1,-6.324821152E-3,-1.143128201E-1
1.195099917E0,5.093811154E-1,-1.406107545E-1,-8.175663650E-2
1.215017469E0,5.301531553E-1,-2.301569134E-1,-6.471290439E-2
1.234906010E0,5.333488584E-1,-2.754958868E-1,-7.323476672E-2
1.254784656E0,5.115115643E-1,-3.447360396E-1,-6.045197323E-2
1.274677937E0,4.613790512E-1,-4.545882046E-1,-3.701684624E-2
1.294553771E0,3.958672285E-1,-5.973960161E-1,-1.731003635E-2
1.314467677E0,3.404085338E-1,-7.450639009E-1,-6.058512721E-3
1.334373562E0,3.079189062E-1,-8.617734909E-1,2.463351469E-3
1.354267052E0,2.946034968E-1,-9.278845191E-1,8.655018173E-4
1.374156323E0,2.951361239E-1,-9.470587373E-1,-1.731003635E-2
1.394068042E0,3.127124608E-1,-9.422652125E-1,-3.808208182E-2
1.413932312E0,3.388106823E-1,-9.241562486E-1,-6.418029219E-2
1.433819552E0,3.398759067E-1,-9.017197490E-1,-1.073888019E-1
1.453713875E0,3.313540518E-1,-9.124386907E-1,-1.462698132E-1
1.473577365E0,3.744959831E-1,-9.603741765E-1,-1.718354076E-1
1.493470542E0,4.464657903E-1,-9.827440381E-1,-1.980001926E-1
1.513358771E0,4.806198180E-1,-9.113734365E-1,-2.549901605E-1
1.533280177E0,4.886090755E-1,-7.493248582E-1,-3.136445582E-1
1.553195333E0,4.939352274E-1,-5.744934678E-1,-3.445363045E-1
1.573046271E0,5.163051486E-1,-4.358800352E-1,-3.450689316E-1
