"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.565313100E-2,-2.401368141E0,-1.239664912E0,-5.636414289E-1
6.559844300E-2,-2.393378973E0,-6.603113413E-1,-2.230331600E-1
8.543516200E-2,-2.208960295E0,-2.869471535E-2,8.129059523E-2
1.053303700E-1,-1.941919804E0,4.632432163E-1,2.369477749E-1
1.252477660E-1,-1.689792514E0,7.004572749E-1,2.246975899E-1
1.451208390E-1,-1.466426373E0,7.761554122E-1,1.452711523E-1
1.650103700E-1,-1.239398599E0,7.340121269E-1,1.111836955E-1
1.849019850E-1,-9.968583584E-1,4.435364008E-1,5.359453708E-2
2.048429220E-1,-7.490585446E-1,-1.278279573E-1,-7.856093347E-2
2.247081310E-1,-5.230293870E-1,-6.858769059E-1,-1.953371018E-1
2.445760990E-1,-2.773600519E-1,-9.086437821E-1,-2.976660430E-1
2.644641200E-1,-8.548495173E-2,-8.489907384E-1,-3.067205250E-1
2.843739640E-1,-1.404776052E-2,-6.234942079E-1,-2.523270845E-1
3.042435470E-1,-1.138467807E-2,-2.946700752E-1,-2.704360485E-1
3.241500580E-1,8.828118443E-2,1.839524209E-1,-3.493298590E-1
3.440570890E-1,3.910736740E-1,8.448629379E-1,-4.591154456E-1
3.639368810E-1,8.483915329E-1,1.542057991E0,-4.159734845E-1
3.838365160E-1,1.318492174E0,2.172076702E0,-2.107829899E-1
4.037482350E-1,1.743253827E0,2.628329277E0,7.543181628E-2
4.236316720E-1,2.182995319E0,2.908685446E0,3.318201005E-1
4.435281310E-1,2.688248634E0,3.059482336E0,3.787569106E-1
4.634201100E-1,3.154088497E0,2.972066641E0,3.211677670E-1
4.832733910E-1,3.381182671E0,2.488650560E0,4.410730600E-1
5.031750580E-1,3.247362852E0,1.732867837E0,7.582461834E-1
5.230900060E-1,2.789512396E0,9.914656281E-1,1.065765619E0
5.429951620E-1,2.254432440E0,3.742296696E-1,1.219824910E0
5.628918810E-1,1.764025927E0,-1.752974093E-1,1.275749683E0
5.827827140E-1,1.292860031E0,-6.464632750E-1,1.321621299E0
6.026614640E-1,8.941965699E-1,-9.625046253E-1,1.257640719E0
6.225506310E-1,5.051201582E-1,-1.438996673E0,9.708933234E-1
6.424475060E-1,-1.169093251E-1,-2.880789518E0,1.298252791E-1
6.623058910E-1,-5.960644484E-1,-3.434577465E0,-4.665720761E-1
6.822299020E-1,-3.263607621E-1,-2.467146158E0,-6.456643939E-1
7.021396930E-1,-5.598465204E-1,-8.111083508E-1,-8.578454852E-1
7.219935990E-1,-9.035838842E-1,9.957265854E-1,-1.135005832E0
7.418990680E-1,-1.048056126E0,2.154500484E0,-1.303445816E0
7.618019850E-1,-9.782168269E-1,2.339984179E0,-1.360435724E0
7.816907350E-1,-6.456643939E-1,2.019615173E0,-1.593388915E0
8.015824540E-1,-1.280942708E-1,1.782467723E0,-2.175938129E0
8.214505790E-1,3.446694613E-1,1.704106569E0,-2.940242767E0
8.413309950E-1,7.300174832E-1,1.601777554E0,-3.447693348E0
8.612274540E-1,1.111637235E0,1.424815774E0,-3.666199207E0
8.811321930E-1,1.516758680E0,1.376281023E0,-3.829845667E0
9.010228700E-1,2.018283606E0,1.731269956E0,-4.043025494E0
9.209275060E-1,2.547038794E0,2.738647461E0,-4.325511932E0
9.408306830E-1,3.020335197E0,4.579103947E0,-4.687957287E0
9.607264640E-1,3.441967726E0,6.897117615E0,-4.849473476E0
9.805938600E-1,3.827315569E0,9.012070656E0,-4.396416187E0
1.000501308E0,4.159335613E0,1.058175850E1,-3.203555107E0
1.020364797E0,4.293687820E0,1.154646015E1,-1.874277472E0
1.040278860E0,3.670593262E0,1.159605980E1,-9.463263750E-1
1.060165110E0,1.599913478E0,1.055932236E1,-5.619769692E-1
1.080065943E0,-2.706757069E0,8.051564217E0,-3.759606779E-1
1.099926412E0,-6.828942776E0,4.767250538E0,1.930734841E-3
1.119824745E0,-9.355408669E0,2.158761263E0,-2.075872868E-1
1.139739485E0,-1.135997772E1,-1.567490339E0,9.256209135E-1
1.159618235E0,-1.161689854E1,-3.836436749E0,3.813400984E0
1.179523027E0,-1.062017345E1,-2.130332947E0,6.003986359E0
1.199398287E0,-9.613927841E0,4.685693681E-1,7.100377083E0
1.219285839E0,-8.915135384E0,1.246256113E0,7.201108456E0
1.239176204E0,-8.381053925E0,4.942015409E-1,6.599384785E0
1.259078443E0,-7.427536964E0,-8.042509109E-2,5.369772911E0
1.278990474E0,-6.078485966E0,1.722348630E-1,3.602884293E0
1.298904224E0,-4.887754917E0,1.956699938E-1,2.142449856E0
1.318812870E0,-3.824985504E0,-2.227002829E-1,1.190464497E0
1.338637870E0,-2.781922579E0,-3.677051365E-1,1.404775977E-1
1.358542089E0,-2.012225151E0,-4.140427709E-1,-8.956612349E-1
1.378460370E0,-1.373684525E0,-7.045184970E-1,-1.821481943E0
1.398310474E0,-8.290175796E-1,-1.247654200E0,-2.551166534E0
1.418223443E0,-6.237605214E-1,-1.718820095E0,-2.933851480E0
1.438116464E0,-6.808170676E-1,-2.136191607E0,-3.149694204E0
1.458015735E0,-8.790835738E-1,-2.613749027E0,-3.314938545E0
1.477906464E0,-1.040066838E0,-2.945835352E0,-3.365071058E0
1.497779849E0,-1.045925617E0,-3.145167112E0,-3.296297073E0
1.517692506E0,-8.567136526E-1,-3.227256536E0,-3.227522850E0
1.537557454E0,-5.011921525E-1,-3.001227379E0,-3.012212753E0
1.557479902E0,-2.752295732E-1,-2.501832962E0,-2.700964928E0
1.577372089E0,-2.981320918E-1,-1.891520977E0,-2.524535656E0
1.597265110E0,-3.055887222E-1,-1.244458437E0,-2.444576740E0
1.617153599E0,-1.110505462E-1,-7.296180725E-1,-2.408292055E0
1.637038860E0,8.615072072E-2,-5.728956461E-1,-2.261755943E0
1.656927245E0,2.178401500E-1,-6.906704903E-1,-1.973943353E0
1.676849068E0,2.967339754E-1,-8.175663352E-1,-1.735131383E0
1.696745787E0,3.393433094E-1,-8.756215572E-1,-1.591258407E0
1.716573652E0,4.198349714E-1,-9.246888161E-1,-1.470221281E0
1.736479172E0,5.306857824E-1,-9.933964014E-1,-1.285802841E0
1.756394902E0,6.212971807E-1,-1.042996287E0,-1.056111932E0
1.776273860E0,6.516563296E-1,-1.007310987E0,-8.514540792E-1
1.796152245E0,5.967968106E-1,-8.782846332E-1,-6.936664581E-1
1.816071620E0,4.928700030E-1,-6.906704903E-1,-5.647066832E-1
1.835961464E0,4.086500108E-1,-5.041215420E-1,-4.431369305E-1
1.855827558E0,3.686372042E-1,-3.399424851E-1,-3.035248220E-1
1.875781099E0,3.393433094E-1,-1.934063733E-1,-1.681070924E-1
1.895622402E0,2.962013483E-1,-6.651048362E-2,-6.045197323E-2
1.915512818E0,2.513949871E-1,3.954677656E-2,2.749632671E-2
1.935406204E0,2.332860380E-1,1.216362938E-1,1.149120107E-1
1.955326047E0,2.332860380E-1,1.972678453E-1,1.734998226E-1
1.975201672E0,2.231663167E-1,2.644441128E-1,2.087190896E-1
1.995076568E0,2.119813710E-1,3.060547709E-1,2.284259051E-1
2.014972037E0,1.943384558E-1,3.342834413E-1,2.145778835E-1
2.034878547E0,1.671750098E-1,3.598490357E-1,1.842187345E-1
2.054816152E0,1.480008066E-1,3.971987665E-1,1.532603949E-1
2.074659224E0,1.266961545E-1,4.195686579E-1,1.266295761E-1
2.094533808E0,8.774857223E-2,4.046553969E-1,9.946613014E-2
2.114422558E0,4.300878197E-2,3.651751876E-1,7.063826174E-2
2.134306464E0,-4.460663069E-3,2.916075289E-1,4.667052254E-2
2.154231672E0,-5.399399996E-2,2.015953511E-1,2.802894451E-2
2.174102141E0,-7.529865950E-2,1.381474137E-1,2.995967865E-3
2.194013391E0,-7.476603985E-2,1.125818118E-1,-2.796236612E-2
2.213888704E0,-7.583127916E-2,1.050586104E-1,-6.631075591E-2
2.233785839E0,-7.636389136E-2,9.866721183E-2,-1.095192730E-1
2.253666881E0,-7.050511241E-2,7.576470077E-2,-1.393457949E-1
2.273585422E0,-8.335448056E-2,3.315537795E-2,-1.574547589E-1
2.293462402E0,-1.190397888E-1,-1.591191813E-2,-1.867486686E-1
2.313337870E0,-1.488663107E-1,-7.077141851E-2,-2.299571782E-1
2.333228131E0,-1.680405140E-1,-1.182408631E-1,-2.736317217E-1
2.353145422E0,-1.803572625E-1,-1.379476786E-1,-3.482646346E-1
2.373045683E0,-2.048576325E-1,-1.475347728E-1,-4.660394490E-1
2.392967558E0,-2.394776940E-1,-1.816888005E-1,-5.865439177E-1
2.412828027E0,-2.794905007E-1,-2.519941926E-1,-7.021883130E-1
2.432762141E0,-3.109148741E-1,-3.442034125E-1,-8.268871307E-1
2.452629172E0,-3.226324618E-1,-4.209667742E-1,-9.836095572E-1
2.472484224E0,-2.853493094E-1,-4.257603288E-1,-1.176017284E0
2.492402297E0,-1.878138930E-1,-3.122464418E-1,-1.393458009E0
2.512288443E0,-3.588503599E-2,-5.852124095E-2,-1.645052671E0
2.532190422E0,1.314896941E-1,2.623136342E-1,-1.933930516E0
2.552069849E0,2.940708995E-1,5.202997327E-1,-2.242049217E0
2.571979016E0,4.859459996E-1,6.983268261E-1,-2.553829670E0
2.591826412E0,7.491917014E-1,8.411346078E-1,-2.876328945E0
2.611767870E0,1.064767003E0,8.800821900E-1,-3.245631933E0
2.631643547E0,1.379743099E0,8.790169954E-1,-3.627850771E0
2.651515370E0,1.698514104E0,9.696283340E-1,-3.998285532E0
2.671445683E0,2.050307274E0,1.171090603E0,-4.298348427E0
2.691309277E0,2.423937798E0,1.560166955E0,-4.551008224E0
2.711207089E0,2.876395464E0,2.274405718E0,-4.811591148E0
2.731105735E0,3.461141825E0,3.403286457E0,-5.142611980E0
2.750972610E0,4.126313210E0,4.928234100E0,-5.451729298E0
2.770877037E0,4.851204395E0,7.015424728E0,-5.630821705E0
2.790800995E0,5.696533203E0,9.641024590E0,-5.417109489E0
2.810698443E0,6.181014538E0,1.163121319E1,-4.372448444E0
2.830540995E0,5.237617493E0,1.172501945E1,-2.411487818E0
2.850459068E0,9.645684958E-1,1.018941975E1,-3.312208951E-1
2.870324016E0,-5.661180973E0,7.257965088E0,1.211303115E0
2.890243079E0,-9.757267952E0,3.920323849E0,1.092396498E0
2.910139329E0,-1.238979149E1,-8.218272924E-1,1.248053670E0
2.930019068E0,-1.346694183E1,-3.838034630E0,4.330371857E0
2.949898287E0,-1.223626518E1,-2.760285139E-1,6.971417427E0
2.969785266E0,-1.123740959E1,5.110521793E0,7.351439476E0
2.989727870E0,-1.038089561E1,7.100177765E0,5.912842274E0
3.009569120E0,-9.614459991E0,5.402062893E0,3.813933611E0
3.029468183E0,-7.954694271E0,2.331462145E0,2.122743130E0
3.049378235E0,-5.454925060E0,1.557237506E-1,9.911327362E-1
3.069266672E0,-3.684774160E0,-8.239577413E-1,2.683721483E-1
3.089167454E0,-2.180665255E0,-1.259371758E0,-1.304910425E-2
3.109046047E0,-9.814125299E-1,-1.413431048E0,-3.189707100E-1
3.128963443E0,-1.787594110E-1,-1.418224573E0,-8.087781668E-1
3.148866933E0,3.244300187E-1,-1.377213120E0,-1.299650908E0
3.168772870E0,5.578492284E-1,-1.420355082E0,-1.620552301E0
3.188626152E0,6.218297482E-1,-1.654906034E0,-1.802840352E0
3.208497037E0,6.106448174E-1,-2.114354372E0,-2.037324667E0
3.228404016E0,4.523245692E-1,-2.783254147E0,-2.355563164E0
3.248307714E0,1.117828935E-1,-3.567798376E0,-2.560220957E0
3.268200631E0,-2.912080884E-1,-4.279374123E0,-2.627929926E0
3.288053704E0,-5.342143774E-1,-4.703070164E0,-2.690845251E0
3.307978547E0,-5.875425935E-1,-4.896077156E0,-2.674800158E0
3.327872089E0,-5.832816362E-1,-4.843814373E0,-2.389650583E0
3.347768339E0,-5.752924085E-1,-4.305472374E0,-1.987258792E0
3.367627402E0,-5.630422235E-1,-3.372727394E0,-1.873744845E0
3.387525891E0,-5.267577171E-1,-2.373339176E0,-1.910495400E0
3.407447818E0,-3.754280508E-1,-1.458703518E0,-1.866820931E0
3.427303495E0,-1.776941866E-1,-7.242918611E-1,-1.746849060E0
3.447226672E0,5.366111174E-2,-2.296242863E-1,-1.692522168E0
3.467102141E0,1.997311860E-1,2.197043039E-3,-1.712228894E0
3.487016724E0,2.833519876E-1,-9.533835202E-2,-1.657835484E0
3.506908860E0,3.324192762E-1,-4.695014656E-1,-1.507038474E0
3.526786620E0,3.686372042E-1,-9.001219273E-1,-1.369490266E0
3.546686152E0,3.953346014E-1,-1.258839130E0,-1.237867355E0
3.566556933E0,3.979976773E-1,-1.508836031E0,-1.059840322E0
3.586450943E0,3.633110523E-1,-1.589327693E0,-8.764870763E-1
3.606363860E0,3.441368341E-1,-1.457638264E0,-7.714950442E-1
3.626226099E0,3.361476064E-1,-1.197055578E0,-6.910033226E-1
3.646126933E0,3.201690912E-1,-9.401347041E-1,-5.406723619E-1
3.666033547E0,2.801562846E-1,-7.050511241E-1,-3.296230435E-1
3.685909329E0,2.284924835E-1,-4.476641715E-1,-1.164432839E-1
3.705815214E0,1.954036802E-1,-1.416759938E-1,3.335510939E-2
3.725774485E0,1.570552886E-1,1.589194536E-1,1.415428370E-1
3.745599068E0,1.005313694E-1,3.897421360E-1,2.199040353E-1
3.765471516E0,3.235645220E-2,5.139083862E-1,2.635785937E-1
3.785396777E0,-2.256962471E-2,5.453327298E-1,2.790910602E-1
3.805283027E0,-4.653736949E-2,5.160388350E-1,2.753627300E-1
3.825161464E0,-3.854811937E-2,4.520582557E-1,2.614481449E-1
3.845058599E0,-2.470009029E-2,3.742296696E-1,2.342846841E-1
3.864971724E0,-6.591129117E-3,3.129787743E-1,1.804904193E-1
3.884854381E0,-6.591129117E-3,2.633788586E-1,1.218360290E-1
3.904786829E0,-3.908073530E-2,1.914090663E-1,8.075797558E-2
3.924632922E0,-6.198324636E-2,1.023955271E-1,4.294220731E-2
3.944502141E0,-5.186353251E-2,-2.063889056E-3,1.950708032E-2
3.964429277E0,-3.641765565E-2,-9.853405505E-2,1.897446252E-2
3.984278704E0,-3.641765565E-2,-1.544587910E-1,-3.928046674E-3
4.004200631E0,-7.157034427E-2,-1.581871063E-1,-6.684337556E-2
4.024099068E0,-1.296921223E-1,-1.278279573E-1,-1.499981284E-1
4.043966204E0,-1.750310957E-1,-9.959928691E-2,-2.427399755E-1
4.063862037E0,-1.920748353E-1,-1.374150664E-1,-3.525255620E-1
4.083752037E0,-1.851508170E-1,-2.946700752E-1,-4.799540639E-1
4.103661777E0,-1.563229412E-1,-5.398734212E-1,-6.270228028E-1
4.123531152E0,-1.115831584E-1,-8.132388592E-1,-7.970606089E-1
4.143435631E0,-8.282186836E-2,-1.037137508E0,-1.011838198E0
4.163326777E0,-8.228924870E-2,-1.188001156E0,-1.267693877E0
4.183212558E0,-1.009308323E-1,-1.257773876E0,-1.527277827E0
4.203088964E0,-7.316819578E-2,-1.288732171E0,-1.822547078E0
4.223001777E0,-2.629793994E-2,-1.430474758E0,-2.210025549E0
4.242893235E0,3.182383627E-2,-1.548782229E0,-2.565014601E0
4.262808652E0,2.756290510E-2,-1.314297795E0,-2.847501040E0
4.282665579E0,4.513924941E-2,-7.381399274E-1,-3.183848381E0
4.302568495E0,1.543922126E-1,-1.848845035E-1,-3.564935446E0
4.322461985E0,3.121798635E-1,1.328212470E-1,-3.849019766E0
4.342348808E0,5.477294922E-1,2.980655134E-1,-3.959337950E0
4.362235787E0,8.312812448E-1,4.920710921E-1,-3.931109428E0
4.382136152E0,1.143128157E0,9.173653722E-1,-3.907141685E0
4.402023027E0,1.485800385E0,1.716356754E0,-4.049949169E0
4.421941047E0,1.865888834E0,2.895370007E0,-4.379372597E0
4.441809433E0,2.259758711E0,4.454338551E0,-4.819646835E0
4.461752558E0,2.746370554E0,6.512301922E0,-5.263582706E0
4.481602349E0,3.375856638E0,9.322253227E0,-5.703324318E0
4.501484693E0,4.190293789E0,1.297973156E1,-6.097726822E0
4.521392714E0,4.416789055E0,1.557490540E1,-5.833881855E0
4.541271412E0,3.382247925E0,1.370615387E1,-3.102823973E0
4.561149433E0,-8.065811396E-1,8.740769386E0,1.037270650E-1
4.581051308E0,-4.790219784E0,5.651993275E0,-1.393457949E-1
4.600971672E0,-7.555963993E0,2.451900005E0,-1.547517300E0
4.620868547E0,-1.113454819E1,-3.283714056E0,8.706948161E-1
4.640760318E0,-1.211742496E1,-3.388705969E0,3.527718782E0
4.660655891E0,-1.187701511E1,7.308164239E-1,5.233290195E0
4.680515474E0,-1.185038471E1,3.674587965E0,5.893668175E0
4.700401724E0,-1.111377621E1,4.146819115E0,4.752004623E0
4.720307297E0,-1.016878128E1,2.463085175E0,3.136445522E0
4.740191152E0,-8.792566299E0,6.093133092E-1,2.163754463E0
4.760106829E0,-6.808702946E0,-1.565892547E-1,1.183007836E0
4.779995839E0,-5.048205853E0,-5.808848739E-1,4.181705415E-1
4.799875631E0,-3.379917860E0,-9.401347041E-1,7.809489965E-2
4.819779068E0,-1.977605104E0,-1.130411983E0,-4.042559266E-1
4.839662297E0,-8.977251053E-1,-1.553575754E0,-1.019294858E0
4.859530266E0,-1.158440933E-1,-2.340317011E0,-1.597649813E0
4.879465110E0,3.830178380E-1,-3.285844326E0,-2.051239252E0
4.899323704E0,6.916691065E-1,-4.202077866E0,-2.369411230E0
4.919230214E0,8.819463849E-1,-5.031428337E0,-2.633255959E0
4.939133131E0,9.411333799E-1,-5.647599220E0,-2.795837164E0
4.959010579E0,8.680983186E-1,-5.789341927E0,-2.848566294E0
4.978932506E0,6.239602566E-1,-5.619303703E0,-2.892839909E0
4.998829224E0,2.039921284E-1,-5.461050034E0,-2.833120346E0
