"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.565313100E-2,-1.912650317E-1,6.074076891E-1,1.954135895E-1
6.559844300E-2,-3.863666952E-1,2.732274532E-1,4.987049103E-1
8.543516200E-2,-4.629767537E-1,4.646220803E-1,6.736774445E-1
1.053303700E-1,-8.869620562E-1,7.770271897E-1,9.938850403E-1
1.252477660E-1,-1.360984087E0,8.301926851E-1,1.101180077E0
1.451208390E-1,-1.120646477E0,6.051844954E-1,8.318328857E-1
1.650103700E-1,-1.182029128E0,3.473103046E-3,9.089555740E-1
1.849019850E-1,-2.000201702E0,-6.066476107E-1,1.333214760E0
2.048429220E-1,-2.023124933E0,-9.201450944E-1,1.625448227E0
2.247081310E-1,-1.204694510E0,-1.614660740E0,1.134386063E0
2.445760990E-1,-9.462337941E-2,-2.415915251E0,5.377759933E-1
2.644641200E-1,9.231866598E-1,-2.379012346E0,5.042600632E-1
2.843739640E-1,1.029285669E0,-2.525904894E0,1.271553040E0
3.042435470E-1,9.957827330E-1,-3.180953026E0,1.790062904E0
3.241500580E-1,9.084134102E-1,-3.736170053E0,1.365468025E0
3.440570890E-1,6.552586555E-1,-4.111806870E0,7.758398056E-1
3.639368810E-1,-1.791251600E-1,-4.238798618E0,9.354410172E-1
3.838365160E-1,-1.506253958E0,-3.845061779E0,1.494191170E0
4.037482350E-1,-2.281894207E0,-3.292704582E0,1.440632820E0
4.236316720E-1,-2.991263390E0,-2.797779083E0,5.594329834E-1
4.435281310E-1,-3.183772087E0,-2.260576725E0,-3.518638611E-1
4.634201100E-1,-2.726227999E0,-1.562757015E0,-1.595096588E-1
4.832733910E-1,-1.870605469E0,-2.131057978E-1,7.383718491E-1
5.031750580E-1,-1.237164021E0,1.462740183E0,1.163574219E0
5.230900060E-1,-8.574826717E-1,2.600493908E0,6.698503494E-1
5.429951620E-1,-3.554744720E-1,2.824759245E0,4.228878021E-2
5.628918810E-1,3.485612869E-1,2.121801376E0,-5.438661575E-1
5.827827140E-1,7.731795311E-1,1.180917740E0,-1.094534397E0
6.026614640E-1,1.014949203E0,1.672840118E-2,-1.175111771E0
6.225506310E-1,1.204967976E0,-1.350689888E0,-4.552845955E-1
6.424475060E-1,2.169360638E0,-2.522897005E0,-3.934637547E0
6.623058910E-1,2.460561037E0,-2.878131866E0,-5.431163788E0
6.822299020E-1,1.927347541E0,-2.450676918E0,-1.770662308E0
7.021396930E-1,7.043965459E-1,-2.178641319E0,1.183283806E0
7.219935990E-1,-1.240929246E0,-2.628921986E0,7.990083694E-1
7.418990680E-1,-2.433124065E0,-3.060349941E0,-9.515714645E-1
7.618019850E-1,-2.268905640E0,-3.261998177E0,-2.391404629E0
7.816907350E-1,-5.820665359E-1,-4.055491447E0,-4.394185066E0
8.015824540E-1,1.486393094E0,-5.301496029E0,-6.170593739E0
8.214505790E-1,3.424974442E0,-6.145081520E0,-6.794819832E0
8.413309950E-1,4.994376659E0,-6.426389694E0,-6.906530380E0
8.612274540E-1,6.080626011E0,-5.935691357E0,-7.218824387E0
8.811321930E-1,7.044030666E0,-4.761628151E0,-7.906854630E0
9.010228700E-1,7.820634842E0,-2.548259497E0,-8.779165268E0
9.209275060E-1,8.031316757E0,1.459414005E0,-9.451470375E0
9.408306830E-1,7.238536358E0,4.521362305E0,-9.721735001E0
9.607264640E-1,4.830139160E0,5.434648991E0,-9.430803299E0
9.805938600E-1,1.393052101E0,7.892786980E0,-1.053341293E1
1.000501308E0,-2.318941116E0,1.672358513E1,-1.363816643E1
1.020364797E0,-9.080532074E0,2.660501862E1,-1.781990814E1
1.040278860E0,-1.871377563E1,3.400505829E1,-1.862840843E1
1.060165110E0,-1.957216644E1,4.026675034E1,-1.801311111E1
1.080065943E0,-1.685073471E1,3.558309174E1,-2.773982430E1
