"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.523173500E-2,1.683049679E0,-1.668346405E0,-1.432389736E0
8.510251600E-2,1.408962727E0,-8.332805634E-1,-1.033995390E0
1.050200680E-1,5.555438995E-1,8.410215378E-2,-6.275243759E-1
1.248942350E-1,-3.778982162E-1,1.033286572E0,-1.233794689E-1
1.447884020E-1,-7.914638519E-1,1.543793201E0,3.664345741E-1
1.646815270E-1,-5.710949898E-1,1.595900536E0,7.630963326E-1
1.845552770E-1,4.320430756E-2,1.310588837E0,7.236413956E-1
2.044605890E-1,8.012814522E-1,7.927041054E-1,1.622796059E-1
2.243578290E-1,1.522655487E0,7.933712006E-2,-4.877550602E-1
2.442401730E-1,2.016330481E0,-5.904450417E-1,-1.069701910E0
2.641184020E-1,1.970019341E0,-7.404756546E-1,-1.398511767E0
2.840518910E-1,1.538866520E0,-2.532386780E-1,-1.482784152E0
3.039143390E-1,8.563446999E-1,1.976089478E-1,-1.374043703E0
3.237748080E-1,2.400717735E-1,4.760074615E-1,-9.358422756E-1
3.436857460E-1,-1.978626251E-1,3.656902313E-1,-5.241549015E-1
3.635508500E-1,-3.296566010E-1,2.931203842E-1,-4.288673401E-2
3.835015270E-1,-1.123647690E-1,4.923405647E-1,5.081627369E-1
4.033548600E-1,1.673531532E-1,8.040084839E-1,4.851841927E-1
4.232611620E-1,7.266378403E-2,1.299417496E0,2.526438236E-1
4.431621000E-1,-1.814703941E-1,1.452277660E0,1.911232471E-1
4.630654850E-1,-1.039056778E-1,1.091681480E0,1.337242126E-1
4.829985580E-1,2.597808838E-1,5.903506279E-1,-1.795635223E-1
5.027957460E-1,4.113626480E-1,3.939814568E-1,-3.108510971E-1
5.227039750E-1,5.454745293E-1,3.073062897E-1,-3.123910427E-1
5.425838180E-1,8.245916367E-1,2.314534187E-1,-5.051717758E-1
5.624885060E-1,1.070128918E0,1.523399353E-2,-4.884936810E-1
5.823457460E-1,1.158344746E0,-1.961483955E-1,-2.742238045E-1
6.022493390E-1,1.299675941E0,-3.141312599E-1,-2.749037743E-2
6.221690790E-1,1.483926773E0,-2.309932709E-1,2.106783390E-1
6.420565790E-1,1.575983047E0,2.179012299E-1,1.452293396E-1
6.619412140E-1,1.364488602E0,8.011841774E-1,1.408305168E-1
6.817973080E-1,1.032411575E0,1.581904411E0,7.104675770E-1
7.016942870E-1,8.957810402E-1,2.209229946E0,1.285511732E0
7.215974120E-1,8.005743027E-1,2.768053532E0,2.122236490E0
7.414966830E-1,1.036775589E0,4.805584431E0,3.738991022E0
7.613791830E-1,1.516400337E0,6.969351768E0,5.002364635E0
7.812580890E-1,1.837978363E0,7.923165798E0,5.815662384E0
8.011753290E-1,3.243712902E0,9.308183670E0,6.107914925E0
8.210838710E-1,5.365667820E0,1.108924675E1,4.616929054E0
8.409416310E-1,6.717332363E0,1.220763493E1,2.357841969E0
8.608120480E-1,7.045545578E0,1.262627983E1,-8.253765106E-2
8.807163710E-1,7.061232567E0,1.289940739E1,-2.539200306E0
9.006091830E-1,6.422440052E0,1.102031136E1,-4.970801353E0
9.204916310E-1,5.482875824E0,6.535912514E0,-6.363076687E0
9.403820480E-1,5.255529881E0,4.707510471E-1,-7.465831280E0
9.602689230E-1,6.609165192E0,-6.873058319E0,-9.268598557E0
9.801535060E-1,9.305717468E0,-1.466511631E1,-1.108653831E1
1.000065433E0,1.015949535E1,-2.895781708E1,-1.048547077E1
1.019961058E0,6.364830971E0,-4.564018631E1,-2.506573200E0
1.039818506E0,2.973577976E-1,-3.941560745E1,2.568191528E0
1.059721058E0,-1.156585217E0,-1.454731846E1,-3.748135567E0
1.079617673E0,3.916517735E0,-1.852713227E0,-3.950609207E0
1.099514183E0,8.480234146E0,-8.150663376E0,-6.938190460E-1
1.119384964E0,7.275114059E0,-1.461822701E1,-7.733821869E-1
1.139275381E0,3.723637581E0,-1.259583187E1,-6.742391586E-1
1.159182725E0,1.905368209E0,-9.880918503E0,1.130245209E0
1.179074808E0,6.469163895E-1,-8.918803215E0,1.092397690E0
1.198966839E0,-1.505143166E0,-9.768287659E0,-6.533317566E-1
1.218831214E0,-3.250058651E0,-1.024392986E1,-1.823160172E0
1.238721787E0,-1.530451298E0,-6.611660004E0,-1.568104744E0
1.258624600E0,-6.077342033E-1,-2.323818684E0,-3.188819885E-1
1.278515589E0,1.665401459E-1,-1.292803288E-1,-3.926744461E-1
1.298394808E0,1.956662655E0,1.120671511E0,-1.948929310E0
1.318289131E0,3.236509323E0,3.645603180E0,-3.435562134E0
1.338175225E0,2.052471638E0,7.058273315E0,-2.010429144E0
1.358081891E0,7.417154312E-1,9.048259735E0,-3.208818436E-1
1.377979079E0,1.255299568E0,7.550025463E0,-8.118722439E-1
1.397833818E0,1.129195690E0,7.123446465E0,-2.299540043E-1
1.417748923E0,1.789379120E-1,9.544469833E0,9.477713108E-1
1.437628871E0,4.763879776E-1,9.936389923E0,1.385598421E0
1.457528350E0,7.547903061E-1,7.883069038E0,1.909897804E0
1.477398871E0,1.076893330E0,6.136187077E0,2.726340532E0
1.497290693E0,1.873307228E0,4.876749039E0,2.900759697E0
1.517220746E0,2.654912949E0,4.346430779E0,1.940885782E0
1.537107516E0,3.228087425E0,3.290093422E0,9.964142442E-1
1.556942204E0,3.253176689E0,2.332343578E0,9.895488620E-1
1.576855902E0,2.800683022E0,1.913835049E0,1.298338175E0
1.596740068E0,2.386752605E0,1.582575798E0,1.101709366E0
1.616651162E0,2.065526009E0,1.074176788E0,8.988487720E-1
1.636541162E0,2.129286766E0,5.535917282E-1,1.183628917E0
1.656428714E0,2.278834820E0,2.833642960E-1,1.561889291E0
1.676295746E0,2.186396122E0,4.191260338E-1,1.476163268E0
1.696175277E0,1.956552982E0,1.086188316E0,7.618870735E-1
1.716079548E0,1.882156849E0,1.565832138E0,1.333261728E-1
1.735952985E0,1.879441738E0,1.605892181E0,-3.610181808E-2
