"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.830416732E-4,-3.729171710E0,4.834919366E0,-5.199681835E-1
2.003404166E-2,-2.562908880E0,3.919031972E0,-1.469027271E0
3.988404167E-2,-1.020178333E0,2.595652118E0,-2.079933106E0
5.973504166E-2,5.679277772E-1,1.322954761E0,-2.287950142E0
7.958504168E-2,2.088874522E0,-1.054346538E-1,-2.335678478E0
9.943604167E-2,3.228368799E0,-1.284096504E0,-2.293947777E0
1.192860417E-1,3.988212719E0,-2.549714638E0,-2.121257134E0
1.391370417E-1,3.996327485E0,-4.121551455E0,-2.055164739E0
1.589880417E-1,3.441016830E0,-5.295746618E0,-2.161286003E0
1.788380417E-1,3.056931360E0,-5.902729118E0,-2.097092492E0
1.986890417E-1,2.593772823E0,-5.964992024E0,-1.680982991E0
2.185390417E-1,1.501735718E0,-5.899765749E0,-8.572471306E-1
2.383900417E-1,-4.349743724E-3,-5.625826619E0,-1.708924788E-1
2.582410417E-1,-1.683033902E0,-4.907096812E0,4.995672481E-1
2.780910417E-1,-2.780192583E0,-3.626009284E0,1.216846946E0
2.979420417E-1,-3.704740874E0,-1.869836070E0,2.007173571E0
3.177920417E-1,-5.230901581E0,-1.761888868E-1,2.788583922E0
3.376430417E-1,-6.928288059E0,1.579958600E0,3.397274979E0
3.574940417E-1,-7.957502679E0,2.965814783E0,3.557530203E0
3.773440417E-1,-8.098536351E0,3.647298412E0,3.249839190E0
3.971950417E-1,-7.384418242E0,3.706825406E0,2.706322077E0
4.170450417E-1,-5.805126225E0,3.003108909E0,2.062390729E0
4.368960417E-1,-3.532857876E0,1.920753039E0,1.377062556E0
4.567460417E-1,-1.264283799E0,7.609028506E-1,7.847501349E-1
4.765970417E-1,8.423627508E-1,-3.875932145E-1,1.622929788E-1
4.964480417E-1,2.623486619E0,-1.481375129E0,-4.955070877E-1
5.162980417E-1,3.946023304E0,-2.461459689E0,-1.051603024E0
5.361490417E-1,4.895089554E0,-3.399935462E0,-1.659519470E0
5.559990417E-1,4.943833698E0,-4.204839780E0,-2.365794417E0
5.758500417E-1,4.846921361E0,-4.440430530E0,-2.660537209E0
5.957010417E-1,4.604107545E0,-4.641338521E0,-3.023982300E0
6.155510417E-1,3.799003837E0,-5.257664872E0,-3.365607336E0
6.354020417E-1,2.445964567E0,-4.809112680E0,-3.027977410E0
6.552520417E-1,8.736406767E-1,-3.382211382E0,-2.198311742E0
6.751030417E-1,-5.808857918E-1,-1.460525127E0,-1.102494412E0
6.949542500E-1,-2.232632997E0,9.695297509E-1,-8.886496022E-2
7.148042500E-1,-3.832714790E0,3.835051922E0,1.130571279E0
7.346552500E-1,-4.718303082E0,6.413759978E0,2.583799227E0
7.545052500E-1,-5.152520825E0,7.628552944E0,3.673809103E0
7.743562500E-1,-5.049175966E0,7.739902056E0,3.977552075E0
7.942072500E-1,-3.941064865E0,7.668291206E0,3.761157734E0
8.140572500E-1,-1.866255235E0,6.557236617E0,2.959942717E0
8.339082500E-1,1.947707534E-1,4.441628040E0,1.514486157E0
8.537582500E-1,2.487881502E0,2.285226363E0,-9.187554538E-2
8.736092500E-1,4.592383293E0,-1.074191988E-2,-1.123656508E0
8.934592500E-1,5.895025411E0,-8.605212790E-1,-2.122456398E0
9.133102500E-1,6.612785751E0,-1.705907625E0,-2.972054347E0
9.331612500E-1,7.277192586E0,-3.274627876E0,-3.435705804E0
9.530112500E-1,7.842038296E0,-4.110190900E0,-3.589236730E0
9.728622500E-1,8.091179384E0,-5.261012987E0,-3.649860077E0
9.927122500E-1,7.500716438E0,-6.086877819E0,-3.600493789E0
1.012563250E0,6.310692862E0,-5.779177451E0,-3.326397954E0
1.032414250E0,4.629251742E0,-5.764952930E0,-3.733888074E0
1.052264250E0,1.794568956E-2,-6.769767119E0,-5.877844537E0
1.072115250E0,-7.135219266E0,-5.794294258E0,-8.326136881E0
1.091966250E0,-6.326223652E0,-1.911310955E0,-6.401528188E0
1.111816250E0,-5.685010382E0,1.276561782E1,1.320555063E0
1.131667250E0,-5.626949285E0,4.520558201E1,1.093688242E1
1.151517250E0,-9.075531827E0,5.609769113E1,1.978309288E1
1.171368250E0,-4.221727708E0,4.563339237E1,2.224180028E1
1.191218250E0,1.045108171E1,4.289003783E1,1.296295317E1
1.211069250E0,2.224055833E1,4.853908901E1,-2.750101350E0
1.230920250E0,3.186252123E1,4.820274313E1,-7.464773018E0
1.250770250E0,4.333392102E1,2.251511551E1,-2.044334410E1
1.270621250E0,4.103611964E1,-2.568398597E1,-1.184920009E1
1.290471250E0,9.612202143E0,-8.059181783E1,-2.680533224E-1
1.310322250E0,1.059191540E1,-7.951497588E1,3.044819671E1
1.330173250E0,-3.649146950E1,-4.387360967E1,-1.409920048E1
1.350023250E0,1.581770769E1,-3.393989428E1,-2.653204976E1
1.369874250E0,1.489531293E1,-4.421560162E1,-1.559303194E1
1.389725250E0,2.299197934E1,-1.950870293E1,1.884335995E0
1.409575250E0,2.715526939E1,-4.755115398E0,6.272483647E-2
1.429426250E0,2.022234273E1,4.272209060E0,3.895412729E0
1.449276250E0,9.956292658E0,-3.825531193E0,8.561811832E0
1.469127250E0,-1.583883368E1,-1.114623876E0,1.706959656E1
1.488977250E0,-3.790651674E1,-7.094868947E-2,1.731633503E1
1.508828250E0,-4.308212588E1,1.029618429E1,1.875226033E1
1.528679250E0,-3.708922568E1,9.031187128E0,1.466747851E1
1.548529250E0,-2.542075368E1,6.081634621E0,8.403083315E0
1.568380250E0,-1.237808776E1,3.629977497E0,2.962186001E0
1.588231250E0,-1.515680158E0,-3.068957913E-1,-1.577958267E0
1.608081250E0,6.717455589E0,-3.832419213E0,-4.274723947E0
1.627932250E0,1.358822634E1,-6.321427181E0,-5.709231303E0
1.647782250E0,1.686500248E1,-8.890092645E0,-8.005821145E0
1.667633250E0,1.637843696E1,-1.091475772E1,-9.991266024E0
1.687484250E0,1.760753338E1,-1.257470623E1,-9.944695290E0
1.707334125E0,1.813818691E1,-1.293150333E1,-8.375894347E0
