"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.068125003E-3,-3.341052246E-1,9.578730927E0,1.491797791E0
1.793187499E-2,-4.011657715E-1,9.598789215E0,1.536105652E0
3.793187501E-2,-4.311035156E-1,9.592951355E0,1.561103668E0
5.793287500E-2,-3.927832031E-1,9.611213379E0,1.557660828E0
7.793287499E-2,-2.579136658E-1,9.587712250E0,1.529070282E0
9.793287498E-2,-1.299298096E-1,9.602681122E0,1.425485687E0
1.179328750E-1,-5.837860107E-2,9.592801666E0,1.312021637E0
1.379338750E-1,1.841171265E-2,9.586664429E0,1.213376770E0
1.579338750E-1,5.089416504E-3,9.540260925E0,1.096170502E0
1.779338750E-1,-7.529342651E-2,9.634864197E0,1.075962524E0
1.979348750E-1,-2.167492676E-1,9.842632141E0,1.111438751E0
2.179348750E-1,-4.689747620E-1,1.017254608E1,1.211430817E0
2.379348750E-1,-6.345304871E-1,1.029484177E1,1.194216614E0
2.579348750E-1,-5.867797852E-1,1.019455032E1,9.117539978E-1
2.779358750E-1,-5.373825073E-1,1.004186783E1,8.306227112E-1
2.979358750E-1,-5.016069031E-1,9.719887390E0,1.004111938E0
3.179358750E-1,-5.637277222E-1,9.469158783E0,1.150058441E0
3.379368750E-1,-7.213499451E-1,9.501042480E0,1.390159149E0
3.579368750E-1,-7.976911926E-1,9.307045898E0,1.699116669E0
3.779368750E-1,-8.298742676E-1,8.801696777E0,2.054178314E0
3.979378750E-1,-8.147557068E-1,8.713230743E0,2.282603302E0
4.179378750E-1,-5.454656982E-1,8.847950592E0,1.946402435E0
4.379378750E-1,-1.658551025E-1,9.040300598E0,1.384470978E0
4.579378750E-1,9.116043091E-2,9.175469513E0,1.662293243E0
4.779388750E-1,5.954617310E-1,8.979227600E0,2.515369263E0
4.979388750E-1,1.028062134E0,8.988957367E0,3.046614532E0
5.179388750E-1,1.232536926E0,9.362131348E0,3.166215820E0
5.379398750E-1,1.191971283E0,9.894723816E0,3.575614471E0
5.579398750E-1,1.087937622E0,1.004336472E1,4.027375031E0
