"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.043187498E-2,-3.137824684E-2,-1.724739559E-3,-3.207461163E-2
3.043187500E-2,-3.173018247E-2,-5.792569835E-3,-3.255075589E-2
5.043287500E-2,-3.997192904E-2,-1.774706692E-2,-3.727672249E-2
7.043287499E-2,-3.851832077E-2,-6.392344367E-3,-2.704738639E-2
9.043287500E-2,-3.459871188E-2,2.713631280E-2,-1.528103836E-2
1.104328750E-1,-2.812774293E-2,5.907424912E-2,-1.336225308E-2
1.304338750E-1,-2.708759718E-2,6.057006493E-2,-2.482492477E-2
1.504338750E-1,-4.360657930E-2,5.118806288E-2,-3.976221755E-2
1.704338750E-1,-7.933481038E-2,6.903868914E-2,-4.394876584E-2
1.904348750E-1,-1.171673685E-1,1.565637738E-1,-3.220627829E-2
2.104348750E-1,-1.741822660E-1,3.150878251E-1,-7.330648601E-3
2.304348750E-1,-2.037610263E-1,5.038680434E-1,8.648904972E-3
2.504348750E-1,-2.096943259E-1,6.320842505E-1,1.228084415E-2
2.704358750E-1,-2.186564952E-1,6.646993756E-1,2.166561037E-2
2.904358750E-1,-2.208878398E-1,6.400918961E-1,5.290315673E-2
3.104358750E-1,-2.187230736E-1,6.477134824E-1,1.205538437E-1
3.304368750E-1,-2.184801698E-1,7.374857068E-1,1.707288921E-1
3.504368750E-1,-2.187131196E-1,8.639534712E-1,1.859695464E-1
3.704368750E-1,-2.091967314E-1,9.572371840E-1,2.177136093E-1
3.904368750E-1,-2.107189149E-1,1.032912374E0,2.851364315E-1
4.104378750E-1,-2.035657465E-1,1.036726952E0,3.424779177E-1
4.304378750E-1,-1.844670326E-1,8.387535214E-1,3.577199578E-1
4.504378750E-1,-1.586211771E-1,4.551753998E-1,2.758429646E-1
4.704378750E-1,-1.393939406E-1,1.044253334E-1,1.689928919E-1
4.904388750E-1,-1.263247430E-1,-6.281182915E-2,1.036027446E-1
5.104388750E-1,-1.537615806E-1,-5.762651190E-2,6.602234393E-2
5.304388750E-1,-2.432567328E-1,2.670872584E-2,1.945774071E-2
5.504398750E-1,-3.131407797E-1,1.012446731E-1,-5.339528993E-2
5.704398750E-1,-3.915948868E-1,1.774381995E-1,-1.530015916E-1
5.904398750E-1,-4.560366571E-1,2.823894918E-1,-2.580636442E-1
6.104408750E-1,-4.255234599E-1,4.330373704E-1,-3.240705431E-1
6.304405833E-1,-3.211016953E-1,4.371127784E-1,-3.264394999E-1
6.504405833E-1,-1.827102900E-1,2.129832655E-1,-3.102578521E-1
6.704405833E-1,-1.487806905E-2,-1.964244395E-1,-3.264633119E-1
6.904415833E-1,1.015427485E-1,-6.107494831E-1,-3.581598103E-1
7.104415833E-1,1.811522692E-1,-8.712717295E-1,-3.714829981E-1
7.304415833E-1,2.632513940E-1,-9.160785675E-1,-3.227804005E-1
7.504425833E-1,3.138615191E-1,-8.006098866E-1,-2.491937578E-1
7.704425833E-1,3.234479427E-1,-7.084973454E-1,-1.994354874E-1
7.904425833E-1,2.993488908E-1,-7.218766809E-1,-2.107160538E-1
8.104435833E-1,2.674592733E-1,-7.699093223E-1,-2.390200943E-1
8.304435833E-1,2.228062004E-1,-7.566674352E-1,-2.452188581E-1
8.504435833E-1,1.815553010E-1,-7.057291865E-1,-2.185043395E-1
8.704435833E-1,1.460077018E-1,-6.950041652E-1,-1.782417148E-1
8.904445833E-1,1.211069524E-1,-7.990942597E-1,-1.640570164E-1
9.104445833E-1,9.028100967E-2,-9.337602854E-1,-1.751567274E-1
9.304445833E-1,3.147405386E-2,-9.709323049E-1,-1.822966039E-1
