"Time (s)","Distance (cm)"
2.350750001E-3,0.000000000E0
3.145220832E-2,5.000000000E0
1.749499833E0,0.000000000E0
3.181636250E0,5.000000000E0
3.437169125E0,0.000000000E0
2.126518362E1,5.000000000E0
2.150680062E1,0.000000000E0
2.457638167E1,5.000000000E0
2.466608583E1,0.000000000E0
2.805477196E1,5.000000000E0
2.809950175E1,0.000000000E0
3.447489071E1,5.000000000E0
3.456172921E1,0.000000000E0
7.400920467E1,5.000000000E0
7.400926029E1,0.000000000E0
8.228615937E1,5.000000000E0
8.249658363E1,0.000000000E0
1.032993992E2,5.000000000E0
1.033824783E2,0.000000000E0
