"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.991766400E-2,-8.287822008E-1,-2.028903961E-1,-1.227185726E-1
8.980021600E-2,-5.366395712E-1,-3.093595505E-1,9.910821915E-3
1.096849030E-1,-3.664174080E-1,-2.569417953E-1,-5.178689957E-2
1.296023510E-1,-1.547958851E-1,-1.869840622E-1,-1.206901073E-1
1.494703200E-1,-5.897307396E-2,-1.965961456E-1,-1.794812679E-1
1.693692780E-1,-3.376531601E-2,-1.698007584E-1,-1.881284714E-1
1.892311010E-1,-1.617670059E-3,-8.681392670E-2,-1.483066082E-1
2.091474030E-1,-3.746652603E-2,-1.423797607E-1,-1.623194218E-1
2.290161530E-1,1.434731483E-2,-2.010726929E-1,-1.532442570E-1
2.489266740E-1,5.083107948E-2,-2.227401733E-2,-1.065144539E-1
2.688099550E-1,2.377533913E-2,9.600734711E-2,-1.459457874E-1
2.886853720E-1,5.046820641E-2,1.262702942E-1,-1.876215935E-1
3.086043820E-1,-5.415081978E-2,1.696929932E-1,-1.636354923E-1
3.284733410E-1,6.333017349E-2,1.831159592E-1,-1.929326057E-1
3.483614660E-1,1.225917339E-1,1.560382843E-1,-1.821446419E-2
3.682703720E-1,-9.138584137E-2,1.511335373E-1,1.133487225E-1
3.881645390E-1,-2.580244541E-1,1.116657257E-1,4.089117050E-3
4.080620390E-1,-9.974074364E-2,7.327461243E-2,-1.983165741E-2
4.279466740E-1,3.088760376E-2,4.844474792E-2,1.719150543E-1
4.478065700E-1,-2.322912216E-3,-2.206039429E-2,1.567478180E-1
4.677053200E-1,-7.354855537E-2,-3.069686890E-2,-1.946520805E-2
4.875911010E-1,-2.453763485E-1,1.775836945E-2,-7.823157310E-2
5.075121430E-1,-2.404501438E-1,-5.187320709E-2,-1.848387718E-2
5.274046430E-1,-1.081657410E-1,-5.244922638E-2,8.802485466E-2
5.472536010E-1,-1.179428101E-1,5.449867249E-2,1.203238964E-1
5.671652160E-1,-1.553537846E-1,1.319236755E-1,4.490756989E-2
5.870777680E-1,-2.313840389E-1,1.923761368E-1,1.764202118E-2
6.069505800E-1,-4.000105858E-1,3.418521881E-1,3.093140125E-1
6.268519350E-1,-5.867044926E-1,4.519720078E-1,4.796304703E-1
6.467159970E-1,-8.835184574E-1,7.709426880E-1,3.219208717E-1
6.666344350E-1,-1.061491966E0,1.080283165E0,3.613309860E-1
6.865374550E-1,-1.477994680E0,1.375873566E0,1.046817780E0
7.064471950E-1,-2.228115082E0,1.919505119E0,1.460989475E0
7.262880280E-1,-3.018252134E0,2.548143387E0,2.176069260E0
7.461564140E-1,-3.646904230E0,3.146167755E0,3.131998539E0
7.660755800E-1,-3.879838705E0,3.228548050E0,3.137719154E0
7.859469870E-1,-4.084454060E0,3.359759808E0,2.342064381E0
8.058514660E-1,-4.336315155E0,4.366580009E0,1.284010887E0
8.257179240E-1,-3.993581295E0,6.202378750E0,-8.323945999E-1
8.456263100E-1,-4.336492062E0,7.972057343E0,-4.477630615E0
8.655258930E-1,-6.021151066E0,8.431913376E0,-8.012550354E0
8.854118820E-1,-8.474644661E0,9.983932495E0,-8.467845917E0
9.052683930E-1,-1.124965572E1,1.125857830E1,-8.684198380E0
9.251929760E-1,-9.558311462E0,8.122364044E0,-1.077173710E1
9.450999550E-1,-8.112138748E0,-3.782935143E-1,-1.068243217E1
9.649667260E-1,-7.511573792E0,-1.202480221E1,-6.759739876E0
9.848953200E-1,-7.879305840E0,-2.656657028E1,-2.421505451E0
1.004753445E0,-7.518622398E0,-3.708111191E1,6.676201820E-1
1.024630893E0,-5.739498138E-2,-2.988963890E1,2.365022659E0
1.044534330E0,4.226193428E0,-1.611237717E1,-4.427469254E0
1.064456518E0,-7.925455570E0,-1.327391243E1,-3.976451635E0
1.084297664E0,-4.711478710E0,-2.377383471E0,1.822525024E0
1.104192664E0,-1.646666527E0,-2.177621126E0,-3.797377110E0
1.124099955E0,-7.826156616E-1,-6.344292164E0,-4.430631161E0
1.143959591E0,-2.570076942E0,-9.791799545E0,-3.097041607E0
1.163830580E0,-4.811617851E0,-1.075934124E1,-1.712609768E0
1.183742091E0,-1.342488766E0,-9.294923782E0,-2.607673645E0
1.203627560E0,2.475296259E0,-7.474325180E0,-4.552306175E0
1.223534643E0,4.215332031E0,-5.887825966E0,-4.130576134E0
1.243467403E0,2.647247791E0,-3.981297493E0,-2.841726780E0
1.263312195E0,-4.118394852E-1,1.670837402E-3,-2.574616432E0
1.283192716E0,-1.786618948E0,2.235089302E0,-2.739614010E0
1.303100893E0,-1.662780046E0,1.864124775E0,-3.604109764E0
1.322951882E0,-1.914947271E0,2.342484474E0,-4.255931377E0
1.342878705E0,-1.248299122E0,4.690769196E0,-1.867479801E0
1.362736778E0,7.098994255E-1,5.300196171E0,-1.248650551E-1
1.382636570E0,4.897546768E-1,3.775276661E0,-7.513718605E-1
1.402560216E0,-7.258360386E-1,2.668373108E0,-2.260041237E-1
1.422453185E0,-4.032588005E-1,3.766181946E0,3.147298336E0
1.442398914E0,-2.055482864E-1,3.204655647E0,5.024020195E0
1.462178601E0,-1.908823848E0,2.003404617E0,4.169460773E0
1.482101153E0,-5.683487892E0,2.195262909E0,3.327944040E0
1.501980007E0,-7.810526848E0,3.147989273E0,3.669961691E0
1.521848810E0,-6.159604549E0,2.982696533E0,4.135662079E0
1.541765112E0,-4.041697502E0,2.237026215E0,3.808368206E0
1.561629070E0,-3.278671265E0,1.430294991E0,2.463732004E0
1.581522560E0,-1.952382088E0,3.674316406E-1,1.601856232E0
1.601424539E0,-1.230483055E0,9.430789948E-2,3.030088663E0
1.621324539E0,-1.903380513E0,4.761896133E-1,3.016896725E0
1.641226518E0,-1.828043580E0,5.155792236E-1,8.116700649E-1
1.661096362E0,-1.178214908E0,5.956916809E-1,-4.591392279E-1
1.680972299E0,-8.042222261E-1,7.101001740E-1,-7.570979595E-1
1.700858757E0,-5.922319889E-1,5.689334869E-1,-5.563726425E-1
1.720772091E0,-4.420531988E-1,2.267618179E-1,-1.890218258E-1
1.740646674E0,-5.905038118E-1,6.274604797E-2,-3.191883564E-1
1.760573705E0,-4.412221909E-1,-1.126527786E-1,-4.395570755E-1
1.780470997E0,9.295225143E-3,-2.166624069E-1,-1.732451916E-1
1.800346257E0,4.140949249E-2,-3.584995270E-1,-1.748752594E-2
1.820195060E0,-2.893213034E-1,-2.604761124E-1,-1.724023819E-1
1.840105789E0,-2.969864607E-1,-1.187896729E-2,-4.108729362E-1
1.860001257E0,-1.167321205E-2,1.043529510E-1,-2.594487667E-1
1.879865685E0,9.771037102E-2,1.473331451E-2,-8.036780357E-2
1.899768080E0,-9.482765198E-2,-6.555938721E-2,-2.170896530E-2
1.919642924E0,-2.278598547E-1,-9.912872314E-2,1.263959408E-1
1.939561726E0,-1.549069881E-1,-2.797985077E-2,-3.941059113E-4
1.959427924E0,-4.268550873E-2,1.950197220E-1,-1.419978142E-1
1.979328914E0,1.334700584E-1,7.296466827E-2,-1.772050858E-1
1.999216414E0,2.190053463E-1,-2.549076080E-2,-1.232984066E-1
2.019120372E0,4.699182510E-2,-1.738071442E-2,-1.602616310E-1
2.038991570E0,4.951429367E-2,-7.607460022E-2,-7.071709633E-2
2.058870789E0,1.465039253E-1,-5.065631866E-2,-9.371042252E-3
2.078758653E0,1.702728271E-1,-1.452522278E-1,-6.559967995E-2
2.098665685E0,1.609995365E-1,-2.388048172E-1,-2.613162994E-2
2.118545737E0,1.959226131E-1,-1.810731888E-1,1.424312592E-2
2.138432195E0,1.993088722E-1,-1.629638672E-1,-1.886265278E-1
2.158320320E0,2.132406235E-1,-1.388082504E-1,-2.300636768E-1
2.178195424E0,2.302479744E-1,-1.422033310E-1,-1.851396561E-1
2.198119851E0,8.038330078E-2,-6.850242615E-2,-2.249131203E-1
2.217991726E0,-2.802658081E-2,-8.692169189E-2,-2.072622776E-1
2.237867820E0,-4.122161865E-2,-1.465377808E-1,-4.824185371E-2
2.257789122E0,-3.303623199E-2,-1.172981262E-1,-2.356052399E-3
2.277649799E0,-9.476137161E-2,-5.492496490E-2,-4.878020287E-2
2.297557143E0,-5.890655518E-2,-6.212520599E-2,-1.813852787E-1
2.317469122E0,1.004571915E-1,-9.870910645E-2,-2.556920052E-1
2.337371101E0,1.686115265E-1,1.003360748E-2,-1.114292145E-1
2.357226414E0,7.676720619E-2,4.205608368E-2,-1.090760231E-1
2.377128757E0,-9.381055832E-3,-1.303634644E-1,-9.220457077E-2
2.396989903E0,1.498229504E-1,-2.209453583E-1,-1.861572266E-2
2.416891987E0,3.956916332E-1,4.073143005E-3,-3.939008713E-2
2.436771674E0,3.468015194E-1,1.609897614E-1,-1.670851707E-1
2.456677716E0,1.708583832E-1,4.118728638E-2,-1.452932358E-1
2.476593757E0,1.144201756E-1,-1.135168076E-1,6.187844276E-2
2.496496153E0,5.113244057E-2,-7.840442657E-2,6.568884850E-2
2.516381101E0,-3.338479996E-2,3.772163391E-2,2.147722244E-2
2.536254643E0,-1.188006401E-1,6.957054138E-3,-1.295566559E-3
2.556135007E0,-4.969358444E-2,-7.304859161E-2,-4.566597939E-2
2.576010841E0,1.519341469E-1,-3.616333008E-3,-2.533841133E-2
2.595908028E0,2.605018616E-1,-1.488304138E-2,-7.989358902E-2
2.615797507E0,1.887266636E-1,-8.953762054E-2,-6.199717522E-2
2.635693080E0,1.187155247E-1,-1.721048355E-1,6.187486649E-2
2.655561987E0,1.455471516E-1,-1.126375198E-1,-3.238773346E-2
2.675477872E0,1.608428955E-1,1.599502563E-2,-1.638631821E-1
2.695358601E0,6.148433685E-2,-2.202987671E-3,-1.168222427E-1
2.715228341E0,-3.145599365E-2,-1.498508453E-1,-5.488967896E-2
2.735139799E0,4.153013229E-3,-1.762504578E-1,-2.037048340E-3
2.755028757E0,-8.157110214E-2,-3.418636322E-2,-1.185963154E-1
2.774929747E0,-1.645159721E-1,1.078109741E-1,-8.106064796E-2
2.794819122E0,-1.426272392E-1,6.510353088E-2,4.535913467E-2
2.814687299E0,-2.620577812E-1,-2.811431885E-2,9.969711304E-3
2.834624018E0,-4.786424637E-1,1.558017731E-1,-7.594227791E-2
2.854498289E0,-7.303879261E-1,4.138240814E-1,-1.773018837E-1
2.874397039E0,-8.020612001E-1,3.991641998E-1,-2.816176414E-2
2.894246414E0,-9.014562368E-1,4.054307938E-1,3.254477978E-1
2.914126466E0,-1.232481599E0,5.893831253E-1,4.234776497E-1
2.934052039E0,-1.483343601E0,7.280712128E-1,3.714416027E-1
2.953944695E0,-1.574210405E0,7.894697189E-1,4.911041260E-1
2.973801049E0,-1.808381319E0,8.807964325E-1,8.721776009E-1
2.993701466E0,-2.475554228E0,1.116888046E0,1.454229116E0
3.013591466E0,-2.918099403E0,1.436749458E0,1.970790625E0
3.033485164E0,-1.686651111E0,1.679125786E0,3.128124237E0
3.053414174E0,-1.838612437E0,2.429337502E0,4.358538628E0
3.073275789E0,-5.022776127E0,4.287273407E0,4.385445118E0
3.093136362E0,-8.887029648E0,7.989383698E0,2.239612579E0
3.113041778E0,-1.168915558E1,1.100065422E1,-2.038329601E0
3.132938914E0,-1.256248283E1,1.252097321E1,-6.333289146E0
3.152834747E0,-1.259686470E1,1.322319889E1,-1.000711536E1
3.172700632E0,-1.103406620E1,1.150576019E1,-1.136579323E1
3.192619851E0,-6.927215576E0,6.690775871E0,-8.590374947E0
3.212507039E0,-5.328258514E0,-1.145582199E0,-6.700006962E0
3.232418341E0,-1.048144531E1,-1.173402882E1,-6.125012875E0
3.252266778E0,-1.029507446E1,-2.388356972E1,-1.003967762E0
3.272154903E0,-3.035051346E0,-3.707117844E1,2.505345345E0
3.292052091E0,1.416420460E0,-3.541295624E1,8.808374405E-1
3.311942039E0,5.061647892E0,-2.012150574E1,-2.214272022E0
3.331841935E0,-5.623360634E0,-1.215011311E1,-9.293106079E0
3.351725060E0,-6.120531559E0,-3.680687666E0,5.304737091E-1
3.371599122E0,-2.465762615E0,3.982141972E0,8.894729614E-2
3.391481153E0,-1.675711393E0,-3.172048092E0,-5.057147026E0
3.411407612E0,-1.708875895E0,-5.996745110E0,-2.440858364E0
3.431290112E0,-5.000380039E0,-9.871379852E0,-1.986611366E0
3.451179487E0,-4.127231598E0,-1.083672237E1,-2.529465675E0
3.471081205E0,-9.241566062E-2,-1.180653667E1,-1.095738411E0
3.490946362E0,2.610486269E0,-1.252237511E1,-1.248693466E0
3.510830841E0,1.892889261E0,-8.669251442E0,-9.441471100E-1
3.530724382E0,8.748927116E-1,-4.284361362E0,-1.047206879E0
3.550634955E0,-6.296520233E-1,-2.299367428E0,-2.072610855E0
3.570548810E0,-1.408491135E0,3.967990875E-1,-2.053939819E0
3.590416987E0,-2.526372194E0,1.774414062E0,-2.197825432E0
3.610296882E0,-3.160748482E0,2.691706181E0,-3.030855656E0
3.630175216E0,-2.170169592E0,3.162026405E0,-3.016054630E0
3.650063028E0,-7.649126053E-1,3.120010376E0,-2.413069248E0
3.669967195E0,-1.054663658E-1,3.305640221E0,-8.392136097E-1
3.689847820E0,-1.217360258E0,3.692324638E0,5.424425602E-1
3.709733132E0,-2.568655014E0,3.289879799E0,1.844641924E0
3.729620320E0,-2.972244024E0,2.188951492E0,2.515061617E0
3.749505372E0,-2.683660984E0,1.598446846E0,2.049226522E0
3.769422039E0,-3.643256187E0,1.877184868E0,2.535132885E0
3.789269799E0,-5.917149544E0,2.043107033E0,2.831401825E0
3.809165632E0,-7.125060558E0,2.981072426E0,3.527161598E0
3.829097664E0,-6.811836243E0,3.545888901E0,3.985212564E0
3.848962039E0,-5.567713737E0,2.867979050E0,2.782897234E0
3.868830945E0,-4.468392849E0,1.888025284E0,1.041440248E0
3.888751726E0,-2.835852146E0,8.658590317E-1,1.140980721E0
3.908628237E0,-1.669988155E0,3.676033020E-1,2.574800014E0
3.928522716E0,-1.442322016E0,4.202594757E-1,2.397824049E0
3.948428966E0,-1.198273659E0,2.674570084E-1,8.164153099E-1
3.968322299E0,-5.801011324E-1,1.321077347E-1,-5.010598898E-1
3.988184070E0,8.520245552E-2,2.880115509E-1,-6.047282219E-1
4.008067716E0,1.212487221E-1,8.659572601E-1,-2.207696438E-1
4.027974435E0,-4.087102413E-1,8.829193115E-1,-2.666122913E-1
4.047864695E0,-6.330353022E-1,7.106389999E-1,-5.424379110E-1
4.067752143E0,-2.127768993E-1,4.014806747E-1,-7.761174440E-1
4.087642820E0,4.106738567E-1,3.074684143E-1,-6.168920994E-1
4.107497195E0,8.519620895E-1,4.133977890E-1,-2.836179733E-1
4.127400320E0,6.344211102E-1,2.498731613E-1,-2.145457268E-2
4.147278341E0,-2.070546150E-2,-9.976387024E-3,2.331206799E-1
4.167175112E0,-5.570476055E-1,-3.374519348E-1,2.089886665E-1
4.187070060E0,-2.153922319E-1,-3.718271255E-1,-1.612997055E-1
4.206940945E0,2.925848961E-1,-4.762172699E-2,-3.138182163E-1
4.226844747E0,4.444780350E-1,1.176261902E-2,-1.820745468E-1
4.246727247E0,5.141441822E-1,-2.835760117E-1,-2.908766270E-1
4.266624070E0,4.479606152E-1,-3.179149628E-1,-2.429645061E-1
4.286554018E0,2.789525986E-1,-8.752155304E-2,-1.827771664E-1
4.306453341E0,3.145735264E-1,-8.026695251E-2,-3.397507668E-1
4.326303810E0,3.762452602E-1,-1.979799271E-1,-2.511105537E-1
4.346170424E0,3.061935902E-1,-2.129573822E-1,-6.318283081E-2
4.366151049E0,1.884722710E-1,-1.387481689E-1,-8.680725098E-2
4.385980737E0,1.588025093E-1,-1.689815521E-1,-1.918468475E-1
4.405879487E0,2.565848827E-1,-1.893606186E-1,-1.081347466E-1
4.425741257E0,4.821279049E-1,-1.973485947E-1,-2.606368065E-2
4.445648601E0,5.004138947E-1,-1.904201508E-1,-3.318428993E-2
4.465521935E0,4.110476971E-1,-3.171634674E-2,-4.169273376E-2
4.485422768E0,3.644723892E-1,-6.962966919E-2,-1.273193359E-1
4.505331518E0,3.952026367E-1,-2.080173492E-1,-3.755521774E-2
4.525200424E0,4.609055519E-1,-2.780694962E-1,-7.053327560E-2
4.545104122E0,5.210659504E-1,-1.443614960E-1,-1.403086185E-1
4.564976987E0,3.979856968E-1,-1.403636932E-1,-7.873010635E-2
4.584883601E0,2.489261627E-1,-2.452411652E-1,2.483201027E-2
4.604752403E0,1.482496262E-1,-1.748886108E-1,1.612870693E-1
4.624680320E0,8.521318436E-2,-6.860160828E-2,5.963826180E-2
4.644566518E0,4.190897942E-2,-3.474903107E-2,-1.560840607E-1
4.664444851E0,8.092260361E-2,-4.398345947E-2,-1.830723286E-1
4.684319278E0,2.253344059E-1,-4.532241821E-2,-9.555697441E-2
4.704227195E0,2.318069935E-1,5.612564087E-2,-3.760147095E-2
4.724092976E0,5.428600311E-2,1.149501801E-1,-7.782340050E-2
4.743992247E0,-8.716654778E-2,2.289485931E-2,-5.095005035E-4
4.763872195E0,-2.031102180E-1,-1.777935028E-2,9.164047241E-2
4.783781205E0,-1.915647984E-1,3.101158142E-2,-2.206277847E-2
4.803666153E0,-6.238603592E-2,1.357755661E-1,-1.424455643E-1
4.823540007E0,1.847195625E-2,4.439067841E-2,-1.296100616E-1
4.843466049E0,-1.867341995E-2,-9.941196442E-2,-4.354047775E-2
4.863360476E0,-1.641147137E-1,-6.695556641E-2,-4.767179489E-2
4.883233445E0,-2.123763561E-1,4.713916779E-2,-6.313157082E-2
4.903103132E0,-2.385044098E-1,-3.096580505E-3,-3.598237038E-2
4.923014435E0,-2.342066765E-1,-9.791851044E-2,-3.022336960E-2
4.942921987E0,-9.427785873E-2,-3.663063049E-2,-1.701350212E-1
4.962788914E0,2.355289459E-2,4.527950287E-2,-2.240242958E-1
4.982669382E0,-5.789995193E-2,-6.171035767E-2,-1.887872219E-1
5.002559382E0,-1.489300728E-1,-1.892652512E-1,-4.648733139E-2
5.022470789E0,-1.551058292E-1,-1.598358154E-1,-4.390025139E-2
5.042363757E0,-8.337521553E-2,-6.882286072E-2,-2.397913933E-1
5.062226830E0,-6.315779686E-2,-1.630992889E-1,-2.472555637E-1
5.082132768E0,-2.540159225E-1,-3.599367142E-1,-2.198910713E-1
5.102003028E0,-5.247970819E-1,-4.437446594E-1,-3.299736977E-1
5.121911518E0,-5.577057600E-1,-3.166875839E-1,-3.372566700E-1
5.141795320E0,-4.898092747E-1,4.200077057E-2,-1.119344234E-1
5.161682924E0,-8.116147518E-1,3.282222748E-1,3.039636612E-1
