"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.549166627E-4,-9.431886292E-1,9.028026123E0,3.474125519E0
3.015491666E-2,-1.009650421E0,9.143885193E0,3.188070374E0
5.015391664E-2,-9.846524048E-1,9.156908112E0,3.143014069E0
7.015391666E-2,-9.352551270E-1,9.133257294E0,3.339705048E0
9.015291664E-2,-9.366023254E-1,9.199270020E0,3.398832092E0
1.101529167E-1,-9.395960999E-1,9.227710876E0,3.307072906E0
1.301519166E-1,-1.046623535E0,9.215885468E0,3.210673370E0
1.501519167E-1,-1.070274353E0,9.188642120E0,3.269650726E0
1.701519167E-1,-1.024170227E0,9.108259277E0,3.489393768E0
1.901509167E-1,-1.014141083E0,9.075627136E0,3.595672760E0
2.101509167E-1,-1.048270111E0,9.054820404E0,3.603606262E0
2.301499167E-1,-1.088237000E0,9.053622894E0,3.595672760E0
2.501499167E-1,-1.099014587E0,9.060059509E0,3.612737274E0
2.701489167E-1,-1.087937622E0,9.003327484E0,3.707041168E0
2.901489167E-1,-1.095272369E0,8.982371063E0,3.807781677E0
3.101479167E-1,-1.115031281E0,9.011560364E0,3.790417786E0
3.301479167E-1,-1.106049957E0,9.046587524E0,3.773802338E0
3.501469167E-1,-1.144669647E0,9.027127991E0,3.801644440E0
3.701469167E-1,-1.165626068E0,9.005123749E0,3.736230469E0
3.901459167E-1,-1.181642761E0,9.006770325E0,3.661086731E0
4.101459167E-1,-1.156345367E0,8.989855499E0,3.665727081E0
4.301449167E-1,-1.096918945E0,8.904532928E0,3.749552765E0
4.501449167E-1,-1.150058441E0,8.918304291E0,3.674259338E0
4.701449166E-1,-1.181343384E0,8.966653748E0,3.454665985E0
4.901439167E-1,-1.164877625E0,8.954978027E0,3.389850769E0
5.101439166E-1,-1.154549103E0,8.979227600E0,3.406615906E0
5.301429167E-1,-1.077758789E0,9.033564606E0,3.452869720E0
5.501429166E-1,-1.088087311E0,9.129814453E0,3.439697113E0
5.701419167E-1,-1.160836029E0,9.277108154E0,3.268752594E0
5.901424167E-1,-1.127156067E0,9.301806793E0,3.147504730E0
6.101414167E-1,-1.064137115E0,9.302555237E0,3.249293060E0
6.301414167E-1,-9.827064514E-1,9.355395355E0,3.320844269E0
6.501404167E-1,-8.884025574E-1,9.391320648E0,3.204835510E0
6.701404167E-1,-8.714877319E-1,9.369765472E0,3.021466827E0
6.901394167E-1,-9.363029480E-1,9.362879791E0,2.777773590E0
7.101394167E-1,-9.434880066E-1,9.463171234E0,2.687211914E0
7.301394166E-1,-9.487271118E-1,9.427395630E0,2.831811218E0
7.501384167E-1,-9.229806519E-1,9.400301971E0,2.784210205E0
7.701384166E-1,-1.051114197E0,9.386081543E0,2.551593933E0
7.901374167E-1,-1.197958832E0,9.538015594E0,2.254461823E0
8.101374166E-1,-1.229094086E0,9.743987274E0,2.106269989E0
8.301364167E-1,-1.198557587E0,9.899214478E0,2.279908905E0
8.501364166E-1,-1.307980042E0,9.986183624E0,2.443818054E0
8.701354167E-1,-1.466799774E0,1.001207977E1,2.215093689E0
8.901354166E-1,-1.594334564E0,9.995314636E0,1.857038269E0
9.101344167E-1,-1.786534882E0,1.002974304E1,1.741927643E0
9.301344166E-1,-2.026635590E0,1.007105713E1,1.660946045E0
9.501344167E-1,-2.022294617E0,1.034378998E1,1.532064056E0
9.701334166E-1,-2.266287231E0,1.044572800E1,1.191372528E0
9.901334167E-1,-2.376308441E0,1.081306412E1,6.077362061E-1
1.010132417E0,-2.198627930E0,1.129595993E1,-5.731581116E-1
1.030132417E0,-1.898052979E0,1.193153824E1,-1.657652893E0
1.050131417E0,-1.456770630E0,1.259376114E1,-1.892963562E0
1.070131417E0,-6.709048462E-1,1.327080322E1,-1.428030396E0
1.090130417E0,4.879852295E-1,1.376642258E1,-2.032772827E0
1.110130417E0,1.055754547E0,1.489238113E1,-3.252436523E0
1.130130417E0,1.743125153E0,1.668595139E1,-3.003504181E0
1.150129417E0,2.788700867E0,1.897065033E1,2.192939758E-1
1.170129417E0,4.846322021E0,1.890733200E1,3.913012848E0
1.190128417E0,4.354744263E0,1.784214706E1,2.939287720E0
1.210128417E0,2.884052582E0,1.616278931E1,1.129102020E0
1.230127417E0,1.824256439E0,1.144235550E1,9.484277344E-1
1.250127417E0,1.199306030E0,4.190685425E0,-1.002016296E0
1.270126417E0,3.700005798E0,-7.097041626E0,-5.153932343E0
1.290126417E0,-3.740721130E0,-2.734004608E1,-2.306807968E1
1.310126417E0,-8.589318420E1,-7.976013794E1,-6.111056992E1
1.330125417E0,9.538165283E0,-1.104014191E1,8.839268646E0
1.350125417E0,2.672362793E1,-4.894821167E-1,7.969128113E0
1.370124417E0,1.508607834E1,-3.014431458E0,-7.457342377E0
1.390124417E0,-2.188449097E0,-1.450034637E0,-8.468639374E0
