"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.654916665E-3,2.431999706E-2,8.983211219E-2,8.327520639E-2
2.265491665E-2,6.148993969E-3,8.057977259E-2,6.287226826E-2
4.265491664E-2,-1.961767860E-2,9.013431519E-2,5.144004896E-2
6.265391666E-2,-3.533022851E-2,9.212437272E-2,4.517716169E-2
8.265391664E-2,-5.124976113E-2,8.752915263E-2,3.493783996E-2
1.026529167E-1,-7.278120518E-2,6.447301805E-2,2.455597185E-2
1.226529166E-1,-8.610808104E-2,3.526299447E-2,1.128723100E-2
1.426519167E-1,-9.346450120E-2,1.711013541E-2,2.742680721E-3
1.626519166E-1,-9.628962725E-2,2.142518945E-2,1.475546509E-3
1.826509167E-1,-8.412416279E-2,3.752499446E-2,1.328667160E-2
2.026509166E-1,-7.562243193E-2,4.601815343E-2,2.065589838E-2
2.226499167E-1,-6.656432152E-2,3.099628724E-2,2.263396978E-2
2.426499166E-1,-5.599326268E-2,6.877771579E-3,2.248216420E-2
2.626489167E-1,-3.553356230E-2,-2.656625211E-2,1.574602909E-2
2.826489166E-1,-7.264407817E-3,-4.557009041E-2,7.528112736E-3
3.026479167E-1,8.027276024E-3,-3.842657804E-2,1.044261362E-2
3.226479166E-1,2.403667010E-2,-2.203019522E-2,2.099978738E-2
3.426479167E-1,5.073004216E-2,-1.982592978E-2,3.066106886E-2
3.626469166E-1,7.474851608E-2,-4.874925315E-2,2.406681143E-2
3.826469167E-1,1.039026678E-1,-7.884831727E-2,6.476833019E-3
4.026459166E-1,1.341990530E-1,-9.234228730E-2,-6.084765308E-3
4.226459166E-1,1.550866067E-1,-8.905923367E-2,-2.053599805E-3
4.426449166E-1,1.847328097E-1,-7.558140159E-2,1.779826358E-2
4.626449166E-1,2.071119249E-1,-6.115207821E-2,3.902252764E-2
4.826439166E-1,2.158906460E-1,-5.702700466E-2,5.943525583E-2
5.026439166E-1,2.202505767E-1,-7.475291193E-2,6.688371301E-2
5.226429167E-1,2.281632721E-1,-1.142386422E-1,7.812897861E-2
5.426429166E-1,2.418287396E-1,-1.634437740E-1,7.894137502E-2
5.626419167E-1,2.506059706E-1,-1.985761970E-1,6.617258489E-2
5.826419166E-1,2.495080829E-1,-1.586773545E-1,8.145420998E-2
6.026424167E-1,2.472904623E-1,-4.260667413E-2,1.340777427E-1
6.226414166E-1,2.520228028E-1,6.733462214E-2,1.872968078E-1
6.426414167E-1,2.637346387E-1,1.072337627E-1,2.065866143E-1
