"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.654916665E-3,3.920284738E-1,-1.727746975E-1,3.608647147E-1
2.265491665E-2,3.410591720E-1,-1.509435332E-1,2.356872296E-1
4.265491664E-2,3.096175240E-1,-5.256997705E-2,2.572804123E-2
6.265391666E-2,3.633241998E-1,-5.440892637E-2,7.512268782E-2
8.265391664E-2,3.963032269E-1,-5.999652565E-2,2.349039951E-1
1.026529167E-1,3.832307531E-1,4.893534780E-3,2.482195669E-1
1.226529166E-1,3.543918470E-1,2.954715014E-2,1.437786475E-1
1.426519167E-1,2.717562179E-1,3.205560565E-2,3.109724700E-2
1.626519166E-1,2.487102945E-1,-2.246500254E-2,1.285279396E-1
1.826509167E-1,2.853299443E-1,-8.654697776E-2,3.297619128E-1
2.026509166E-1,2.777775344E-1,-1.170869851E-1,4.059669203E-1
2.226499167E-1,2.618801245E-1,-1.038155597E-1,3.699012941E-1
2.426499166E-1,2.077103493E-1,-1.209350377E-1,3.541670215E-1
2.626489167E-1,2.095833586E-1,-8.981557131E-2,3.591120118E-1
2.826489166E-1,2.108600982E-1,-1.920523828E-1,4.791161728E-1
3.026479167E-1,1.925787784E-1,-1.633285207E-1,5.385370401E-1
3.226479166E-1,1.696467295E-1,-1.508388680E-1,5.321191362E-1
3.426479167E-1,1.735734272E-1,-1.105322564E-1,5.331690037E-1
3.626469166E-1,1.282639378E-1,-1.294772351E-1,5.411294031E-1
3.826469167E-1,8.608490154E-2,-1.621964997E-1,4.845698708E-1
4.026459166E-1,8.185955733E-2,-1.836341465E-1,4.378143650E-1
4.226459166E-1,1.222487609E-1,-1.978867346E-1,5.001246339E-1
4.426449166E-1,1.328731517E-1,-3.069390607E-1,5.755472839E-1
4.626449166E-1,6.084378719E-2,-2.795863706E-1,4.737267941E-1
4.826439166E-1,5.942547195E-2,-2.562109566E-1,3.294110799E-1
5.026439166E-1,3.108781837E-2,-2.922245425E-1,3.118033594E-1
5.226429167E-1,4.547160342E-2,-2.669119459E-1,3.769065508E-1
