"Time (s)","Distance (cm)"
2.605541638E-3,5.000000000E0
2.303391666E-2,0.000000000E0
3.970220831E-2,5.000000000E0
3.328153250E0,0.000000000E0
3.541450917E0,5.000000000E0
5.290827583E0,0.000000000E0
1.407875333E1,5.000000000E0
2.479049542E1,0.000000000E0
3.099817521E1,5.000000000E0
3.360020304E1,0.000000000E0
3.364291137E1,5.000000000E0
3.641623712E1,0.000000000E0
3.641624954E1,5.000000000E0
4.140900754E1,0.000000000E0
4.190900971E1,5.000000000E0
4.320912092E1,0.000000000E0
4.567739542E1,5.000000000E0
4.853364262E1,0.000000000E0
5.081743467E1,5.000000000E0
5.090397004E1,0.000000000E0
5.420424683E1,5.000000000E0
5.427878246E1,0.000000000E0
7.755053371E1,5.000000000E0
7.755058537E1,0.000000000E0
8.663521121E1,5.000000000E0
8.672048496E1,0.000000000E0
1.430410071E2,5.000000000E0
1.430410306E2,0.000000000E0
