"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.101922500E-2,2.529262602E-1,1.827540398E-1,-1.884796619E-1
6.085995400E-2,3.254286945E-1,2.496639825E-2,-2.001972347E-1
8.074500600E-2,4.095821083E-1,-1.887459755E-1,-2.412087023E-1
1.006500590E-1,5.290213227E-1,-4.424711764E-1,-3.275591433E-1
1.205474020E-1,7.342118621E-1,-7.190988660E-1,-4.027246535E-1
1.404154230E-1,1.016165733E0,-9.509202242E-1,-4.341490269E-1
1.603273500E-1,1.315695882E0,-1.053249121E0,-4.901403487E-1
1.802090170E-1,1.589660525E0,-1.014900804E0,-5.850126743E-1
2.001009440E-1,1.826341987E0,-9.360069633E-1,-6.665695906E-1
2.199767770E-1,1.995847225E0,-8.123733401E-1,-7.139724493E-1
2.398769860E-1,2.038456440E0,-5.272237659E-1,-7.545178533E-1
2.597455270E-1,1.898311853E0,-6.990591437E-2,-7.657027841E-1
2.796859440E-1,1.658967257E0,3.954011798E-1,-6.830806732E-1
2.995930270E-1,1.387665749E0,6.944653392E-1,-5.524564981E-1
3.194343810E-1,1.080146313E0,6.870087385E-1,-3.883440197E-1
3.393439650E-1,7.107767463E-1,3.906076252E-1,-2.028603107E-1
3.592613090E-1,3.136445582E-1,-3.521926701E-2,-7.756228000E-2
3.791116730E-1,-3.009283356E-2,-4.525908828E-1,3.541899845E-2
3.990236520E-1,-2.806223333E-1,-7.563820481E-1,1.414762586E-1
4.189143290E-1,-4.368121028E-1,-8.310149312E-1,2.097177505E-1
4.387799020E-1,-5.039218068E-1,-5.985943675E-1,2.225005478E-1
4.586754230E-1,-4.948673248E-1,-2.313552946E-1,2.288919389E-1
4.785646940E-1,-4.282902479E-1,2.336854860E-2,2.235657871E-1
4.984822460E-1,-3.403419554E-1,7.722939551E-2,1.990654171E-1
5.183650590E-1,-2.950029671E-1,4.101147130E-2,1.707701683E-1
5.382404230E-1,-2.635785937E-1,3.888100386E-2,1.446719617E-1
5.581488090E-1,-2.203700840E-1,-3.308879957E-2,1.313565522E-1
5.780192770E-1,-1.734998226E-1,-1.903438270E-1,1.953371018E-1
5.979134960E-1,-9.673647583E-2,-2.745638192E-1,3.551886380E-1
6.177956310E-1,4.394086078E-2,-1.007976755E-1,5.599130988E-1
6.377326630E-1,2.646438181E-1,3.703682125E-1,7.576469779E-1
6.576270900E-1,4.964651763E-1,9.918650985E-1,1.028415918E0
6.775160480E-1,6.515897512E-1,1.651710391E0,1.380142570E0
6.973612040E-1,6.478614211E-1,2.334990740E0,1.722881317E0
7.172745900E-1,6.164370179E-1,3.146764994E0,1.978204250E0
7.371845380E-1,5.529890656E-1,3.840764284E0,2.180199146E0
7.570434440E-1,4.719648063E-1,4.319919586E0,2.389117956E0
7.769353190E-1,3.765598834E-1,4.745746136E0,2.543177366E0
7.968343810E-1,1.777607650E-1,5.251598835E0,2.622603655E0
8.167284440E-1,-1.169759035E-1,5.324634075E0,2.921601295E0
8.365897460E-1,-5.076501369E-1,4.679169178E0,3.378919125E0
8.565308920E-1,-8.434648514E-1,3.568397522E0,3.645959854E0
8.763811520E-1,-1.096657395E0,2.037058353E0,3.849019766E0
8.962602670E-1,-1.283206344E0,1.081211492E-1,4.210932732E0
9.161856840E-1,-1.403644204E0,-1.772281408E0,4.690087795E0
9.360736000E-1,-1.409502983E0,-3.311609745E0,5.180428028E0
9.559330790E-1,-1.087070346E0,-4.483632565E0,5.667638779E0
9.758243290E-1,-2.374803871E-1,-5.050735950E0,6.034877777E0
9.957668810E-1,7.033200860E-1,-4.875438213E0,5.925092220E0
1.015637246E0,1.527344465E0,-4.443153381E0,5.163916588E0
1.035538913E0,2.187189817E0,-4.503938198E0,3.979044914E0
1.055395527E0,2.291116476E0,-4.440490246E0,2.371008873E0
1.075345579E0,1.717089057E0,-2.990708351E0,8.818132281E-1
1.095177819E0,-4.069190025E-1,-5.386084318E-2,-5.625762045E-2
1.115078236E0,-4.333567619E0,3.114275217E0,-1.728273988E0
1.134967663E0,-8.737707138E0,3.969723940E0,-3.377387762E0
1.154869225E0,-1.124925995E1,3.367933989E0,-4.623510838E0
1.174753861E0,-1.191869259E1,2.959683418E0,-5.297270775E0
1.194649850E0,-1.193467140E1,2.757688522E0,-5.343608379E0
1.214546100E0,-1.171296978E1,2.671338081E0,-5.601594448E0
1.234413236E0,-1.102589417E1,2.259359360E0,-5.300466537E0
1.254301048E0,-9.107608795E0,3.025261879E0,-5.483286858E0
1.274191048E0,-6.190002441E0,3.720792294E0,-6.406444550E0
1.294098079E0,-3.310744286E0,2.852560997E0,-6.587134838E0
1.313963965E0,-1.364763260E0,9.124386907E-1,-6.225221634E0
1.333883600E0,-7.170350105E-2,-8.022536039E-1,-5.068578243E0
1.353746934E0,1.007643819E0,-9.994548559E-1,-4.070255280E0
1.373673600E0,2.551765680E0,-5.991935614E-4,-3.250025988E0
1.393572194E0,3.973785162E0,1.202914357E0,-2.109361172E0
1.413426673E0,4.677371502E0,2.081864834E0,-9.527843595E-1
1.433307194E0,4.866051197E0,2.815810442E0,-1.985993832E-1
1.453198861E0,5.066448212E0,3.866862535E0,-3.814865649E-2
1.473101152E0,4.844147205E0,4.751605034E0,-1.655105799E-1
1.492967194E0,4.170986652E0,4.932827950E0,-4.032572806E-1
1.512890371E0,3.770192623E0,4.102944851E0,-4.394752085E-1
1.532790892E0,3.673722506E0,2.736916542E0,-1.809564531E-1
1.552650840E0,3.547891855E0,1.562696815E0,-9.247554094E-2
1.572578444E0,3.293700457E0,5.707651973E-1,-3.371462524E-1
1.592440319E0,2.924330950E0,-5.682352185E-1,-3.659075499E-1
1.612338027E0,2.447772264E0,-1.286734939E0,-2.422739416E-1
1.632235684E0,1.950508237E0,-9.237567782E-1,-3.142437339E-1
