"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.392504165E-2,-3.102596945E-1,-7.756521598E-2,2.227069956E-1
3.392604168E-2,-2.755968153E-1,-3.405915409E-2,3.018543220E-1
5.392804166E-2,-2.391721702E-1,-6.292144910E-2,3.577712452E-1
7.392904168E-2,-1.568714404E-1,-7.260516912E-2,3.705433184E-1
9.393004165E-2,-1.216419661E-1,-1.764777392E-2,3.089393932E-1
1.139320417E-1,-4.820970833E-2,8.164540306E-2,1.873997533E-1
1.339330417E-1,-2.374905109E-2,9.164955050E-2,1.592956960E-1
1.539340417E-1,9.261989594E-4,1.971374139E-2,1.435625929E-1
1.739350417E-1,6.637174487E-2,-7.935015164E-2,1.399677247E-1
1.939370417E-1,7.845033824E-2,-9.115326807E-2,1.653715378E-1
2.139380417E-1,9.335489094E-2,-9.854897261E-2,7.644532800E-2
2.339390417E-1,1.315366244E-1,-1.149906852E-1,-6.538941264E-3
2.539410417E-1,1.202205080E-1,-1.599144776E-1,-1.770478427E-2
2.739420417E-1,9.750758350E-2,-1.787955024E-1,-5.502346873E-2
2.939430417E-1,9.870216966E-2,-1.999438582E-1,-1.286714888E-1
3.139450417E-1,1.102942747E-1,-2.658374470E-1,-1.047674865E-1
3.339460417E-1,3.391034245E-2,-2.814870080E-1,-5.826750398E-2
3.539470417E-1,2.445714891E-2,-3.953980780E-1,2.058629215E-2
3.739490417E-1,-2.748191357E-5,-4.321222468E-1,3.697896123E-2
3.939500417E-1,-1.168156743E-2,-3.796309148E-1,-3.126447737E-2
4.139510417E-1,-4.972296774E-2,-3.721054021E-1,-4.181343913E-2
4.339530417E-1,-2.891565084E-2,-4.069694254E-1,-6.230792999E-2
4.539540417E-1,-1.632250249E-2,-4.460006131E-1,-1.256467241E-1
4.739550417E-1,2.340581954E-2,-4.679914065E-1,-1.610422593E-1
4.939570417E-1,7.352288961E-3,-4.806782565E-1,-1.600225049E-1
5.139580417E-1,8.113596439E-3,-5.106374891E-1,-1.800030255E-1
5.339590417E-1,5.477554679E-2,-5.512690598E-1,-2.254908550E-1
5.539610417E-1,8.711181879E-2,-5.023356123E-1,-2.353504300E-1
5.739620417E-1,1.533876693E-1,-4.865830672E-1,-2.113084334E-1
5.939630417E-1,1.831880039E-1,-5.193314217E-1,-2.090777206E-1
6.139650417E-1,1.880739373E-1,-6.106489965E-1,-2.735456121E-1
6.339660417E-1,2.635649997E-1,-7.351297858E-1,-2.982758260E-1
6.539669167E-1,2.734380233E-1,-8.266830035E-1,-3.382935852E-1
6.739679167E-1,2.378103536E-1,-8.666319117E-1,-3.476134622E-1
6.939699167E-1,2.550456065E-1,-9.163703746E-1,-3.676056772E-1
7.139709167E-1,3.078050333E-1,-9.588395789E-1,-3.621297598E-1
7.339719167E-1,3.840065324E-1,-8.619867374E-1,-2.498702359E-1
7.539739167E-1,4.082280385E-1,-6.785768317E-1,-9.444130361E-2
7.739749167E-1,4.190307695E-1,-4.338498066E-1,7.199150383E-2
7.939759167E-1,3.799538273E-1,-1.023318288E-1,2.949388200E-1
8.139779167E-1,4.575118804E-1,3.224197103E-1,6.350707698E-1
8.339789167E-1,4.069708872E-1,9.674478498E-1,8.513388115E-1
8.539799167E-1,2.330144674E-1,1.342791294E0,1.160422631E0
8.739819167E-1,1.203666884E-1,1.509234626E0,1.391058451E0
8.939829167E-1,-1.287252831E-1,1.801517348E0,1.528043511E0
9.139839167E-1,-2.479956186E-1,1.846835609E0,1.860916727E0
9.339859167E-1,-2.459122556E-1,1.999748046E0,1.787716019E0
9.539869167E-1,-2.899359423E-1,2.296619663E0,1.526243153E0
9.739879167E-1,-1.548447955E-1,2.758754644E0,1.584299573E0
9.939899167E-1,1.036530071E-1,3.232901853E0,1.811675570E0
1.013990917E0,2.604057491E-2,3.884247178E0,1.825686668E0
1.033991917E0,-4.486100793E-2,4.678922377E0,1.739543148E0
1.053993917E0,-3.076003808E-1,5.822231669E0,1.812168490E0
1.073994917E0,-4.239751750E-1,7.353962435E0,2.257294798E0
1.093995917E0,-3.439706469E-1,9.014260608E0,3.480039393E0
1.113997917E0,-7.508035398E-1,1.044560404E1,5.037639409E0
1.133998917E0,-1.387417390E0,1.218989512E1,5.986313311E0
1.153999917E0,-1.426760380E0,1.443071890E1,8.391631544E0
1.174001917E0,-1.476045976E0,1.508080649E1,1.208107259E1
1.194002917E0,-1.619560622E0,1.386588956E1,1.474402324E1
1.214003917E0,-1.907821922E0,1.251387063E1,1.607647973E1
1.234005917E0,-1.800691575E0,1.174707847E1,1.566380780E1
1.254006917E0,-6.709703350E-1,9.125447752E0,1.677328189E1
1.274007917E0,-1.571269637E-1,5.387081881E0,1.805561838E1
1.294009917E0,6.814830440E-1,-1.467217850E0,1.612835271E1
1.314010917E0,1.452876384E0,-1.597146490E1,1.128494962E1
1.334011917E0,1.127007548E0,-2.627666209E1,7.076112102E0
1.354013917E0,6.867005146E-1,-1.569624699E2,-1.420333869E2
1.374014917E0,2.641212570E1,-3.716739594E1,6.304063289E0
1.394015917E0,3.512273923E1,-3.611252666E0,2.861411695E1
1.414017917E0,5.143962255E0,-1.064951750E1,-4.732505384E-1
1.434018917E0,-9.385763454E0,-9.896048503E-1,-6.224646406E0
1.454019917E0,7.043731391E-1,-2.329433214E0,-8.178532693E0
1.474021917E0,2.676258910E-1,-3.509436269E0,7.299238928E0
1.494022917E0,1.463237066E0,-8.866073452E0,6.115386504E0
1.514023917E0,-4.146450069E0,-6.527508203E0,1.842361319E0
1.534025917E0,-6.497808441E0,-2.756422482E0,-5.881509572E-1
1.554026917E0,-3.345939934E0,-9.224767680E-1,2.461328126E0
1.574027917E0,-1.392178777E0,-2.856320700E0,5.602907288E0
1.594029917E0,-2.249910935E0,-2.514485164E0,4.279489135E0
1.614030917E0,-3.290559200E0,9.679708833E-1,1.510820537E0
1.634031917E0,-2.710380921E0,2.635259403E0,1.121470819E0
1.654034417E0,-1.052949053E0,1.632002620E0,2.688935089E0
1.674035417E0,-1.202567607E0,1.387404526E0,3.330161807E0
1.694036417E0,-1.008052962E0,1.756435316E0,2.517986476E0
1.714038417E0,-5.366861039E-1,2.112601354E0,9.012769568E-1
1.734039417E0,3.882662290E-1,2.233744845E0,5.788357580E-1
1.754040417E0,7.838245207E-1,2.227933297E0,1.221718993E0
1.774042417E0,6.473838365E-1,2.702936831E0,1.562907534E0
1.794043417E0,9.497451121E-1,3.556784098E0,8.897754836E-1
1.814044417E0,8.466645473E-1,4.000695940E0,3.226955527E-1
1.834046417E0,8.044622684E-1,3.899596412E0,2.731287056E-1
1.854047417E0,7.136667037E-1,3.295932499E0,6.412354892E-1
1.874049417E0,4.283895305E-1,3.355077378E0,5.753864855E-1
1.894050417E0,1.530619794E-1,3.440917427E0,4.331991577E-1
1.914051417E0,5.157711983E-2,3.090690844E0,1.044008660E-1
1.934053417E0,7.707858145E-2,2.694484389E0,2.152822012E-1
1.954054417E0,1.054524878E-1,2.255919826E0,1.849228728E-1
1.974055417E0,1.001195347E-1,2.004548463E0,1.191107064E-1
1.994057417E0,1.369374052E-1,1.746525893E0,-1.111456293E-1
2.014058417E0,2.751664603E-1,1.672565047E0,-1.881353331E-1
2.034059417E0,3.652144584E-1,1.488021805E0,-1.043839091E-1
2.054061417E0,4.495117199E-1,1.128489451E0,-1.233528614E-1
2.074062417E0,5.171961647E-1,1.005687982E0,-1.555271655E-1
2.094063417E0,4.922063345E-1,8.792040101E-1,-6.067772627E-2
2.114065417E0,4.539868864E-1,8.397629325E-1,1.691599488E-2
2.134066417E0,4.657859829E-1,6.807291187E-1,4.091238320E-2
2.154068417E0,4.693527845E-1,6.068153427E-1,7.766447246E-2
2.174069417E0,3.991060898E-1,5.797585582E-1,1.738330436E-1
2.194070417E0,3.478026196E-1,4.113286708E-1,2.125492126E-1
2.214072417E0,3.351030520E-1,4.012407620E-1,1.582519680E-1
2.234073417E0,3.757663438E-1,3.968032370E-1,6.132676721E-2
2.254074417E0,3.419334769E-1,2.872318974E-1,5.788860440E-2
2.274076417E0,3.303703156E-1,9.816707633E-2,1.449729413E-1
2.294077417E0,3.050159115E-1,7.659655161E-2,9.520436525E-2
2.314078417E0,2.471211675E-1,1.743657980E-1,1.204467952E-2
2.334080417E0,2.194913194E-1,1.681749853E-1,3.663339078E-2
2.354081417E0,2.418589658E-1,4.521790735E-2,4.770333946E-2
