"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.330860900E-2,1.541725039E0,-8.342106342E-1,8.519867063E-1
6.323902600E-2,1.504907966E0,-7.324143052E-1,7.128406167E-1
8.307959800E-2,1.461233377E0,-6.428681016E-1,6.787531376E-1
1.029686090E-1,1.388731003E0,-4.312862158E-1,6.456643939E-1
1.228553280E-1,1.308239341E0,-1.972678453E-1,6.254249215E-1
1.427747550E-1,1.220291018E0,4.194355104E-3,6.494592428E-1
1.626640260E-1,1.137136221E0,2.360822707E-1,6.254249215E-1
1.825454840E-1,1.083341956E0,5.111120939E-1,5.705654621E-1
2.024386610E-1,1.010306954E0,7.285528183E-1,5.278895497E-1
2.223519420E-1,9.324783683E-1,8.196967840E-1,4.601806700E-1
2.422567340E-1,8.802819252E-1,7.727599740E-1,3.797555864E-1
2.621072030E-1,8.392038941E-1,6.464632750E-1,2.870137095E-1
2.819790780E-1,8.104426265E-1,5.180361271E-1,1.675744653E-1
3.018846510E-1,7.800168991E-1,4.119788706E-1,5.406057462E-2
3.217906920E-1,7.704297900E-1,3.133116663E-1,-5.359453708E-2
3.416798590E-1,7.773538232E-1,2.035260797E-1,-1.874144375E-1
3.615550150E-1,7.603100538E-1,8.095771074E-2,-4.282902479E-1
3.814829320E-1,6.691660881E-1,-4.587159678E-2,-6.676347852E-1
4.013667340E-1,6.228284240E-1,2.922733128E-2,-8.674991727E-1
4.212474110E-1,5.545869470E-1,3.149760962E-1,-1.126550555E0
4.412154840E-1,5.173037648E-1,6.912696362E-1,-1.451646328E0
4.610118380E-1,4.874106944E-1,9.113734365E-1,-1.902572751E0
4.809148070E-1,4.031907022E-1,9.364064336E-1,-2.360955954E0
5.007889730E-1,2.433391660E-1,1.001452208E0,-2.788979769E0
5.207252760E-1,7.436657697E-2,1.450780749E0,-3.087977409E0
5.405786610E-1,-6.477948278E-2,2.428797960E0,-3.135380268E0
5.604626710E-1,-1.809564531E-1,3.854612350E0,-2.995235443E0
5.803719940E-1,-1.900109351E-1,5.458920002E0,-2.651964188E0
6.002694420E-1,-1.127149686E-1,6.891125679E0,-2.223474264E0
6.202345460E-1,-3.275591508E-2,7.791314125E0,-1.705371499E0
6.400535050E-1,3.595161438E-2,7.990113258E0,-1.144659519E0
6.599498070E-1,8.022536337E-2,7.389454842E0,-5.460650921E-1
6.798260570E-1,1.159106717E-1,6.079884052E0,6.151720881E-2
6.997028800E-1,1.543256342E-1,4.400411129E0,5.497268438E-1
7.196107960E-1,1.878804713E-1,2.923998117E0,9.282174110E-1
7.394941820E-1,1.884130985E-1,2.047710657E0,1.219758391E0
7.593690780E-1,1.537930220E-1,1.830802679E0,1.392459273E0
7.792673070E-1,1.212368309E-1,2.073343039E0,1.478210568E0
7.991797550E-1,8.981245756E-2,2.419743299E0,1.519288659E0
8.190711610E-1,3.435376659E-2,2.450701714E0,1.555506468E0
8.389484530E-1,7.170350105E-2,1.677808642E0,1.646117926E0
8.588232440E-1,2.348173112E-1,-1.428743750E-1,1.843319178E0
8.787238170E-1,5.721632838E-1,-2.439050674E0,2.053369761E0
8.986235050E-1,1.208040833E0,-4.999604702E0,2.374204636E0
9.185059530E-1,2.204766035E0,-7.512689114E0,2.802228689E0
9.384249630E-1,3.599622011E0,-9.320655823E0,3.229120731E0
9.583087650E-1,5.584484100E0,-9.993816376E0,3.575587749E0
9.782161090E-1,7.771940231E0,-9.761928558E0,3.632111788E0
9.980831920E-1,9.526045799E0,-9.319058418E0,3.592098951E0
1.017971161E0,9.977504730E0,-8.848424911E0,3.203555107E0
1.037830171E0,8.753751755E0,-7.554299831E0,2.763813734E0
1.057756005E0,6.716627121E0,-4.806664467E0,3.115074158E0
1.077637046E0,4.310132504E0,-1.876740813E0,4.353274345E0
1.097528036E0,3.909405172E-1,1.602643132E0,5.197005749E0
1.117401786E0,-4.516921043E0,4.777237415E0,4.263728142E0
1.137287932E0,-7.995772362E0,4.578438282E0,1.201582909E0
1.157214859E0,-1.013475990E1,2.012557983E0,-2.739912510E0
