"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.671816665E-2,1.587714441E-2,4.907764867E-2,-5.927791074E-2
3.671916667E-2,-9.093813132E-4,2.884902060E-2,-5.226457492E-2
5.672016670E-2,-1.860894263E-2,3.588669933E-3,-4.482349753E-2
7.672116667E-2,-2.815561928E-2,-2.099991404E-2,-4.395679384E-2
9.672216669E-2,-4.254817218E-2,-2.174997702E-2,-4.380957410E-2
1.167231667E-1,-5.130143464E-2,3.568220884E-3,-3.785032406E-2
1.367241667E-1,-5.972980708E-2,4.276542366E-2,-2.589006908E-2
1.567241666E-1,-6.456677616E-2,6.208764389E-2,-1.909241267E-2
1.767251667E-1,-7.084821165E-2,5.590291321E-2,-1.480567548E-2
1.967261666E-1,-7.693372667E-2,2.889605984E-2,-1.419134252E-2
2.167271667E-1,-8.916889131E-2,3.581650788E-3,-9.217297658E-3
2.367281667E-1,-9.740288556E-2,1.515970100E-3,1.864862279E-4
2.567291667E-1,-9.921757877E-2,2.312162519E-2,2.156250924E-2
2.767301667E-1,-1.013054401E-1,4.482284933E-2,5.420060828E-2
2.967311667E-1,-1.062129065E-1,4.141990095E-2,8.493391424E-2
3.167321667E-1,-1.102675125E-1,4.451191984E-3,9.715978801E-2
3.367331667E-1,-1.189118475E-1,-2.828937024E-2,1.022003070E-1
3.567331667E-1,-1.230842471E-1,-2.860346995E-2,1.250107586E-1
3.767341667E-1,-1.221340671E-1,-2.926467452E-3,1.700441837E-1
3.967351667E-1,-1.394649148E-1,1.349064428E-2,2.059693635E-1
4.167361667E-1,-1.480138451E-1,1.596371457E-2,2.361614704E-1
4.367371667E-1,-1.570822150E-1,-6.676236633E-3,2.563523352E-1
4.567381667E-1,-1.504791975E-1,-3.845530003E-2,2.684620023E-1
4.767391667E-1,-1.455578804E-1,-6.496737152E-2,2.839180231E-1
4.967401667E-1,-1.406079680E-1,-6.059755012E-2,3.005104959E-1
5.167411666E-1,-1.475909054E-1,-3.662641346E-2,3.321996331E-1
5.367425833E-1,-1.789057553E-1,-2.625370584E-2,3.647015989E-1
5.567425833E-1,-2.250420600E-1,-4.103970900E-2,3.894256949E-1
5.767435833E-1,-2.907774448E-1,-7.164792717E-2,4.146211445E-1
5.967445833E-1,-3.457482755E-1,-6.701686233E-2,4.727289677E-1
6.167455834E-1,-3.918361366E-1,-6.156509370E-2,5.793489218E-1
6.367465833E-1,-4.261283278E-1,-1.128140911E-1,6.827647686E-1
6.567475834E-1,-4.648379087E-1,-2.184489965E-1,7.600156069E-1
6.767485833E-1,-5.081345439E-1,-3.225056529E-1,8.390319943E-1
6.967495834E-1,-5.323413610E-1,-3.729405999E-1,9.318807125E-1
7.167505833E-1,-5.422115326E-1,-3.812709451E-1,1.028831363E0
7.367515833E-1,-5.535025597E-1,-3.830534518E-1,1.099892497E0
7.567525833E-1,-5.628372431E-1,-3.753261566E-1,1.148572206E0
7.767525833E-1,-5.864152312E-1,-3.473913372E-1,1.192172647E0
7.967535834E-1,-5.946915150E-1,-3.098050058E-1,1.236726999E0
8.167545833E-1,-5.856674314E-1,-3.056187630E-1,1.257833958E0
8.367555834E-1,-5.977309942E-1,-3.276144862E-1,1.241141319E0
8.567565833E-1,-6.454439759E-1,-3.221231699E-1,1.200282574E0
8.767575833E-1,-6.776887774E-1,-2.868266404E-1,1.127254367E0
8.967585833E-1,-6.874886751E-1,-2.333108336E-1,1.030434728E0
9.167595833E-1,-6.793793440E-1,-1.587509960E-1,9.289361238E-1
9.367605833E-1,-6.765267849E-1,-5.650183558E-2,8.381980062E-1
