"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.700833429E-4,-2.111933017E0,1.517279372E-1,2.693273723E0
1.958091668E-2,-1.585563741E0,5.538652235E-1,2.895152351E0
3.943291667E-2,-6.887511331E-1,1.128475783E0,3.201225439E0
5.928391666E-2,1.914571363E-1,1.793539554E0,3.282604063E0
7.913591666E-2,7.578704846E-1,2.391982487E0,3.201397347E0
9.898691668E-2,1.634045929E0,3.089505029E0,2.579613791E0
1.188379167E-1,2.746130798E0,3.295758544E0,1.894370402E0
1.386899167E-1,3.877386348E0,3.245570723E0,9.595631719E-2
1.585409167E-1,4.775788813E0,2.853538887E0,-1.659250352E0
1.783919167E-1,5.466618047E0,2.224083198E0,-3.583808759E0
1.982439167E-1,6.750584158E0,5.953421554E-1,-4.985436637E0
2.180949167E-1,6.561728448E0,-8.620430169E-1,-5.674935629E0
2.379459167E-1,5.562409472E0,-2.277452490E0,-5.919696568E0
2.577979167E-1,3.736607029E0,-3.536911459E0,-6.262327033E0
2.776489167E-1,1.598076198E0,-4.481373027E0,-5.878242148E0
2.974999167E-1,-5.649708402E-1,-5.163428221E0,-4.996940449E0
3.173519167E-1,-2.341871849E0,-5.626719489E0,-3.810223475E0
3.372029167E-1,-3.555446255E0,-5.973649412E0,-2.946144165E0
3.570549167E-1,-4.399554985E0,-6.170503528E0,-1.847032514E0
3.769059167E-1,-5.130204926E0,-6.035786018E0,-6.168642944E-1
3.967569167E-1,-5.733099053E0,-5.365481097E0,2.072550704E-1
4.166089167E-1,-5.784060461E0,-4.767282869E0,4.338166237E-1
4.364599167E-1,-5.497949767E0,-3.331961580E0,4.902362613E-1
4.563109167E-1,-4.509798973E0,-1.485531914E0,5.426526028E-1
4.761629167E-1,-2.170365998E0,-1.231376839E-1,7.714800252E-1
4.960139167E-1,1.086906173E0,8.105272928E-1,6.346987407E-1
5.158659167E-1,4.463134099E0,1.347008452E0,7.308048197E-1
5.357169167E-1,6.524631958E0,2.273916678E0,6.663019180E-1
5.555679167E-1,7.640864841E0,2.832361441E0,8.773098046E-1
5.754199167E-1,6.289019573E0,2.947378512E0,8.524679089E-1
5.952709167E-1,3.789896799E0,2.757615022E0,6.955602157E-1
6.151219167E-1,1.008703757E0,2.114921237E0,7.373320665E-3
6.349739167E-1,-6.796745002E-1,1.018843414E0,-2.271356402E-1
6.548249167E-1,-1.678379518E0,-3.213933778E-1,-8.821477908E-1
6.746759167E-1,-2.504435554E0,-8.632118753E-1,-2.084321880E-1
6.945279167E-1,-3.216153966E0,-1.452462401E0,4.119457714E-1
7.143789167E-1,-3.779067755E0,-1.730733148E0,1.278445171E0
7.342309167E-1,-4.499204988E0,-1.635798047E0,1.499661711E0
7.540819167E-1,-4.956094140E0,-1.632901337E0,1.385835133E0
7.739336250E-1,-4.739549525E0,-2.250616401E0,1.898588583E0
7.937856250E-1,-4.351311362E0,-3.276320353E0,1.905238037E0
8.136366250E-1,-4.332224881E0,-3.452097888E0,2.266062698E0
8.334876250E-1,-3.673367053E0,-3.792742639E0,3.127203197E0
8.533396250E-1,-2.340947405E0,-3.945992314E0,4.795450661E0
8.731906250E-1,-3.646674514E-2,-4.395224829E0,7.899097765E0
8.930416250E-1,1.440632899E0,-4.207532130E0,1.025879602E1
9.128936250E-1,2.479089628E0,-3.556758663E0,1.260900483E1
9.327446250E-1,4.608321633E0,-3.203492405E0,1.381492874E1
9.525966250E-1,9.391622365E0,-1.267705590E0,1.525393436E1
9.724476250E-1,2.152254130E1,5.308857245E0,1.851360155E1
9.922986250E-1,3.625653540E1,1.544527046E1,1.801045683E1
1.012150625E0,4.967428617E1,2.418298466E1,1.138376172E1
1.032001625E0,6.311347517E1,2.687110874E1,-2.643242022E0
1.051852625E0,6.962656238E1,1.281835386E1,-2.494256370E1
1.071704625E0,6.590970257E1,-7.635868396E0,-5.070764822E1
1.091555625E0,7.217910590E1,-3.153296982E1,-7.435196866E1
1.111407625E0,5.604918730E1,-4.860797856E1,-7.188610426E1
1.131258625E0,4.929602745E1,-6.479167284E1,-6.861368897E1
1.151109625E0,5.461528630E1,-7.757467794E1,-5.924039646E1
1.170961625E0,4.314148682E1,-7.986990655E1,-5.256577641E1
1.190812625E0,-5.298826931E0,-7.932714460E1,-2.480906475E1
1.210663625E0,-3.322959558E1,-7.637924510E1,-1.764935267E-1
1.230515625E0,-4.143263103E1,-5.712669349E1,6.314501739E0
1.250366625E0,-3.703709191E1,-4.521845524E1,1.160461339E1
1.270218625E0,-2.818960675E1,-3.364490693E1,1.340048043E1
1.290069625E0,-1.966287646E1,-2.201122586E1,1.254046494E1
1.309920625E0,-1.104988220E1,-1.223426847E1,1.130965879E1
1.329772625E0,2.495571175E-1,-5.182279644E0,1.066589672E1
1.349623625E0,1.511676219E1,-8.031032293E-1,8.920706912E0
1.369474625E0,2.246616964E1,-4.223816626E-1,4.979754313E0
1.389326625E0,2.234595556E1,9.229448377E-1,-9.198249096E-1
1.409177625E0,2.009484537E1,2.516255116E0,-4.950759140E0
1.429028625E0,1.893748258E1,4.120575263E-1,-6.686585214E0
1.448880625E0,1.552083052E1,-3.174049920E-1,-7.153778329E0
1.468731625E0,9.848979878E0,-1.182335364E0,-7.159571750E0
1.488583625E0,4.696606111E0,-2.372938106E0,-7.198800720E0
1.508434625E0,1.585982986E0,-3.084344569E0,-7.490998950E0
