"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.424041693E-3,-6.643035736E0,-1.328337708E0,7.589966583E0
3.142604168E-2,-6.615343323E0,-1.268462219E0,7.685617676E0
5.142804165E-2,-6.568790131E0,-1.304986267E0,7.748936005E0
7.142904168E-2,-6.485862579E0,-1.317260742E0,7.761809235E0
9.143004171E-2,-6.454727325E0,-1.261426849E0,7.696844330E0
1.114320417E-1,-6.382727051E0,-1.158441010E0,7.574698334E0
1.314330416E-1,-6.353837128E0,-1.141825562E0,7.551496582E0
1.514340417E-1,-6.323001251E0,-1.204844513E0,7.542515259E0
1.714350417E-1,-6.256240082E0,-1.293460236E0,7.541766815E0
1.914370417E-1,-6.250102844E0,-1.294058990E0,7.563920746E0
2.114380417E-1,-6.244863739E0,-1.290017395E0,7.468569031E0
2.314390417E-1,-6.216123505E0,-1.295705566E0,7.379204865E0
2.514410417E-1,-6.234086151E0,-1.332379303E0,7.363637238E0
2.714420417E-1,-6.259982300E0,-1.346899109E0,7.324269104E0
2.914430417E-1,-6.260431366E0,-1.366658020E0,7.249424744E0
3.114450417E-1,-6.250701599E0,-1.432521057E0,7.271728363E0
3.314460417E-1,-6.330635376E0,-1.449286194E0,7.314988403E0
3.514470417E-1,-6.346203003E0,-1.566492462E0,7.388036499E0
3.714490417E-1,-6.377637634E0,-1.609153748E0,7.397466888E0
3.914500417E-1,-6.394103394E0,-1.566193085E0,7.323520660E0
4.114510417E-1,-6.434818726E0,-1.570683746E0,7.308701477E0
4.314530417E-1,-6.416706390E0,-1.619631958E0,7.283553772E0
4.514540417E-1,-6.409221954E0,-1.674118652E0,7.213200073E0
4.714550417E-1,-6.376440125E0,-1.713037720E0,7.168892212E0
4.914570417E-1,-6.397995300E0,-1.746418304E0,7.161557465E0
5.114580417E-1,-6.398294678E0,-1.801503754E0,7.136260071E0
5.314590417E-1,-6.349645844E0,-1.869612122E0,7.087611237E0
5.514610417E-1,-6.316115570E0,-1.846260681E0,7.074139252E0
5.714620417E-1,-6.252797241E0,-1.854942627E0,7.091054077E0
5.914630417E-1,-6.230343933E0,-1.910477142E0,7.082521820E0
6.114650417E-1,-6.233786774E0,-2.023043060E0,7.006629639E0
6.314660417E-1,-6.163433075E0,-2.167043610E0,6.973548431E0
6.514669167E-1,-6.150410156E0,-2.276915131E0,6.932683411E0
6.714679167E-1,-6.173013153E0,-2.334395599E0,6.931336212E0
6.914699167E-1,-6.132597198E0,-2.400707703E0,6.928342438E0
7.114709167E-1,-6.044729919E0,-2.461481323E0,6.960675201E0
7.314719167E-1,-5.921536102E0,-2.392624512E0,7.107669525E0
7.514739167E-1,-5.840704193E0,-2.253414001E0,7.301965485E0
7.714749167E-1,-5.771098938E0,-2.073188782E0,7.503745880E0
7.914759167E-1,-5.761369171E0,-1.826801147E0,7.747888184E0
8.114779167E-1,-5.657335510E0,-1.501826935E0,8.086035004E0
8.314789167E-1,-5.708529053E0,-9.659413147E-1,8.274193726E0
8.514799167E-1,-5.903124390E0,-7.104226685E-1,8.533903656E0
8.714819167E-1,-6.045777740E0,-6.706054688E-1,8.702902222E0
8.914829167E-1,-6.326593781E0,-5.028044128E-1,8.774603119E0
9.114839167E-1,-6.474186859E0,-5.682183838E-1,9.046886902E0
9.314859167E-1,-6.483018494E0,-5.057981873E-1,8.933123474E0
9.514869167E-1,-6.509663086E0,-2.872526550E-1,8.658893738E0
9.714879167E-1,-6.344556427E0,1.022373962E-1,8.716374207E0
9.914899167E-1,-6.075865173E0,5.120851135E-1,8.928333435E0
1.011490917E0,-6.175707550E0,1.108145599E0,8.901539154E0
1.031491917E0,-6.287525024E0,1.847458191E0,8.757239227E0
1.051493917E0,-6.609355774E0,2.928959198E0,8.751401367E0
1.071494917E0,-6.835685120E0,4.399950256E0,9.069040833E0
1.091495917E0,-6.939868469E0,6.020180969E0,1.009560608E1
1.111497917E0,-7.601043549E0,7.449708252E0,1.138861725E1
1.131498917E0,-8.567433929E0,9.242230682E0,1.198587524E1
1.151499917E0,-9.025481415E0,1.160806091E1,1.391685974E1
1.171501917E0,-9.549691315E0,1.250005600E1,1.701990692E1
1.191502917E0,-1.012823822E1,1.164159119E1,1.909040131E1
1.211503917E0,-1.078058167E1,1.073642349E1,1.986474106E1
1.231505917E0,-1.100167191E1,1.049153275E1,1.882635040E1
1.251506917E0,-1.015353561E1,8.455167389E0,1.919563248E1
1.271507917E0,-9.824519806E0,5.277724915E0,1.971864487E1
1.291509917E0,-9.075327759E0,-1.157692566E0,1.710043945E1
1.311510917E0,-8.335715790E0,-1.548320251E1,1.171059769E1
1.331511917E0,-8.672964478E0,-2.583597382E1,7.026687927E0
1.351513917E0,-9.061107330E0,-1.562184421E2,-1.428474971E2
1.371514917E0,1.663640442E1,-3.635549835E1,6.414461060E0
1.391515917E0,2.541684540E1,-2.866838379E0,2.982966888E1
1.411517917E0,-4.395010529E0,-1.024559418E1,1.780846710E0
1.431518917E0,-1.884625900E1,-8.731343079E-1,-3.632047119E0
1.466520917E0,-8.784033508E0,-1.847458191E0,6.591692505E0
1.486522917E0,-7.478149109E0,-9.358987885E0,8.138575745E0
1.506523917E0,-1.269150787E1,-8.002508698E0,4.825964355E0
1.526524917E0,-1.623239456E1,-4.748126221E0,1.177451477E0
1.546526917E0,-1.337423813E1,-1.963167572E0,4.025578766E0
1.566527917E0,-1.087204147E1,-3.656147003E0,8.393645325E0
1.586528917E0,-1.079510147E1,-4.273014221E0,8.691376190E0
1.606530917E0,-1.182421143E1,-1.237326965E0,6.717281342E0
1.626531917E0,-1.124371857E1,1.364562378E0,6.120472412E0
1.646533417E0,-9.116342468E0,7.679031372E-1,8.065976715E0
1.666535417E0,-8.713230743E0,2.601589966E-1,9.468410339E0
1.686536417E0,-8.333320770E0,6.351292419E-1,9.288334808E0
1.706537417E0,-7.746540985E0,9.952803040E-1,8.107141113E0
1.726539417E0,-6.555018768E0,1.248703308E0,7.532935181E0
1.746540417E0,-5.878575439E0,1.124162292E0,8.258326721E0
1.766541417E0,-5.631289673E0,1.541045380E0,9.025930481E0
1.786543417E0,-5.098248138E0,2.343526611E0,8.742569733E0
1.806544417E0,-4.661007385E0,2.949466553E0,8.471184082E0
1.826545417E0,-4.401297455E0,2.974015503E0,8.446335754E0
1.846547417E0,-4.102069702E0,2.389031982E0,9.066945190E0
1.866548417E0,-3.947590942E0,2.336790619E0,9.306447144E0
1.886550417E0,-3.920946350E0,2.562970276E0,9.331145782E0
1.906551417E0,-3.821103973E0,2.307451630E0,9.112600250E0
1.926552417E0,-3.580853577E0,2.012714539E0,9.234596558E0
1.946554417E0,-3.447480927E0,1.566342773E0,9.361233215E0
1.966555417E0,-3.378324738E0,1.346300354E0,9.295819244E0
1.986556417E0,-3.406765594E0,1.119372253E0,9.070986786E0
2.006558417E0,-3.346890106E0,1.047671356E0,8.914113007E0
2.026559417E0,-3.262016602E0,9.547146606E-1,8.959468689E0
2.046560417E0,-3.230132904E0,6.004014587E-1,8.972192230E0
2.066562417E0,-3.174897766E0,4.498146057E-1,8.921747131E0
2.086563417E0,-3.221900024E0,3.218307495E-1,9.012907562E0
2.106564417E0,-3.246898041E0,2.830613708E-1,9.046737213E0
2.126566417E0,-3.239413605E0,1.339714050E-1,9.084907837E0
2.146567417E0,-3.182382202E0,2.439926147E-2,9.199270020E0
2.166569417E0,-3.143463135E0,1.122665405E-2,9.230405273E0
2.186570417E0,-3.174299011E0,-1.898052979E-1,9.357041931E0
2.206571417E0,-3.149600372E0,-2.372566223E-1,9.324858856E0
2.226573417E0,-3.071163483E0,-2.424957275E-1,9.218579865E0
2.246574417E0,-3.078797607E0,-3.502716064E-1,9.200018463E0
2.266575417E0,-3.112028503E0,-5.342390442E-1,9.292226715E0
2.286577417E0,-3.164868622E0,-6.599775696E-1,9.259444885E0
2.306578417E0,-3.275787964E0,-5.689668274E-1,9.151219940E0
2.326579417E0,-3.350931702E0,-5.442681885E-1,9.130862274E0
2.346581417E0,-3.357967072E0,-6.879693604E-1,9.136999512E0
2.366582417E0,-3.386856995E0,-8.574169922E-1,9.150920563E0
2.386584417E0,-3.480711823E0,-1.015937347E0,9.096433868E0
