"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.392504165E-2,-3.621020168E-2,-1.292424798E-1,-1.116931289E-1
3.392604168E-2,7.829674520E-3,-8.933375031E-2,-9.768453985E-2
5.392804166E-2,3.541072458E-2,-2.366754785E-2,-8.066485077E-2
7.392904168E-2,5.342752486E-2,3.040839173E-2,-6.662643701E-2
9.393004165E-2,7.022778690E-2,3.582675755E-2,-6.226147711E-2
1.139320417E-1,8.964391798E-2,9.472169913E-4,-6.269597262E-2
1.339330417E-1,1.087400690E-1,-3.301015496E-2,-6.595615298E-2
1.539340417E-1,1.165567562E-1,-2.073251083E-2,-6.004293635E-2
1.739350417E-1,1.121797711E-1,2.452405915E-2,-4.740444198E-2
1.939370417E-1,1.131795049E-1,6.690845639E-2,-4.438672215E-2
2.139380417E-1,1.194856688E-1,7.677628845E-2,-4.719278961E-2
2.339390417E-1,1.179116964E-1,7.210890949E-2,-5.800643191E-2
2.539410417E-1,1.111310944E-1,4.978900403E-2,-7.531841844E-2
2.739420417E-1,9.659655392E-2,3.058943525E-2,-8.535043895E-2
2.939430417E-1,8.329751343E-2,2.976726554E-2,-8.630849421E-2
3.139450417E-1,7.165472955E-2,3.297432140E-2,-8.037532866E-2
3.339460417E-1,5.669789389E-2,4.838688672E-2,-7.340385765E-2
3.539470417E-1,3.507969156E-2,5.862652510E-2,-6.658232212E-2
3.739490417E-1,1.573500223E-2,5.467588827E-2,-7.061670721E-2
3.939500417E-1,3.463410307E-3,3.683372214E-2,-7.669548690E-2
4.139510417E-1,-1.582481712E-2,2.835893631E-2,-7.415926456E-2
4.339530417E-1,-3.634686396E-2,3.720491379E-2,-5.931048840E-2
4.539540417E-1,-6.281338632E-2,5.153072625E-2,-3.783478215E-2
4.739550417E-1,-9.817697108E-2,4.990755767E-2,-1.495151129E-2
4.939570417E-1,-1.382488161E-1,2.449618839E-2,-3.982589114E-3
5.139580417E-1,-1.692412794E-1,-8.114200085E-3,-6.029317738E-4
5.339590417E-1,-1.838955730E-1,-2.101181075E-2,1.444197167E-2
5.539610417E-1,-1.912334114E-1,-4.075301811E-3,4.356654361E-2
5.739620417E-1,-2.079641968E-1,2.321408316E-2,7.044337690E-2
5.939630417E-1,-2.302479148E-1,3.776380792E-2,1.081885323E-1
6.139650417E-1,-2.570904791E-1,2.124774270E-2,1.485876888E-1
6.339660417E-1,-2.815945446E-1,-2.294773422E-2,1.859711558E-1
6.539669167E-1,-3.103760779E-1,-9.809884429E-2,2.167964131E-1
6.739679167E-1,-3.491324782E-1,-1.772523224E-1,2.641108036E-1
6.939699167E-1,-3.956619501E-1,-2.643765211E-1,3.264815211E-1
7.139709167E-1,-4.603470862E-1,-3.564739823E-1,3.612897396E-1
7.339719167E-1,-5.317614079E-1,-4.288099110E-1,3.481734097E-1
7.539739167E-1,-6.220127940E-1,-4.685522318E-1,3.051043153E-1
7.739749167E-1,-7.171901464E-1,-4.320100248E-1,2.532406449E-1
7.939759167E-1,-7.934492230E-1,-3.118456900E-1,2.069226503E-1
8.139779167E-1,-8.393234611E-1,-1.258640289E-1,1.694819182E-1
8.339789167E-1,-8.529663682E-1,5.445743725E-2,1.027079895E-1
8.539799167E-1,-8.396774530E-1,1.865941435E-1,-2.771359403E-3
8.739819167E-1,-7.849604487E-1,2.456191182E-1,-1.006928682E-1
8.939829167E-1,-6.894397736E-1,2.684828341E-1,-1.599568427E-1
9.139839167E-1,-5.329231024E-1,2.206143737E-1,-1.877982765E-1
9.339859167E-1,-3.745939434E-1,6.610821187E-2,-2.400701940E-1
9.539869167E-1,-2.343942225E-1,-7.993096858E-2,-3.369191289E-1
9.739879167E-1,-1.304934025E-1,-2.136970684E-2,-4.117676318E-1
9.939899167E-1,-1.281179674E-2,2.236151546E-1,-4.649829566E-1
1.013990917E0,1.184812263E-1,4.688391685E-1,-5.662064552E-1
1.033991917E0,2.483766973E-1,6.313050985E-1,-7.433095574E-1
1.053993917E0,3.641307056E-1,9.415730834E-1,-9.093905091E-1
1.073994917E0,5.436062217E-1,1.505673289E0,-9.945629835E-1
1.093995917E0,9.054619074E-1,2.152806759E0,-1.089279294E0
1.113997917E0,1.489159703E0,2.856300116E0,-1.232321143E0
1.133998917E0,2.083124161E0,3.700586796E0,-1.187009692E0
1.153999917E0,2.666839123E0,4.547050476E0,-7.584212422E-1
1.174001917E0,3.372818232E0,4.862830639E0,-1.960507184E-1
1.194002917E0,4.129098892E0,4.411087036E0,2.806128860E-1
1.214003917E0,4.560968876E0,4.119120598E0,7.819522619E-1
1.234005917E0,4.370130062E0,4.354727745E0,1.543250799E0
1.254006917E0,3.830384493E0,4.323997498E0,2.163738966E0
1.274007917E0,3.053560972E0,3.841004610E0,2.108215570E0
1.294009917E0,1.748084426E0,3.177229881E0,1.421758533E0
1.314010917E0,8.171998709E-2,2.399517298E0,2.291572541E-1
1.334011917E0,-4.637787819E0,3.220301390E0,-2.032848075E-2
1.354013917E0,-6.806044579E0,9.736560583E-1,7.232936025E-1
1.374014917E0,2.163582087E0,-7.934963226E0,3.160949349E-1
1.394015917E0,6.050340652E0,-5.396876335E0,-2.539189577E0
1.414017917E0,2.608530283E0,-5.048847675E0,-2.081757545E0
1.434018917E0,-7.350648046E-1,1.448451877E0,-1.493444085E0
1.454019917E0,-1.418704867E0,2.764671564E0,-1.915508986E0
1.474021917E0,-6.369475722E-1,2.129806519E0,-4.693043530E-1
1.494022917E0,4.667115808E-1,-3.168132529E-2,-5.048739314E-1
1.514023917E0,-3.729452193E-2,-1.840886235E0,-1.104012966E0
1.534025917E0,-6.016943455E-1,-2.845295906E0,-1.185850382E0
1.554026917E0,-4.098912776E-1,-3.609282255E0,-6.237711906E-1
1.574027917E0,-1.280703098E-1,-3.893106937E0,6.947924197E-2
1.594029917E0,-1.685249954E-1,-4.167012215E0,2.680074871E-1
1.614030917E0,-3.309721947E-1,-3.911265850E0,3.152883649E-1
1.634031917E0,-4.756308496E-1,-3.399720430E0,6.637241244E-1
1.654034417E0,-4.463185966E-1,-2.818110704E0,8.499367833E-1
1.674035417E0,-4.877323210E-1,-2.471648693E0,7.498714328E-1
1.694036417E0,-6.233273745E-1,-2.126858234E0,6.458998919E-1
1.714038417E0,-8.394155502E-1,-1.782280564E0,7.870335579E-1
1.734039417E0,-9.207953811E-1,-1.646872878E0,1.034818769E0
1.754040417E0,-8.723719120E-1,-1.836016655E0,1.078577399E0
1.774042417E0,-7.723691463E-1,-2.174541473E0,9.841445088E-1
1.794043417E0,-7.129167318E-1,-2.475150585E0,8.709657788E-1
1.814044417E0,-6.528672576E-1,-2.605993986E0,8.767123222E-1
1.834046417E0,-5.632878542E-1,-2.488383532E0,9.900284410E-1
1.854047417E0,-4.124740064E-1,-2.248999834E0,1.086149454E0
1.874049417E0,-2.626408339E-1,-2.022575378E0,1.077285409E0
1.894050417E0,-1.550691873E-1,-1.754767537E0,9.820218086E-1
1.914051417E0,-9.871670604E-2,-1.364288449E0,8.850423098E-1
1.934053417E0,-4.424232617E-2,-8.672965169E-1,8.120980263E-1
1.954054417E0,-2.788834646E-2,-3.484638333E-1,7.779849768E-1
1.974055417E0,-4.706658050E-2,3.562304378E-2,7.655960917E-1
1.994057417E0,-7.361188531E-2,2.098463476E-1,7.277415991E-1
2.014058417E0,-9.842509031E-2,2.103057504E-1,6.620118618E-1
2.034059417E0,-1.285382807E-1,1.580088139E-1,5.865789652E-1
2.054061417E0,-1.536414921E-1,1.324201673E-1,5.399757624E-1
2.074062417E0,-1.759079546E-1,1.086541936E-1,5.408543944E-1
2.094063417E0,-2.029113322E-1,1.970810443E-2,5.175758004E-1
2.114065417E0,-2.125341743E-1,-1.384342760E-1,4.562404454E-1
2.134066417E0,-2.054400295E-1,-2.777375579E-1,3.763121068E-1
2.154068417E0,-1.990798265E-1,-3.364145458E-1,3.279244900E-1
2.174069417E0,-1.977035552E-1,-3.219206929E-1,2.943414152E-1
2.194070417E0,-1.830699742E-1,-2.682332993E-1,2.515808344E-1
2.214072417E0,-1.649983674E-1,-1.979464293E-1,2.013541907E-1
2.234073417E0,-1.514383405E-1,-1.112391502E-1,1.514389962E-1
2.254074417E0,-1.439482570E-1,2.113218419E-3,1.297793984E-1
2.274076417E0,-1.308257878E-1,1.358590573E-1,1.358828992E-1
2.294077417E0,-1.338508129E-1,2.412989289E-1,1.532536745E-1
2.314078417E0,-1.515526175E-1,2.626943588E-1,1.463946849E-1
2.334080417E0,-1.861672252E-1,2.171773016E-1,1.173374802E-1
2.354081417E0,-2.061519474E-1,1.618907303E-1,7.803121954E-2
2.374083417E0,-2.072946578E-1,1.878019273E-1,5.591285601E-2
2.394084417E0,-2.255672216E-1,2.675816417E-1,7.303388417E-2
2.414085417E0,-2.353691906E-1,2.851457000E-1,9.432818741E-2
2.434087417E0,-2.363111377E-1,2.178210467E-1,8.937808126E-2
