"Time (s)","Distance (cm)"
2.475499990E-3,5.000000000E0
1.596470835E-2,0.000000000E0
3.176912502E-2,5.000000000E0
1.491930042E0,0.000000000E0
1.511930042E0,0.000000000E0
1.531930042E0,0.000000000E0
1.551930042E0,0.000000000E0
1.571930042E0,0.000000000E0
1.591930042E0,0.000000000E0
1.611930042E0,0.000000000E0
1.631930042E0,0.000000000E0
1.651930042E0,0.000000000E0
1.671930042E0,0.000000000E0
1.691930042E0,0.000000000E0
1.711930042E0,0.000000000E0
1.731930042E0,0.000000000E0
1.751930042E0,0.000000000E0
1.771930042E0,0.000000000E0
1.791930042E0,0.000000000E0
1.811930042E0,0.000000000E0
1.831930042E0,0.000000000E0
1.851930042E0,0.000000000E0
1.871930042E0,0.000000000E0
1.891930042E0,0.000000000E0
1.911930042E0,0.000000000E0
1.931930042E0,0.000000000E0
1.951930042E0,0.000000000E0
1.971930042E0,0.000000000E0
1.991930042E0,0.000000000E0
2.011930042E0,0.000000000E0
2.031930042E0,0.000000000E0
2.051930042E0,0.000000000E0
2.071930042E0,0.000000000E0
2.091930042E0,0.000000000E0
2.111930042E0,0.000000000E0
2.131930042E0,0.000000000E0
2.151930042E0,0.000000000E0
2.171930042E0,0.000000000E0
2.191930042E0,0.000000000E0
2.211930042E0,0.000000000E0
2.231930042E0,0.000000000E0
2.251930042E0,0.000000000E0
2.271930042E0,0.000000000E0
2.291930042E0,0.000000000E0
2.311930042E0,0.000000000E0
2.331930042E0,0.000000000E0
2.351930042E0,0.000000000E0
2.371930042E0,0.000000000E0
2.391930042E0,0.000000000E0
2.411930042E0,0.000000000E0
2.431930042E0,0.000000000E0
2.451930042E0,0.000000000E0
2.471930042E0,0.000000000E0
2.491930042E0,0.000000000E0
2.511930042E0,0.000000000E0
2.531930042E0,0.000000000E0
2.551930042E0,0.000000000E0
2.571930042E0,0.000000000E0
2.591930042E0,0.000000000E0
2.611930042E0,0.000000000E0
2.631930042E0,0.000000000E0
2.651930042E0,0.000000000E0
2.671930042E0,0.000000000E0
2.691930042E0,0.000000000E0
2.711930042E0,0.000000000E0
2.731930042E0,0.000000000E0
2.751930042E0,0.000000000E0
2.771930042E0,0.000000000E0
2.791930042E0,0.000000000E0
2.811930042E0,0.000000000E0
2.831930042E0,0.000000000E0
2.851930042E0,0.000000000E0
2.871930042E0,0.000000000E0
2.891930042E0,0.000000000E0
2.911930042E0,0.000000000E0
2.931930042E0,0.000000000E0
2.951930042E0,0.000000000E0
2.971930042E0,0.000000000E0
2.991930042E0,0.000000000E0
3.011930042E0,0.000000000E0
3.031930042E0,0.000000000E0
3.051930042E0,0.000000000E0
3.071930042E0,0.000000000E0
3.091930042E0,0.000000000E0
3.111930042E0,0.000000000E0
3.131930042E0,0.000000000E0
3.151930042E0,0.000000000E0
3.171930042E0,0.000000000E0
3.191930042E0,0.000000000E0
3.211930042E0,0.000000000E0
3.231930042E0,0.000000000E0
3.251930042E0,0.000000000E0
3.271930042E0,0.000000000E0
3.291930042E0,0.000000000E0
3.311930042E0,0.000000000E0
3.331930042E0,0.000000000E0
3.351930042E0,0.000000000E0
3.371930042E0,0.000000000E0
3.391930042E0,0.000000000E0
3.411930042E0,0.000000000E0
3.431930042E0,0.000000000E0
3.451930042E0,0.000000000E0
3.471930042E0,0.000000000E0
3.491930042E0,0.000000000E0
3.511930042E0,0.000000000E0
3.531930042E0,0.000000000E0
3.551930042E0,0.000000000E0
3.571930042E0,5.000000000E0
3.591930042E0,5.000000000E0
3.611930042E0,5.000000000E0
3.631930042E0,5.000000000E0
3.651930042E0,5.000000000E0
3.671930042E0,5.000000000E0
3.691930042E0,5.000000000E0
3.711930042E0,5.000000000E0
3.731930042E0,5.000000000E0
3.751930042E0,0.000000000E0
3.771930042E0,0.000000000E0
3.791930042E0,0.000000000E0
3.811930042E0,0.000000000E0
3.831930042E0,0.000000000E0
3.851930042E0,0.000000000E0
3.871930042E0,0.000000000E0
3.891930042E0,0.000000000E0
3.911930042E0,0.000000000E0
3.931930042E0,0.000000000E0
3.951930042E0,0.000000000E0
