"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.682340400E-2,-1.772281379E-1,-3.943359554E-1,-2.155765295E-1
7.675845600E-2,-1.660431921E-1,-3.473991156E-1,-1.121823564E-1
9.660371600E-2,-1.495320797E-1,-2.595174015E-1,-3.914731368E-2
1.164947060E-1,-1.399449855E-1,-1.230344176E-1,6.724283565E-3
1.363892370E-1,-1.197055578E-1,4.327509087E-3,3.335510939E-2
1.562774660E-1,-9.786828607E-2,7.736254483E-2,4.454005510E-2
1.761778830E-1,-7.117088139E-2,1.130478531E-1,4.613790661E-2
1.960860600E-1,-3.868127242E-2,1.466692686E-1,4.720313847E-2
2.159573100E-1,-4.593817517E-3,2.117150575E-1,4.720313847E-2
2.358608520E-1,3.222329915E-2,3.023264408E-1,3.548557684E-2
2.557496020E-1,6.790860742E-2,3.800884485E-1,1.897446252E-2
2.756427270E-1,1.079214215E-1,4.414059222E-1,2.696371078E-2
2.955087160E-1,1.318891644E-1,5.384086967E-1,4.240959138E-2
3.154011120E-1,1.462698132E-1,6.716960073E-1,6.211639941E-2
3.353124140E-1,1.531938314E-1,7.900034189E-1,8.721595258E-2
3.552011640E-1,1.531938314E-1,8.720929623E-1,1.106510833E-1
3.751071020E-1,1.563895196E-1,9.136370420E-1,1.319557428E-1
3.950008520E-1,1.489328891E-1,9.253546000E-1,1.511299312E-1
4.148966850E-1,1.095192730E-1,9.163001180E-1,1.388797611E-1
4.347632990E-1,4.873441160E-2,8.699625134E-1,9.627043456E-2
4.546559560E-1,-1.205044892E-2,7.974600792E-1,8.508548886E-2
4.745484040E-1,-6.797518581E-2,7.724270821E-1,8.295502514E-2
4.944282990E-1,-1.074553803E-1,8.102428913E-1,6.637733430E-2
5.143482470E-1,-1.037270650E-1,8.593101501E-1,6.584471464E-2
5.342499140E-1,-5.359453708E-2,8.816800714E-1,7.756228000E-2
5.541504870E-1,2.210358530E-2,8.593101501E-1,7.543181628E-2
5.740207990E-1,1.308239251E-1,7.777532339E-1,9.627043456E-2
5.938750180E-1,2.688381970E-1,6.759569049E-1,1.511299312E-1
6.137900700E-1,4.255605936E-1,5.794867873E-1,2.135126442E-1
6.336799660E-1,5.854787230E-1,4.936689436E-1,2.753627300E-1
6.535700700E-1,7.277538776E-1,4.222317338E-1,3.190372884E-1
6.734667370E-1,8.605085611E-1,3.683708906E-1,3.595827222E-1
6.933310600E-1,9.543156624E-1,3.199027777E-1,3.942027986E-1
7.132383520E-1,9.969249368E-1,2.793573737E-1,3.973985016E-1
7.331189240E-1,9.697614908E-1,3.529250026E-1,3.814199865E-1
7.530265810E-1,8.429322243E-1,6.284874678E-1,3.174394369E-1
7.729062680E-1,6.360772848E-1,1.007976770E0,1.810230315E-1
7.928090810E-1,4.351477027E-1,1.267560720E0,4.826837033E-2
8.126986640E-1,2.816875577E-1,1.285669684E0,-2.263620123E-2
8.325941850E-1,1.452045739E-1,1.120957971E0,-7.962616533E-2
8.524612160E-1,3.701684624E-2,9.253546000E-1,-1.212368309E-1
8.723488200E-1,-2.430062927E-2,8.219604492E-1,-1.404110342E-1
8.922948620E-1,-5.679023638E-2,8.171668649E-1,-1.398784071E-1
9.121518410E-1,-5.039883777E-2,8.571797013E-1,-1.063235700E-1
9.320428310E-1,-1.471353136E-2,8.683646321E-1,-5.885412544E-2
9.519278310E-1,3.062544949E-2,8.102428913E-1,-6.058512721E-3
9.718073620E-1,8.868064731E-2,6.828809381E-1,5.306192115E-2
9.917278310E-1,1.654440016E-1,5.181692839E-1,1.143793985E-1
1.011616164E0,2.480661422E-1,3.390769958E-1,1.740990281E-1
1.031470174E0,3.290904164E-1,1.892785877E-1,2.310889959E-1
1.051368924E0,4.079842567E-1,8.854749799E-2,2.711018026E-1
1.071287727E0,4.751605093E-1,4.806863889E-2,2.950695455E-1
1.091147258E0,5.097805858E-1,1.050586104E-1,2.790910602E-1
1.111087987E0,5.071175098E-1,2.085193694E-1,2.161757201E-1
1.130941008E0,4.585828185E-1,2.596505582E-1,1.431406885E-1
1.150842414E0,3.818860352E-1,2.319544852E-1,6.637733430E-2
1.170740852E0,2.730991244E-1,1.109173894E-1,-1.890788600E-2
1.190616477E0,1.457371861E-1,-5.053199083E-2,-9.933298081E-2
1.210488560E0,2.476666868E-2,-1.235670298E-1,-1.478676647E-1
1.230399237E0,-6.477948278E-2,-5.426030606E-2,-1.665092409E-1
1.250289341E0,-1.394123733E-1,6.564498693E-2,-1.958031505E-1
1.270181529E0,-2.209692746E-1,1.152448952E-1,-2.219679356E-1
1.290124966E0,-2.619807422E-1,5.499265343E-2,-2.091851383E-1
1.310026164E0,-2.555893362E-1,-5.266245827E-2,-1.633135378E-1
1.329870070E0,-2.273606807E-1,-1.470021605E-1,-1.019960642E-1
1.349754185E0,-1.719019860E-1,-2.136458009E-1,-3.328853101E-2
1.369648039E0,-9.413997084E-2,-2.450701743E-1,3.868127242E-2
1.389517049E0,-4.593817517E-3,-2.733654380E-1,9.733566642E-2
1.409423404E0,5.938674137E-2,-3.388772607E-1,1.436733007E-1
1.429299185E0,9.294158220E-2,-4.007273614E-1,1.596518010E-1
1.449212727E0,9.673647583E-2,-4.140427709E-1,1.244991124E-1
1.469087310E0,6.045197323E-2,-3.714334369E-1,6.158378348E-2
1.488981008E0,1.837527007E-2,-2.904091477E-1,1.930734841E-3
1.508882831E0,6.657706574E-3,-2.152436525E-1,-3.808208182E-2
1.528779289E0,-3.328853054E-4,-1.827540398E-1,-7.696308941E-2
1.548642883E0,-3.122464381E-2,-1.790257245E-1,-1.270956099E-1
1.568548352E0,-7.649704814E-2,-1.694386303E-1,-1.862160414E-1
1.588459497E0,-1.213034093E-1,-1.549914032E-1,-2.406095117E-1
1.608326477E0,-1.644453406E-1,-1.406107545E-1,-2.725664973E-1
1.628264081E0,-1.842187345E-1,-1.182408631E-1,-2.773600519E-1
1.648165174E0,-1.772281379E-1,-9.267527610E-2,-2.480661422E-1
1.668029393E0,-1.537930220E-1,-9.533835202E-2,-1.899443567E-1
1.687904237E0,-1.127815470E-1,-1.320888996E-1,-1.095192730E-1
1.707775174E0,-5.093145370E-2,-1.891454458E-1,-1.358172111E-2
1.727675799E0,1.890788600E-2,-2.738980353E-1,8.774857223E-2
1.747548195E0,9.726908803E-2,-3.522592485E-1,1.708367467E-1
1.767444758E0,1.937392503E-1,-3.996621072E-1,2.428065538E-1
1.787334758E0,2.997965217E-1,-4.028578103E-1,2.838846147E-1
1.807232362E0,4.058537781E-1,-3.489969671E-1,2.913412452E-1
1.827136477E0,5.039218068E-1,-2.157762647E-1,2.561219633E-1
1.847058924E0,5.523899198E-1,-8.042509109E-2,1.751642525E-1
1.866927727E0,5.518572927E-1,-1.324883569E-2,5.785546824E-2
1.886819914E0,4.985956252E-1,9.653674439E-3,-1.047257185E-1
1.906681841E0,3.840165138E-1,5.073172227E-2,-2.635120153E-1
1.926593039E0,2.571206093E-1,1.317560077E-1,-3.882774413E-1
1.946482258E0,1.244325340E-1,2.175738513E-1,-4.906063974E-1
1.966373247E0,-1.897446252E-2,2.868140042E-1,-5.716306567E-1
1.986265070E0,-1.458037645E-1,3.220332563E-1,-6.227618456E-1
2.006167102E0,-2.465348691E-1,3.161744773E-1,-6.408708096E-1
2.026082674E0,-3.099828064E-1,3.033916950E-1,-6.222292185E-1
2.045918560E0,-3.312874734E-1,2.991307378E-1,-5.668371320E-1
2.065831893E0,-3.035914004E-1,3.028590679E-1,-4.842149913E-1
2.085707362E0,-2.316216081E-1,2.873466015E-1,-3.663735688E-1
2.105585747E0,-1.255643368E-1,2.511286736E-1,-2.246310115E-1
2.125475174E0,-2.463351469E-3,2.036592364E-1,-9.720251709E-2
2.145368768E0,9.939955920E-2,1.754305661E-1,-5.525896326E-3
2.165261893E0,1.819551140E-1,1.834198087E-1,4.081173986E-2
2.185146424E0,2.629793882E-1,1.839524209E-1,4.347482324E-2
2.205121268E0,3.535907865E-1,9.493889660E-2,6.371425092E-2
2.224963247E0,4.505935609E-1,-7.023879886E-2,1.719019860E-1
2.244820070E0,5.156393647E-1,-1.715690941E-1,2.326868325E-1
2.264705174E0,4.644415975E-1,-1.806235760E-1,2.012624592E-1
2.284611424E0,3.088510036E-1,-1.528609395E-1,1.537930220E-1
2.304489445E0,1.238999143E-1,-1.310236603E-1,7.489919662E-2
2.324390904E0,-5.785546824E-2,-1.246322617E-1,2.376801148E-2
2.344300018E0,-2.268280536E-1,-8.415340632E-2,-4.993279930E-3
2.364212362E0,-3.584509194E-1,2.623136342E-2,-3.222329915E-2
2.384130747E0,-4.495949149E-1,1.445388049E-1,-6.311506033E-2
2.404061633E0,-5.077167153E-1,2.111824453E-1,-8.708280325E-2
2.423881893E0,-5.322170258E-1,2.410089672E-1,-1.095192730E-1
2.443744133E0,-5.220973492E-1,2.330197245E-1,-1.382805556E-1
2.463627310E0,-5.002600551E-1,1.850176603E-1,-1.590526104E-1
2.483520695E0,-4.501275420E-1,9.813459218E-2,-1.499981284E-1
2.503423977E0,-3.744959831E-1,-7.922670804E-3,-1.100518852E-1
2.523326581E0,-2.870802879E-1,-9.427312016E-2,-4.181039706E-2
2.543201633E0,-1.756303012E-1,-1.470021605E-1,3.228987753E-2
2.563096685E0,-4.826837033E-2,-1.918085217E-1,1.133141592E-1
2.583004393E0,8.335448056E-2,-2.680392563E-1,2.001972347E-1
2.602875070E0,2.118482143E-1,-3.367467821E-1,2.817541361E-1
2.622774341E0,3.285578191E-1,-3.549223244E-1,3.323526978E-1
2.642683143E0,4.143756330E-1,-3.484643400E-1,3.339505494E-1
2.662570018E0,4.426043332E-1,-3.452686667E-1,2.902759910E-1
2.682440695E0,3.946688473E-1,-3.527918756E-1,2.135126442E-1
2.702348872E0,3.035248220E-1,-3.948685527E-1,1.452711523E-1
2.722239602E0,1.792920381E-1,-4.545882046E-1,1.106510833E-1
2.742146060E0,4.394086078E-2,-3.969990313E-1,1.127815470E-1
2.762021633E0,-6.105116755E-2,-1.944715977E-1,1.367492825E-1
2.781882987E0,-1.213034093E-1,1.924077235E-2,1.826208830E-1
2.801780799E0,-1.548582464E-1,1.541258991E-1,2.305563688E-1
2.821695331E0,-1.516625583E-1,2.229000032E-1,2.561219633E-1
2.841579289E0,-1.149120107E-1,2.745638192E-1,2.454696298E-1
2.861454966E0,-6.424686313E-2,3.257615864E-1,1.991319954E-1
2.881361164E0,2.929390874E-3,3.651751876E-1,1.458037645E-1
2.901269497E0,8.175663650E-2,3.864798546E-1,9.520520270E-2
2.921159497E0,1.505307406E-1,3.784905970E-1,4.826837033E-2
2.941052831E0,2.123808414E-1,3.726318181E-1,7.256899960E-3
2.960934393E0,2.886115611E-1,3.913399875E-1,-1.837527007E-2
2.980825070E0,3.722323775E-1,3.945356905E-1,-1.198387146E-2
3.000720122E0,4.282236695E-1,3.614468873E-1,-4.460663069E-3
3.020595695E0,4.537892640E-1,3.001959920E-1,-1.031944528E-2
3.040482779E0,4.783562124E-1,2.330197245E-1,2.995967865E-3
3.060390227E0,5.012587309E-1,1.988656968E-1,3.495295718E-2
3.080277258E0,5.145741105E-1,1.828871965E-1,5.838808417E-2
3.100180018E0,5.257591009E-1,1.498649716E-1,9.041165560E-2
3.120073404E0,4.964651763E-1,1.130478531E-1,1.159772426E-1
3.139936008E0,3.936035931E-1,1.077216864E-1,1.037270650E-1
3.159814549E0,2.352833450E-1,1.440061927E-1,4.773575440E-2
3.179718091E0,4.181039706E-2,1.967352182E-1,-2.157096937E-2
3.199624810E0,-1.617822647E-1,2.628462613E-1,-9.187635034E-2
3.219500070E0,-3.456681073E-1,3.598490357E-1,-1.686397046E-1
3.239391372E0,-5.061188340E-1,4.275579154E-1,-2.427399755E-1
3.259302154E0,-6.313502789E-1,4.115794003E-1,-2.896768153E-1
3.279169706E0,-7.006570101E-1,3.555881083E-1,-3.269599676E-1
3.299089497E0,-7.224943042E-1,3.092504740E-1,-3.567864895E-1
3.318947154E0,-7.129071951E-1,2.719007432E-1,-3.589169383E-1
3.338859185E0,-6.750914454E-1,2.287587970E-1,-3.381448984E-1
3.358735956E0,-6.079151630E-1,1.424083412E-1,-2.950029671E-1
3.378649497E0,-5.173037648E-1,1.338198967E-2,-2.326202542E-1
3.398541164E0,-4.085834324E-1,-1.166430190E-1,-1.654440016E-1
3.418397206E0,-2.876129150E-1,-2.477332503E-1,-8.175663650E-2
3.438314081E0,-1.447385401E-1,-3.565201759E-1,1.258306485E-2
3.458210852E0,3.462007269E-3,-4.071187377E-1,9.893351793E-2
3.478129549E0,1.515959799E-1,-4.225646257E-1,1.810230315E-1
3.497970695E0,2.730991244E-1,-4.071187377E-1,2.209692746E-1
3.517879706E0,3.168402612E-1,-3.714334369E-1,1.815556586E-1
3.537797518E0,2.773600519E-1,-3.005288541E-1,9.200949967E-2
3.557659133E0,1.766289473E-1,-2.115153372E-1,-1.304910425E-2
3.577548560E0,4.820179567E-2,-1.475347728E-1,-1.047257185E-1
3.597424602E0,-8.395367861E-2,-9.693620354E-2,-1.670418531E-1
3.617323664E0,-1.964689195E-1,-3.881442919E-2,-1.840855777E-1
3.637204654E0,-2.678395212E-1,2.030600421E-2,-1.505307406E-1
