"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.682340400E-2,-2.893886566E-1,1.347036362E-1,-5.470335484E-1
7.675845600E-2,-5.771160126E-3,1.388587952E-1,-5.254774690E-1
9.660371600E-2,2.778148651E-1,1.181154251E-1,-4.250685573E-1
1.164947060E-1,4.303002357E-1,-4.412937164E-2,-4.467504919E-1
1.363892370E-1,4.294905663E-1,-1.501560211E-2,-3.751544654E-1
1.562774660E-1,3.528389931E-1,1.269588470E-1,-3.585557938E-1
1.761778830E-1,2.548789978E-1,1.706762314E-1,-3.284576237E-1
1.960860600E-1,2.573928833E-1,7.603645325E-2,-2.980409265E-1
2.159573100E-1,2.481083870E-1,-4.436683655E-2,-3.292044103E-1
2.358608520E-1,1.505184174E-1,1.113100052E-1,-4.400779009E-1
2.557496020E-1,1.065807343E-1,3.529558182E-1,-5.792900920E-1
2.756427270E-1,1.284542084E-1,3.722915649E-1,-6.063551903E-1
2.955087160E-1,1.502943039E-1,2.139673233E-1,-6.372342706E-1
3.154011120E-1,1.596736908E-1,3.344841003E-1,-6.862637401E-1
3.353124140E-1,2.488980293E-1,6.113319397E-1,-6.343292594E-1
3.552011640E-1,3.012332916E-1,7.218208313E-1,-5.683196187E-1
3.751071020E-1,3.529968262E-1,6.141681671E-1,-6.275390387E-1
3.950008520E-1,4.545946121E-1,6.325712204E-1,-5.818722248E-1
4.148966850E-1,2.607960701E-1,7.739725113E-1,-4.690312445E-1
4.347632990E-1,3.918218613E-2,5.358018875E-1,-2.859823704E-1
4.546559560E-1,-1.080389023E-1,1.453895569E-1,-1.134415567E-1
4.745484040E-1,-2.098011971E-1,-1.111612320E-1,-9.990522265E-2
4.944282990E-1,-2.620410919E-1,-3.298625946E-1,-1.937453449E-1
5.143482470E-1,-2.224445343E-1,-6.384592056E-1,-4.291688502E-1
5.342499140E-1,-2.995729446E-1,-9.328885078E-1,-5.116868019E-1
5.541504870E-1,-4.751064777E-1,-1.174812317E0,-5.406745672E-1
5.740207990E-1,-5.871181488E-1,-1.370479107E0,-5.652339458E-1
5.938750180E-1,-6.927447319E-1,-1.489224911E0,-5.669808388E-1
6.137900700E-1,-6.078033447E-1,-1.530912876E0,-5.625501871E-1
6.336799660E-1,-5.404906273E-1,-1.450216770E0,-4.930002987E-1
6.535700700E-1,-2.586679459E-1,-1.646193504E0,-4.440688789E-1
6.734667370E-1,3.863334656E-3,-1.103552341E0,-2.139601707E-1
6.933310600E-1,1.603169441E-1,5.822753906E-2,7.112622261E-4
7.132383520E-1,8.386425972E-1,8.859767914E-1,1.578297913E-1
7.331189240E-1,2.033423901E0,1.289609909E0,5.901885033E-1
7.530265810E-1,2.921149254E0,1.786081314E0,1.282487273E0
7.729062680E-1,2.962911606E0,2.178313255E0,1.306406975E0
7.928090810E-1,2.451365948E0,2.103666306E0,1.004347920E0
8.126986640E-1,1.774920940E0,1.743968964E0,1.009963036E0
8.325941850E-1,1.307939053E0,1.192799568E0,8.798123598E-1
8.524612160E-1,1.138944626E0,5.601234436E-1,4.842423797E-1
