"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.719208355E-3,-3.932175636E-1,1.944596618E-1,-2.972291410E-1
2.357120835E-2,-2.684446871E-1,3.970583901E-2,-7.636734247E-1
4.342420836E-2,-2.240785770E-2,-3.059918284E-1,-9.655569196E-1
6.327620836E-2,5.262422562E-1,-9.261141419E-1,-5.481242537E-1
8.312820835E-2,1.101415873E0,-1.516802430E0,-4.872199148E-2
1.029802084E-1,1.523758769E0,-1.800690055E0,2.004577816E-1
1.228322083E-1,1.766737700E0,-1.655013204E0,2.274962664E-1
1.426842083E-1,1.911643863E0,-1.264470339E0,-1.710325778E-1
1.625372084E-1,1.941229701E0,-7.855136395E-1,-5.350804329E-1
1.823892083E-1,1.883958578E0,-2.778025568E-1,-7.087764144E-1
2.022412083E-1,1.682240367E0,3.063886240E-2,-7.357602715E-1
2.220932083E-1,1.330924988E0,1.872404218E-1,-6.986842155E-1
2.419452083E-1,9.488278627E-1,4.261254072E-1,-5.586144328E-1
2.617972083E-1,6.302217841E-1,8.126792908E-1,-5.015312433E-1
2.816502083E-1,3.838337362E-1,1.183097601E0,-7.169014812E-1
3.015016250E-1,3.365884125E-1,1.392791033E0,-1.066308141E0
3.213536250E-1,4.447436333E-1,1.346690059E0,-1.490368724E0
3.412056250E-1,6.279615164E-1,1.039356947E0,-1.898352981E0
3.610576250E-1,8.059668541E-1,6.298638582E-1,-2.257814646E0
3.809096250E-1,9.155455828E-1,4.399521947E-1,-2.508246183E0
4.007626250E-1,9.495934844E-1,5.240278244E-1,-2.587196350E0
4.206146250E-1,9.125797749E-1,7.585405707E-1,-2.503269672E0
4.404666250E-1,8.312214613E-1,1.064047098E0,-2.273981810E0
4.603186250E-1,6.598680615E-1,1.379162908E0,-1.990995407E0
4.801706250E-1,5.162222981E-1,1.647128344E0,-1.552454472E0
5.000226250E-1,3.521504998E-1,2.002395153E0,-1.075618267E0
5.198746250E-1,1.620094627E-1,2.256380081E0,-6.072093248E-1
5.397276250E-1,-3.171255067E-2,2.138079405E0,-2.743287683E-1
5.595796250E-1,-2.216891348E-1,1.768037200E0,-1.364975125E-1
5.794316250E-1,-3.928430080E-1,1.275629401E0,-6.537140161E-2
5.992836250E-1,-5.203186274E-1,7.318246365E-1,9.961050749E-2
6.191356250E-1,-4.972843826E-1,2.342318892E-1,2.902979851E-1
6.389876250E-1,-4.014599919E-1,-1.191556156E-1,4.639230371E-1
6.588406250E-1,-1.968505234E-1,-4.470471442E-1,6.808558106E-1
6.786926250E-1,-1.380550675E-2,-8.133139610E-1,9.140906930E-1
