"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.135666653E-3,-7.442523193E0,4.019890594E0,4.900659027E0
2.913666662E-2,-7.409142609E0,4.032165070E0,4.896767120E0
4.913866665E-2,-7.428901520E0,4.089495850E0,4.918771362E0
6.913966662E-2,-7.485184479E0,4.053121490E0,4.934189301E0
8.914166666E-2,-7.500602417E0,4.006119232E0,4.932692413E0
1.091436666E-1,-7.539072418E0,3.996090088E0,4.979245605E0
1.291446667E-1,-7.553741913E0,3.970493317E0,4.940925293E0
1.491476250E-1,-7.583979034E0,3.988905029E0,4.925956421E0
1.691486250E-1,-7.607779541E0,3.983516235E0,4.895868988E0
1.891506250E-1,-7.572003937E0,3.972588959E0,4.821174316E0
2.091516250E-1,-7.554640045E0,3.938609619E0,4.850213928E0
2.291536250E-1,-7.494764557E0,3.870650940E0,4.794080658E0
2.491556250E-1,-7.448510742E0,3.914360046E0,4.703668671E0
2.691566250E-1,-7.458240509E0,3.952530670E0,4.746180267E0
2.891586250E-1,-7.501799927E0,3.957171021E0,4.779411163E0
3.091596250E-1,-7.559579773E0,3.922592926E0,4.737348633E0
3.291616250E-1,-7.585924988E0,3.904630280E0,4.781357117E0
3.491626250E-1,-7.571105804E0,3.855233002E0,4.842579803E0
3.691646250E-1,-7.595056000E0,3.871998138E0,4.787644043E0
3.891656250E-1,-7.612569580E0,3.913611603E0,4.758604431E0
4.091676250E-1,-7.610923004E0,3.911665649E0,4.791685638E0
4.291696250E-1,-7.604785767E0,3.885619812E0,4.793481903E0
4.491706250E-1,-7.629933472E0,3.841461639E0,4.736001434E0
4.691726250E-1,-7.661517792E0,3.711232452E0,4.748425598E0
4.891736250E-1,-7.740104370E0,3.650309143E0,4.740492096E0
5.091756250E-1,-7.746540985E0,3.555705872E0,4.680466919E0
5.291766250E-1,-7.726632385E0,3.427871704E0,4.611310730E0
5.491786250E-1,-7.769742737E0,3.306174774E0,4.590503998E0
5.691806250E-1,-7.889493713E0,3.175646210E0,4.543801117E0
5.891816250E-1,-8.053552551E0,3.000660095E0,4.411476288E0
6.091836250E-1,-8.201894073E0,2.862048340E0,4.405039673E0
6.291846250E-1,-8.378227386E0,2.752476196E0,4.398153992E0
6.491866250E-1,-8.548423462E0,2.551743622E0,4.446204071E0
6.691876250E-1,-8.643475800E0,2.287692719E0,4.412524109E0
6.891896250E-1,-8.691226501E0,2.056872711E0,4.358187103E0
7.091916250E-1,-8.641080780E0,1.894909515E0,4.254303131E0
7.291926250E-1,-8.468938751E0,1.801803131E0,4.272714844E0
7.491946250E-1,-8.416098633E0,1.715732117E0,4.408183136E0
7.691956250E-1,-8.446934509E0,1.591191101E0,4.382137299E0
7.891976250E-1,-8.455317078E0,1.520687714E0,4.379293213E0
8.091986250E-1,-8.472980347E0,1.531165924E0,4.427343292E0
8.292006250E-1,-8.467741241E0,1.526076508E0,4.594844971E0
8.492026250E-1,-8.421637115E0,1.630559235E0,4.817432098E0
8.692036250E-1,-8.451125793E0,1.963317261E0,5.153483276E0
8.892056250E-1,-8.456963654E0,2.176773376E0,5.236410828E0
9.092066250E-1,-8.228688354E0,2.336790619E0,5.222489777E0
9.292086250E-1,-8.072563019E0,2.706970825E0,5.275180206E0
9.492096250E-1,-7.990832977E0,3.379372559E0,5.646857300E0
9.692116250E-1,-7.878416748E0,3.929328918E0,5.765859833E0
9.892136250E-1,-8.009693756E0,4.107907562E0,5.796246643E0
1.009214625E0,-8.060887299E0,4.036356354E0,5.743107147E0
1.029216625E0,-7.769293671E0,4.112248535E0,5.529351654E0
1.049217625E0,-7.332651672E0,4.420756989E0,5.493725739E0
1.069219625E0,-6.746470642E0,4.679718475E0,5.436394958E0
1.089220625E0,-6.453080750E0,4.793781281E0,5.443430328E0
1.109222625E0,-6.366560669E0,4.670437775E0,5.386249237E0
1.129224625E0,-6.417604523E0,4.447850647E0,5.091362457E0
1.149225750E0,-6.521488495E0,4.307292938E0,4.923112335E0
1.169227750E0,-6.501280518E0,4.184548187E0,4.954097900E0
