"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.634666643E-3,7.364918947E-2,2.682380944E-2,5.032084554E-2
2.663666662E-2,1.272178710E-1,3.852730393E-2,5.106841207E-2
4.663866665E-2,1.296900737E-1,1.093505341E-1,9.484417677E-2
6.663966662E-2,8.294684708E-2,1.003969851E-1,1.052925664E-1
8.664166665E-2,6.870595336E-2,2.564881146E-2,8.686243504E-2
1.066426666E-1,2.613939285E-2,2.566021353E-2,1.581391168E-1
1.266446667E-1,2.368648589E-2,-9.930326343E-3,1.252608079E-1
1.466466250E-1,-2.600666106E-2,2.460800707E-3,1.266904521E-1
1.666486250E-1,-5.435571671E-2,-5.784942806E-3,9.361684620E-2
1.866496250E-1,-1.882101774E-2,-3.271751046E-2,2.875602186E-2
2.066516250E-1,1.749486923E-3,-4.765656173E-2,4.566909313E-2
2.266536250E-1,6.154662251E-2,-1.348037562E-1,9.511665702E-3
2.466546250E-1,1.012147182E-1,-1.242232195E-1,-9.389283478E-2
2.666566250E-1,1.095855922E-1,-6.619545132E-2,-4.419910312E-2
2.866576250E-1,8.365962267E-2,-5.556053549E-2,-2.500269413E-3
3.066596250E-1,2.063365459E-2,-8.510651618E-2,-2.468226671E-2
3.266606250E-1,-4.251510501E-3,-1.036483294E-1,-6.516721845E-3
3.466626250E-1,-3.101363182E-3,-1.677303046E-1,7.974140346E-2
3.666646250E-1,-1.539221048E-2,-1.533943936E-1,5.322194159E-2
3.866656250E-1,-2.375080526E-2,-1.310179764E-1,1.257443726E-2
4.066676250E-1,-1.798135757E-2,-1.126407623E-1,6.177349448E-2
4.266686250E-1,-6.821946502E-3,-1.329051653E-1,7.382314414E-2
4.466706250E-1,-2.254744828E-2,-1.636767223E-1,3.875943840E-2
4.666716250E-1,-4.217830539E-2,-2.841907606E-1,3.408955961E-2
4.866736250E-1,-1.130436355E-1,-3.548490992E-1,5.253372431E-2
5.066756250E-1,-1.148013085E-1,-4.485106766E-1,4.347697198E-3
5.266766250E-1,-1.110111433E-1,-5.736755902E-1,-6.260438383E-2
5.466786250E-1,-1.143890798E-1,-6.955523220E-1,-7.351850420E-2
5.666796250E-1,-2.255148286E-1,-8.123256040E-1,-9.131216615E-2
5.866816250E-1,-3.646920097E-1,-9.778801596E-1,-2.046312055E-1
6.066826250E-1,-5.064834809E-1,-1.128038119E0,-2.296371156E-1
6.266846250E-1,-6.673088086E-1,-1.227354247E0,-2.216954273E-1
6.466856250E-1,-8.361465758E-1,-1.393132751E0,-1.567237982E-1
6.666876250E-1,-9.541463113E-1,-1.650558174E0,-1.533625263E-1
6.866896250E-1,-9.747776270E-1,-1.890973755E0,-2.205569744E-1
7.066906250E-1,-9.668189818E-1,-2.077848428E0,-2.869369054E-1
7.266926250E-1,-7.664524430E-1,-2.195545278E0,-3.160963851E-1
7.466936250E-1,-7.096695471E-1,-2.275166228E0,-1.572038546E-1
7.666956250E-1,-7.217498946E-1,-2.383841701E0,-1.209660280E-1
7.866966250E-1,-7.106670821E-1,-2.462935818E0,-1.446928596E-1
8.066986250E-1,-6.953637493E-1,-2.410793273E0,-1.029416934E-1
8.267006250E-1,-6.750370735E-1,-2.378800524E0,8.569357663E-2
8.467016250E-1,-5.839193273E-1,-2.235986668E0,3.196327811E-1
8.667036250E-1,-5.101169407E-1,-1.854152376E0,6.730124751E-1
8.867046250E-1,-5.023951077E-1,-1.498711246E0,8.298657891E-1
9.067066250E-1,-2.522430360E-1,-1.234371198E0,8.292410141E-1
9.267076250E-1,-1.335854888E-2,-7.969959587E-1,8.022833034E-1
9.467096250E-1,1.290229064E-1,-4.904966086E-2,1.207676319E0
9.667116250E-1,3.142141664E-1,6.782673678E-1,1.415388131E0
9.867126250E-1,2.845804775E-1,1.044287280E0,1.431473821E0
1.006714625E0,2.169954354E-1,1.095996255E0,1.470568889E0
1.026715625E0,4.851662868E-1,1.215129473E0,1.208394942E0
1.046717625E0,8.998853195E-1,1.590703736E0,1.128256805E0
1.066719625E0,1.488467216E0,1.927986045E0,1.044245473E0
1.086720625E0,1.852279220E0,2.140405449E0,1.022271344E0
1.106722625E0,1.993891182E0,2.109131616E0,1.011814476E0
1.126723625E0,2.008037935E0,1.918565596E0,7.785324982E-1
1.146725750E0,1.925732528E0,1.809351009E0,6.209246010E-1
1.166726750E0,1.953277591E0,1.753640493E0,6.760100502E-1
1.186728750E0,1.958208548E0,1.669340454E0,6.115751955E-1
1.206730750E0,2.003368934E0,1.592433781E0,4.186752588E-1
1.226731750E0,1.929430892E0,1.495222212E0,2.953095335E-1
1.246733750E0,1.814549477E0,1.391625485E0,4.690712410E-1
1.266734750E0,1.599339781E0,1.638345241E0,6.842633951E-1
1.286736750E0,1.263654639E0,2.000709912E0,6.911806512E-1
1.306737750E0,9.689228100E-1,2.148357955E0,8.205356795E-1
1.326739750E0,6.061375773E-1,2.386367991E0,7.937396443E-1
1.346741750E0,4.053512084E-1,2.987412351E0,7.546270341E-1
1.366742750E0,1.020976478E-1,3.843797894E0,1.514313664E0
1.386744750E0,-9.202517563E-1,3.982843806E0,2.633446181E0
1.406745750E0,-1.887682942E0,2.933466232E0,2.725582805E0
1.426747750E0,-1.963147691E0,2.018944308E0,2.199155641E0
1.446749750E0,-1.195122347E0,1.917656792E0,1.809544552E0
1.466750750E0,-1.438561231E-1,1.834543884E0,2.091859526E0
1.486752750E0,7.073856246E-1,1.666361005E0,2.014369593E0
1.506753750E0,1.125456866E0,1.459691460E0,1.802287865E0
1.526755750E0,1.120142916E0,8.547717118E-1,1.684019450E0
1.546756750E0,1.006722720E0,9.149956942E-2,1.464856744E0
1.566758750E0,1.125558608E0,-4.800390096E-1,1.193013257E0
1.586760750E0,1.409702298E0,-8.045568471E-1,1.067739585E0
1.606761750E0,1.759509051E0,-9.887932567E-1,1.113157248E0
1.626763750E0,2.044695885E0,-1.186175084E0,1.222378266E0
1.646764750E0,1.996920624E0,-1.559623007E0,1.306785455E0
1.666766750E0,1.757858382E0,-2.074663888E0,1.297670231E0
1.686768750E0,1.350322654E0,-2.498319367E0,1.589813497E0
1.706769750E0,7.165563977E-1,-2.731456625E0,1.947939084E0
1.726771750E0,-4.621054530E-2,-3.157816295E0,2.366156213E0
1.746772750E0,-7.018126434E-1,-3.692478093E0,2.535771952E0
1.766774750E0,-1.146136129E0,-3.783601686E0,2.536318667E0
1.786776750E0,-1.183326175E0,-3.589460970E0,2.368757347E0
1.806777750E0,-8.340719837E-1,-3.440920351E0,1.833167011E0
1.826779750E0,-4.286605489E-1,-3.219462905E0,1.348880146E0
1.846780750E0,1.036161697E-1,-2.932460803E0,7.663372529E-1
1.866782750E0,6.511558753E-1,-2.549275512E0,3.583892959E-1
1.886784750E0,1.138858100E0,-2.187553157E0,1.557815194E-1
1.906785750E0,1.369288682E0,-1.962278649E0,1.796212023E-1
1.926787750E0,1.248724943E0,-2.003253744E0,2.164823422E-1
1.946788750E0,8.886656821E-1,-1.971335694E0,4.840173090E-1
1.966790750E0,4.370273298E-1,-1.554321629E0,9.692812443E-1
1.986791750E0,2.241506732E-1,-1.263755649E0,1.143365426E0
2.006793750E0,2.868246388E-1,-9.335315140E-1,1.204825217E0
2.026795750E0,2.228099066E-1,-6.048608378E-1,1.286187469E0
2.046796750E0,2.480973601E-2,-2.853990877E-1,1.676044433E0
2.066798750E0,-4.042226958E-1,-7.388059303E-2,1.821790084E0
2.086800750E0,-8.648505574E-1,2.427598755E-1,1.306109810E0
2.106801750E0,-6.832120657E-1,7.261013925E-1,7.758363470E-1
2.126803750E0,-1.990362972E-1,1.095157472E0,7.060995296E-1
2.146807667E0,1.651779950E-1,1.093535015E0,4.149014658E-1
2.166809667E0,4.458133560E-1,9.548723893E-1,-1.232943892E-1
2.186811667E0,5.828492868E-1,9.680178072E-1,-5.709107342E-1
2.206812667E0,5.520297825E-1,9.001984379E-1,-6.812959331E-1
2.226814667E0,4.930682141E-1,6.215891370E-1,-8.050686246E-1
2.246815667E0,3.774243218E-1,1.845433885E-1,-1.025170101E0
2.266817667E0,2.094215369E-1,-5.489059076E-2,-1.221486858E0
2.286819667E0,-5.582979977E-2,-1.613062611E-1,-1.019402115E0
2.306820667E0,-4.409876490E-1,-3.432005686E-1,-7.892086369E-1
2.326822667E0,-8.591711569E-1,-5.253106382E-1,-5.085101259E-1
2.346823667E0,-1.544159022E0,-8.661980483E-1,-1.176304838E-1
2.366825667E0,-2.145830496E0,-1.211681955E0,-2.783871067E-1
2.386827667E0,-2.124387002E0,-1.101691150E0,-6.490546784E-1
2.406828667E0,-1.655218697E0,-7.600047183E-1,-8.212569335E-1
2.426830667E0,-1.018028896E0,-4.994738388E-1,-1.059680075E0
2.446831667E0,-5.382911646E-1,-2.417244798E-1,-1.411465234E0
2.466833667E0,-3.031103039E-1,-3.828464448E-3,-1.673345066E0
2.486835667E0,-2.173357433E-1,1.019918132E-1,-1.810998462E0
2.506836667E0,-1.768151236E-1,1.786447173E-1,-1.870275196E0
2.526838667E0,-1.397841221E-1,2.492594942E-1,-1.858596552E0
2.546840667E0,-2.171872240E-1,2.703432383E-1,-1.746698971E0
2.566841667E0,-3.501119775E-1,2.276224574E-1,-1.694957544E0
2.586843667E0,-4.885775524E-1,1.437923884E-1,-1.781187018E0
2.606844667E0,-4.214474237E-1,1.446783878E-1,-1.840870718E0
2.626846667E0,-2.150985986E-1,2.656258509E-1,-1.689193359E0
2.646848667E0,-1.731541818E-1,4.237067878E-1,-1.599635650E0
2.666849667E0,-2.226093471E-1,5.092579848E-1,-1.467085118E0
2.686851667E0,-4.100704962E-1,4.424284029E-1,-1.242866617E0
2.706852667E0,-7.048298067E-1,3.581201778E-1,-1.101452876E0
2.726854667E0,-9.406339806E-1,2.484506781E-1,-1.076951289E0
2.746856667E0,-9.655852193E-1,1.127936670E-1,-1.014481975E0
2.766857667E0,-8.171378624E-1,7.784500524E-2,-1.049028787E0
2.786859667E0,-4.684122598E-1,1.301730537E-1,-1.283277310E0
2.806861667E0,-1.276879871E-1,1.394040531E-1,-1.407079529E0
2.826862667E0,9.126100302E-2,2.083895034E-1,-1.506932139E0
2.846864667E0,1.267840075E-1,2.030653211E-1,-1.361341439E0
2.866865667E0,-4.682450294E-2,-6.744295478E-2,-9.079424903E-1
2.886867667E0,-5.726991051E-1,-1.868723345E-1,-5.479095420E-1
2.906869667E0,-9.783362424E-1,-5.479990044E-1,-3.203902879E-1
2.926870667E0,-1.147442982E0,-1.144734844E0,-2.730383661E-1
2.946872667E0,-8.355489904E-1,-1.478090455E0,-6.347643757E-1
2.966874667E0,9.558092594E-2,-1.356434163E0,-1.055234437E0
2.986875667E0,8.843948758E-1,-1.318927199E0,-8.790417498E-1
3.006877667E0,1.318127884E0,-1.277716023E0,-6.133436859E-1
3.026878667E0,1.079595984E0,-1.133519007E0,-1.159727982E-1
3.046880667E0,-1.489753604E-2,-1.235124904E0,4.423944890E-1
3.066882667E0,-7.862312347E-1,-1.572567134E0,8.200524071E-1
3.086883667E0,-1.175013773E0,-2.098758656E0,7.646462381E-1
3.106885667E0,-9.642748582E-1,-1.821252432E0,9.036307535E-1
3.126887667E0,-5.458083451E-1,-1.101541754E0,1.444761911E0
3.146885250E0,-2.930729735E-1,-7.802764302E-1,1.623187942E0
3.166887250E0,-2.596754318E-1,-5.556804916E-1,1.847231904E0
3.186889250E0,-5.590973121E-1,-6.456615391E-1,1.867063028E0
3.206890250E0,-7.115201908E-1,-8.666816130E-1,1.841444622E0
3.226892250E0,-5.491944677E-1,-9.164498967E-1,1.806939033E0
3.246893250E0,-1.419212794E-1,-1.015194751E0,1.624465266E0
3.266895250E0,5.111951673E-1,-1.075012352E0,1.243256627E0
3.286897250E0,1.189630643E0,-1.113352545E0,8.520284906E-1
3.306898250E0,1.879269968E0,-1.221156490E0,6.888704163E-1
3.326900250E0,2.351212776E0,-1.422023551E0,7.121130985E-1
3.346902250E0,2.467622654E0,-1.599767212E0,7.605999649E-1
3.366903250E0,2.180202184E0,-1.829882338E0,8.584057564E-1
3.386905250E0,1.604210511E0,-2.102271078E0,1.071322466E0
3.406907250E0,1.139812365E0,-2.355825937E0,1.307195930E0
3.426908250E0,4.285588074E-1,-2.543052028E0,2.004239584E0
3.446910250E0,-4.788705897E-1,-2.648887509E0,2.107621281E0
3.466911250E0,-6.700955915E-1,-2.441079803E0,1.553550820E0
3.486913250E0,-3.923399842E-1,-1.841527945E0,1.518743222E0
3.506915250E0,-1.300736511E-1,-1.200940327E0,1.800766127E0
3.526916250E0,-3.385040849E-1,-6.670278499E-1,1.920967340E0
3.546918250E0,-9.079410285E-1,-3.777166826E-1,1.637073325E0
3.566920250E0,-1.295688025E0,-1.754530147E-1,1.251247139E0
3.586921250E0,-1.312886440E0,2.519065288E-1,9.304481310E-1
3.606923250E0,-1.002495183E0,7.130015829E-1,6.249264354E-1
3.626925250E0,-4.797190207E-1,1.120744449E0,3.049773198E-1
3.646926250E0,-4.984692872E-2,1.489383768E0,1.953212687E-1
3.666928250E0,1.474568385E-1,1.677787780E0,3.021288487E-1
3.686930250E0,-1.075373125E-1,1.690551229E0,4.493801576E-1
3.706931250E0,-4.833343542E-1,1.457282115E0,2.054653108E-1
3.726933250E0,-5.150098908E-1,1.269724048E0,-2.009764034E-1
3.746935250E0,-1.995315564E-1,1.231823127E0,-3.239474416E-1
3.766936250E0,3.099685031E-1,1.248852704E0,-4.491866148E-1
3.786938250E0,7.875930512E-1,1.223281076E0,-6.094669819E-1
3.806939250E0,1.048506339E0,1.164411017E0,-6.489693090E-1
3.826941250E0,1.078423033E0,1.065059075E0,-7.352148628E-1
3.846943250E0,1.004094982E0,1.080667633E0,-7.670289785E-1
3.866944250E0,9.536849660E-1,1.028700357E0,-7.362024575E-1
3.886946250E0,8.796130228E-1,9.762952718E-1,-6.273235014E-1
3.906948250E0,6.539379805E-1,9.073320410E-1,-4.700471413E-1
3.926949250E0,3.517421812E-1,7.950330484E-1,-3.969534373E-1
3.946951250E0,3.404541314E-2,7.165562515E-1,-2.768259001E-1
3.966953250E0,-3.757052404E-1,4.815535846E-1,-1.891834465E-1
3.986954250E0,-6.831360519E-1,2.813836585E-1,-3.154838893E-1
4.006956250E0,-7.994260615E-1,2.199788310E-1,-5.000831187E-1
4.026958250E0,-7.061904538E-1,2.116238907E-1,-6.065416199E-1
4.046959250E0,-5.252150363E-1,2.591502057E-1,-8.038927495E-1
4.066961250E0,-3.680985975E-1,2.928594039E-1,-1.046614180E0
4.086963250E0,-1.867548054E-1,2.397827657E-1,-1.263811052E0
