"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.330860900E-2,5.699410439E-1,5.498566628E-1,-7.484332919E-1
6.323902600E-2,5.790925026E-1,6.803646088E-1,-8.282918930E-1
8.307959800E-2,6.643657684E-1,9.323644638E-1,-7.690293193E-1
1.029686090E-1,7.474784851E-1,1.092496872E0,-6.553723216E-1
1.228553280E-1,6.504650116E-1,1.339489937E0,-6.455339789E-1
1.427747550E-1,6.232147217E-1,1.370746613E0,-1.006413102E0
1.626640260E-1,7.452487946E-1,1.363795757E0,-1.254982591E0
1.825454840E-1,8.693733215E-1,1.494312286E0,-9.048366547E-1
2.024386610E-1,7.690410614E-1,1.516421795E0,-8.479703665E-1
2.223519420E-1,5.916690826E-1,1.501828671E0,-1.069750309E0
2.422567340E-1,5.660371780E-1,1.560647011E0,-1.287743807E0
2.621072030E-1,7.676639557E-1,1.442647457E0,-1.446268678E0
2.819790780E-1,9.516105652E-1,1.211614609E0,-1.440992594E0
3.018846510E-1,8.209638596E-1,9.430127144E-1,-1.287895203E0
3.217906920E-1,6.481714249E-1,6.146678925E-1,-1.096188068E0
3.416798590E-1,7.721967697E-1,1.658654213E-1,-8.146088123E-1
3.615550150E-1,1.147364616E0,9.624958038E-2,-4.027402401E-1
3.814829320E-1,2.171742439E0,-1.311016083E-1,-6.653591394E-1
4.013667340E-1,3.562628746E0,-3.159680367E-1,-7.970063686E-1
4.212474110E-1,5.353512764E0,-5.927748680E-1,-1.218480945E0
4.412154840E-1,6.270648003E0,-8.308558464E-1,-1.598216176E0
4.610118380E-1,6.807211876E0,-9.141716957E-1,-2.076494455E0
4.809148070E-1,6.676628113E0,-1.145303726E0,-2.371910095E0
5.007889730E-1,6.219560146E0,-1.649044991E0,-3.035516739E0
5.207252760E-1,5.487596512E0,-2.083522320E0,-3.339274406E0
5.405786610E-1,4.167992592E0,-2.774368286E0,-3.082972765E0
5.604626710E-1,3.006752014E0,-3.517346859E0,-3.501624584E0
5.803719940E-1,1.301642418E0,-4.347682953E0,-3.896930218E0
6.002694420E-1,-6.498136520E-1,-4.494198799E0,-3.867317677E0
6.202345460E-1,-2.621040344E0,-4.309935570E0,-3.657672405E0
6.400535050E-1,-4.350927830E0,-3.919408321E0,-3.071099281E0
6.599498070E-1,-5.345995426E0,-3.354660988E0,-2.320174694E0
6.798260570E-1,-6.037428856E0,-2.556163788E0,-1.912537932E0
6.997028800E-1,-5.542725563E0,-1.805597305E0,-1.847506046E0
7.196107960E-1,-3.961454391E0,-1.688879967E0,-1.729741812E0
7.394941820E-1,-2.149009228E0,-1.469738483E0,-1.897625446E0
7.593690780E-1,-8.435537815E-1,-9.355273247E-1,-2.629984379E0
7.792673070E-1,-7.373690605E-2,-9.547052383E-1,-3.497384787E0
7.991797550E-1,-6.261267662E-1,-1.320203304E0,-3.467727661E0
