"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.665250028E-3,-3.762511611E-1,-1.789722919E0,4.545048997E-2
2.351525001E-2,-3.387408555E-1,-1.666148543E0,3.708537668E-2
4.336625000E-2,-2.255068570E-1,-1.323197722E0,3.602170199E-2
6.321625004E-2,-7.515764236E-2,-9.492825866E-1,7.629318535E-2
8.306725003E-2,4.355450720E-2,-7.428482175E-1,1.976956874E-1
1.029172500E-1,8.039031923E-2,-5.687562227E-1,2.338754386E-1
1.227682500E-1,1.088487208E-1,-4.461369812E-1,1.732338816E-1
1.426182500E-1,7.806427777E-2,-3.983777165E-1,-1.488794573E-2
1.624692500E-1,-2.201850899E-2,-5.164437890E-1,-2.007026225E-1
1.823192500E-1,-1.781179309E-1,-7.858875990E-1,-3.323364556E-1
2.021702500E-1,-3.294717073E-1,-1.053023577E0,-5.080780387E-1
2.220202500E-1,-4.513673186E-1,-1.072497964E0,-7.348859310E-1
2.418712500E-1,-4.998271465E-1,-9.434342980E-1,-9.239217639E-1
2.617218751E-1,-6.147264242E-1,-7.982923388E-1,-9.794028401E-1
2.815728750E-1,-5.636661649E-1,-6.062200069E-1,-1.500979543E0
3.014228750E-1,-5.225648880E-1,-2.578809857E-1,-1.817361951E0
3.212738750E-1,-4.543973804E-1,-1.637490690E-1,-2.262915611E0
3.411248750E-1,-4.349929690E-1,-2.427419573E-1,-2.750219345E0
3.609748750E-1,-5.006248355E-1,-3.786582649E-1,-3.075406790E0
3.808248750E-1,-5.866206288E-1,-3.737399876E-1,-3.295958757E0
4.006758750E-1,-6.181698442E-1,-1.721577942E-1,-3.422035694E0
4.205268750E-1,-5.870356560E-1,1.511554420E-1,-3.357110500E0
4.403768750E-1,-4.962857366E-1,4.275267720E-1,-3.135914087E0
4.602278750E-1,-3.958518803E-1,5.581842065E-1,-2.799948692E0
4.800778750E-1,-3.770175576E-1,6.800189614E-1,-2.383738995E0
4.999288750E-1,-3.868021965E-1,9.058299065E-1,-1.973377585E0
5.197788751E-1,-3.484862149E-1,1.020523548E0,-1.501735926E0
5.396298750E-1,-3.707394898E-1,8.573525548E-1,-1.053582668E0
5.594798750E-1,-4.629244804E-1,5.963485837E-1,-6.918343902E-1
