"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.718166692E-3,-8.222401428E-1,-6.599775696E-1,9.655670929E0
3.171916667E-2,-8.803193665E-1,-7.156617737E-1,9.614805908E0
5.172016670E-2,-8.930429077E-1,-7.937992859E-1,9.625284119E0
7.172116666E-2,-8.665480042E-1,-8.580157471E-1,9.676627350E0
9.172216669E-2,-8.487350464E-1,-9.548643494E-1,9.747130737E0
1.117221666E-1,-8.562194824E-1,-9.749226379E-1,9.746382294E0
1.317231667E-1,-8.289761353E-1,-1.028960266E0,9.764045563E0
1.517241666E-1,-8.226892090E-1,-1.105600891E0,9.830657043E0
1.717251667E-1,-8.445437622E-1,-1.101259918E0,9.781858521E0
1.917261667E-1,-9.464817810E-1,-1.122515717E0,9.699529724E0
2.117271667E-1,-9.713301086E-1,-1.128203888E0,9.648036804E0
2.317281667E-1,-1.011446686E0,-1.170266418E0,9.701026611E0
2.517291667E-1,-9.880952454E-1,-1.194815369E0,9.757159882E0
2.717301667E-1,-9.933343506E-1,-1.227447510E0,9.726623383E0
2.917301666E-1,-1.047521667E0,-1.224603424E0,9.654623108E0
3.117311667E-1,-1.096469879E0,-1.261127472E0,9.610614624E0
3.317321667E-1,-1.103505249E0,-1.250499573E0,9.574389954E0
3.517331667E-1,-1.097068634E0,-1.318458252E0,9.625284119E0
3.717341667E-1,-1.005758514E0,-1.402134247E0,9.714648285E0
3.917351667E-1,-9.970765686E-1,-1.457219696E0,9.793384552E0
4.117361667E-1,-1.041833496E0,-1.535207520E0,9.840237122E0
4.317371667E-1,-1.063837738E0,-1.692680054E0,9.723479919E0
4.517381667E-1,-1.102607117E0,-1.868115234E0,9.628128204E0
4.717391666E-1,-1.082848206E0,-2.060764618E0,9.635313263E0
4.917391667E-1,-1.004561005E0,-2.233206024E0,9.651180267E0
5.117401667E-1,-9.440867615E-1,-2.235002289E0,9.515412598E0
5.317415833E-1,-8.675958252E-1,-2.254012756E0,9.310039673E0
5.517425833E-1,-8.225395203E-1,-2.285746765E0,9.132209473E0
5.717435834E-1,-7.602690125E-1,-2.288441162E0,9.072932739E0
5.917445833E-1,-8.349636841E-1,-2.276765442E0,9.039402466E0
6.117455834E-1,-7.798782349E-1,-2.230511627E0,8.963659973E0
6.317465833E-1,-7.840695190E-1,-2.149080963E0,9.006470947E0
6.517475834E-1,-8.660989380E-1,-2.058818665E0,9.185498657E0
6.717485833E-1,-8.366102600E-1,-2.103874969E0,9.314530334E0
6.917495833E-1,-6.818321228E-1,-2.249372406E0,9.496252441E0
7.117505833E-1,-4.930746460E-1,-2.332449646E0,9.674531708E0
7.317505833E-1,-3.824546814E-1,-2.324067078E0,9.810299377E0
7.517515834E-1,-2.691403198E-1,-2.338586884E0,1.005429199E1
7.717525833E-1,-1.805245972E-1,-2.370620270E0,1.015563126E1
7.917535834E-1,-1.713935852E-1,-2.222727814E0,1.015548157E1
8.117545833E-1,-1.068777466E-1,-2.091450806E0,1.016131943E1
8.317555833E-1,-1.962419128E-1,-1.906435547E0,1.013467484E1
8.517565833E-1,-3.685336304E-1,-1.779499512E0,1.012838791E1
8.717575833E-1,-3.692820740E-1,-1.877545624E0,1.016386414E1
8.917585833E-1,-3.522175598E-1,-1.873653717E0,1.010264145E1
9.117595833E-1,-3.454815674E-1,-1.755699005E0,1.011835876E1
9.317605834E-1,-3.140469360E-1,-1.724264374E0,1.009680359E1
9.517605833E-1,-2.730322266E-1,-1.820663910E0,1.017359390E1
9.717615834E-1,-1.258882141E-1,-1.960922241E0,1.024783951E1
9.917625833E-1,-3.472778320E-2,-2.035018158E0,1.015024246E1
1.011763583E0,-1.095721436E-1,-2.115700378E0,1.006027954E1
1.031764583E0,-2.389031982E-1,-2.223027191E0,1.005025040E1
1.051765583E0,-3.092568970E-1,-2.293680267E0,9.953850861E0
1.071766583E0,-2.927911377E-1,-2.236199799E0,9.891580353E0
1.091767583E0,-4.894821167E-1,-2.201172638E0,9.892029419E0
1.111768583E0,-6.012995911E-1,-2.201322327E0,9.945767670E0
1.131769583E0,-7.264393616E-1,-2.140548706E0,9.889035645E0
1.151770583E0,-8.677455139E-1,-2.094444580E0,9.816137238E0
1.171771583E0,-9.807604980E-1,-1.916015625E0,9.809401245E0
1.191772583E0,-1.093176727E0,-1.764530640E0,1.000579285E1
1.211773583E0,-1.134790192E0,-1.662891998E0,1.022388931E1
1.231773583E0,-1.124611359E0,-1.792223053E0,1.036459671E1
1.251774583E0,-1.384021912E0,-2.016307068E0,1.015099091E1
1.271775583E0,-1.587149506E0,-2.232906647E0,9.730964355E0
1.291776583E0,-1.515149231E0,-2.730322266E0,9.766290894E0
1.311777583E0,-1.490899658E0,-3.393742676E0,9.882898407E0
1.331778583E0,-1.446891174E0,-4.185596008E0,9.707163849E0
