"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.671816665E-2,1.724533930E-2,-2.361602694E-2,-1.253122634E-1
3.671916667E-2,-1.464661740E-2,-9.865319923E-2,-1.257630837E-1
5.672016670E-2,-1.272339508E-2,-1.671694835E-1,-1.161210251E-1
7.672116667E-2,2.677666627E-2,-2.286621655E-1,-5.237818837E-2
9.672216669E-2,2.223082155E-2,-2.996775497E-1,1.249257624E-2
1.167231667E-1,1.154905491E-2,-2.977394170E-1,7.115476727E-3
1.367241667E-1,6.281459123E-2,-3.553081787E-1,4.787232399E-2
1.567241666E-1,5.513968214E-2,-4.063996142E-1,9.826772153E-2
1.767251667E-1,3.176748410E-2,-3.947993962E-1,2.107511938E-2
1.967261666E-1,-4.175394371E-2,-3.992632337E-1,-7.819598436E-2
2.167271667E-1,-7.092519097E-2,-3.955229160E-1,-8.092897296E-2
2.367281667E-1,-1.117794675E-1,-4.095329909E-1,-9.495878220E-3
2.567291667E-1,-8.082818158E-2,-4.245842356E-1,1.033319950E-2
2.767301667E-1,-7.780758306E-2,-4.216751727E-1,-2.618032336E-2
2.967311667E-1,-1.450077322E-1,-3.943767887E-1,-8.443320930E-2
3.167321667E-1,-1.672884013E-1,-4.021469343E-1,-1.312132734E-1
3.367331667E-1,-1.533839417E-1,-3.842760160E-1,-1.571386582E-1
3.567331667E-1,-1.376515695E-1,-4.452383555E-1,-7.522735298E-2
3.767341667E-1,-6.130476706E-2,-4.908942193E-1,1.962267101E-2
3.967351667E-1,-8.065539636E-2,-5.231052147E-1,8.596693397E-2
4.167361667E-1,-1.040539069E-1,-6.133852742E-1,1.320856780E-1
4.367371667E-1,-1.398968272E-1,-7.421061719E-1,-3.245906353E-2
4.567381667E-1,-1.372715735E-1,-9.165264221E-1,-9.788823724E-2
4.767391667E-1,-1.058213009E-1,-1.064002337E0,-4.765071452E-2
4.967401667E-1,-4.921659887E-2,-1.163094151E0,-8.685161769E-2
5.167411666E-1,2.691575691E-2,-1.151460384E0,-2.463238996E-1
5.367425833E-1,7.468992077E-2,-1.152105917E0,-4.224414504E-1
5.567425833E-1,1.410735063E-1,-1.138898372E0,-5.840444577E-1
5.767435833E-1,1.740612312E-1,-1.106435216E0,-6.287990463E-1
5.967445833E-1,6.881631956E-2,-1.025121715E0,-6.508027035E-1
6.167455834E-1,1.806845916E-1,-9.165649407E-1,-7.031270975E-1
6.367465833E-1,1.260312516E-1,-7.469331215E-1,-6.260777521E-1
6.567475834E-1,6.274318211E-2,-6.344547656E-1,-4.420126659E-1
6.767485833E-1,9.508764021E-2,-6.033117642E-1,-3.057661092E-1
6.967495834E-1,2.409095972E-1,-6.609879684E-1,-9.504005849E-2
7.167505833E-1,3.701783060E-1,-6.284379807E-1,7.861406028E-2
7.367515833E-1,4.425181577E-1,-5.525661184E-1,2.534586722E-1
7.567525833E-1,5.148227068E-1,-4.808801316E-1,5.149011326E-1
7.767525833E-1,5.480947526E-1,-3.758894277E-1,5.733814752E-1
7.967535834E-1,5.507634218E-1,-1.076437318E-1,5.763167775E-1
8.167545833E-1,5.902436757E-1,1.066742635E-1,6.335387993E-1
8.367555834E-1,4.640937987E-1,4.293205534E-1,6.076771492E-1
8.567565833E-1,3.271698421E-1,5.677123073E-1,6.361753088E-1
8.767575833E-1,3.273547603E-1,5.572797051E-1,6.995082557E-1
8.967585833E-1,3.355851549E-1,7.540130764E-1,6.576989096E-1
9.167595833E-1,3.811326259E-1,9.225330475E-1,7.080603933E-1
9.367605833E-1,4.291188245E-1,1.081301325E0,7.354668778E-1
9.567615833E-1,5.382152970E-1,1.069471823E0,8.653861624E-1
9.767625834E-1,7.546654064E-1,1.043670107E0,9.367046517E-1
9.967635833E-1,8.726582714E-1,1.109685171E0,8.871202630E-1
1.016763583E0,8.616532268E-1,1.114794761E0,8.700826460E-1
1.036764583E0,8.241164412E-1,1.122714230E0,8.856654757E-1
1.056765583E0,8.556832197E-1,1.188792737E0,8.232522959E-1
1.076766583E0,9.517143081E-1,1.361492297E0,8.554090583E-1
1.096767583E0,8.245486236E-1,1.481416059E0,9.661629242E-1
1.116768583E0,7.298352782E-1,1.554818788E0,9.926256680E-1
1.136769583E0,6.620170784E-1,1.763768163E0,9.600362116E-1
1.156770583E0,5.677795503E-1,1.908254616E0,9.639556003E-1
1.176771583E0,4.777862236E-1,2.176205612E0,1.003799112E0
1.196772583E0,4.739665300E-1,2.373093350E0,1.261812181E0
1.216773583E0,5.366776255E-1,2.524454374E0,1.569148268E0
1.236774583E0,4.882867996E-1,2.395347852E0,1.665127389E0
1.256775583E0,2.315532482E-1,2.237260484E0,1.388245355E0
1.276776583E0,1.112257361E-1,2.029015406E0,1.015149143E0
1.296776583E0,2.633832975E-1,1.539749929E0,1.148741648E0
1.316777583E0,3.103544194E-1,8.684205750E-1,1.315896587E0
1.336778583E0,3.696630201E-1,8.463464588E-2,1.044136130E0
1.356779583E0,2.853058246E-1,-4.386113405E-1,4.190909958E-1
1.376780583E0,1.771583551E-1,-9.697615930E-1,-1.666146559E-1
1.396781583E0,2.252536042E-1,-1.317201978E0,-5.089030588E-1
1.416782583E0,2.149269828E-1,-1.176279403E0,-9.647186619E-1
1.436783583E0,2.919475307E-1,-5.541184080E-1,-1.656256578E0
1.456784583E0,4.228567488E-1,5.467526704E-2,-1.842565826E0
1.476785583E0,5.411747190E-1,-4.113761795E-1,-1.617624609E0
1.496786583E0,5.914743684E-1,-8.219594765E-1,-1.034967695E0
1.516787583E0,7.253873013E-1,-8.552713564E-1,-5.271165508E-1
1.536787958E0,4.302397357E-1,-4.694980878E-1,-3.791971976E-1
1.556788958E0,8.802237645E-2,2.773533189E-1,-7.064956784E-1
1.576789958E0,-1.818700415E-1,1.026147463E0,-5.741269952E-1
1.596790958E0,-1.793289877E-1,1.311964627E0,2.603893769E-1
1.616790958E0,1.599995546E-1,1.550254452E0,8.070069766E-1
1.636791958E0,1.121259150E-1,1.804310417E0,9.180075949E-1
1.656792958E0,-1.228944397E-1,2.590794252E0,7.637738335E-1
1.676793958E0,2.369686469E-2,3.170396580E0,1.328437695E0
1.696794958E0,5.080397174E-1,3.861954084E0,2.079300292E0
1.716795958E0,1.203806194E0,5.070735819E0,3.057407323E0
1.736796958E0,1.937243649E0,5.982146586E0,4.465721492E0
1.756797958E0,2.568364917E0,7.801360971E0,6.333043259E0
1.776798958E0,3.037570644E0,9.147372472E0,9.376326048E0
1.796799958E0,3.531636978E0,8.745665249E0,1.171017669E1
1.816800958E0,4.095916969E0,8.893681666E0,1.256217682E1
1.836801958E0,4.952002258E0,7.981710151E0,1.326894381E1
1.856802958E0,7.436773626E0,6.092175397E0,1.519784787E1
1.876803958E0,9.946596805E0,2.860932106E0,1.518199840E1
1.896804958E0,9.495975283E0,4.815093651E-1,1.336465571E1
1.916805958E0,8.156914367E0,-1.356568796E0,1.045680730E1
1.936806958E0,6.666744441E0,-2.784860415E0,8.901060852E0
1.956807958E0,5.570489155E0,-5.956440471E0,9.852497563E0
1.976808958E0,5.272041421E0,-1.532264265E1,9.462514592E0
1.996809958E0,6.210234189E0,-2.688582969E1,6.765980462E0
2.016810958E0,-1.409613771E1,-1.002928181E2,-3.248635599E1
2.036811958E0,9.899546599E0,-3.074554634E1,-3.124439219E0
2.056812958E0,-5.342194560E0,-1.004817580E1,-4.285248935E0
2.076813958E0,-1.840244773E0,-1.339461451E1,-5.052791884E0
2.096814958E0,-2.659567740E0,-4.691090725E0,-4.992344538E0
2.116814958E0,-2.492969749E0,-5.805237322E0,-1.333864496E0
2.136815958E0,-2.230989345E0,-2.934433361E0,2.808749800E0
2.156816958E0,-2.109344747E0,-2.082938429E0,1.606085714E0
2.176817958E0,-2.124274443E0,-1.948672617E0,7.823790890E-1
2.196818958E0,-2.919013377E0,-9.345324111E-1,4.111814672E-1
2.216819958E0,-2.474833733E0,-5.121596655E-1,1.090902160E0
2.236820958E0,-1.531757662E0,-6.375757170E-1,1.738137478E0
2.256821958E0,-9.465747517E-1,-1.200034593E0,2.228148183E0
2.276822958E0,-8.133836576E-1,-1.202724897E0,1.839721740E0
2.296823958E0,-9.106893660E-1,-5.014893740E-2,1.192218620E0
2.316824958E0,-8.567224891E-1,4.935114330E-1,1.074434647E0
2.336825958E0,6.354461610E-4,3.020357318E-1,1.773694396E0
2.356826958E0,7.364319608E-1,-2.222219691E-1,2.124284676E0
2.376827958E0,6.931552559E-1,-8.742040560E-2,1.666768702E0
2.396828958E0,4.391560087E-1,2.172825336E-1,1.407543506E0
2.416829958E0,1.292795700E0,3.728740185E-2,1.624697401E0
2.436830958E0,1.563884458E0,-5.114424314E-1,2.284172695E0
2.456831958E0,1.257272110E0,6.378215924E-4,1.826866636E0
2.476832958E0,1.029383751E0,4.513842542E-1,8.527783960E-1
2.496833958E0,1.134483067E0,5.926247716E-1,4.832542473E-1
2.516834958E0,1.492627510E0,2.865718016E-1,9.244108808E-1
2.536835958E0,1.751467375E0,2.858912770E-1,1.337178113E0
2.556836958E0,1.497861061E0,6.246570980E-1,1.054486286E0
2.576837958E0,1.284655060E0,1.030858418E0,4.489357692E-1
2.596838958E0,1.172154484E0,1.128877049E0,2.338699150E-1
2.616839958E0,1.148676890E0,1.034131909E0,4.753710312E-1
2.636840958E0,1.347961987E0,8.707302982E-1,9.030106562E-1
2.656841958E0,1.324789617E0,8.668144910E-1,1.011381197E0
2.676842958E0,1.224849299E0,1.076557990E0,8.027771008E-1
2.696843958E0,1.212071379E0,1.217295135E0,5.427865040E-1
2.716844958E0,1.314866600E0,1.277541630E0,4.901984006E-1
2.736845958E0,1.448182386E0,1.282404905E0,5.803414160E-1
2.756846958E0,1.563758889E0,1.337816336E0,5.764483398E-1
2.776847958E0,1.478343640E0,1.415601408E0,5.022594523E-1
2.796848958E0,1.503616475E0,1.607469749E0,3.832469791E-1
2.816849958E0,1.541422379E0,1.601018224E0,4.780344379E-1
2.836850958E0,1.529455467E0,1.592092011E0,6.635812086E-1
2.856851958E0,1.523157139E0,1.607377363E0,6.817216104E-1
2.876852958E0,1.409580530E0,1.649196942E0,5.724231166E-1
2.896853958E0,1.276698900E0,1.625417778E0,5.574407959E-1
2.916854958E0,1.313925490E0,1.642829763E0,5.829568756E-1
2.936855958E0,1.339606023E0,1.707183341E0,6.702388483E-1
2.956856958E0,1.182597465E0,1.717166585E0,6.397052729E-1
2.976857958E0,1.048713038E0,1.602553411E0,6.458916271E-1
2.996858958E0,8.977148330E-1,1.460853594E0,6.355619359E-1
3.016859958E0,7.563585408E-1,1.384022496E0,4.720088822E-1
3.036860958E0,6.891088365E-1,1.237178154E0,4.993323362E-1
3.056861958E0,5.640003486E-1,1.111419894E0,4.575358540E-1
3.076862958E0,5.200039977E-1,1.057633111E0,4.386405766E-1
3.096864958E0,5.068506861E-1,9.265515465E-1,4.458770907E-1
3.116865958E0,4.862228787E-1,7.107401723E-1,4.906720251E-1
3.136866958E0,4.646792512E-1,5.465339845E-1,5.101338977E-1
3.156867958E0,3.919078749E-1,3.755178371E-1,4.405748355E-1
3.176868958E0,3.314235453E-1,1.562098280E-1,4.454519981E-1
3.196869958E0,3.271311043E-1,7.271012664E-4,3.612696344E-1
3.216870958E0,3.235398906E-1,1.097507760E-2,2.595690125E-1
3.236871958E0,2.622761272E-1,7.723250940E-2,1.463686717E-1
3.256872958E0,2.555657163E-1,1.362256528E-1,1.645880109E-1
3.276873958E0,1.991932949E-1,1.161989392E-1,1.713965088E-1
3.296874958E0,1.596729876E-1,7.821564563E-2,5.683727503E-2
3.316875958E0,1.107236065E-1,1.416701415E-1,5.493809938E-2
3.336876958E0,9.250704467E-2,2.628815333E-1,4.911661148E-2
3.356877958E0,8.213218376E-2,3.026188454E-1,1.733167344E-1
3.376878958E0,9.322661765E-2,3.626940161E-1,2.575780356E-1
3.396879958E0,1.194505759E-1,4.306444361E-1,1.997040492E-1
3.416880958E0,8.859810792E-2,4.439885862E-1,1.782167011E-1
3.436881958E0,8.969277978E-2,3.546421078E-1,3.073501199E-1
3.456882958E0,7.590972304E-2,1.986416101E-1,3.443378520E-1
3.476883958E0,2.544488981E-2,1.001912362E-1,2.602215618E-1
3.496884958E0,-2.642634496E-2,-1.702862687E-2,1.493729711E-1
3.516885958E0,-3.528180689E-2,-1.425137486E-1,1.222997779E-1
3.536886958E0,-1.164019838E-1,-2.913499452E-1,-2.260533571E-3
3.556887958E0,-1.893750890E-1,-6.152677122E-1,-1.163742095E-1
3.576889958E0,-2.442067690E-1,-8.907749920E-1,-1.512791634E-1
3.596890958E0,-2.897187182E-1,-1.076818045E0,-2.172106129E-1
3.616891958E0,-2.925198269E-1,-1.233650382E0,-3.295613533E-1
3.636892958E0,-3.778511685E-1,-1.556993953E0,-3.589155453E-1
3.656893958E0,-4.881365262E-1,-1.847921875E0,-5.803566188E-1
3.676894958E0,-5.655298340E-1,-1.799169399E0,-8.873623377E-1
3.696895958E0,-5.315576573E-1,-1.735207438E0,-9.285460317E-1
3.716896958E0,-4.695844804E-1,-1.630000679E0,-7.712810737E-1
3.736897958E0,-3.927892696E-1,-1.528104030E0,-6.198025203E-1
3.756898958E0,-2.961353065E-1,-1.495610760E0,-3.729342449E-1
3.776899958E0,-2.924471752E-1,-1.307814858E0,-2.276549095E-1
3.796900958E0,-2.805489685E-1,-1.210343746E0,-1.871126550E-1
3.816901958E0,-1.577982241E-1,-9.920119297E-1,-1.495858097E-1
3.836902958E0,-6.462964006E-2,-6.871468764E-1,-1.841405153E-1
3.856903958E0,1.039956540E-2,-3.698031340E-1,-2.121615422E-1
3.876905958E0,2.397204928E-2,-1.765534607E-1,-2.027446014E-1
3.896906958E0,-1.001036011E-1,-3.649254598E-2,-1.807374358E-1
3.916907958E0,-5.826450728E-2,5.183052354E-2,-1.752018768E-1
3.936908958E0,-8.511718735E-3,1.029851820E-1,-1.490677464E-1
3.956909958E0,-2.937092967E-2,2.819142202E-1,-9.292745948E-2
3.976910958E0,4.650451407E-2,3.427729178E-1,-6.827969134E-2
3.996911958E0,1.048455468E-1,3.588814122E-1,6.820426226E-2
4.016912958E0,1.866035087E-1,3.943644364E-1,2.176859915E-1
4.036913958E0,2.767998800E-1,4.410187123E-1,4.043425637E-1
4.056914958E0,3.773811986E-1,4.693400668E-1,5.639060622E-1
4.076915958E0,4.210607035E-1,5.447972153E-1,5.688972455E-1
4.096916958E0,5.219057315E-1,6.925987472E-1,5.869692349E-1
4.116917958E0,5.191461381E-1,8.074965347E-1,6.084770483E-1
4.136919958E0,5.370291893E-1,8.689330834E-1,5.965294325E-1
4.156920958E0,5.702910756E-1,8.508349277E-1,5.763992232E-1
4.176921958E0,5.547511498E-1,8.429506883E-1,5.005298460E-1
4.196922958E0,5.423919632E-1,8.934182990E-1,4.252370042E-1
4.216923958E0,5.515927032E-1,9.393404303E-1,3.123915893E-1
4.236924958E0,5.736288124E-1,9.720670040E-1,3.077892458E-1
4.256925958E0,5.788370005E-1,9.229914692E-1,3.653200006E-1
4.276926958E0,5.971551577E-1,7.744055334E-1,4.780934948E-1
4.296927958E0,5.300530956E-1,6.576800524E-1,4.075977087E-1
4.316928958E0,4.514618395E-1,7.098066643E-1,2.951639378E-1
4.336930958E0,4.850937814E-1,6.652045418E-1,3.214904416E-1
4.356931958E0,4.730439124E-1,5.964813392E-1,4.527142400E-1
4.376932958E0,3.937420734E-1,2.801459491E-1,5.403891456E-1
4.396933958E0,2.592521665E-1,1.350465618E-1,3.536086124E-1
4.416934958E0,1.690318948E-1,1.617904106E-1,1.112473708E-1
4.436935958E0,1.361513201E-1,1.800633980E-1,4.440550983E-2
4.456936958E0,1.426301812E-1,1.502437676E-1,3.412025750E-2
4.476937958E0,1.568449087E-1,9.131772101E-2,-1.976358891E-2
4.496938958E0,1.251738305E-1,8.794650882E-2,-1.560048831E-1
4.516940958E0,9.629399389E-2,2.272520363E-2,-2.245956463E-1
4.536942083E0,6.857044414E-2,-1.089309964E-1,-1.983860868E-1
4.556943083E0,3.180402920E-2,-1.886880411E-1,-8.800585806E-2
4.576944083E0,7.068494350E-2,-1.664709605E-1,-4.021188676E-2
4.596945083E0,3.282232180E-2,-4.712388039E-2,-1.720952511E-2
4.616946083E0,1.997116506E-2,4.307716861E-2,-2.628148019E-2
4.636947083E0,-1.412102580E-2,1.875678608E-1,-1.030864120E-3
4.656948083E0,6.941668242E-3,3.458983277E-1,8.047405958E-2
4.676949083E0,7.388424754E-2,7.127254482E-1,1.707568234E-1
4.696951083E0,1.693945684E-1,1.027968140E0,2.945148969E-1
4.716952083E0,3.178292075E-1,1.298123536E0,4.527493232E-1
4.736953083E0,4.966586968E-1,1.589456817E0,5.861769372E-1
4.756954083E0,7.422509636E-1,1.908895178E0,7.742964828E-1
4.776955083E0,1.008631398E0,2.309335310E0,9.998756307E-1
4.796956083E0,1.273160311E0,2.696327139E0,1.255277333E0
4.816957083E0,1.520645321E0,3.029403838E0,1.439677464E0
4.836958083E0,1.754462027E0,3.421105306E0,1.633787482E0
4.856960083E0,2.177712147E0,3.718332142E0,1.939496289E0
4.876961083E0,2.553033225E0,4.196997202E0,2.281121618E0
4.896962083E0,2.983779768E0,4.730957041E0,2.634087036E0
4.916963083E0,3.574117877E0,5.170983993E0,3.252738240E0
4.936964083E0,4.247767991E0,5.773078805E0,3.917090111E0
