"Time (s)","Distance (cm)"
2.285208320E-3,0.000000000E0
4.277416662E-2,5.000000000E0
1.709528167E0,0.000000000E0
1.834635542E0,5.000000000E0
4.394796458E0,0.000000000E0
4.800052333E0,5.000000000E0
7.381449042E0,0.000000000E0
7.493196000E0,5.000000000E0
7.616044375E0,0.000000000E0
2.101474308E1,5.000000000E0
2.344542462E1,0.000000000E0
2.760978550E1,5.000000000E0
3.040802412E1,0.000000000E0
3.370897050E1,5.000000000E0
3.370899954E1,0.000000000E0
5.757932892E1,5.000000000E0
5.990788087E1,0.000000000E0
6.099499079E1,5.000000000E0
6.346694504E1,0.000000000E0
6.464333083E1,5.000000000E0
6.690156375E1,0.000000000E0
6.720024621E1,5.000000000E0
6.984559337E1,0.000000000E0
7.007492575E1,5.000000000E0
7.014434317E1,0.000000000E0
8.445956787E1,5.000000000E0
8.672659558E1,0.000000000E0
8.701902029E1,5.000000000E0
8.705992742E1,0.000000000E0
8.729637425E1,5.000000000E0
8.998441612E1,0.000000000E0
9.056036000E1,5.000000000E0
9.382842746E1,0.000000000E0
9.576593992E1,5.000000000E0
9.724739379E1,0.000000000E0
1.011907002E2,5.000000000E0
1.012475401E2,0.000000000E0
1.061539970E2,5.000000000E0
1.084804372E2,0.000000000E0
1.318644452E2,5.000000000E0
1.336325805E2,0.000000000E0
1.339311820E2,5.000000000E0
1.339738487E2,0.000000000E0
1.341470315E2,5.000000000E0
1.374511782E2,0.000000000E0
1.417180496E2,5.000000000E0
1.418043237E2,0.000000000E0
1.419763900E2,5.000000000E0
1.458354415E2,0.000000000E0
1.461630297E2,5.000000000E0
1.492699932E2,0.000000000E0
1.493979347E2,5.000000000E0
1.495047065E2,0.000000000E0
1.523859559E2,5.000000000E0
1.525586120E2,0.000000000E0
1.881509196E2,5.000000000E0
1.884193146E2,0.000000000E0
1.916004542E2,5.000000000E0
1.916824311E2,0.000000000E0
1.970588040E2,5.000000000E0
1.980318352E2,0.000000000E0
2.015167841E2,5.000000000E0
2.017740875E2,0.000000000E0
2.025848143E2,5.000000000E0
2.053342801E2,0.000000000E0
2.056645745E2,5.000000000E0
2.088981285E2,0.000000000E0
2.161318402E2,5.000000000E0
2.162300210E2,0.000000000E0
2.224254649E2,5.000000000E0
2.224255210E2,0.000000000E0
2.279515760E2,5.000000000E0
2.304649663E2,0.000000000E0
2.705515368E2,5.000000000E0
2.707228240E2,0.000000000E0
2.876188187E2,5.000000000E0
2.877038707E2,0.000000000E0
