"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.706208308E-3,2.122196853E-1,-1.921383440E-1,7.559107151E-3
2.970820828E-2,1.990093142E-1,-1.335167736E-1,-1.575577445E-2
4.971120832E-2,1.783519834E-1,-8.663247526E-2,-3.942077979E-2
6.971320830E-2,1.386609972E-1,-8.845824003E-2,-6.626710296E-2
8.971520833E-2,8.066933602E-2,-1.394286901E-1,-8.778452873E-2
1.097172083E-1,2.337755449E-2,-2.184307873E-1,-1.019614637E-1
1.297192083E-1,-2.442962676E-2,-2.630805969E-1,-9.065525234E-2
1.497222083E-1,-4.170822352E-2,-2.694850564E-1,-7.851409167E-2
1.697242083E-1,-3.814014792E-2,-2.727962136E-1,-7.966545969E-2
1.897262083E-1,-3.115118481E-2,-3.103709519E-1,-1.234814972E-1
2.097282083E-1,-2.949870005E-2,-3.475154340E-1,-2.099563926E-1
2.297302083E-1,-2.517988160E-2,-2.952083945E-1,-2.984896004E-1
2.497332083E-1,-1.186937653E-2,-1.600041837E-1,-3.184038997E-1
2.697352083E-1,2.165953442E-2,3.960775211E-2,-2.600823641E-1
2.897372083E-1,6.811065972E-2,2.288768142E-1,-1.540832967E-1
3.097392083E-1,1.019653082E-1,3.537547290E-1,-4.226499051E-2
3.297412083E-1,1.601167768E-1,3.725154400E-1,4.030964151E-2
3.497432083E-1,2.091820240E-1,3.433180153E-1,1.198671088E-1
3.697462083E-1,2.555018663E-1,3.007764220E-1,2.090187222E-1
3.897482083E-1,3.278218806E-1,2.454649657E-1,2.989513278E-1
4.097502083E-1,4.048407674E-1,1.733831316E-1,3.699567020E-1
4.297522083E-1,4.566128552E-1,9.896700084E-2,4.080874026E-1
4.497542083E-1,4.588792324E-1,3.262189031E-2,4.346796274E-1
4.697572083E-1,4.328534901E-1,-3.536531702E-2,4.911384881E-1
4.897592083E-1,3.570431173E-1,-8.072742820E-2,5.894514322E-1
5.097612083E-1,2.484990656E-1,-1.539871097E-1,7.025052309E-1
5.297632083E-1,1.749050170E-1,-2.487004697E-1,7.289914489E-1
5.497662083E-1,9.493456036E-2,-3.472111523E-1,6.280708313E-1
5.697682083E-1,-4.035322368E-2,-4.012512565E-1,4.656999707E-1
5.897702083E-1,-1.860497147E-1,-3.616302907E-1,2.797927260E-1
6.097722083E-1,-2.943466604E-1,-2.436508387E-1,9.542044997E-2
6.297742083E-1,-3.764931858E-1,-7.903394103E-2,-8.062594384E-2
6.497772083E-1,-4.573869407E-1,1.072863936E-1,-2.122349441E-1
6.697792083E-1,-4.991858006E-1,3.143331409E-1,-3.016873598E-1
6.897819166E-1,-5.012918115E-1,4.926301241E-1,-3.631153703E-1
7.097839167E-1,-4.905733764E-1,5.950690508E-1,-4.001125097E-1
7.297859166E-1,-4.888761640E-1,5.775893331E-1,-4.442003965E-1
7.497889166E-1,-5.038782954E-1,4.159021974E-1,-4.948617220E-1
7.697909166E-1,-5.241041780E-1,2.103255242E-1,-5.055956244E-1
7.897929166E-1,-5.780321360E-1,3.677593917E-2,-4.703713357E-1
8.097949167E-1,-6.478223801E-1,-5.806447938E-2,-4.014650583E-1
8.297969166E-1,-6.948511600E-1,-9.499364346E-2,-3.063337803E-1
8.497999166E-1,-6.636444926E-1,-3.568053618E-2,-2.067229748E-1
8.698019166E-1,-5.587372780E-1,1.349288374E-1,-8.923626691E-2
8.898039166E-1,-4.441763461E-1,3.492488861E-1,2.724402770E-2
9.098059167E-1,-3.122537732E-1,4.528959394E-1,1.031207964E-1
9.298079166E-1,-1.992489100E-1,3.563099504E-1,1.246214285E-1
9.498109166E-1,-1.083136499E-1,1.338566840E-1,1.372741312E-1
9.698129166E-1,-3.995138407E-2,-1.095542759E-1,1.455244273E-1
9.898149166E-1,2.010823786E-2,-2.735438347E-1,1.656064391E-1
1.009816917E0,8.820018172E-2,-3.394893408E-1,2.092925757E-1
1.029819917E0,1.647892445E-1,-3.281401992E-1,2.612375319E-1
1.049821917E0,2.500426173E-1,-2.891393602E-1,3.180669844E-1
1.069823917E0,3.439328969E-1,-2.543897927E-1,3.746827543E-1
1.089825917E0,4.634648860E-1,-2.286617458E-1,4.282188118E-1
1.109827917E0,5.852379203E-1,-2.204702199E-1,4.720802605E-1
1.129830917E0,7.044689655E-1,-2.606435120E-1,5.039345026E-1
1.149832917E0,8.204693198E-1,-3.486829400E-1,5.186223388E-1
1.169834917E0,9.053413868E-1,-4.251363277E-1,5.398285389E-1
1.189836917E0,9.934266806E-1,-4.477583170E-1,5.622262359E-1
1.209839917E0,1.123367190E0,-3.986518085E-1,5.962101817E-1
1.229841917E0,1.276987314E0,-3.234141469E-1,6.451087594E-1
1.249843917E0,1.442405343E0,-2.590468824E-1,7.027374506E-1
1.269845917E0,1.610616207E0,-2.693787813E-1,7.607524395E-1
1.289848917E0,1.725280762E0,-3.949551582E-1,7.858805656E-1
1.309850917E0,1.836476207E0,-5.292098522E-1,7.688559294E-1
1.329852917E0,1.964653134E0,-5.908824205E-1,7.507993579E-1
1.349854917E0,2.096324682E0,-5.495233536E-1,7.403936386E-1
1.369856917E0,2.204811335E0,-4.700880647E-1,7.367063761E-1
1.389859917E0,2.272735119E0,-4.359816313E-1,7.561680079E-1
1.409861917E0,2.375132561E0,-4.031112194E-1,7.756048441E-1
1.429863917E0,2.491461039E0,-4.511171579E-1,7.556572556E-1
1.449865917E0,2.578982353E0,-5.521691442E-1,6.861979961E-1
1.469868917E0,2.577877522E0,-5.833929181E-1,6.235791445E-1
1.489870917E0,2.672660589E0,-3.906372190E-1,6.216812730E-1
1.509872917E0,2.982182026E0,-2.030505538E-1,5.450440645E-1
1.529874917E0,3.289002180E0,-3.613855839E-1,3.193316460E-1
1.549876917E0,3.589038134E0,-4.632494748E-1,9.085340798E-2
1.569879917E0,4.060883045E0,-2.850509882E-1,-1.224972829E-1
1.589881917E0,4.529486656E0,-1.146244928E-1,-5.269480944E-1
1.609883917E0,4.803099155E0,-4.836830795E-1,-1.311490178E0
1.629885917E0,4.888742924E0,-8.112090230E-1,-2.054000378E0
1.649888917E0,4.488345146E0,-6.077032089E-1,-2.325894594E0
1.669890917E0,3.750853062E0,-3.017558753E-1,-2.350349188E0
1.689892792E0,2.790211678E0,-3.067547083E-1,-2.237838507E0
1.709894792E0,1.389581203E0,-5.435779095E-1,-1.897268772E0
1.729897792E0,-8.883820772E-1,-2.378470182E0,-1.365148902E0
1.749899792E0,-6.149076462E0,-2.760396242E0,-4.110183239E0
1.769901792E0,9.262918830E-1,3.709320545E0,5.795941949E-1
1.789903792E0,9.963756204E-1,7.607441902E0,2.958285809E0
1.809906792E0,8.958233148E-2,1.762866080E-1,4.422633171E0
1.829908792E0,-1.372866750E0,-9.584414959E-1,2.713120937E0
1.849910792E0,-1.875544310E0,-4.284592628E0,1.346227050E0
1.869912792E0,-1.786080718E0,-4.442562580E0,1.144995838E-1
1.889915792E0,-1.289335370E0,-1.846852422E0,-9.465602040E-1
1.909917792E0,-1.068826437E0,1.361147404E0,-1.637486219E-1
1.929919792E0,-8.393772244E-1,3.600246906E0,8.167001605E-1
1.949921792E0,-7.213760614E-1,4.045042992E0,4.581567943E-1
1.969924792E0,-7.130302191E-1,3.216408491E0,-5.995417014E-2
1.989926792E0,-8.566079140E-1,1.740369916E0,-6.617017984E-1
2.009928792E0,-9.495154619E-1,3.058739305E-1,-1.089980960E0
2.029930792E0,-1.143289566E0,-7.590584159E-1,-1.319743991E0
2.049933792E0,-1.402363420E0,-1.276576400E0,-1.337789655E0
2.069935792E0,-1.568219781E0,-1.011558890E0,-1.229115963E0
2.089937792E0,-1.741778016E0,-4.139348269E-1,-9.747156501E-1
2.109939792E0,-1.947821975E0,6.961956620E-2,-7.134826183E-1
2.129942792E0,-2.112562418E0,2.524044812E-1,-6.166344285E-1
2.149944792E0,-2.253211498E0,2.184780240E-1,-7.150159478E-1
