"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.542225700E-2,1.089301109E-1,6.364955902E-1,8.025727272E-1
6.536548700E-2,2.894835472E-1,2.783241272E-1,7.867834568E-1
8.525996600E-2,3.998150826E-1,-8.040428162E-3,5.297591686E-1
1.050943410E-1,3.851556778E-1,-6.989464760E-1,7.594646215E-1
1.249976220E-1,7.387208939E-2,-1.494272232E0,1.290132165E0
1.448692370E-1,-5.058631897E-1,-1.371515274E0,1.317653060E0
1.648040280E-1,-1.157093525E0,-7.532563210E-1,8.337090015E-1
1.847017370E-1,-1.612090588E0,-4.825077057E-1,4.631425142E-1
2.045973100E-1,-1.719482422E0,-4.814701080E-1,3.554230928E-1
2.244478820E-1,-1.585106850E0,-5.988550186E-1,2.956107855E-1
2.443327780E-1,-1.575486660E0,-3.998298645E-1,2.613815069E-1
2.642269970E-1,-1.361660957E0,-2.240533829E-1,2.640197277E-1
2.841216320E-1,-9.741196632E-1,-3.896799088E-1,2.076436281E-1
3.040285070E-1,-6.399140358E-1,-1.006021500E-1,1.859054565E-1
3.239139760E-1,-5.911879539E-1,3.153896332E-2,1.133048534E-2
3.437868410E-1,-8.828492165E-1,-2.330846786E-1,-8.398628235E-2
3.636854870E-1,-1.010800362E0,-4.222278595E-1,-1.593990326E-1
3.835842890E-1,-8.517332077E-1,-3.664798737E-1,-4.141368866E-1
4.035149660E-1,-6.306004524E-1,-4.745049477E-1,-7.949729562E-1
4.233621010E-1,-4.538650513E-1,-9.972109795E-1,-1.034398437E0
4.432685600E-1,-4.927535057E-1,-1.730898857E0,-1.155930400E0
4.631448100E-1,-3.023204803E-1,-2.548422813E0,-1.283701658E0
4.830437680E-1,4.718699455E-1,-3.610809326E0,-1.342239141E0
5.029330910E-1,1.305799007E0,-4.935466766E0,-1.277296782E0
5.228511120E-1,1.361701012E0,-6.713410378E0,-5.852631330E-1
5.427356950E-1,5.805306435E-1,-9.224441528E0,7.079209089E-1
5.626430390E-1,-1.294546127E-1,-1.122978497E1,2.450139046E0
5.825348620E-1,5.736713409E-1,-1.185828209E1,3.697901249E0
6.023917890E-1,2.139340401E0,-1.191481018E1,3.507867098E0
6.222717370E-1,2.910370350E0,-1.154731655E1,3.016165733E0
6.421935600E-1,1.878360748E0,-9.967087746E0,3.546387672E0
6.620707470E-1,-7.239360809E-1,-7.568380356E0,3.599329948E0
6.819502780E-1,-4.400359154E0,-5.096145630E0,1.351930141E0
7.018492370E-1,-9.153007507E0,-1.714253545E0,-2.042000294E0
7.217277780E-1,-1.435204792E1,3.802464724E0,-7.133186340E0
7.416431430E-1,-1.964863205E1,1.263033199E1,-1.288069820E1
7.615999140E-1,-2.557732391E1,2.290990639E1,-1.835875320E1
7.814055390E-1,-3.150036240E1,3.258782578E1,-2.388110542E1
8.012879350E-1,-3.447035217E1,4.073870087E1,-3.007806015E1
8.212040800E-1,-3.061218643E1,3.968222427E1,-3.839287186E1
8.410763200E-1,-2.311745262E1,2.924452209E1,-4.646553040E1
8.609888720E-1,-1.504297066E1,1.527391052E1,-5.300160217E1
8.808790800E-1,-8.252386093E0,2.703546762E0,-5.828242111E1
9.007585070E-1,-2.659252167E0,-8.151291847E0,-6.305131531E1
9.206876740E-1,1.949490547E0,-1.826930809E1,-6.704469299E1
9.405946010E-1,1.401641846E0,-2.947972488E1,-7.034561920E1
9.604237160E-1,1.264683723E0,-4.614608765E1,-7.272409058E1
9.803260070E-1,1.329097176E1,-5.148112869E1,-5.936560059E1
1.000216997E0,1.992784309E1,-4.879138947E1,-3.729183960E1
