"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.566495828E-2,2.414887785E0,-6.375083570E0,-3.879811773E0
3.551495832E-2,-8.392625570E-2,-6.937894449E0,-1.127465969E0
5.536495830E-2,-2.454959339E0,-7.237926779E0,2.211295338E0
7.521495828E-2,-3.299449307E0,-6.284856355E0,5.296973948E0
9.506495832E-2,-3.365662592E0,-5.216709804E0,7.654221051E0
1.149149583E-1,-3.295818186E0,-2.954283489E0,9.273472356E0
1.347649583E-1,-4.319399598E0,-3.406938672E-1,1.023695433E1
1.546149583E-1,-5.293450416E0,8.129904324E-1,1.053625459E1
1.744649583E-1,-5.672198548E0,1.337109408E0,9.326774989E0
1.943149583E-1,-5.925237390E0,7.534910662E-1,7.443375133E0
2.141639583E-1,-5.756341150E0,-4.328011085E-1,5.749205793E0
2.340139583E-1,-4.935175726E0,-3.501565625E-1,3.979089893E0
2.538639583E-1,-3.543051327E0,-7.872784710E-1,1.948942466E0
2.737139583E-1,-2.163548729E0,-1.556592103E0,-1.593225932E-1
2.935639583E-1,-1.787780339E0,-2.266881893E0,-1.741110787E0
3.134139583E-1,-1.373832846E0,-2.821108182E0,-2.480162593E0
3.332639583E-1,-5.047635224E-1,-4.382747456E0,-2.800561944E0
3.531139583E-1,2.915529898E-1,-5.271004125E0,-2.334335373E0
3.729639583E-1,2.012237406E-1,-6.267956733E0,-1.657941161E0
3.928139583E-1,7.351356331E-1,-6.997216791E0,-1.602279176E0
4.126629583E-1,1.316342145E0,-7.446068945E0,-6.567756343E-1
4.325129583E-1,1.393771851E0,-6.759070222E0,9.101694024E-1
4.523629583E-1,1.306515314E0,-5.822823992E0,1.983397769E0
4.722129583E-1,1.047645044E0,-4.221506391E0,3.239620011E0
4.920629583E-1,5.995115125E-1,-2.177845171E-1,5.373480088E0
5.119129583E-1,2.828181267E-2,2.582667791E0,6.111632007E0
5.317629583E-1,-3.640575868E-1,2.962730961E0,4.981828321E0
5.516129583E-1,-4.434727156E-1,2.917671148E0,2.317363830E0
5.714629583E-1,1.120745764E0,3.837002553E0,-1.387630813E0
5.913119583E-1,4.160366442E0,4.749804372E0,-5.362331201E0
6.111619583E-1,6.442838182E0,4.980526730E0,-7.688997951E0
6.310119583E-1,5.581878362E0,3.175744443E0,-8.987634142E0
6.508619583E-1,1.158152157E0,-5.728675050E-1,-8.659244571E0
6.707120833E-1,-5.508984048E0,-4.050235305E0,-6.432223147E0
6.905620833E-1,-1.052165760E1,-5.196621110E0,-2.433560869E0
7.104120833E-1,-1.115509583E1,-4.484989822E0,1.500842848E0
7.302620833E-1,-5.946211352E0,-2.318938485E0,4.193521324E0
7.501120833E-1,6.882085115E-1,1.595225680E-1,5.986992758E0
7.699620833E-1,9.641065169E0,2.633999328E0,6.692404947E0
7.898110833E-1,1.552958731E1,3.864356412E0,5.213890277E0
8.096610833E-1,1.545150359E1,3.926963720E0,1.442122770E0
8.295110833E-1,7.994393347E0,2.285554976E0,-1.847831243E0
8.493610833E-1,-5.226104525E0,-2.263451332E-1,-3.808701152E0
8.692110833E-1,-1.366598612E1,-3.376175301E0,-5.002713990E0
8.890610833E-1,-1.189870028E1,-2.687418905E0,-4.407462174E0
9.089110833E-1,-2.879226875E0,-1.183642509E0,-2.175218602E0
9.287610833E-1,5.089791310E0,-4.887909758E-1,3.944601846E-1
9.486110833E-1,8.699914879E0,-3.786972606E-1,2.246245607E0
9.684610833E-1,9.432183915E0,4.636315763E-1,2.723488040E0
9.883100833E-1,8.583147737E0,7.798320419E-1,1.563499272E0
1.008160083E0,4.662040588E0,-3.581384504E-1,-8.853918260E-1
1.028010083E0,-1.480497462E-1,-7.070453167E-1,-2.848222306E0
1.047860083E0,-3.289375724E0,-8.064345342E-1,-3.811421569E0
1.067710083E0,-2.841685996E0,-5.438963056E-2,-4.133744654E0
1.087560083E0,-9.034006655E-1,2.650724119E-1,-3.444698237E0
1.107410083E0,7.951482385E-1,5.196379620E-1,-1.837789527E0
1.127260083E0,2.256154591E0,7.328426474E-1,-4.530618569E-1
1.147110083E0,3.233236021E0,1.363587647E0,1.915252563E-1
1.166960083E0,3.117526056E0,3.495752615E0,1.184951116E0
1.186809083E0,2.106614390E0,4.780370107E0,1.802059824E0
1.206659083E0,-6.592969537E-2,5.267461297E0,2.096311888E0
1.226509083E0,-2.183587137E0,5.405185445E0,1.716403669E0
1.246359083E0,-3.775987442E0,5.061509498E0,9.151298878E-1
1.266209083E0,-4.408050989E0,4.040876836E0,-1.158847976E-1
1.286059083E0,-4.532828817E0,2.434535015E0,-8.455418819E-1
1.305909083E0,-4.040624821E0,6.989948702E-1,-9.865290686E-1
1.325759083E0,-2.515722435E0,-1.007799777E0,-1.164998370E0
1.345609083E0,-8.244521445E-1,-2.279775004E0,-1.211952681E0
1.365459083E0,7.091427130E-1,-3.556851926E0,-1.498947181E0
1.385309083E0,1.933887640E0,-4.540354183E0,-1.508038140E0
1.405158083E0,2.205945720E0,-5.633270125E0,-1.562952265E0
1.425008083E0,1.898965729E0,-6.383395972E0,-1.546832369E0
1.444858083E0,1.623893409E0,-6.888461503E0,-1.452505378E0
1.464708083E0,8.356478083E-1,-7.095677471E0,-8.971841982E-1
1.484558083E0,-5.517140329E-2,-7.219300473E0,-2.801178825E-1
1.504408083E0,-1.230020285E0,-6.902832790E0,4.575142193E-1
1.524258083E0,-2.502680220E0,-5.695250611E0,1.624259152E0
