"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.042083402E-4,7.048093414E0,6.223158875E0,1.762734375E0
1.909779164E-2,7.024592285E0,6.323600006E0,1.769320679E0
3.909879166E-2,7.058721313E0,6.416107635E0,1.767823792E0
5.909979163E-2,7.157964935E0,6.458619232E0,1.682950287E0
7.910079166E-2,7.233557739E0,6.510710907E0,1.559008026E0
9.910179162E-2,7.277416534E0,6.525530090E0,1.425485687E0
1.191037917E-1,7.361242218E0,6.551575928E0,1.396296387E0
1.391047916E-1,7.430997162E0,6.582860870E0,1.397942963E0
1.591057917E-1,7.581883392E0,6.559958496E0,1.328337708E0
1.791067916E-1,7.682025146E0,6.483467560E0,1.249900818E0
1.991087917E-1,7.699239349E0,6.441554718E0,1.175355835E0
2.191097916E-1,7.677684174E0,6.403982849E0,1.141376495E0
2.391107916E-1,7.617209930E0,6.385122070E0,1.131497040E0
2.591117916E-1,7.618706818E0,6.342610474E0,1.141675873E0
2.791127916E-1,7.668702850E0,6.293512573E0,1.107846222E0
2.991147916E-1,7.649991760E0,6.272107086E0,1.101409607E0
3.191157916E-1,7.668104095E0,6.218817902E0,1.095272369E0
3.391167917E-1,7.693850555E0,6.189329224E0,1.130449219E0
3.591177916E-1,7.686964874E0,6.190676422E0,1.080453186E0
3.791197917E-1,7.632627869E0,6.134842529E0,1.025966492E0
3.991207916E-1,7.606731720E0,6.147117004E0,1.013392639E0
4.191217917E-1,7.639663239E0,6.128854980E0,1.044078827E0
4.391227916E-1,7.674989777E0,6.073170776E0,1.030008087E0
4.591247917E-1,7.732470245E0,6.001320190E0,1.007255402E0
4.791257916E-1,7.765401764E0,5.964945831E0,1.025068359E0
4.991267917E-1,7.754025421E0,5.959706726E0,1.044527893E0
5.191277916E-1,7.703430634E0,5.961952057E0,1.010548553E0
5.391287917E-1,7.582781525E0,5.941145325E0,9.409432983E-1
5.591307916E-1,7.527995453E0,5.995781708E0,9.830058289E-1
5.791317917E-1,7.601342926E0,6.023324432E0,1.047671356E0
5.991327916E-1,7.639663239E0,6.049370270E0,1.138532410E0
6.191337917E-1,7.636968842E0,6.086044006E0,1.165027313E0
6.391357916E-1,7.599097595E0,6.113886108E0,1.123413849E0
6.591367917E-1,7.641459503E0,6.124663696E0,1.130898285E0
6.791377916E-1,7.695347443E0,6.094875641E0,1.138831787E0
6.991387916E-1,7.796836395E0,6.064937897E0,1.191522217E0
7.191407083E-1,7.875572662E0,6.054309998E0,1.186283112E0
7.391417083E-1,7.826474762E0,6.048023071E0,1.126407623E0
7.591427083E-1,7.746241608E0,6.074368286E0,1.075663147E0
7.791437083E-1,7.706424408E0,6.088139648E0,1.039887543E0
7.991457083E-1,7.785909119E0,6.021827545E0,1.087638245E0
8.191467083E-1,7.861950989E0,5.999074860E0,1.136586456E0
8.391477083E-1,7.916737061E0,5.979615326E0,1.156944122E0
8.591487083E-1,7.848029938E0,5.970184937E0,1.168170776E0
8.791507083E-1,7.771389313E0,5.950426025E0,1.124761047E0
8.991517083E-1,7.752678223E0,5.907315674E0,1.169667664E0
9.191527083E-1,7.837851105E0,5.894442444E0,1.171912994E0
9.391537083E-1,7.869435425E0,5.881569214E0,1.185834045E0
9.591557083E-1,7.865244141E0,5.849984894E0,1.238524475E0
9.791567083E-1,7.851921844E0,5.836512909E0,1.232536926E0
9.991577083E-1,7.907007294E0,5.874533844E0,1.207239532E0
1.019158708E0,8.042475586E0,5.879174194E0,1.186732178E0
1.039160708E0,8.202642517E0,5.846092987E0,1.202449493E0
1.059161708E0,8.276139679E0,5.924679565E0,1.106049957E0
1.079162708E0,8.179740143E0,6.019432526E0,9.294172668E-1
1.099163708E0,7.981552277E0,6.105353851E0,7.232958984E-1
1.119165708E0,7.826025696E0,6.160588989E0,6.346801758E-1
1.139166708E0,7.774682465E0,6.148314514E0,6.393205261E-1
1.159167708E0,7.757168884E0,6.215973816E0,5.915698242E-1
1.179168708E0,7.720195770E0,6.329138489E0,5.194198608E-1
1.199170708E0,7.636220398E0,6.469845886E0,5.281018066E-1
1.219171708E0,7.480843506E0,6.839876404E0,7.723937988E-1
1.239172708E0,7.394024048E0,7.284152527E0,7.123686218E-1
1.259173708E0,7.478448486E0,7.495812378E0,5.953120422E-1
1.279175708E0,7.553741913E0,7.754025421E0,8.174501038E-1
1.299176708E0,7.589218140E0,7.907755737E0,1.132844238E0
1.319177708E0,7.453001404E0,8.247698822E0,1.265019379E0
1.339178708E0,7.291187897E0,8.796457672E0,1.072070618E0
1.359180708E0,7.345524902E0,9.162745972E0,1.000070343E0
1.379181708E0,7.433242493E0,9.252110138E0,1.182241516E0
1.399182708E0,7.629035339E0,9.196725311E0,1.453926544E0
1.419183708E0,7.704628143E0,9.314979401E0,1.554966431E0
1.439185708E0,7.817643127E0,9.087153168E0,1.379830627E0
1.459186708E0,7.683222656E0,8.944200439E0,1.066382446E0
1.479187708E0,8.045768738E0,8.883875885E0,9.330097961E-1
1.499188708E0,8.515042877E0,9.268426208E0,4.010160828E-1
1.519190708E0,8.396489410E0,1.011326935E1,4.095483398E-1
1.539191708E0,8.030500488E0,1.115944382E1,7.825726318E-1
1.559192708E0,7.872728577E0,1.268821472E1,3.291654968E-1
1.579194708E0,8.485554199E0,1.476349915E1,-8.177494812E-1
