"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.159679162E-2,-4.767243266E-1,-3.517546952E-1,1.680018567E-2
3.159779165E-2,-4.361725748E-1,-3.310096264E-1,1.561817899E-2
5.159879167E-2,-4.030602872E-1,-3.038995862E-1,1.260532159E-2
7.160079165E-2,-3.725493550E-1,-2.634110153E-1,7.392909378E-3
9.160179162E-2,-3.415839374E-1,-2.084158510E-1,-5.327832419E-3
1.116027916E-1,-3.109030128E-1,-1.541094184E-1,-1.313429978E-2
1.316037917E-1,-2.953358889E-1,-1.063761041E-1,-1.982307248E-2
1.516057916E-1,-2.891440094E-1,-5.559432879E-2,-9.703746065E-3
1.716067917E-1,-2.691665888E-1,1.088230778E-2,-2.750402782E-3
1.916077916E-1,-2.385893911E-1,6.831800938E-2,5.796990357E-3
2.116087917E-1,-1.977812350E-1,9.843467176E-2,4.593298305E-3
2.316097916E-1,-1.670219451E-1,8.848226815E-2,6.939378101E-3
2.516117917E-1,-1.319834441E-1,6.285895407E-2,7.166676223E-3
2.716127916E-1,-9.973806143E-2,2.902138792E-2,8.644595742E-3
2.916137917E-1,-6.413912028E-2,2.876661951E-3,-9.707652498E-4
3.116147916E-1,-3.817772120E-2,-1.477153786E-2,-1.013591606E-2
3.316167917E-1,-1.480061468E-2,-1.946756616E-2,-1.196035556E-2
3.516177916E-1,7.026666775E-3,-5.209227558E-3,-1.491800940E-4
3.716187917E-1,2.726132423E-2,1.771513745E-2,1.105137262E-2
3.916197916E-1,4.063335061E-2,2.321198583E-2,2.150465921E-2
4.116207917E-1,5.039444566E-2,-7.045129314E-5,3.249187022E-2
4.316227916E-1,5.493784323E-2,-2.138469927E-2,4.535610229E-2
4.516237917E-1,6.185325608E-2,-1.543816924E-2,4.939526692E-2
4.716247916E-1,7.109633088E-2,1.045027748E-2,4.907452315E-2
4.916257916E-1,8.325850964E-2,2.492925152E-2,5.226948112E-2
5.116277916E-1,8.877483755E-2,1.110542193E-2,5.519360676E-2
5.316287917E-1,8.878551424E-2,-2.232039347E-2,5.339894816E-2
5.516297916E-1,9.850760549E-2,-4.701600969E-2,3.948509321E-2
5.716307916E-1,9.994690120E-2,-4.277588427E-2,4.141586274E-2
5.916327916E-1,9.155008942E-2,-2.272506244E-2,6.184500456E-2
6.116337916E-1,8.090113848E-2,2.289393451E-3,9.209334105E-2
6.316347917E-1,6.357055902E-2,1.318231411E-2,1.217382997E-1
6.516357916E-1,4.997119308E-2,1.363153011E-2,1.411855221E-1
6.716367917E-1,4.713907838E-2,3.423447907E-2,1.355543435E-1
6.916387916E-1,5.310378596E-2,7.408503443E-2,1.224442497E-1
7.116397917E-1,5.969721451E-2,1.162180305E-1,1.048776582E-1
7.316407083E-1,6.529992074E-2,1.219670996E-1,9.374648333E-2
7.516417083E-1,7.888113707E-2,8.847831190E-2,7.134484500E-2
7.716437083E-1,8.348053694E-2,3.490440547E-2,4.193127900E-2
7.916447083E-1,7.803567499E-2,-1.321060117E-3,2.551810443E-2
8.116457083E-1,7.086818665E-2,1.130647771E-2,2.597166225E-2
8.316467083E-1,7.093960792E-2,5.498004705E-2,4.950991645E-2
8.516487083E-1,9.031336010E-2,9.714577347E-2,7.525812089E-2
8.716497083E-1,1.075997874E-1,1.208125651E-1,9.003856778E-2
8.916507083E-1,1.328193843E-1,1.310340017E-1,8.361816406E-2
9.116517083E-1,1.471202672E-1,1.368832886E-1,7.243597507E-2
9.316537083E-1,1.571774185E-1,1.240777448E-1,6.574105471E-2
9.516547083E-1,1.543703526E-1,7.609047741E-2,6.854523718E-2
9.716557083E-1,1.611486822E-1,4.134170711E-3,6.364843249E-2
9.916567083E-1,1.635023355E-1,-5.978498608E-2,5.859658122E-2
1.011658708E0,1.659445167E-1,-1.049161106E-1,5.353034288E-2
1.031659708E0,1.734012067E-1,-9.030967206E-2,4.407923669E-2
1.051660708E0,1.787246913E-1,-1.712762006E-2,3.296780586E-2
1.071661708E0,1.996619552E-1,4.812314734E-2,2.634203061E-2
1.091663708E0,2.262556255E-1,3.449347243E-2,2.281144261E-2
1.111664708E0,2.519068718E-1,-3.490844741E-2,1.420142595E-2
