"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.151585400E-2,3.990333080E-1,7.304058075E-1,-3.854808807E-1
4.142189600E-2,3.548462391E-1,3.120059967E-1,-2.381274700E-1
6.131314600E-2,3.492081165E-1,-1.313438416E-1,-5.931782722E-2
8.121913500E-2,4.155249596E-1,-5.159444809E-1,-4.605932236E-1
1.010613230E-1,5.603563786E-1,-1.047060013E0,-1.028674126E0
1.209710100E-1,6.824762821E-1,-1.553984642E0,-1.416394949E0
1.408466870E-1,8.610932827E-1,-1.916947842E0,-1.587738037E0
1.607170520E-1,8.927175999E-1,-2.369981766E0,-1.773279190E0
1.806283020E-1,7.073464394E-1,-2.649583340E0,-1.962396264E0
2.005276250E-1,2.787837982E-1,-2.676302910E0,-2.046843052E0
2.203951250E-1,-5.107576847E-1,-2.044702053E0,-1.532204628E0
2.403024690E-1,-1.626470804E0,-1.505139351E0,-6.615893841E-1
2.602035100E-1,-2.797026157E0,-1.081529140E0,1.369035244E-1
2.800958020E-1,-3.527299166E0,-5.387830734E-1,8.063855171E-1
2.999539790E-1,-3.559931278E0,4.214086533E-1,1.315443516E0
3.198711150E-1,-3.173897743E0,1.307939529E0,1.602264643E0
3.397504370E-1,-2.883907795E0,1.735048294E0,1.651101351E0
3.596459060E-1,-2.605696678E0,1.685607910E0,1.483195305E0
3.795466350E-1,-2.340082645E0,1.604452133E0,1.366916656E0
3.994406980E-1,-1.933626652E0,1.310237885E0,1.004613400E0
4.193146040E-1,-1.391385555E0,9.705305099E-1,5.033887625E-1
4.392481460E-1,-8.933224678E-1,5.737056732E-1,1.205767393E-1
4.591014790E-1,-3.567056656E-1,4.404067993E-2,-2.886849642E-1
4.789957500E-1,9.526920319E-2,-5.474529266E-1,-5.201332569E-1
4.988987190E-1,3.984274864E-1,-1.059944630E0,-5.583010912E-1
5.187732500E-1,6.077432632E-1,-1.352752686E0,-6.564319134E-1
5.386790310E-1,8.517491817E-1,-1.419326305E0,-7.123929262E-1
5.585818440E-1,9.362494946E-1,-1.422591209E0,-6.392202377E-1
5.784681460E-1,8.355686665E-1,-1.249403954E0,-4.859520197E-1
5.983553850E-1,7.665333748E-1,-1.021608829E0,-5.392904282E-1
6.182748650E-1,6.129488945E-1,-7.571187019E-1,-4.968159199E-1
6.381395000E-1,2.844753265E-1,-4.139251709E-1,-1.061527729E-1
6.580329900E-1,5.864238739E-2,3.114509583E-2,1.583002806E-1
6.779188750E-1,-1.060104370E-2,4.484834671E-1,2.527893782E-1
6.978382500E-1,-2.364692688E-1,6.007671356E-1,5.182156563E-1
7.177239270E-1,-4.915080070E-1,5.519800186E-1,8.187320232E-1
7.376160100E-1,-4.394145012E-1,6.536035538E-1,9.291698933E-1
7.574960620E-1,-8.877849579E-2,1.178817749E0,9.270604849E-1
7.773921560E-1,1.791243553E-1,1.898233414E0,7.006180286E-1
7.972910100E-1,2.924909592E-1,2.270882607E0,2.677882910E-1
8.172035100E-1,2.560472488E-1,2.148136139E0,1.169264317E-2
8.370673120E-1,9.914588928E-2,1.719791412E0,-8.272099495E-2
8.569511670E-1,7.451438904E-2,1.245381355E0,-1.541132927E-1
8.768698650E-1,3.712744713E-1,8.524122238E-1,-3.464277983E-1
8.967497600E-1,8.106470108E-1,6.043558121E-1,-5.186227560E-1
9.166105420E-1,1.118119478E0,3.688831329E-1,-6.120624542E-1
9.365254900E-1,1.275324345E0,1.471424103E-2,-6.254774332E-1
9.564184060E-1,1.234215975E0,-4.240779877E-1,-6.737934351E-1
9.763016350E-1,1.036965370E0,-8.168621063E-1,-6.868462563E-1
9.962555940E-1,7.092766762E-1,-1.153836250E0,-6.686916351E-1
1.016102000E0,4.191322327E-1,-1.370102406E0,-6.926373243E-1
1.035989917E0,2.379617691E-1,-1.463573456E0,-6.366466284E-1
1.055887260E0,1.224994659E-1,-1.440260887E0,-6.326472759E-1
